split_mode,experiment,seed,depth,feature_count,metric,value
chronological,linear_cox,2345,2,24,harrell_c_index,0.9725033816875787
chronological,linear_cox,2345,2,24,uno_c_index,0.8299982880541411
chronological,linear_cox,2345,2,24,event_event_pairs,703.0
chronological,linear_cox,2345,2,24,event_event_fraction,0.0327907085218527
chronological,linear_cox,2345,2,24,event_event_c_index,0.7382645803698435
chronological,linear_cox,2345,2,24,event_censored_pairs,20736.0
chronological,linear_cox,2345,2,24,event_censored_fraction,0.9672092914781473
chronological,linear_cox,2345,2,24,event_censored_c_index,0.980444637345679
chronological,linear_cox,2345,2,24,12h_threshold,0.052064164621766995
chronological,linear_cox,2345,2,24,12h_tp_ipcw,26.841039795711808
chronological,linear_cox,2345,2,24,12h_tn_ipcw,614.4453879018183
chronological,linear_cox,2345,2,24,12h_fp_ipcw,42.56371248342969
chronological,linear_cox,2345,2,24,12h_fn_ipcw,0.0
chronological,linear_cox,2345,2,24,12h_tss,0.9352159468438539
chronological,linear_cox,2345,2,24,12h_hss2,0.5312239199837658
chronological,linear_cox,2345,2,24,12h_far,0.6132679836135881
chronological,linear_cox,2345,2,24,12h_precision,0.3867320163864119
chronological,linear_cox,2345,2,24,12h_recall,1.0
chronological,linear_cox,2345,2,24,12h_f1,0.5577602764147176
chronological,linear_cox,2345,2,24,12h_alert_fraction,0.1035031847133758
chronological,linear_cox,2345,2,24,12h_known_count,628.0
chronological,linear_cox,2345,2,24,12h_auc,0.9970571440937512
chronological,linear_cox,2345,2,24,12h_average_precision,0.9524391217677077
chronological,linear_cox,2345,2,24,12h_brier,0.009218275121681873
chronological,linear_cox,2345,2,24,12h_km_reference_brier,0.03719403170926477
chronological,linear_cox,2345,2,24,12h_bss,0.7521571419377571
chronological,linear_cox,2345,2,24,12h_predicted_survival_mean,0.9588192098729184
chronological,linear_cox,2345,2,24,12h_observed_survival_km,0.9613497134749082
chronological,linear_cox,2345,2,24,12h_ece,0.015088026255897837
chronological,linear_cox,2345,2,24,12h_calibration_intercept,0.9308752519706082
chronological,linear_cox,2345,2,24,12h_calibration_slope,2.04397399848219
chronological,linear_cox,2345,2,24,24h_threshold,0.07006751384011212
chronological,linear_cox,2345,2,24,24h_tp_ipcw,26.841039795711808
chronological,linear_cox,2345,2,24,24h_tn_ipcw,593.8005247169583
chronological,linear_cox,2345,2,24,24h_fp_ipcw,65.71705411887284
chronological,linear_cox,2345,2,24,24h_fn_ipcw,1.169247255604473
chronological,linear_cox,2345,2,24,24h_tss,0.858612377666931
chronological,linear_cox,2345,2,24,24h_hss2,0.40822533701654806
chronological,linear_cox,2345,2,24,24h_far,0.7100087235970793
chronological,linear_cox,2345,2,24,24h_precision,0.2899912764029207
chronological,linear_cox,2345,2,24,24h_recall,0.95825650578081
chronological,linear_cox,2345,2,24,24h_f1,0.44524177202483917
chronological,linear_cox,2345,2,24,24h_alert_fraction,0.13921901528013583
chronological,linear_cox,2345,2,24,24h_known_count,589.0
chronological,linear_cox,2345,2,24,24h_auc,0.9922998458219086
chronological,linear_cox,2345,2,24,24h_average_precision,0.9218933168337996
chronological,linear_cox,2345,2,24,24h_brier,0.010702754097327903
chronological,linear_cox,2345,2,24,24h_km_reference_brier,0.040508589474213846
chronological,linear_cox,2345,2,24,24h_bss,0.7357905018109592
chronological,linear_cox,2345,2,24,24h_predicted_survival_mean,0.9448372260979512
chronological,linear_cox,2345,2,24,24h_observed_survival_km,0.9596542113347408
chronological,linear_cox,2345,2,24,24h_ece,0.01883087246852512
chronological,linear_cox,2345,2,24,24h_calibration_intercept,-0.3283613303742542
chronological,linear_cox,2345,2,24,24h_calibration_slope,1.6434212962696049
chronological,linear_cox,2345,2,24,48h_threshold,0.09503582869278349
chronological,linear_cox,2345,2,24,48h_tp_ipcw,31.68516142832763
chronological,linear_cox,2345,2,24,48h_tn_ipcw,581.3711129348446
chronological,linear_cox,2345,2,24,48h_fp_ipcw,65.18806529475376
chronological,linear_cox,2345,2,24,48h_fn_ipcw,1.169247255604473
chronological,linear_cox,2345,2,24,48h_tss,0.8635882072115022
chronological,linear_cox,2345,2,24,48h_hss2,0.44867012050298827
chronological,linear_cox,2345,2,24,48h_far,0.6729213787943517
chronological,linear_cox,2345,2,24,48h_precision,0.32707862120564835
chronological,linear_cox,2345,2,24,48h_recall,0.9644112524789921
chronological,linear_cox,2345,2,24,48h_f1,0.4884874580333964
chronological,linear_cox,2345,2,24,48h_alert_fraction,0.1528046421663443
chronological,linear_cox,2345,2,24,48h_known_count,517.0
