experiment,integrated_brier_score,uno_c_index
balanced22,0.0274738125284715,0.8324406960559205
bc_history,0.0285691751138663,0.8291601827493634
legacy18,0.0283672653501885,0.8335968540690136
linear_cox,0.0278323384788572,0.8287917186265643
logistic,0.0290930952926684,0.8210333567792274
lstm_classifier,0.0282778620381591,0.8099791452699928
lstm_linear_cox,0.028222303044031,0.8189294535467501
no_connector,0.0294087072507744,0.8005056360204114
no_lstm,0.0642639643074682,0.7749996068831159
no_pretraining,0.0280651680879764,0.8285529288731649
svm,0.0303307545684301,0.7522912878243623
tim_sfsa,0.0272279409574751,0.8324216781380582
validation_pruned,0.0274713560229127,0.8176132338655524
