split_mode,experiment,feature_count,metric,mean,std,seeds
chronological,linear_cox,24,12h_alert_fraction,0.10350318471337579,0.0,3
chronological,linear_cox,24,12h_auc,0.9970571440937513,0.0,3
chronological,linear_cox,24,12h_average_precision,0.9524391217677076,0.0,3
chronological,linear_cox,24,12h_brier,0.009218275121681873,0.0,3
chronological,linear_cox,24,12h_bss,0.7521571419377571,0.0,3
chronological,linear_cox,24,12h_calibration_intercept,0.9308752519706082,0.0,3
chronological,linear_cox,24,12h_calibration_slope,2.04397399848219,0.0,3
chronological,linear_cox,24,12h_ece,0.015088026255897837,0.0,3
chronological,linear_cox,24,12h_f1,0.5577602764147176,0.0,3
chronological,linear_cox,24,12h_far,0.6132679836135881,0.0,3
chronological,linear_cox,24,12h_fn_ipcw,0.0,0.0,3
chronological,linear_cox,24,12h_fp_ipcw,42.56371248342969,0.0,3
chronological,linear_cox,24,12h_hss2,0.5312239199837658,0.0,3
chronological,linear_cox,24,12h_km_reference_brier,0.03719403170926477,0.0,3
chronological,linear_cox,24,12h_known_count,628.0,0.0,3
chronological,linear_cox,24,12h_observed_survival_km,0.9613497134749082,0.0,3
chronological,linear_cox,24,12h_precision,0.3867320163864119,0.0,3
chronological,linear_cox,24,12h_predicted_survival_mean,0.9588192098729184,0.0,3
chronological,linear_cox,24,12h_recall,1.0,0.0,3
chronological,linear_cox,24,12h_threshold,0.052064164621766995,0.0,3
chronological,linear_cox,24,12h_tn_ipcw,614.4453879018183,0.0,3
chronological,linear_cox,24,12h_tp_ipcw,26.841039795711808,0.0,3
chronological,linear_cox,24,12h_tss,0.9352159468438539,0.0,3
chronological,linear_cox,24,144h_alert_fraction,0.21518987341772153,0.0,3
chronological,linear_cox,24,144h_auc,0.9922925315528094,0.0,3
chronological,linear_cox,24,144h_average_precision,0.9458646135831178,0.0,3
chronological,linear_cox,24,144h_brier,0.014101519040782079,0.0,3
chronological,linear_cox,24,144h_bss,0.7586766658168256,0.0,3
chronological,linear_cox,24,144h_calibration_intercept,0.08980909700052754,0.0,3
chronological,linear_cox,24,144h_calibration_slope,2.745611622028663,0.0,3
chronological,linear_cox,24,144h_ece,0.06213147338563385,0.0,3
chronological,linear_cox,24,144h_f1,0.4740997982070363,0.0,3
chronological,linear_cox,24,144h_far,0.686053299712925,0.0,3
chronological,linear_cox,24,144h_fn_ipcw,1.169247255604473,0.0,3
chronological,linear_cox,24,144h_fp_ipcw,76.80581891941189,0.0,3
chronological,linear_cox,24,144h_hss2,0.4248189328196188,0.0,3
chronological,linear_cox,24,144h_km_reference_brier,0.05843412983047235,0.0,3
chronological,linear_cox,24,144h_known_count,316.0,0.0,3
chronological,linear_cox,24,144h_observed_survival_km,0.9473444532866776,0.0,3
chronological,linear_cox,24,144h_precision,0.31394670028707505,0.0,3
chronological,linear_cox,24,144h_predicted_survival_mean,0.9097874243720122,0.0,3
chronological,linear_cox,24,144h_recall,0.9678040241139091,0.0,3
chronological,linear_cox,24,144h_threshold,0.15953035421942852,0.0,3
chronological,linear_cox,24,144h_tn_ipcw,526.973257585965,0.0,3
chronological,linear_cox,24,144h_tp_ipcw,35.14731788723395,0.0,3
chronological,linear_cox,24,144h_tss,0.8405955435485382,0.0,3
chronological,linear_cox,24,24h_alert_fraction,0.13921901528013583,0.0,3
chronological,linear_cox,24,24h_auc,0.9922998458219086,0.0,3
chronological,linear_cox,24,24h_average_precision,0.9218933168337996,0.0,3
chronological,linear_cox,24,24h_brier,0.010702754097327903,0.0,3
chronological,linear_cox,24,24h_bss,0.7357905018109592,0.0,3
chronological,linear_cox,24,24h_calibration_intercept,-0.3283613303742542,0.0,3
chronological,linear_cox,24,24h_calibration_slope,1.643421296269605,0.0,3
chronological,linear_cox,24,24h_ece,0.01883087246852512,0.0,3
chronological,linear_cox,24,24h_f1,0.44524177202483917,0.0,3
chronological,linear_cox,24,24h_far,0.7100087235970793,0.0,3
chronological,linear_cox,24,24h_fn_ipcw,1.169247255604473,0.0,3
chronological,linear_cox,24,24h_fp_ipcw,65.71705411887284,0.0,3
chronological,linear_cox,24,24h_hss2,0.40822533701654806,0.0,3
chronological,linear_cox,24,24h_km_reference_brier,0.040508589474213846,0.0,3
chronological,linear_cox,24,24h_known_count,589.0,0.0,3
chronological,linear_cox,24,24h_observed_survival_km,0.9596542113347408,0.0,3
chronological,linear_cox,24,24h_precision,0.2899912764029207,0.0,3
chronological,linear_cox,24,24h_predicted_survival_mean,0.9448372260979512,0.0,3
chronological,linear_cox,24,24h_recall,0.95825650578081,0.0,3
chronological,linear_cox,24,24h_threshold,0.07006751384011212,0.0,3
chronological,linear_cox,24,24h_tn_ipcw,593.8005247169583,0.0,3
