raw,ar,harp_id,partition,observation_start,observation_end,source_file,sample_id,interval_index,anchor_time,history_start,history_end,prediction_start,followup_end,censor_reason,covered_events,event_id,event_time,event_class,event_source,sol_standard,raw_label,catalog_match,raw_label_timestamp,catalog_time_offset_hours,catalog_noaa_active_region,catalog_row_count,catalog_duplicate_row_count,catalog_conflict,catalog_alternate_records,raw_labels,source_occurrence_count,duplicate_occurrence_count,status,event,duration_hours,covered_event_count,reason,available_steps,required_steps,max_gap_minutes
ar1,ar1,1,1,2010-05-01T00:00:00,2010-05-11T16:12:00,/home/lxc/Solar_Flare/data/SWAN/SWAN/partition1/1.csv,1__event_anchor_000,0.0,2010-05-01T00:00:00,2010-05-01T00:00:00,2010-05-01T03:48:00,2010-05-01T03:48:00,2010-05-11T16:12:00,observation_end,[],,,,,,,,,,,0.0,0.0,False,[],[],0.0,0.0,created,0.0,252.4,0.0,,,,
ar10,ar10,10,1,2010-05-02T23:12:00,2010-05-07T21:36:00,/home/lxc/Solar_Flare/data/SWAN/SWAN/partition1/10.csv,10__event_anchor_000,0.0,2010-05-02T23:12:00,2010-05-02T23:12:00,2010-05-03T03:00:00,2010-05-03T03:00:00,2010-05-07T21:36:00,observation_end,[],,,,,,,,,,,0.0,0.0,False,[],[],0.0,0.0,created,0.0,114.6,0.0,,,,
ar100,ar100,100,1,2010-07-24T00:36:00,2010-07-25T21:12:00,/home/lxc/Solar_Flare/data/SWAN/SWAN/partition1/100.csv,100__event_anchor_000,0.0,2010-07-24T00:36:00,2010-07-24T00:36:00,2010-07-24T04:24:00,2010-07-24T04:24:00,2010-07-25T21:12:00,observation_end,[],,,,,,,,,,,0.0,0.0,False,[],[],0.0,0.0,created,0.0,40.8,0.0,,,,
ar1001,ar1001,1001,1,2011-10-22T18:00:00,2011-10-26T06:36:00,/home/lxc/Solar_Flare/data/SWAN/SWAN/partition1/1001.csv,1001__event_anchor_000,0.0,2011-10-22T18:00:00,2011-10-22T18:00:00,2011-10-22T21:48:00,2011-10-22T21:48:00,2011-10-26T06:36:00,observation_end,[],,,,,,,,,,,0.0,0.0,False,[],[],0.0,0.0,created,0.0,80.8,0.0,,,,
ar1005,ar1005,1005,1,2011-10-23T23:36:00,2011-11-04T18:24:00,/home/lxc/Solar_Flare/data/SWAN/SWAN/partition1/1005.csv,1005__event_anchor_000,0.0,2011-10-23T23:36:00,2011-10-23T23:36:00,2011-10-24T03:24:00,2011-10-24T03:24:00,2011-11-04T18:24:00,observation_end,[],,,,,,,,,,,0.0,0.0,False,[],[],0.0,0.0,created,0.0,279.0,0.0,,,,
ar1006,ar1006,1006,1,2011-10-24T13:00:00,2011-10-30T23:24:00,/home/lxc/Solar_Flare/data/SWAN/SWAN/partition1/1006.csv,1006__event_anchor_000,0.0,2011-10-24T13:00:00,2011-10-24T13:00:00,2011-10-24T16:48:00,2011-10-24T16:48:00,2011-10-30T23:24:00,observation_end,[],,,,,,,,,,,0.0,0.0,False,[],[],0.0,0.0,created,0.0,150.6,0.0,,,,
ar1007,ar1007,1007,1,2011-10-24T15:12:00,2011-10-25T12:24:00,/home/lxc/Solar_Flare/data/SWAN/SWAN/partition1/1007.csv,1007__event_anchor_000,0.0,2011-10-24T15:12:00,2011-10-24T15:12:00,2011-10-24T19:00:00,2011-10-24T19:00:00,2011-10-25T12:24:00,observation_end,[],,,,,,,,,,,0.0,0.0,False,[],[],0.0,0.0,created,0.0,17.4,0.0,,,,
ar1008,ar1008,1008,1,2011-10-26T03:00:00,2011-10-26T15:12:00,/home/lxc/Solar_Flare/data/SWAN/SWAN/partition1/1008.csv,1008__event_anchor_000,0.0,2011-10-26T03:00:00,2011-10-26T03:00:00,2011-10-26T06:48:00,2011-10-26T06:48:00,2011-10-26T15:12:00,observation_end,[],,,,,,,,,,,0.0,0.0,False,[],[],0.0,0.0,created,0.0,8.4,0.0,,,,
ar1009,ar1009,1009,1,2011-10-26T03:48:00,2011-10-26T13:24:00,/home/lxc/Solar_Flare/data/SWAN/SWAN/partition1/1009.csv,1009__event_anchor_000,0.0,2011-10-26T03:48:00,2011-10-26T03:48:00,2011-10-26T07:36:00,2011-10-26T07:36:00,2011-10-26T13:24:00,observation_end,[],,,,,,,,,,,0.0,0.0,False,[],[],0.0,0.0,created,0.0,5.8,0.0,,,,
ar101,ar101,101,1,2010-07-24T12:36:00,2010-07-26T16:48:00,/home/lxc/Solar_Flare/data/SWAN/SWAN/partition1/101.csv,101__event_anchor_000,0.0,2010-07-24T12:36:00,2010-07-24T12:36:00,2010-07-24T16:24:00,2010-07-24T16:24:00,2010-07-26T16:48:00,observation_end,[],,,,,,,,,,,0.0,0.0,False,[],[],0.0,0.0,created,0.0,48.4,0.0,,,,
