split_mode,split,sample_id,group_id,ar,harp_id,partition,prediction_start,duration_hours,event
official,train,1__event_anchor_000,1,ar1,1,1,2010-05-01 03:48:00,252.4,0
official,train,10__event_anchor_000,10,ar10,10,1,2010-05-03 03:00:00,114.6,0
official,train,100__event_anchor_000,100,ar100,100,1,2010-07-24 04:24:00,40.8,0
official,train,1001__event_anchor_000,1001,ar1001,1001,1,2011-10-22 21:48:00,80.8,0
official,train,1005__event_anchor_000,1005,ar1005,1005,1,2011-10-24 03:24:00,279.0,0
official,train,1006__event_anchor_000,1006,ar1006,1006,1,2011-10-24 16:48:00,150.6,0
official,train,1007__event_anchor_000,1007,ar1007,1007,1,2011-10-24 19:00:00,17.4,0
official,train,1008__event_anchor_000,1008,ar1008,1008,1,2011-10-26 06:48:00,8.4,0
official,train,1009__event_anchor_000,1009,ar1009,1009,1,2011-10-26 07:36:00,5.8,0
official,train,101__event_anchor_000,101,ar101,101,1,2010-07-24 16:24:00,48.4,0
official,train,1010__event_anchor_000,1010,ar1010,1010,1,2011-10-26 11:48:00,82.2,0
official,train,1012__event_anchor_000,1012,ar1012,1012,1,2011-10-27 04:24:00,161.0,0
official,train,1015__event_anchor_000,1015,ar1015,1015,1,2011-10-27 11:48:00,202.4,0
official,train,1016__event_anchor_000,1016,ar1016,1016,1,2011-10-28 09:36:00,216.4,0
official,train,1018__event_anchor_000,1018,ar1018,1018,1,2011-10-29 10:24:00,20.8,0
official,train,1019__event_anchor_000,1019,ar1019,1019,1,2011-10-29 16:12:00,46.71666666666667,1
official,train,1019__event_anchor_001,1019,ar1019,1019,1,2011-10-31 18:48:00,241.4,0
official,train,1021__event_anchor_000,1021,ar1021,1021,1,2011-10-30 03:00:00,213.4,0
official,train,1023__event_anchor_000,1023,ar1023,1023,1,2011-10-30 20:12:00,12.0,0
official,train,1024__event_anchor_000,1024,ar1024,1024,1,2011-10-31 09:36:00,125.0,0
official,train,1026__event_anchor_000,1026,ar1026,1026,1,2011-10-31 20:00:00,361.6,0
official,train,1027__event_anchor_000,1027,ar1027,1027,1,2011-11-01 05:12:00,152.4,0
official,train,1028__event_anchor_000,1028,ar1028,1028,1,2011-11-01 06:36:00,39.266666666666666,1
official,train,1028__event_anchor_001,1028,ar1028,1028,1,2011-11-03 01:48:00,9.166666666666666,1
official,train,1028__event_anchor_002,1028,ar1028,1028,1,2011-11-03 14:48:00,5.466666666666667,1
official,train,1028__event_anchor_003,1028,ar1028,1028,1,2011-11-04 00:12:00,20.316666666666666,1
official,train,1028__event_anchor_004,1028,ar1028,1028,1,2011-11-05 00:24:00,2.7333333333333334,1
official,train,1028__event_anchor_005,1028,ar1028,1028,1,2011-11-05 07:00:00,4.166666666666667,1
official,train,1028__event_anchor_006,1028,ar1028,1028,1,2011-11-05 15:00:00,5.516666666666667,1
official,train,1028__event_anchor_007,1028,ar1028,1028,1,2011-11-06 00:24:00,0.36666666666666664,1
official,train,1028__event_anchor_008,1028,ar1028,1028,1,2011-11-06 04:36:00,1.6333333333333333,1
official,train,1028__event_anchor_009,1028,ar1028,1028,1,2011-11-06 10:12:00,214.85,1
