replicate,harrell_c_index,uno_c_index,event_event_pairs,event_event_fraction,event_event_c_index,event_censored_pairs,event_censored_fraction,event_censored_c_index,12h_auc,12h_average_precision,12h_tss,12h_hss2,12h_far,12h_precision,12h_recall,12h_f1,12h_alert_fraction,12h_brier,12h_km_reference_brier,12h_bss,12h_predicted_survival_mean,12h_observed_survival_km,24h_auc,24h_average_precision,24h_tss,24h_hss2,24h_far,24h_precision,24h_recall,24h_f1,24h_alert_fraction,24h_brier,24h_km_reference_brier,24h_bss,24h_predicted_survival_mean,24h_observed_survival_km,48h_auc,48h_average_precision,48h_tss,48h_hss2,48h_far,48h_precision,48h_recall,48h_f1,48h_alert_fraction,48h_brier,48h_km_reference_brier,48h_bss,48h_predicted_survival_mean,48h_observed_survival_km,72h_auc,72h_average_precision,72h_tss,72h_hss2,72h_far,72h_precision,72h_recall,72h_f1,72h_alert_fraction,72h_brier,72h_km_reference_brier,72h_bss,72h_predicted_survival_mean,72h_observed_survival_km,144h_auc,144h_average_precision,144h_tss,144h_hss2,144h_far,144h_precision,144h_recall,144h_f1,144h_alert_fraction,144h_brier,144h_km_reference_brier,144h_bss,144h_predicted_survival_mean,144h_observed_survival_km,integrated_brier_score,integrated_auc
0,0.8745084511900656,0.7721353946322439,4424,0.10174091024078376,0.6419529837251357,39059,0.8982590897592162,0.9008423154714662,0.8837410806615058,0.18884209493276694,0.5621234202676746,0.2573942745279237,0.8038411117174208,0.19615888828257916,0.6813405021182083,0.3046178650365979,0.14310051107325383,0.04014456314877306,0.039039945042684536,-0.028294560990820505,0.94009408392345,0.9594771451675713,0.9091921392952247,0.29545031593950716,0.6920246485565409,0.42499930454861223,0.6609234384690243,0.3390765615309756,0.7956714815699767,0.47551269503269405,0.15026833631484796,0.052150112982710065,0.05938817054628971,0.1218770926431888,0.9172693027001894,0.9366764886301123,0.9139399328992048,0.5466979011430064,0.7080552860558553,0.5652926771275604,0.49330667114308707,0.506693328856913,0.7950118077949857,0.6189223166289424,0.1696969696969697,0.06127700455671141,0.09032497352212558,0.3215939936954282,0.8962690828827234,0.8992204611536558,0.928245996179036,0.6275344756605294,0.7339827517845037,0.6246996800625433,0.42124584800447246,0.5787541519955276,0.812068394101884,0.6758417256170771,0.18494623655913978,0.06358660189824665,0.10771843011859199,0.4096961696504363,0.8821580582264715,0.8779445509852963,0.8910832239103424,0.6146952334684521,0.571666380914265,0.5691053375423706,0.36502449710898716,0.6349755028910128,0.6420367512846353,0.6384866044760741,0.21910112359550563,0.09308651686735701,0.14319417877508034,0.349928065067708,0.8559883417991299,0.8318986477996841,0.06858703803244837,0.9108883883199246
1,0.8846622636696051,0.8425718363288262,9513,0.13483289395356748,0.5459896983075792,61041,0.8651671060464325,0.9374354941760457,0.8924379870508038,0.3525690872688238,0.6988782037652803,0.4578240185438637,0.6150734695791154,0.3849265304208847,0.836931301110413,0.5273233163850551,0.20607028753993611,0.06770452420753233,0.08379739268617031,0.1920449785222722,0.9293283124584115,0.9074385298424039,0.9098029809345569,0.4760925505425262,0.7532369426894647,0.6085200187754789,0.44825106947933124,0.5517489305206686,0.8627986956775126,0.6730749092897633,0.2193877551020408,0.0807880159388775,0.11667364057034027,0.30757268270743665,0.9020845129960304,0.8656288484218343,0.9096980475280069,0.5746638467897349,0.7436666437898396,0.6551960761261645,0.36927493880580253,0.6307250611941976,0.844871463066948,0.7222592307351148,0.24903474903474904,0.08550196993324875,0.1382061712441543,0.38134477524739885,0.8769665520085456,0.8348899470956348,0.9347235357065793,0.7124655325596014,0.7778014419426154,0.7285975695365665,0.27394651092649575,0.7260534890735043,0.8549364281685108,0.7852416638945161,0.2651356993736952,0.0776665637790969,0.15664227365090905,0.5041787764637302,0.8601241232471173,0.8074462356402635,0.9327559084722181,0.8361102190901857,0.7070160696610859,0.7274800028381287,0.17441179057252837,0.8255882094274716,0.7576489810534909,0.7901609050157304,0.3162162162162162,0.08088730286601337,0.18301237594959535,0.5580227706114745,0.829182518394612,0.762985580798139,0.07994239905390979,0.9243164934751111
2,0.8934990633385651,0.794881972009625,3442,0.08714585917917816,0.6304474142940151,36055,0.9128541408208218,0.918596588545278,0.9173321585074034,0.37290869891745543,0.6492142583397249,0.41721886833044924,0.6626725743141545,0.3373274256858455,0.7365748531352638,0.4627365151060228,0.1258741258741259,0.04255479884034136,0.052420485822943806,0.18820289105913546,0.9507310453237013,0.943622944699807,0.9342280118471384,0.47423519879810455,0.7319703491770426,0.5563665596460451,0.5232543622052973,0.4767456377947027,0.8046976219043153,0.5987562509428014,0.13333333333333333,0.04843664042810069,0.06932080167491039,0.3012683169007321,0.931370505514904,0.9238595993941953,0.9138428591658327,0.5507484584690191,0.6689867610695068,0.6162118553309112,0.3906824411053325,0.6093175588946675,0.7290829149156606,0.663841698566486,0.15,0.06490664999988005,0.09881417053999789,0.34314431174011417,0.9132244344246323,0.8869380746593423,0.9181239772032693,0.6083145315533927,0.6525977877739944,0.6062042069047994,0.39154294456639405,0.608457055433606,0.7165977877739943,0.6581146163334889,0.16666666666666666,0.06682430165588886,0.10823503030759307,0.3826000559524868,0.9008441632176185,0.8753041113525462,0.9001521405340027,0.639565182095976,0.6098251449951158,0.59595283731195,0.36505454513363933,0.6349454548663607,0.6699755209349654,0.6519903040536997,0.19941348973607037,0.07239060404888915,0.12156967425945123,0.4045340296429949,0.8774956068150163,0.859066891042365,0.0643831526211186,0.9146041950701056
3,0.8921404859070052,0.8404564622327313,4984,0.10540340488527017,0.6460674157303371,42301,0.8945965951147298,0.9211129760525756,0.9222895065609802,0.3244029148137156,0.7315761370107825,0.3846315969551838,0.7091680733292486,0.2908319266707515,0.8464171264100758,0.4329133059712783,0.15525876460767946,0.041686012621940605,0.04955109656073458,0.15872673835086115,0.941110683099796,0.9480177970749151,0.9360033193054955,0.4389772806210658,0.7957801436566108,0.5311139230359957,0.5712331679758862,0.4287668320241138,0.8948092698702029,0.5797392916946027,0.16548042704626334,0.05060962311357945,0.07047971248094861,0.28192636814090655,0.9182738101257925,0.9237518381459866,0.9107968610435083,0.4670774745051558,0.7190203003546001,0.5372622342020001,0.5335708909618927,0.4664291090381073,0.8201438958602182,0.5946634744747421,0.1848906560636183,0.0647890965270446,0.08758603184337835,0.26028049035375067,0.8970546881794765,0.9029045337162149,0.9178612373083929,0.5978753467346133,0.703683826458652,0.5920219127220898,0.44591243766697486,0.5540875623330251,0.799787722562548,0.6546429121242806,0.2113289760348584,0.07728684500039965,0.11489468504568916,0.3273244539582866,0.8826903546154351,0.8680229448379165,0.8926939192129275,0.6772432423310534,0.5844244646556218,0.5720003752248173,0.36751565619865506,0.6324843438013449,0.6674433325801502,0.6494937616939387,0.2479108635097493,0.0987440522868898,0.15334497053684473,0.35606592155453687,0.8558700627740367,0.814781243932483,0.07561047008160877,0.9123881964725549
4,0.8895088264886124,0.8195645668009832,8968,0.13673858351757262,0.6606824264049955,56617,0.8632614164824274,0.9257290213186852,0.9228358119227297,0.45316954850883895,0.7430411491918743,0.4398246645918382,0.6494252392567673,0.35057476074323274,0.8775544235281574,0.5010033732730931,0.19381107491856678,0.050372340007141074,0.06851295999949483,0.26477647429752726,0.930500583133482,0.9257957988873017,0.9413639275953303,0.6232955362059671,0.8068154948154718,0.5989225170215331,0.4893528553037281,0.5106471446962719,0.9150832113509049,0.6555021109761269,0.2045060658578856,0.05662277389055031,0.09551092688671886,0.40715920433158403,0.9040524076573435,0.8918946898476522,0.9063482517423811,0.6676957213798488,0.6733932730219192,0.6071853948189228,0.39253382958950533,0.6074661704104947,0.7729078361287153,0.6802726812721044,0.23137254901960785,0.08034127943374238,0.13521955183626388,0.4058456906363149,0.8798093509729236,0.8381646576578342,0.9175415982396129,0.7419816102172122,0.7015942736208394,0.6499190126345356,0.3403007744547301,0.6596992255452699,0.7958799879065536,0.7214192217046385,0.2603938730853392,0.07781050415893048,0.146986151885386,0.47062697294365496,0.8636089480717154,0.8191940125115683,0.8979844283416449,0.7500560350304611,0.6176029125422224,0.618992790316913,0.2899427997136758,0.7100572002863242,0.7054690213288335,0.7077556749205481,0.31420765027322406,0.0992619391683662,0.1803943075556685,0.4497501583428034,0.8338865816120641,0.7633724348910045,0.07998461125888194,0.9136618162565917
5,0.8653414789824018,0.8081861606756455,6815,0.1242864698265643,0.5986793837123991,48018,0.8757135301734357,0.9031821400308218,0.8897983839323133,0.2495724673082142,0.6391513513311398,0.35130100604270587,0.720419151371085,0.27958084862891497,0.7701248026585735,0.4102333746862738,0.17218543046357615,0.05061243988708381,0.05647126139640369,0.10374872748447217,0.9388636486171641,0.9391130238872656,0.9149093536600613,0.41610573473567225,0.7292222875167154,0.5345285467933719,0.5394872660371423,0.46051273396285775,0.8376560224564743,0.5943006456046294,0.1863799283154122,0.06316270733087394,0.08619061585341437,0.2671741963383152,0.9146389657402665,0.9022941303685841,0.8813062689443792,0.4663210750809765,0.6364044577669046,0.5192938487317259,0.5093587667352503,0.49064123326474973,0.7496120049367161,0.5930894550302612,0.20883534136546184,0.07916362966472222,0.10628545737774897,0.25517910335214633,0.8918818537526021,0.875464569105903,0.877442592767936,0.5050228143311275,0.5884909443482922,0.5203121208257392,0.4669409084943857,0.5330590915056141,0.7053387704352486,0.6072155899601434,0.23580786026200873,0.10019625988181449,0.13209063993247633,0.2414582900572364,0.8763562516290173,0.8399853123322404,0.8460074627767985,0.537398610378747,0.5261246381371538,0.5053236791654001,0.41975175641088003,0.5802482435891199,0.6442348743576264,0.6105697152145262,0.2865013774104683,0.12374293148790848,0.16584295335819368,0.2538547524497833,0.8471765910408181,0.7899278565152931,0.09549012493275277,0.8752425927042861
6,0.8903072297873025,0.819602650669369,7338,0.11799324650265317,0.6361406377759607,54852,0.8820067534973468,0.9242871727557792,0.9203649858361044,0.43945615643597574,0.7330698122200023,0.47861104333724563,0.6092968824131363,0.3907031175868636,0.8445680700597237,0.5342557671329109,0.1712,0.05424966466254811,0.07250251101153586,0.25175467848394306,0.9324240638336545,0.9212150220389399,0.9460837716172938,0.6351724077806895,0.8076938326874328,0.6489810423369031,0.4284536721624726,0.5715463278375275,0.890865979689367,0.6963442206636039,0.18027210884353742,0.05736845278908409,0.09988417497165525,0.42565023132679536,0.9070155322468778,0.8884466813488783,0.9159752935838548,0.6554988911480414,0.6855258018906603,0.6436197187339914,0.345250075001128,0.6547499249988721,0.7592585207846696,0.7031421361320744,0.2,0.07958495957156717,0.13493044875006313,0.4101779078865627,0.8838484539786424,0.843370486426231,0.9162448466386823,0.7050664603988638,0.6753038388909627,0.6385385144640993,0.34041679886548987,0.6595832011345101,0.7550910729335157,0.7041131604116966,0.22755741127348644,0.0825030629052992,0.14484857205605986,0.4304185278860151,0.8684106253324976,0.8286556289437124,0.9040509590063913,0.731247711578067,0.6446606073269625,0.6460830052221491,0.2829906649488804,0.7170093350511195,0.7128424255087805,0.7149198086242676,0.2717678100263852,0.08997887391125796,0.16545393071566242,0.45616962061850697,0.8400910832833799,0.7969663971911829,0.07929966400118228,0.917126454644146
7,0.8913936179313885,0.7932938548630164,1471,0.06292240568055436,0.6621346023113528,21907,0.9370775943194456,0.9067877847263431,0.9459849601355281,0.3325035223546966,0.7925560547436368,0.3665167497625135,0.7473539839900033,0.2526460160099967,0.854827117014699,0.3900205956260594,0.08214285714285714,0.020399160906997213,0.024733842324021114,0.17525305450880668,0.9607610836475863,0.9761549656338306,0.9469141981402345,0.3857854325889938,0.8009315419660701,0.4918186234313165,0.6288189662271013,0.3711810337728986,0.8562675103455168,0.5178714190491281,0.0872865275142315,0.028248466001851366,0.03789765237890882,0.2546117179128361,0.944895261620493,0.9631723984882024,0.9133563111797023,0.44228541350676737,0.6499846262332365,0.4836668092798858,0.5911311046424136,0.4088688953575864,0.7065457122060871,0.5179859810162133,0.09766454352441614,0.03978617555931741,0.053322486069270314,0.2538574531646577,0.9296552265840281,0.9473175042744862,0.9188102500744477,0.5410555345117849,0.6802550040376358,0.5432608332738644,0.5231864542900083,0.4768135457099916,0.7347104495821906,0.5783127629279518,0.10933940774487472,0.04575249207084161,0.06675628586047821,0.3146339482327536,0.9189937194429988,0.9337791730607866,0.8725211146606113,0.5661332710861041,0.533619956163291,0.5301721592149393,0.42936704900953565,0.5706329509904644,0.5789161234106778,0.5747446946532321,0.12835820895522387,0.06407488760543642,0.09889845091182183,0.35211434542523024,0.8981515142174943,0.8980305320290861,0.04612538742496239,0.9102618858106496
8,0.9207436918990703,0.8491032563626327,3223,0.08562244301578024,0.6816630468507602,34419,0.9143775569842197,0.9431128155960371,0.9302107418774537,0.37487697701136474,0.6840597450507229,0.3687913975075821,0.7200260789891869,0.2799739210108132,0.7835072588628775,0.41253499085019546,0.1330998248686515,0.0360210483480663,0.04381339247264798,0.17785301901573414,0.9388320588812199,0.953604327123809,0.9496794703558901,0.5343705260975202,0.7861271658464899,0.5685421778934295,0.5289519346682019,0.47104806533179816,0.8624323867300242,0.6093034309134795,0.13863216266173753,0.04091132621028245,0.06690917686689633,0.38855433400909845,0.9167388567961643,0.9266619583850834,0.9601324067780841,0.7381287975152189,0.7856398869501562,0.6503965166620327,0.41849505825843264,0.5815049417415673,0.8532727371917022,0.6916504495654416,0.15991471215351813,0.04174771371551627,0.08553118860138521,0.5119006949607603,0.8970736790120029,0.9034688392909693,0.9569853947093041,0.7576184294153032,0.7641561514023372,0.6586423517946807,0.39095700455962895,0.6090429954403711,0.8330266748183152,0.7036401524512579,0.1811764705882353,0.045381688297976105,0.09800216285849805,0.5369317678886214,0.8842186366600825,0.8872263708667313,0.9136073785843595,0.7030679113934823,0.6054257785839989,0.5972058664678006,0.3498495518594761,0.6501504481405239,0.6720924452506657,0.6609393881496242,0.22468354430379747,0.06949682420438623,0.12582153569360044,0.4476555716691909,0.8610781135491941,0.8467136526820378,0.05026274242959568,0.9435139186017295
9,0.8967652692062141,0.8381070208342292,4809,0.10234092360076612,0.5934705760033271,42181,0.8976590763992339,0.9313434958867737,0.9228103627135471,0.3947387870685271,0.7048514522079565,0.4513274579746579,0.635958436445079,0.3640415635549209,0.8041294305473069,0.5011878169804174,0.14789915966386555,0.04809369770906417,0.06095483220349198,0.2109945024783616,0.9484937907488632,0.934635085750384,0.922700759576873,0.4272543344198733,0.7265717598212973,0.522019181913401,0.5591262560063881,0.44087374399361184,0.8207601365748043,0.5736237745445036,0.16029143897996356,0.055972781429296944,0.0741574726524504,0.24521724612135332,0.9276653382045754,0.9186982728473041,0.9041052739040487,0.5161386935515329,0.6447417902143888,0.5545084521641482,0.46883050980272023,0.5311694901972798,0.7305886579638089,0.6151201092858039,0.176,0.07311295975670588,0.10290223668209329,0.2894910537019575,0.9078316736511648,0.8823151219183449,0.9098432822144451,0.5519028846290489,0.6699044265203287,0.6047560771547703,0.40493793150458096,0.5950620684954191,0.7458206568868208,0.6619662919248496,0.18777292576419213,0.07573911111458738,0.11470495928817784,0.3397049998134345,0.8941369588796727,0.8670921732602751,0.9103103901909242,0.6654545099411778,0.6412121167802738,0.6374856745425663,0.305741629937225,0.6942583700627751,0.7044532234996415,0.6993186429329534,0.23615160349854228,0.07960540247657052,0.14099891484724072,0.4354183323835108,0.8680149533168311,0.8291643539631625,0.07236405385454094,0.9112701061782484
