metric,mean,std,ci_lower_2.5,ci_upper_97.5
harrell_c_index,0.8931500185019798,0.018306916395341294,0.8621300042779184,0.9296925352440342
uno_c_index,0.8206532067134559,0.04586891431906058,0.7374898485865804,0.8751134707246239
event_event_pairs,6783.2,4578.081321850202,2026.6,15040.749999999998
event_event_fraction,0.11048764171231282,0.032188281079237754,0.0719821612905307,0.1598614978405095
event_event_c_index,0.6265454050732375,0.03563269493402532,0.573227856316082,0.6924149645722363
event_censored_pairs,48370.45,18542.156811112745,25293.125,79783.025
event_censored_fraction,0.8895123582876872,0.032188281079237754,0.8401385021594905,0.9280178387094693
event_censored_c_index,0.9265221787560414,0.016840780587640138,0.9051438191032035,0.9507654499330481
12h_auc,0.9203944282124545,0.020904365872745783,0.8828930990629,0.9587193396530451
12h_average_precision,0.3810251069097607,0.0986322508295358,0.235671060631804,0.5256499982691859
12h_tss,0.7201782845648599,0.08142279130071234,0.5979918688494563,0.8660261536411077
12h_hss2,0.3661369036913072,0.07046467243806127,0.23393086044503314,0.47997104933979345
12h_far,0.7108183122553664,0.06767560534396375,0.5904284836062925,0.8244379814672363
12h_precision,0.2891816877446337,0.06767560534396373,0.17556201853276365,0.40957151639370737
12h_recall,0.8818994738743509,0.07615634506477356,0.7467816281445347,1.0
12h_f1,0.431989267722094,0.08103376861529357,0.2842066152180318,0.5694732781618377
12h_alert_fraction,0.2154496578132427,0.044322357492855485,0.15823946026803432,0.2903915316089116
12h_brier,0.04918424425798841,0.015773650564768912,0.027360484754047204,0.07571733541698039
12h_km_reference_brier,0.06552850001754214,0.024091633027996384,0.03314257879496811,0.11132052758791784
12h_bss,0.23508864178516947,0.07470227860284481,0.1173027974201516,0.3586074449773536
12h_predicted_survival_mean,0.9379312100732606,0.016321785272149614,0.9096995819594371,0.9591666698943443
12h_observed_survival_km,0.9290724104849742,0.027451553851195232,0.876495877760398,0.9657685089942425
24h_auc,0.9360775098225271,0.017689732821600843,0.9041726327495326,0.971126741309628
24h_average_precision,0.5315880804356717,0.15471296050793457,0.30286660677556326,0.7544845812886092
24h_tss,0.7680560966666861,0.06336356946734244,0.6659769401696256,0.8922259158089783
24h_hss2,0.5894942868215277,0.08702392199068669,0.4241978843722312,0.7292248512526224
24h_far,0.4860771171666305,0.09650683065350095,0.33131663916305387,0.6654156472460024
24h_precision,0.5139228828333695,0.09650683065350098,0.3345843527539975,0.668683360836946
24h_recall,0.8541566458290507,0.05469951692865063,0.7466221250053328,0.946822856896129
24h_f1,0.6382533221972244,0.08766962369198086,0.4673008797828006,0.7733576689037749
24h_alert_fraction,0.1698591401216401,0.04941630107361485,0.10815,0.2534397568203247
