replicate,harrell_c_index,uno_c_index,event_event_pairs,event_event_fraction,event_event_c_index,event_censored_pairs,event_censored_fraction,event_censored_c_index,12h_auc,12h_average_precision,12h_tss,12h_hss2,12h_far,12h_precision,12h_recall,12h_f1,12h_alert_fraction,12h_brier,12h_km_reference_brier,12h_bss,12h_predicted_survival_mean,12h_observed_survival_km,24h_auc,24h_average_precision,24h_tss,24h_hss2,24h_far,24h_precision,24h_recall,24h_f1,24h_alert_fraction,24h_brier,24h_km_reference_brier,24h_bss,24h_predicted_survival_mean,24h_observed_survival_km,48h_auc,48h_average_precision,48h_tss,48h_hss2,48h_far,48h_precision,48h_recall,48h_f1,48h_alert_fraction,48h_brier,48h_km_reference_brier,48h_bss,48h_predicted_survival_mean,48h_observed_survival_km,72h_auc,72h_average_precision,72h_tss,72h_hss2,72h_far,72h_precision,72h_recall,72h_f1,72h_alert_fraction,72h_brier,72h_km_reference_brier,72h_bss,72h_predicted_survival_mean,72h_observed_survival_km,144h_auc,144h_average_precision,144h_tss,144h_hss2,144h_far,144h_precision,144h_recall,144h_f1,144h_alert_fraction,144h_brier,144h_km_reference_brier,144h_bss,144h_predicted_survival_mean,144h_observed_survival_km,integrated_brier_score,integrated_auc
0,0.9752028639618139,0.831178858745492,701,0.033460620525059666,0.7631954350927247,20249,0.9665393794749403,0.9825423477702603,0.9982121912582668,0.9647965555413137,0.9191919191919191,0.46568725422009627,0.6698021348997464,0.33019786510025356,1.0,0.49646428364304646,0.11793214862681745,0.008396214228752686,0.03587834523306976,0.7659810068103772,0.9579620812893754,0.9626145151671378,0.9980865614547936,0.9628190740674064,0.8882882882882883,0.37754362198508934,0.7380368688465481,0.26196313115345193,1.0,0.4151676458471715,0.15,0.009017487629806902,0.037842797135887035,0.7617119158124955,0.9436545261871782,0.9626145151671378,0.997707334852578,0.953673327462636,0.8853118712273642,0.40630695642041387,0.7120259904353672,0.28797400956463287,1.0,0.44717363460148585,0.1634980988593156,0.010224049637579861,0.04605314287749973,0.7779945298244771,0.9322712892550187,0.9554882978283727,0.9982938885921222,0.9632180449441694,0.8783185840707963,0.3839196271801113,0.7295261472130907,0.2704738527869093,1.0,0.4257842098735024,0.17463617463617465,0.010856284451957302,0.04904112517266521,0.7786289687739785,0.9234129528061552,0.9554882978283727,0.9972858572929069,0.969128813935605,0.861952861952862,0.4115547965078905,0.6994118095251757,0.3005881904748244,1.0,0.4622342301371879,0.22424242424242424,0.014182322619964481,0.0608047070357024,0.7667561721556011,0.9080520151575701,0.9453870983290797,0.011285867591088098,0.9978803394330625
1,0.9372022864401397,0.6878137866672526,72,0.011432200698634487,0.5416666666666666,6226,0.9885677993013655,0.9417764214584002,0.9747358463977901,0.16466984979969604,0.9458128078817734,0.17657249441415104,0.8976166442950265,0.10238335570497345,1.0,0.18574909567552272,0.06035889070146819,0.006673803887736235,0.009235745121344114,0.27739410301472567,0.9838802679074625,0.9938385434960778,0.9383562868695192,0.12991985043542836,0.44257626458522514,0.08920311577400793,0.9401619778360643,0.05983802216393577,0.5394072505007179,0.10772571594039868,0.10260869565217391,0.012689224930304763,0.01719488304221072,0.2620348216876659,0.9750239252017427,0.9886352003364125,0.9518673090912722,0.30180026688421535,0.549977417690747,0.1351567096028215,0.909774164504397,0.09022583549560304,0.6528580761269611,0.15854108656446494,0.11313131313131314,0.013540418290741495,0.02356617706119034,0.4254300026863347,0.9665672071761718,0.984894384127962,0.9510441755851704,0.3005319903451823,0.5471109496901794,0.13027412354963286,0.9129495397528077,0.08705046024719228,0.6528580761269611,0.15361789521025374,0.11711711711711711,0.014563253578287331,0.02722388963078949,0.4650561041866449,0.9592324848352607,0.984894384127962,0.9574879607090377,0.5514777449421255,0.6156186229087199,0.16207119310802504,0.8896209498813334,0.11037905011866654,0.7414464374782562,0.19215239429756373,0.14696485623003194,0.017517444670703694,0.0385047551133912,0.5450576268017487,0.9453144936376324,0.9795471314575698,0.014568811295097153,0.9522979596503193
2,0.970003393281303,0.8365181424431017,2639,0.059699129057798894,0.658582796513831,41566,0.9403008709422012,0.9897752971178367,0.9993972294735718,0.9945361730940308,0.9308600337268127,0.701096762935046,0.4201485087337964,0.5798514912662036,1.0,0.734058225689897,0.1546707503828484,0.011064367412973468,0.07672429930527817,0.8557905707427906,0.9236401326184042,0.9145940009581157,0.9993559586987892,0.9941856693382309,0.8936936936936937,0.5928595060771464,0.5285608626750226,0.4714391373249775,1.0,0.6407864591423558,0.19349593495934958,0.008997027390439154,0.07623460552272365,0.8819823710144684,0.9038522169886118,0.9145940009581157,0.9993649951368129,0.9942293653655493,0.8840579710144927,0.5809082747690547,0.5369623014078888,0.4630376985921112,1.0,0.6329812267143831,0.21651376146788992,0.009197743807065301,0.07932662897708574,0.8840522542597624,0.890107224311251,0.9110950462854255,0.9994046618472368,0.9943712608956264,0.8773148148148149,0.562721977455546,0.5537300654675473,0.44626993453245273,1.0,0.6171322847511478,0.23279352226720648,0.009843478555291225,0.08043979664155179,0.8776292461410016,0.8802623144525267,0.9110950462854255,0.9979207612265151,0.9866375891663401,0.8666666666666667,0.5766558659690131,0.5325289667251453,0.4674710332748548,1.0,0.6371110879533092,0.2962962962962963,0.0136120835055697,0.08893800893181898,0.8469486368195527,0.8642020205801997,0.9010732822093865,0.010693943376740915,0.99898577037519
3,0.9652548649922564,0.8511483318823715,2799,0.06282405225237357,0.729188996070025,41754,0.9371759477476265,0.9810796570388466,0.9943938642331943,0.9508965651258525,0.9087893864013268,0.6046812224409149,0.5231412047456917,0.47685879525430824,1.0,0.6457743919549132,0.16463414634146342,0.018690334797380168,0.06825282384355856,0.7261602708157533,0.9334056473417673,0.924877964216954,0.9882609434805162,0.9250625076842931,0.8267660561463646,0.4962748625682778,0.6102405822538446,0.38975941774615536,0.9590124329579587,0.5542584941788149,0.20757825370675453,0.02053100256556124,0.07074076616420352,0.7097712722264746,0.9133616420695463,0.9215689196222601,0.9922966039001591,0.9535614952535951,0.8410302616830077,0.5579750756152668,0.5476666118759456,0.4523333881240543,0.9662869351943011,0.6162097583291987,0.2246376811594203,0.017283620319627126,0.08465109836839071,0.7958252089723511,0.8984786654449718,0.9042267371808859,0.992600222152322,0.958193505833299,0.833104090950509,0.5347420791752171,0.5696944178484231,0.43030558215157677,0.9662869351943011,0.5954473577796933,0.24015748031496062,0.016837245182648224,0.08583233752754309,0.803835644377677,0.8874529828818213,0.9042267371808859,0.9908504662110702,0.9600649914346114,0.8029773600230858,0.5044286677725771,0.587214562408523,0.4127854375914771,0.9678896407248403,0.5787469552562271,0.3181818181818182,0.019762481258939577,0.09027381776624768,0.7810829125437904,0.8691987015547245,0.8993308822940256,0.018304121490336167,0.9915576220345625
4,0.9768044753718106,0.8658946741609892,1203,0.0410356119525174,0.6799667497921862,28113,0.9589643880474826,0.9895066339415929,0.9986990000449321,0.986644244770166,0.9353233830845773,0.6187397639796259,0.5210714511474086,0.47892854885259134,1.0,0.6476696243698348,0.12012480499219969,0.007710389619084209,0.05162384522357485,0.8506428650230972,0.9441848130666673,0.9445935139357048,0.9953890097048537,0.9675463051357863,0.8688669159580877,0.48813380919929344,0.6350129392077465,0.36498706079225346,0.9709795920144259,0.5305446608776833,0.15815485996705106,0.008682220115613625,0.05412064967906365,0.8395765725818272,0.9283144638741258,0.9429450086757821,0.995007247506843,0.961709832944717,0.8672145126295012,0.4924080489286368,0.6296281067159574,0.3703718932840426,0.972582305870058,0.5364548548663038,0.17095588235294118,0.011297060826941499,0.05862752674052353,0.8073079071382192,0.9165284698625566,0.9396070245372145,0.9950915660484116,0.9641572871974141,0.8540140732078656,0.4585358138916044,0.6577571909266541,0.3422428090733459,0.972582305870058,0.5063172229263792,0.19057377049180327,0.011704037456302654,0.06074845752125419,0.8073360553688504,0.9076459681124405,0.9396070245372145,0.9929259580928507,0.9551354609192513,0.8496006203767676,0.506017833076426,0.6067314405269838,0.39326855947301625,0.9764122145796662,0.5607032417392074,0.24610591900311526,0.014253808972233491,0.06996583058158508,0.7962747121880794,0.8924689952178351,0.9292661059798171,0.011731838488977877,0.9946901498241482
5,0.9682520200470492,0.8400670890911933,3098,0.06337322287000102,0.6849580374435119,45787,0.936626777129999,0.9874200100465198,0.9984866493217629,0.9874416600843049,0.9437299035369775,0.7425396963070732,0.37428340162278073,0.6257165983772194,1.0,0.7697732790595925,0.14181286549707603,0.013081489623402165,0.07875137784975263,0.8338887524182759,0.9221819737048472,0.9143082923838785,0.9964281166532325,0.9772476071587404,0.888162655225782,0.6162631374453583,0.5026667733141355,0.4973332266858645,0.9820193105158842,0.6602764656631507,0.1802773497688752,0.01257843509348203,0.0796492878291112,0.8420772434215701,0.9016718829329414,0.9127586173120414,0.9961748947463556,0.9757931638332007,0.8834654845625427,0.6227677401216196,0.4919229276471235,0.5080770723528765,0.9832658837641395,0.6699664212289334,0.20422535211267606,0.013170979436179784,0.08504409538303304,0.8451276437610564,0.8873338165044494,0.9063084216917269,0.9965353069039987,0.9788178040482841,0.8624605146366227,0.5699245848639886,0.541738546904771,0.45826145309522903,0.9832658837641395,0.625160329812986,0.23346303501945526,0.012523765534020013,0.08602193503776327,0.8544119528522331,0.8770487685874606,0.9063084216917269,0.9960221558548048,0.9794174809133206,0.8755596912105414,0.6329892500857159,0.47444286245056605,0.525557137549434,0.9847747082753879,0.6853531933965739,0.2802197802197802,0.014678866030155958,0.0941294172875565,0.8440565505115855,0.86031400252934,0.8967082484156682,0.013262001504621057,0.9964039076648955
6,0.9813108170725429,0.9008489798225152,589,0.030324872573752767,0.7911714770797963,18834,0.9696751274262473,0.987257088244664,0.9983018076589717,0.9633077604810014,0.922824302134647,0.43104923838523895,0.7022864887798207,0.2977135112201792,1.0,0.45882779002624874,0.10793650793650794,0.007106792066822272,0.031018956362923275,0.770888743525976,0.9596143196461758,0.9686173384408484,0.9981887931073796,0.9613864430773633,0.8809106830122593,0.3174048438034433,0.7858579090597844,0.21414209094021563,1.0,0.3527463425213878,0.15033783783783783,0.008620068221602255,0.033397143278111725,0.7418920489749854,0.9455024039071667,0.9686173384408484,0.9965761320292759,0.9271119061456712,0.882235528942116,0.38407616123411714,0.7305911110035874,0.2694088889964126,1.0,0.42446352996536163,0.16287878787878787,0.011439559133092535,0.044401191811377055,0.7423591875261029,0.9340266867542805,0.9582111537732613,0.9977806036415411,0.9497338932360223,0.8660714285714286,0.34755034986815814,0.757151300010691,0.242848699989309,1.0,0.3907936661822119,0.1831578947368421,0.011733172770370174,0.04724026260931024,0.75162769802093,0.9249424115413031,0.9582111537732613,0.9961758944432145,0.9604551828345348,0.8664383561643836,0.4139500850001582,0.6987733060019758,0.3012266939980242,1.0,0.46298880185512337,0.21671826625386997,0.014096909043861645,0.058938593603195706,0.7608204033715305,0.9089337406449336,0.9480383017503522,0.011689639531369565,0.9972033141313559
7,0.9595595516298966,0.7008641165041557,1022,0.04048005703647958,0.7475538160469667,24225,0.9595199429635204,0.9685036119711042,0.9959116051444201,0.942803812711497,0.9098360655737707,0.4805423454531193,0.6523998826910411,0.347600117308959,1.0,0.5158802123037604,0.13416536661466458,0.012358902087546711,0.043159794213506714,0.7136477985411933,0.9539474376802596,0.9546552952099255,0.9907445479228183,0.9160844246680623,0.8417351078453856,0.3927790918471716,0.7168611250864011,0.28313887491359885,0.9647297602518028,0.43779047123362597,0.16863406408094436,0.013745099590378588,0.04602302308617465,0.7013429655709074,0.938126626947417,0.9529804613586801,0.9929792183981957,0.9451221440077039,0.8466732678266906,0.4334037726286874,0.6798680660994689,0.3201319339005311,0.9693343904878133,0.4813074791547634,0.18181818181818182,0.012272975814069144,0.05343762532646017,0.7703308158045702,0.9255985883748714,0.9456767497035746,0.9930156435308598,0.947254274719697,0.8245068042809167,0.38247850934092514,0.7193937729382668,0.28060622706173327,0.9693343904878133,0.4352227013939537,0.208067940552017,0.012385442443173779,0.055853208659275067,0.7782501177554634,0.9159184783267857,0.9456767497035746,0.9898232332042125,0.9452419125513742,0.7990929617865556,0.3794307030080302,0.7127010118590902,0.2872989881409098,0.9718870794336143,0.4434962897045807,0.2709677419354839,0.017213717689006168,0.062151169430176297,0.7230346935250364,0.899295855502427,0.940494146822436,0.01386599771792665,0.9919603031808095
8,0.9730552843260334,0.8203070461528843,699,0.03250104617101409,0.7324749642346209,20808,0.9674989538289859,0.9811370626682046,0.9965506270731813,0.9461956238353738,0.9304635761589404,0.5112500906274867,0.6309270016979458,0.36907299830205414,1.0,0.539157515720176,0.10793650793650794,0.009868160340652915,0.037172448488034915,0.7345302571653497,0.9595590557961136,0.9615761049699184,0.9920502791138737,0.9158070144002648,0.8576958460651074,0.3996941128132784,0.717386693540438,0.282613306459562,0.9582157767410172,0.43648965459124556,0.1390728476821192,0.011380415340289263,0.040677697012997845,0.7202296055095535,0.9458599011067061,0.959921068644669,0.9939647078522905,0.9408379626179993,0.865906825028266,0.4456836846105894,0.6766191160242379,0.3233808839757621,0.964526154416826,0.4843662021171087,0.14869888475836432,0.010347554531926465,0.04885782219667881,0.78821089302196,0.9349118452965147,0.9528745297585614,0.9937583112815999,0.9400802838999767,0.8541508784786362,0.4128913401596806,0.7028635576504827,0.29713644234951736,0.964526154416826,0.45431460171843985,0.1652892561983471,0.01115569960555921,0.05154834098742216,0.7835876113203875,0.9263333435134993,0.9528745297585614,0.9924408031590437,0.9418535498292315,0.8470927223179878,0.42807860686379373,0.685401788785822,0.314598211214178,0.9678980914455045,0.4748536234761733,0.2054380664652568,0.013866765237517653,0.059710554683677024,0.7677669331497872,0.9113024580218682,0.9479562471461644,0.011720264216309369,0.9933305275014103
9,0.9713872135102534,0.7862740314603287,626,0.03020506634499397,0.7236421725239617,20099,0.969794933655006,0.9791034379819892,0.9972228650063636,0.9541233764210606,0.9296235679214402,0.5052553493913731,0.6363891892834307,0.3636108107165693,1.0,0.5333058492334686,0.10832025117739404,0.009566880039079257,0.03732202230391703,0.7436666223181805,0.9594832741960648,0.9614145456515957,0.9923110912894123,0.9229136237811191,0.8515032121971275,0.38241412542198716,0.7307098106797046,0.2692901893202954,0.9582157767410173,0.420426645674476,0.14473684210526316,0.010752223281035532,0.040847405749269844,0.7367709629582111,0.9456271662313012,0.9597682878679458,0.9946242202449732,0.9565025850641808,0.8623650542203625,0.4352167938324764,0.6851407086399208,0.3148592913600791,0.9645261544168261,0.47474359268410893,0.15185185185185185,0.009278105667339259,0.04904404771445204,0.8108209640166948,0.9344645313969507,0.9527242475018011,0.9943883036851187,0.957461023628908,0.8466222242858217,0.39264653135784594,0.718681821322258,0.28131817867774195,0.9645261544168261,0.4355901196317301,0.17177914110429449,0.009802359030315847,0.05187222159890578,0.8110287408526451,0.9256585758338949,0.9527242475018011,0.9923671003899759,0.9546323608154542,0.8131177037126007,0.35365551717134003,0.7426447056476183,0.25735529435238164,0.9645261544168261,0.4063011393299229,0.23174603174603176,0.014219531817217931,0.055309263558292465,0.7429086756465046,0.9101205990563681,0.9527242475018011,0.011030547077153511,0.9937255478034226
