metric,mean,std,ci_lower_2.5,ci_upper_97.5
harrell_c_index,0.9637699785330467,0.017052181309005255,0.925631252390287,0.9835357389128082
uno_c_index,0.8122854902029885,0.10388886978277635,0.5617196740116173,0.9639804485271593
event_event_pairs,982.585,1055.0132158701429,21.0,3980.999999999998
event_event_fraction,0.0332691430956659,0.016507204007247783,0.006830620830063865,0.07042418761165833
event_event_c_index,0.7026564149619102,0.08761708702970689,0.5333333333333333,0.8328364996605218
event_censored_pairs,21692.557,13154.244353335476,2895.9750000000004,52538.42499999999
event_censored_fraction,0.966730856904334,0.016507204007247783,0.9295758123883416,0.9931693791699362
event_censored_c_index,0.9729855159452447,0.02014312277938682,0.9295316658259695,0.9957568190148262
12h_auc,0.9941264628061185,0.006846448716359815,0.9732479135303377,0.9998121901422318
12h_average_precision,0.8195395869214551,0.25314248658368094,0.13885771442803108,0.9971354950262049
12h_tss,0.9302752261232368,0.07067617888096832,0.911422423901318,0.9578485457077406
12h_hss2,0.4729439120714983,0.19557768783393184,0.06195037927895457,0.7515684964924532
12h_far,0.6468691471872774,0.17240930578559246,0.3578996238802567,0.9664660447709388
12h_precision,0.3531308528127228,0.17240930578559246,0.03353395522906122,0.6421003761197432
12h_recall,0.995,0.07056897321046965,1.0,1.0
12h_f1,0.4962955237382916,0.20317527058345772,0.06489182867298791,0.7820476534018616
12h_alert_fraction,0.10444477741214732,0.031693730879639885,0.05297576115227417,0.17296572281822353
12h_brier,0.009375783857849566,0.003614659454668635,0.002813998582928618,0.016981804913450624
12h_km_reference_brier,0.03816751066559525,0.02352175648536582,0.005335028586453257,0.09286271927726691
12h_bss,0.6728252751522573,0.17921938579664812,0.2411350555638651,0.8796772120385292
12h_predicted_survival_mean,0.9580318952047626,0.019625362047937772,0.9107986945122017,0.9848495365562476
12h_observed_survival_km,0.9602451009677223,0.027230912435443337,0.8973160331804284,0.9983310330198295
24h_auc,0.9871436875011534,0.015353800729235905,0.9420366842662011,0.9997968323513977
24h_average_precision,0.7887440760250382,0.2639878883258221,0.11921034749863392,0.9969435611119238
24h_tss,0.8264078489846151,0.12258860737506695,0.49058833757267634,0.919444661621216
24h_hss2,0.36711420144488205,0.1746657615970498,0.03534717413862833,0.651162594308853
24h_far,0.7302266682338203,0.14499970908709706,0.462146535613145,0.9794375929646639
24h_precision,0.2697733317661796,0.14499970908709706,0.020562407035336048,0.5378534643868549
