replicate,harrell_c_index,uno_c_index,event_event_pairs,event_event_fraction,event_event_c_index,event_censored_pairs,event_censored_fraction,event_censored_c_index,12h_auc,12h_average_precision,12h_tss,12h_hss2,12h_far,12h_precision,12h_recall,12h_f1,12h_alert_fraction,12h_brier,12h_km_reference_brier,12h_bss,12h_predicted_survival_mean,12h_observed_survival_km,24h_auc,24h_average_precision,24h_tss,24h_hss2,24h_far,24h_precision,24h_recall,24h_f1,24h_alert_fraction,24h_brier,24h_km_reference_brier,24h_bss,24h_predicted_survival_mean,24h_observed_survival_km,48h_auc,48h_average_precision,48h_tss,48h_hss2,48h_far,48h_precision,48h_recall,48h_f1,48h_alert_fraction,48h_brier,48h_km_reference_brier,48h_bss,48h_predicted_survival_mean,48h_observed_survival_km,72h_auc,72h_average_precision,72h_tss,72h_hss2,72h_far,72h_precision,72h_recall,72h_f1,72h_alert_fraction,72h_brier,72h_km_reference_brier,72h_bss,72h_predicted_survival_mean,72h_observed_survival_km,144h_auc,144h_average_precision,144h_tss,144h_hss2,144h_far,144h_precision,144h_recall,144h_f1,144h_alert_fraction,144h_brier,144h_km_reference_brier,144h_bss,144h_predicted_survival_mean,144h_observed_survival_km,integrated_brier_score,integrated_auc
0,0.9702863961813842,0.815872149203487,701,0.033460620525059666,0.7717546362339515,20249,0.9665393794749403,0.977159365894612,0.9980779935592238,0.9646951224515169,0.9595959595959596,0.6453582610877954,0.5035357163569535,0.4964642836430464,1.0,0.6635163820073753,0.0791599353796446,0.008533621448571855,0.03587834523306976,0.7621511975221685,0.9636655633261426,0.9626145151671378,0.9983058337879731,0.9679953577120041,0.9391163721484523,0.7695802706922428,0.3426474595685235,0.6573525404314765,0.9589361919682721,0.7800080879931868,0.0603448275862069,0.009280387314491077,0.037842797135887035,0.754764763260845,0.9487201225958422,0.9626145151671378,0.9978360894639747,0.9584167617158126,0.9376257545271629,0.5713157672790737,0.5735084507531893,0.4264915492468107,1.0,0.5979587463690181,0.11406844106463879,0.010649216819811819,0.04605314287749973,0.7687624306523774,0.9351255916535357,0.9554882978283727,0.999183721566429,0.9841613451366191,0.9646017699115044,0.7017209210326241,0.43966427613456344,0.5603357238654366,1.0,0.7182245657714108,0.09355509355509356,0.011286391792806605,0.04904112517266521,0.7698586287922801,0.9219402758678764,0.9554882978283727,0.9917625918703536,0.9420853395066032,0.8585858585858586,0.4047882612523322,0.704453485680758,0.2955465143192419,1.0,0.4562499471113776,0.22727272727272727,0.02058608415805469,0.0608047070357024,0.6614393003165485,0.8476822006847212,0.9453870983290797,0.013308149543730604,0.9967447807514817
1,0.891314703080343,0.6398830657190783,72,0.011432200698634487,0.5833333333333334,6226,0.9885677993013655,0.8948763250883393,0.9885057471264368,0.30181374162138097,0.9556650246305418,0.209372742651772,0.8776485110308462,0.12235148896915378,1.0,0.2180270444181973,0.05057096247960848,0.006343690014399772,0.009235745121344114,0.31313717181959755,0.9884122564175752,0.9938385434960778,0.9264730451667653,0.14748702183810003,-0.008802816901408494,-0.009929398354001206,1.0,0.0,0.0,0.0,0.008695652173913044,0.012911646758127362,0.01719488304221072,0.24909947183523662,0.979148596317973,0.9886352003364125,0.926502262151315,0.3094292018948198,0.6158210390899241,0.3085961229830984,0.7840167183594966,0.21598328164050343,0.6528580761269611,0.32458498543331415,0.048484848484848485,0.014402242696692704,0.02356617706119034,0.3888596075936791,0.9691647319959343,0.984894384127962,0.8995434554949213,0.35903224225279345,0.32597749842243795,0.21926976401151704,0.8233579668946426,0.1766420331053574,0.35126485474427693,0.2350722808457105,0.03153153153153153,0.015686644030710437,0.02722388963078949,0.4237912273575609,0.9570367570755184,0.984894384127962,0.9152309716482504,0.44206722626313,0.6520424639683224,0.2209014208679561,0.851336971060512,0.14866302893948805,0.7414464374782562,0.24766767987653204,0.11182108626198083,0.022192808922785915,0.0385047551133912,0.4236345911711126,0.8812323336137431,0.9795471314575698,0.01642443667536144,0.9164394275036758
2,0.9675376088677752,0.8339424886052175,2639,0.059699129057798894,0.667298219022357,41566,0.9403008709422012,0.9865996246932589,0.9993399466636046,0.9940021536576463,0.9662731871838113,0.8330923003022227,0.2611493044337827,0.7388506955662174,1.0,0.8498149926847255,0.1225114854517611,0.011607976803713291,0.07672429930527817,0.8487053396535258,0.9301424531000988,0.9145940009581157,0.9994147763415048,0.9945688401507357,0.9648096062152263,0.8948063352420044,0.16202157204983142,0.8379784279501686,0.9828276242332443,0.9046414872285493,0.11219512195121951,0.009830973240884302,0.07623460552272365,0.8710431676864396,0.9108919898629324,0.9145940009581157,0.9993799469839421,0.9943762850447304,0.9399585921325051,0.7399814424786348,0.37520842462678355,0.6247915753732164,1.0,0.7690728889084757,0.1669724770642202,0.010396914208591759,0.07932662897708574,0.8689353834562288,0.893807538011494,0.9110950462854255,0.9998471565835627,0.9985865556393203,0.9583333333333333,0.8054115239338584,0.2964695096955916,0.7035304903044084,1.0,0.8259675941329264,0.16194331983805668,0.010523856748297221,0.08043979664155179,0.8691710174853793,0.8788858126007285,0.9110950462854255,0.9950961585331091,0.9761724121617599,0.8666666666666667,0.5766558659690131,0.5325289667251453,0.4674710332748548,1.0,0.6371110879533092,0.2962962962962963,0.020725555298002553,0.08893800893181898,0.7669662774451019,0.8054494450485211,0.9010732822093865,0.013237851778869377,0.9983844667041384
3,0.9567256974838956,0.802246558004199,2799,0.06282405225237357,0.7381207574133619,41754,0.9371759477476265,0.9713799875461033,0.9952770465854297,0.9556490505999423,0.9402985074626866,0.7074243032550135,0.4179527482006035,0.5820472517993964,1.0,0.7358152560075367,0.13567073170731708,0.01883967291988112,0.06825282384355856,0.7239722569858311,0.9409251174809707,0.924877964216954,0.9877477417152908,0.92734390249799,0.8218793177494375,0.7667843947108378,0.26652929845056234,0.7334707015494377,0.8490532307929158,0.7870410754809027,0.10214168039538715,0.020882936983427223,0.07074076616420352,0.7047962848613523,0.920155769033053,0.9215689196222601,0.9892868060030389,0.9495672944313374,0.9108454567548758,0.7489589776767246,0.3489200208588974,0.6510799791411026,0.9662869351943011,0.7779682792251787,0.16304347826086957,0.01672504125015186,0.08465109836839071,0.8024238128917521,0.9024903084255689,0.9042267371808859,0.9875774665173929,0.9570617944934044,0.905394673276521,0.8173219249455949,0.24469755450542438,0.7553024454945756,0.9369973820801327,0.836396012781484,0.14763779527559054,0.0162845498211149,0.08583233752754309,0.8102748883439265,0.8866994989935458,0.9042267371808859,0.9848818395957586,0.9448915263070868,0.8310475354616824,0.5582339479280658,0.5413742719949434,0.4586257280050566,0.9678896407248403,0.6223544461371064,0.29545454545454547,0.024034243303451178,0.09027381776624768,0.7337628572917485,0.8025600878256353,0.8993308822940256,0.019221386693654387,0.9875262847935068
4,0.9721653704461727,0.8649932860208065,1203,0.0410356119525174,0.6940980881130507,28113,0.9589643880474826,0.9840643118841816,0.9995202214956491,0.9932824491074008,0.9618573797678276,0.7388970595336264,0.390852146025933,0.609147853974067,1.0,0.7571061322546238,0.09516380655226209,0.0078078441464825826,0.05162384522357485,0.8487550837666582,0.9501002445562429,0.9445935139357048,0.9951957000238064,0.9717945121550446,0.9299218989487952,0.8471788359234504,0.21701862724446896,0.782981372755531,0.9457669693713304,0.8567099119518471,0.0757825370675453,0.009459053316134456,0.05412064967906365,0.8252228424413455,0.9340974020768382,0.9429450086757821,0.9930689164428561,0.9589918673573786,0.9129401587527619,0.6405333553839677,0.49038298333685154,0.5096170166631484,0.972582305870058,0.6687960055598534,0.12867647058823528,0.012487278051043948,0.05862752674052353,0.787006569349058,0.9199524455356493,0.9396070245372145,0.99099062258415,0.9580827586908599,0.9196793299757924,0.7723807397922727,0.3258027607347811,0.674197239265219,0.9487621040250094,0.7882548554252168,0.10655737704918032,0.012422283501773435,0.06074845752125419,0.7955127749963491,0.9059864307232678,0.9396070245372145,0.9877272554008055,0.9407691058104205,0.8713397508115501,0.558285238597809,0.5610787574842129,0.43892124251578707,0.9764122145796662,0.6056071949438765,0.22741433021806853,0.019550479570345065,0.06996583058158508,0.7205710357779884,0.8275711769832982,0.9292661059798171,0.013764330078878164,0.9914396136552968
5,0.9646517336606321,0.836347174564067,3098,0.06337322287000102,0.6939961265332473,45787,0.936626777129999,0.9829645969379955,0.9988733533128846,0.9897601353198116,0.9565916398713825,0.7912139826290278,0.3157450545208001,0.6842549454792,1.0,0.8125313181544703,0.1301169590643275,0.013568928062033773,0.07875137784975263,0.8276991662555857,0.9284375231730133,0.9143082923838785,0.9961690978088787,0.9782285609450032,0.9279054890678344,0.8563063098183029,0.1980284929045964,0.8019715070954035,0.9500897894091312,0.8697697298702054,0.11248073959938366,0.013706849117349583,0.0796492878291112,0.8279099601397837,0.9082861205686671,0.9127586173120414,0.9948258779838157,0.9732376558285158,0.9333656841633409,0.7742170190563579,0.3261921666109767,0.6738078333890233,0.9832658837641395,0.799641256663804,0.1602112676056338,0.014427826103217235,0.08504409538303304,0.830348879152218,0.8910652112321356,0.9063084216917269,0.9943604879334877,0.9778657914101865,0.9396446870252699,0.8454883303511893,0.22412372616238121,0.7758762738376188,0.9687274610744869,0.8616428336381117,0.1517509727626459,0.012894269966628099,0.08602193503776327,0.8501048603362902,0.8759561137984523,0.9063084216917269,0.9917889257900726,0.9671934452335611,0.8482559369443299,0.5728799595096788,0.5301697630693655,0.46983023693063447,0.9847747082753879,0.6361547663331928,0.3021978021978022,0.018958466801918348,0.0941294172875565,0.7985914781135635,0.8002442472486271,0.8967082484156682,0.014968442744158471,0.9941955280401419
6,0.9776038716985018,0.8799277611284045,589,0.030324872573752767,0.8081494057724957,18834,0.9696751274262473,0.9829032600615908,0.9983901355172069,0.9687289586168301,0.9589490968801313,0.5967879703743667,0.5564922567126009,0.443507743287399,1.0,0.614486129845578,0.07301587301587302,0.006901197334166072,0.031018956362923275,0.7775167786619984,0.9658950313237807,0.9686173384408484,0.9987188462470885,0.9781823232403951,0.9302149853178012,0.7212621731075405,0.4050501527967402,0.5949498472032598,0.9512307471391672,0.7320420263147537,0.05405405405405406,0.008751956588026306,0.033397143278111725,0.737942957721109,0.9511306001579676,0.9686173384408484,0.9971924960372263,0.9442421624208603,0.9520958083832336,0.6232598359797948,0.5245153453456667,0.47548465465433337,1.0,0.6445131816917834,0.09659090909090909,0.011091629384568147,0.044401191811377055,0.7501952327836816,0.9376859974556625,0.9582111537732613,0.9985818267149966,0.9706543229360596,0.9620535714285716,0.6762102237687704,0.469037983701247,0.530962016298753,1.0,0.6936318610730845,0.09263157894736843,0.011771359991825272,0.04724026260931024,0.7508193362687755,0.9222629994951564,0.9582111537732613,0.9896803404353415,0.9302537317557731,0.8801369863013699,0.4442923918529166,0.6755179860395865,0.32448201396041365,1.0,0.4899757196251543,0.2043343653250774,0.022603641830484432,0.058938593603195706,0.6164882728172387,0.841810093411742,0.9480383017503522,0.013968923434273924,0.9959115143063364
7,0.9514001663563988,0.6838560238095986,1022,0.04048005703647958,0.7504892367906066,24225,0.9595199429635204,0.959876160990712,0.9960902227191741,0.9403838312058866,0.9459016393442623,0.6158167619385421,0.5296599707202325,0.47034002927976737,1.0,0.6397704203294515,0.0998439937597504,0.012712870071373682,0.043159794213506714,0.7054464623143353,0.9599990680866594,0.9546552952099255,0.989380826891499,0.9062114498242776,0.8505008477814127,0.7572016536785703,0.30916268920561074,0.6908373107943891,0.8701086909186676,0.7701785295242742,0.0657672849915683,0.014578612809791659,0.04602302308617465,0.6832321774583494,0.9427794376154075,0.9529804613586801,0.9898076662831344,0.9278921355787847,0.9048853260387488,0.6056100635588373,0.527376422469633,0.4726235775303671,0.9693343904878133,0.6354280743497954,0.1276595744680851,0.013674277586168892,0.05343762532646017,0.744107686248589,0.9284754323335636,0.9456767497035746,0.9898068766078656,0.9538261830655056,0.892117721565105,0.6456974654837232,0.47932025645218246,0.5206797435478177,0.9426924342087832,0.6708352971979731,0.11889596602972399,0.013045819224727534,0.055853208659275067,0.7664266827656798,0.9145085266526956,0.9456767497035746,0.9822476302348387,0.9193499038763906,0.8027694323747907,0.38553514564596186,0.708277373322597,0.2917226266774029,0.9718870794336143,0.4487484549620803,0.267741935483871,0.024981866603938866,0.062151169430176297,0.5980467168521304,0.8347605532281844,0.940494146822436,0.016609253284858076,0.9879729164908257
8,0.9648719021713861,0.7852353358494842,699,0.03250104617101409,0.7424892703862661,20808,0.9674989538289859,0.972342368319877,0.9975464013355871,0.9534513390049095,0.9536423841059603,0.6165851519952549,0.5326361848285296,0.4673638151714704,1.0,0.6370115036765521,0.08571428571428572,0.00995180572584461,0.037172448488034915,0.7322800587363003,0.9652043050908458,0.9615761049699184,0.9916596978174972,0.919700836643791,0.832254530843124,0.7656052099613685,0.2839293406257251,0.7160706593742749,0.8461193488673874,0.7756818784608125,0.05132450331125828,0.011525716179681718,0.040677697012997845,0.7166576029120115,0.951340074807716,0.959921068644669,0.9920807599279304,0.9396230385739912,0.9112717165470035,0.6069515599232689,0.5304850244855974,0.46951497551440263,0.964526154416826,0.6315850561353628,0.10594795539033457,0.010567450490568559,0.04885782219667881,0.7837101611277528,0.9385360508863557,0.9528745297585614,0.989994251865979,0.946007089294862,0.9005942708580472,0.6959057721562262,0.42298610177714757,0.5770138982228524,0.9337068536395041,0.7132513811725436,0.09090909090909091,0.011457835900877667,0.05154834098742216,0.7777263888342519,0.9254368959536106,0.9528745297585614,0.9870870808382551,0.9252732169399974,0.8605155411099341,0.4605663650407734,0.659468343628581,0.34053165637141897,0.9678980914455045,0.5038099154021842,0.1933534743202417,0.017521929403902122,0.059710554683677024,0.7065522252016181,0.8438194706699824,0.9479562471461644,0.012890591811709004,0.9901511379298711
9,0.9625572979493365,0.7451844759107802,626,0.03020506634499397,0.7284345047923323,20099,0.969794933655006,0.9698492462311558,0.9975708345242683,0.9545203599133838,0.9607201309328968,0.6540912505462303,0.49414524995087916,0.505854750049121,1.0,0.6718506549620672,0.07849293563579278,0.009557399372059829,0.03732202230391703,0.7439206457186871,0.9659788972239467,0.9614145456515957,0.9914603967812533,0.9210702440769584,0.8357923264921723,0.7983767519418341,0.2292173911517071,0.7707826088482929,0.8461193488673874,0.8066958865439181,0.047697368421052634,0.010882274596417305,0.040847405749269844,0.73358713003183,0.951483662372712,0.9597682878679458,0.9916708693173045,0.9428434185638308,0.9213041504875532,0.6554998248589573,0.4793360569735299,0.5206639430264701,0.9645261544168261,0.6762689726727001,0.0962962962962963,0.009244977253092201,0.04904404771445204,0.8114964468895592,0.938416661549472,0.9527242475018011,0.9893102899218962,0.9508480345879453,0.911872792504133,0.7690735425653086,0.328276150989209,0.671723849010791,0.9337068536395042,0.7813394381197432,0.07975460122699386,0.00951469393402999,0.05187222159890578,0.8165743891287144,0.9251811601130046,0.9527242475018011,0.984965760484437,0.9280124071281217,0.8272022107548542,0.3800143214249875,0.7235463983326936,0.27645360166730637,0.9645261544168261,0.4297358244299526,0.21904761904761905,0.02146176918022496,0.055309263558292465,0.6119679091802477,0.8485633524761281,0.9527242475018011,0.012912377214875918,0.9892232902008652
