metric,mean,std,ci_lower_2.5,ci_upper_97.5
harrell_c_index,0.9539616004791023,0.02415215558795027,0.8986200457927397,0.9810922296826714
uno_c_index,0.7901135160596471,0.10491067999242666,0.5397660645345621,0.9538714415347309
event_event_pairs,982.585,1055.0132158701429,21.0,3980.999999999998
event_event_fraction,0.0332691430956659,0.016507204007247783,0.006830620830063865,0.07042418761165833
event_event_c_index,0.7122223262260488,0.0821973340374008,0.554157824933687,0.8434358949743196
event_censored_pairs,21692.557,13154.244353335476,2895.9750000000004,52538.42499999999
event_censored_fraction,0.966730856904334,0.016507204007247783,0.9295758123883416,0.9931693791699362
event_censored_c_index,0.9626195656168822,0.027226104254984246,0.901127161874292,0.9935422111705083
12h_auc,0.995857246383048,0.004627051196962716,0.9815844420219416,0.9999031409297046
12h_average_precision,0.8478162337501104,0.22429712660447454,0.185572511090092,0.9986708799731343
12h_tss,0.9532592843944562,0.07026546012477775,0.9368578677176266,0.9750426338162863
12h_hss2,0.5712061648530878,0.20520234926379724,0.0968268064213991,0.8272806001083032
12h_far,0.5551209342992871,0.19423691017868025,0.26663215197941453,0.9473990880553834
12h_precision,0.4448790657007129,0.19423691017868025,0.05260091194461648,0.7333678480205855
12h_recall,0.995,0.07056897321046965,1.0,1.0
12h_f1,0.5879127009813513,0.20960406405724336,0.0999446436634766,0.8461768186669032
12h_alert_fraction,0.08244398236985433,0.03154945050750555,0.03350083752093802,0.1532036270438332
12h_brier,0.009441071851818169,0.003761690417505039,0.002620928803432143,0.017228032158658677
12h_km_reference_brier,0.03816751066559525,0.02352175648536582,0.005335028586453257,0.09286271927726691
12h_bss,0.6759030035325033,0.1713428155905162,0.2624538513735167,0.8787339574075254
12h_predicted_survival_mean,0.9636795493983139,0.01908624426476481,0.9177449118328264,0.9896718309660304
12h_observed_survival_km,0.9602451009677223,0.027230912435443337,0.8973160331804284,0.9983310330198295
24h_auc,0.9858845728161174,0.017585492884946336,0.9327343451153353,1.0
24h_average_precision,0.813359510550439,0.23608931854984364,0.1096690811759406,1.0
24h_tss,0.7722690428034342,0.2634077871226675,-0.00905838199321396,0.9927670533551812
24h_hss2,0.6623271538997421,0.26503088400051766,-0.006576749602770786,0.9457043890279071
24h_far,0.3941003210739159,0.2663962483651003,0.059622911218776546,1.0
24h_precision,0.6048996789260841,0.26679200046332086,0.0,0.9403770887812234
24h_recall,0.7884304570428317,0.2639832892913144,0.0,1.0
24h_f1,0.6716468057644145,0.2657618500341247,0.0,0.9507012176856913
24h_alert_fraction,0.05719800273812807,0.0318025986117507,0.007363808645255738,0.12939232650522356
24h_brier,0.011122622202955615,0.004102513670271188,0.004026431010547271,0.02000223865449801
24h_km_reference_brier,0.04140702682609979,0.02216932777129863,0.010395757137368115,0.0924697705105183
24h_bss,0.6546217874760164,0.20067320883988163,0.19364017454309557,0.9035582945443017
24h_predicted_survival_mean,0.9488965775071603,0.021903329365448542,0.897903040180754,0.9803725392441266
24h_observed_survival_km,0.958574132480577,0.027306870338102297,0.8957359760504001,0.9967698854691943
48h_auc,0.9860265907689069,0.018569438383781223,0.9421059407684157,0.99984129990599
48h_average_precision,0.8531491707193759,0.17780292741992118,0.38063207814574407,0.9978431295979143
48h_tss,0.8940190514473325,0.10492307355737328,0.6745653313710758,0.9650924024640657
48h_hss2,0.5841980961994726,0.1787535954088627,0.15760086039139967,0.8232233493194778
48h_far,0.535079242253265,0.1755651873580001,0.25551710626065405,0.9058998014699777
48h_precision,0.46492075774673497,0.1755651873580001,0.09410019853002216,0.744482893739346
