horizon_hours,threshold_source,target_validation_alert_fraction,achieved_validation_alert_fraction,threshold,tp_ipcw,tn_ipcw,fp_ipcw,fn_ipcw,tss,hss2,far,precision,recall,f1,alert_fraction,known_count,auc,average_precision
12.0,primary_tss,,0.12005277044854881,0.03245377540588379,25.795184516345923,638.4556872514454,18.553413133802685,1.0458552793658857,0.9327960147806404,0.7105336653188664,0.41835399802637313,0.5816460019736269,0.9610352174384477,0.7246893070908842,0.06687898089171974,628,0.9894206353117689,0.8628590750943154
12.0,validation_alert_load,0.01,0.010554089709762533,0.6248046666383739,10.253618670164409,657.0091003852481,0.0,16.5874211255474,0.3820127218693872,0.5429172058858852,0.0,1.0,0.38201272186938723,0.5528353188422978,0.01592356687898089,628,0.9894206353117689,0.8628590750943154
12.0,validation_alert_load,0.025,0.025065963060686015,0.510866755247116,15.419026818013082,654.8263458989184,2.1827544863297277,11.422012977698728,0.5711348757351593,0.6840588812087492,0.1240075904017275,0.8759924095982726,0.5744571348713721,0.693881551006857,0.027070063694267517,628,0.9894206353117689,0.8628590750943154
12.0,validation_alert_load,0.05,0.05013192612137203,0.38259479999542223,18.492284717569067,652.6435914125885,4.365508972659455,8.34875507814274,0.6823110832361066,0.734591457085724,0.19098557944048933,0.8090144205595107,0.6889556015085317,0.7441737932460923,0.03503184713375796,628,0.9894206353117689,0.8628590750943154
12.0,validation_alert_load,0.1,0.10026385224274406,0.1285779058933265,22.66846215119588,646.0953279535994,10.913772431648638,4.172577644515931,0.8279335626301805,0.738932111605495,0.32498648667125735,0.6750135133287426,0.8445448583112436,0.7503222023082122,0.050955414012738856,628,0.9894206353117689,0.8628590750943154
12.0,validation_alert_load,0.2,0.20052770448548812,0.023460495471954345,25.795184516345923,586.0695795795318,70.93952080571614,1.0458552793658857,0.8530617955115374,0.3793406007740981,0.7333409511047234,0.2666590488952766,0.9610352174384477,0.41747973264109095,0.14331210191082802,628,0.9894206353117689,0.8628590750943154
24.0,primary_tss,,0.15699208443271767,0.04421812295913696,25.795184516345923,616.0973823644331,43.420196471398114,2.2151025349703586,0.8550819504624836,0.501721443050329,0.6273200530253026,0.37267994697469736,0.9209182493948678,0.5306249889891779,0.10526315789473684,589,0.9806287990268221,0.813526549349104
24.0,validation_alert_load,0.01,0.010554089709762533,0.7782642698287964,3.061218794064694,659.517578835831,0.0,24.94906825725159,0.10928909041368917,0.19054544714625976,0.0,1.0,0.10928909041368924,0.19704347831083754,0.0050933786078098476,589,0.9806287990268221,0.813526549349104
24.0,validation_alert_load,0.025,0.025065963060686015,0.6930584028363225,14.409099043489482,655.9970223651771,3.5205564706539025,13.6011880078268,0.5090836060376343,0.6150601549645689,0.19635382664640683,0.8036461733535931,0.5144216843294491,0.627301569781373,0.028862478777589132,589,0.9806287990268221,0.813526549349104
24.0,validation_alert_load,0.05,0.05013192612137203,0.5654167622327805,19.545025289674406,653.6499847180746,5.867594117756504,8.465261761641873,0.688883459574331,0.7208914106452959,0.2308929285755076,0.7691070714244924,0.6977802567273559,0.7317095450344674,0.04074702886247878,589,0.9806287990268221,0.813526549349104
24.0,validation_alert_load,0.1,0.10026385224274406,0.20967686772346525,21.652632537543145,647.7823906003181,11.735188235513009,6.357654513773138,0.7552307055832879,0.6916568885426361,0.3514811078949861,0.6485188921050138,0.7730242998893375,0.7053192127509823,0.05263157894736842,589,0.9806287990268221,0.813526549349104
24.0,validation_alert_load,0.2,0.20052770448548812,0.03599851131439209,25.795184516345923,576.1977423636888,83.31983647214238,2.2151025349703586,0.794583729821914,0.33298023063535126,0.7635963932127426,0.23640360678725736,0.9209182493948678,0.37622791715236287,0.16298811544991512,589,0.9806287990268221,0.813526549349104
