replicate,harrell_c_index,uno_c_index,event_event_pairs,event_event_fraction,event_event_c_index,event_censored_pairs,event_censored_fraction,event_censored_c_index,12h_auc,12h_average_precision,12h_tss,12h_hss2,12h_far,12h_precision,12h_recall,12h_f1,12h_alert_fraction,12h_brier,12h_km_reference_brier,12h_bss,12h_predicted_survival_mean,12h_observed_survival_km,24h_auc,24h_average_precision,24h_tss,24h_hss2,24h_far,24h_precision,24h_recall,24h_f1,24h_alert_fraction,24h_brier,24h_km_reference_brier,24h_bss,24h_predicted_survival_mean,24h_observed_survival_km,48h_auc,48h_average_precision,48h_tss,48h_hss2,48h_far,48h_precision,48h_recall,48h_f1,48h_alert_fraction,48h_brier,48h_km_reference_brier,48h_bss,48h_predicted_survival_mean,48h_observed_survival_km,72h_auc,72h_average_precision,72h_tss,72h_hss2,72h_far,72h_precision,72h_recall,72h_f1,72h_alert_fraction,72h_brier,72h_km_reference_brier,72h_bss,72h_predicted_survival_mean,72h_observed_survival_km,144h_auc,144h_average_precision,144h_tss,144h_hss2,144h_far,144h_precision,144h_recall,144h_f1,144h_alert_fraction,144h_brier,144h_km_reference_brier,144h_bss,144h_predicted_survival_mean,144h_observed_survival_km,integrated_brier_score,integrated_auc
0,0.9671599045346062,0.8519421677279836,701,0.033460620525059666,0.7004279600570613,20249,0.9665393794749403,0.9763938959948639,0.9903600541019598,0.8300635879997768,0.8956228956228958,0.3966660981257266,0.7237667702748017,0.2762332297251982,1.0,0.4328883205535676,0.14054927302100162,0.014568105704198657,0.03587834523306976,0.5939582606287273,0.9618576169013977,0.9626145151671378,0.9882309243325591,0.8304204419003061,0.8531962389975671,0.3762045239370822,0.7364374102805549,0.2635625897194451,0.9595025453038734,0.413533128270992,0.14310344827586208,0.015098191920635577,0.037842797135887035,0.6010286484262635,0.9503046274185181,0.9626145151671378,0.9893732747947329,0.8463891802670502,0.8008048289738432,0.26276534891953474,0.8111213250765629,0.18887867492343702,1.0,0.3177425567593778,0.24334600760456274,0.014142283218122404,0.04605314287749973,0.6929138309682676,0.93524169921875,0.9554882978283727,0.988284041799291,0.8684613421951942,0.7512972172041699,0.2308224182699049,0.8312193239576159,0.16878067604238414,0.9658989871156745,0.28734997079317276,0.2598752598752599,0.01267992020164836,0.04904112517266521,0.741443122338556,0.9227315783500671,0.9554882978283727,0.9943797975342676,0.978495421510428,0.6363636363636362,0.1638945886882458,0.8597310166504847,0.14026898334951532,1.0,0.2460278853459264,0.42727272727272725,0.015494478575575081,0.0608047070357024,0.7451763304035448,0.8637279272079468,0.9453870983290797,0.014129002154783288,0.9902316839035682
1,0.8602731025722452,0.7344131043695689,72,0.011432200698634487,0.4861111111111111,6226,0.9885677993013655,0.8646000642467073,0.9868637110016418,0.27453906468002354,0.8998357963875205,0.09939699480820513,0.9418809406661548,0.058119059333845244,1.0,0.10985353457376522,0.10603588907014681,0.006857066795789053,0.009235745121344114,0.25755131765793926,0.9817348718643188,0.9938385434960778,0.8869853601427595,0.15783349045011924,0.4372945744443797,0.08425810332013463,0.9430808792786501,0.05691912072134989,0.5394072505007179,0.10297242547332644,0.10782608695652174,0.013290287092601449,0.01719488304221072,0.22707894784885152,0.974892795085907,0.9886352003364125,0.889889335549548,0.26290264924252826,0.4594424382668789,0.06638938812459776,0.9498912739531841,0.05010872604681596,0.6528580761269611,0.09307377356352077,0.20202020202020202,0.014200156727344497,0.02356617706119034,0.3974348622403485,0.9643716216087341,0.984894384127962,0.8640419049848724,0.3029514617824228,0.4344672715292601,0.05577178426256985,0.9558677244043544,0.04413227559564562,0.6528580761269611,0.08267578588216926,0.22747747747747749,0.014208032360068712,0.02722388963078949,0.47810424767518134,0.9536893963813782,0.984894384127962,0.8921302078626692,0.610772533854944,0.38051928516037536,0.04107692359819697,0.9585381979673985,0.04146180203260152,0.7414464374782562,0.07853207785297495,0.3738019169329074,0.021162568012005757,0.0385047551133912,0.45039079070403365,0.8985277414321899,0.9795471314575698,0.015644010087979804,0.8851133463946868
2,0.9615428118991064,0.8632850143094204,2639,0.059699129057798894,0.6445623342175066,41566,0.9403008709422012,0.9816677091853919,0.9909310609281727,0.9228893331956316,0.8971332209106238,0.6030810893097449,0.5187756716275146,0.4812243283724854,1.0,0.6497656285476178,0.18529862174578868,0.026620104936587584,0.07672429930527817,0.6530420586746724,0.9381385445594788,0.9145940009581157,0.9875945311791734,0.905969881957964,0.8446888940398982,0.5723468079031592,0.5372847162991768,0.4627152837008232,0.9491933985444027,0.6221454662294353,0.18699186991869918,0.024621534930754807,0.07623460552272365,0.6770294177830338,0.923536479473114,0.9145940009581157,0.9877347892351878,0.9136572022208503,0.8074534161490683,0.43256784326797093,0.6582189319252123,0.3417810680747877,1.0,0.5094438671208582,0.28440366972477066,0.020576096342313527,0.07932662897708574,0.7406155208201632,0.903403639793396,0.9110950462854255,0.986389775778574,0.9249570354217866,0.7520876578757032,0.39895542887084917,0.6791525221660456,0.3208474778339545,0.9511617319497774,0.4798359011255093,0.2935222672064777,0.017925839046884936,0.08043979664155179,0.7771521088403,0.8896395564079285,0.9110950462854255,0.99164675809301,0.972747953465247,0.6491228070175439,0.279376540748062,0.7498634086475355,0.2501365913524644,1.0,0.4001748178282715,0.47293447293447294,0.01746843502966167,0.08893800893181898,0.8035886429270842,0.8323996067047119,0.9010732822093865,0.019591200802325254,0.9884387530087771
3,0.9501268152537428,0.8660935322211032,2799,0.06282405225237357,0.668453018935334,41754,0.9371759477476265,0.969008957225655,0.9881061896786429,0.8858768082543882,0.8789386401326702,0.527094534190864,0.592849397798047,0.4071506022019529,1.0,0.5786880260930579,0.19207317073170732,0.028368443749364175,0.06825282384355856,0.584362343536333,0.9447254538536072,0.924877964216954,0.9751969816601559,0.8506297301131908,0.813654677731154,0.5327383282731804,0.5722868636819122,0.4277131363180878,0.9223503299050668,0.5844189732670111,0.1828665568369028,0.029418370138837188,0.07074076616420352,0.5841383726244744,0.9278722405433655,0.9215689196222601,0.9813831962816657,0.9184768071536126,0.7588947380690445,0.41025566975174776,0.6671879534621126,0.33281204653788743,0.9662869351943011,0.49509996846589027,0.2971014492753623,0.020874665152661894,0.08465109836839071,0.7534034932208673,0.9075554013252258,0.9042267371808859,0.9775898521653454,0.9197872368316911,0.726199368075974,0.3873718085775262,0.6829519688639559,0.3170480311360441,0.9361316479856804,0.47367301085828,0.3031496062992126,0.018090250998310072,0.08583233752754309,0.789237349006078,0.8912819623947144,0.9042267371808859,0.979910373794213,0.9516599727146828,0.5959598161634367,0.2533236755414002,0.7623766436433869,0.23762335635661316,0.9678896407248403,0.38156898443840326,0.48579545454545453,0.020741532133446608,0.09027381776624768,0.7702375655901237,0.827305793762207,0.8993308822940256,0.021331518889258345,0.9790641354488097
4,0.9619320507572656,0.8763548000874473,1203,0.0410356119525174,0.6691604322527016,28113,0.9589643880474826,0.9744602141358091,0.9910652771405111,0.8939298488424993,0.8955223880597014,0.4902873225370246,0.6373564862114164,0.3626435137885837,1.0,0.5322646900953854,0.15756630265210608,0.018721803933058594,0.05162384522357485,0.63734193274489,0.953000009059906,0.9445935139357048,0.9811920313676323,0.8528613983220565,0.8134300857300423,0.4562260710181394,0.655348825553243,0.34465117444675697,0.9190638885469437,0.5013099200209287,0.15815485996705106,0.02012962112742888,0.05412064967906365,0.6280602460096494,0.9417062997817993,0.9429450086757821,0.9790105200623264,0.858287226052421,0.7678109341006745,0.30818892123745795,0.7676446045608522,0.23235539543914793,0.972582305870058,0.37509780967433504,0.26286764705882354,0.01981653641998228,0.05862752674052353,0.6619926249373056,0.9250868558883667,0.9396070245372145,0.9742139761503781,0.866762981009554,0.6998201111945417,0.2675420187437348,0.7924802426608107,0.2075197573391893,0.9235337577269802,0.3388902447941916,0.2827868852459016,0.01794926143830661,0.06074845752125419,0.7045314042413889,0.9125738143920898,0.9396070245372145,0.9798737112422375,0.9436354253836402,0.5923542435651734,0.1924295894696457,0.8237094761596685,0.17629052384033142,0.9764122145796662,0.2986584746528632,0.4672897196261682,0.019055459841260145,0.06996583058158508,0.727646199825497,0.8522776961326599,0.9292661059798171,0.018922893797694913,0.9783471603704165
5,0.9559783164569909,0.8687506255782861,3098,0.06337322287000102,0.6623628147191737,45787,0.936626777129999,0.975844672068491,0.9897792402561613,0.911776993719867,0.8954983922829582,0.5957317878330776,0.5262645343744945,0.4737354656255056,1.0,0.6429043429777751,0.18567251461988304,0.028583952222325446,0.07875137784975263,0.6370355287388126,0.9362228512763977,0.9143082923838785,0.9824220158877662,0.8832818951907513,0.8194353381478727,0.5400249567661569,0.5642448167857299,0.43575518321427004,0.9337698091376337,0.594213375488617,0.1941448382126348,0.02849418343055047,0.0796492878291112,0.642254385353888,0.920466423034668,0.9127586173120414,0.9826103485909408,0.8966314118163057,0.7936451252811056,0.44039947389147066,0.6478364983257687,0.35216350167423116,0.9832658837641395,0.5185902908516867,0.2834507042253521,0.024560805020593903,0.08504409538303304,0.7111991736760366,0.9001108407974243,0.9063084216917269,0.9805381405515972,0.9114021430397932,0.7303077540301892,0.3906865060281043,0.6808549140821863,0.31914508591781354,0.9383614453053569,0.4762972384606948,0.3035019455252918,0.020837016572948435,0.08602193503776327,0.7577708922288127,0.885577917098999,0.9063084216917269,0.98514251553744,0.9597413639316382,0.6127610563982548,0.2639629086766201,0.754599256388055,0.24540074361194492,0.9847747082753879,0.39289427427649476,0.49175824175824173,0.020198923410811413,0.0941294172875565,0.7854132746928029,0.8275811672210693,0.8967082484156682,0.02273633616567311,0.9828475863600292
6,0.9741028677341297,0.916716775515149,589,0.030324872573752767,0.7147707979626485,18834,0.9696751274262473,0.9822130190081767,0.9895058836207524,0.8129117210886516,0.8768472906403941,0.3108779312041542,0.7901036470123193,0.20989635298768078,1.0,0.3469658412794934,0.1523809523809524,0.013196078715791995,0.031018956362923275,0.5745801837625598,0.9645302295684814,0.9686173384408484,0.9862049377049349,0.7918320429495764,0.8380679976804961,0.3134415938408636,0.7865590422729998,0.2134409577270003,0.9519033742128954,0.3486955096222025,0.14358108108108109,0.014626473516877476,0.033397143278111725,0.5620441726085126,0.9538067579269409,0.9686173384408484,0.9881314750628745,0.8222232715269886,0.780439121756487,0.22831896234124008,0.8348732574994292,0.16512674250057086,1.0,0.28344854937614644,0.25946969696969696,0.014452406442326326,0.044401191811377055,0.6745040875541737,0.9394642114639282,0.9582111537732613,0.985931023406796,0.8264386502686402,0.7272593569910013,0.20098622264969487,0.8510704452425126,0.1489295547574873,0.9638664998481442,0.2579955384887026,0.27789473684210525,0.013152880933946374,0.04724026260931024,0.7215747710226706,0.9260758757591248,0.9582111537732613,0.9939087672158551,0.9771418563796582,0.6609589041095889,0.17509824615029088,0.8548330173592353,0.14516698264076466,1.0,0.2535298080390135,0.4024767801857585,0.0152088012974817,0.058938593603195706,0.7419551372420758,0.8670419454574585,0.9480383017503522,0.014152771831463223,0.9887066994334797
7,0.9502911236978651,0.7806456368144247,1022,0.04048005703647958,0.6898238747553816,24225,0.9595199429635204,0.9612796697626419,0.9908340408203611,0.8583319458321877,0.8901639344262295,0.4262694578594906,0.6957126846232893,0.3042873153767108,1.0,0.4665955296649113,0.15288611544461778,0.0179404792846083,0.043159794213506714,0.5843242626260279,0.9591259956359863,0.9546552952099255,0.9811258289926084,0.8305813337184359,0.8262297568637056,0.41796960714954634,0.694752099753462,0.30524790024653803,0.9331816285214595,0.46002089911114097,0.15177065767284992,0.019213063489951245,0.04602302308617465,0.5825336494307158,0.9456380605697632,0.9529804613586801,0.9813888603681588,0.8554737930334735,0.771829192982616,0.30337226087745367,0.77373192635848,0.2262680736415201,0.9693343904878133,0.3668935650946078,0.2514506769825919,0.015754583999824667,0.05343762532646017,0.7051780668849514,0.9301732182502747,0.9456767497035746,0.9808086421541118,0.9064383632321033,0.7442038077672453,0.28957676926910114,0.7826836306557173,0.21731636934428275,0.9419049571925325,0.35315320875950523,0.25477707006369427,0.0120085647413583,0.055853208659275067,0.7849977641461044,0.9162400364875793,0.9456767497035746,0.982810174373093,0.9526446935777031,0.6005635500218496,0.1770642448049499,0.8420434292968658,0.15795657070313418,0.9718870794336143,0.27174724601839867,0.44516129032258067,0.01563333530590787,0.062151169430176297,0.7484627328940103,0.8589867353439331,0.940494146822436,0.014930297069094288,0.9819589614882852
8,0.9606174733807598,0.8578092753079355,699,0.03250104617101409,0.6738197424892703,20808,0.9674989538289859,0.9702518262206844,0.9919741720305907,0.8582561811977548,0.9056291390728477,0.42863396053112063,0.6987973236579136,0.30120267634208653,1.0,0.46296043163517175,0.13174603174603175,0.015265492249534829,0.037172448488034915,0.5893331520938554,0.9644173979759216,0.9615761049699184,0.9831871446515255,0.826376109181166,0.834185976844954,0.4240580426321573,0.6948517874163234,0.30514821258367664,0.9208410894966005,0.4583939061404531,0.12417218543046357,0.01646528173818337,0.040677697012997845,0.5952258129824268,0.9536176919937134,0.959921068644669,0.9838809426998483,0.8675916960650867,0.8146247737462147,0.333597437564889,0.7607849894816857,0.23921501051831426,0.964526154416826,0.38335340004168145,0.1970260223048327,0.013025076493878908,0.04885782219667881,0.7334085739342613,0.9400083422660828,0.9528745297585614,0.9800464854989526,0.8854657065362223,0.7694404952154497,0.29884788713643456,0.7835480771830531,0.21645192281694686,0.9327959036039707,0.35136976079326865,0.2128099173553719,0.011707654440168887,0.05154834098742216,0.7728800924354566,0.9274110198020935,0.9528745297585614,0.9827581658786764,0.944634012669436,0.6356833263448334,0.17096307743959627,0.856965257922767,0.14303474207723302,0.9678980914455045,0.2492374870728318,0.3957703927492447,0.015263961260985342,0.059710554683677024,0.7443674515862766,0.8691458106040955,0.9479562471461644,0.01372757484213017,0.9824536480021926
9,0.9561881785283474,0.8037797425012136,626,0.03020506634499397,0.6693290734824281,20099,0.969794933655006,0.9651226429175581,0.9931913351024801,0.9041344538789157,0.8821603927986907,0.3665956158269497,0.7455830774858527,0.2544169225141473,1.0,0.4056337537351391,0.15384615384615385,0.014339475367336929,0.03732202230391703,0.6157905043148755,0.9653304815292358,0.9614145456515957,0.9818429686160176,0.8578507286837164,0.8106861841609723,0.3604736060146078,0.7445514703030974,0.25544852969690257,0.9208410894966005,0.39994827559165064,0.14638157894736842,0.014875339771923585,0.040847405749269844,0.6358314683867167,0.9546594619750977,0.9597682878679458,0.983247128690283,0.914993531605131,0.764133227108378,0.25978574184679915,0.8101872726238994,0.1898127273761006,0.9645261544168261,0.3172020675784215,0.24444444444444444,0.010815424402663403,0.04904404771445204,0.7794752899345955,0.9395935535430908,0.9527242475018011,0.9789962491502029,0.9392728473152082,0.7188221044773331,0.23210770651619575,0.8274078364879408,0.1725921635120592,0.9327959036039707,0.29128822339873595,0.25971370143149286,0.00890926082412472,0.05187222159890578,0.8282460139645791,0.9269892573356628,0.9527242475018011,0.9769212887010132,0.9385228696103358,0.5701599572337275,0.1292638169243239,0.8825765503361824,0.1174234496638176,0.9645261544168261,0.20935908274366907,0.4507936507936508,0.01640160277765251,0.055309263558292465,0.7034564967518279,0.8677437901496887,0.9527242475018011,0.012359586161485187,0.9802366582326985
