metric,mean,std,ci_lower_2.5,ci_upper_97.5
harrell_c_index,0.951123276301167,0.024912725231350085,0.8899588134505388,0.9774375897977376
uno_c_index,0.8474886457321729,0.06929777508387096,0.684040845187449,0.9537829904374243
event_event_pairs,982.585,1055.0132158701429,21.0,3980.999999999998
event_event_fraction,0.0332691430956659,0.016507204007247783,0.006830620830063865,0.07042418761165833
event_event_c_index,0.6671720464845583,0.08047491022901712,0.48875,0.801074850001657
event_censored_pairs,21692.557,13154.244353335476,2895.9750000000004,52538.42499999999
event_censored_fraction,0.966730856904334,0.016507204007247783,0.9295758123883416,0.9931693791699362
event_censored_c_index,0.9610918771074457,0.027309090107762026,0.8932617528307821,0.9880582086149726
12h_auc,0.9909589937315029,0.004151487145090008,0.9799615859207932,0.9966692725812843
12h_average_precision,0.7429292671520974,0.2465293012720166,0.15694024585887087,0.9583776640987407
12h_tss,0.8940547947475882,0.07099120129294684,0.8702018225949052,0.9244998060773667
12h_hss2,0.3708303682903361,0.1740591774393006,0.03857405727261205,0.6467784595036066
12h_far,0.7313915128466872,0.14445615356066485,0.4663353641989655,0.9788138945406744
12h_precision,0.2686084871533128,0.14445615356066485,0.02118610545932565,0.5336646358010345
12h_recall,0.995,0.07056897321046965,1.0,1.0
12h_f1,0.4024136703639276,0.18637364402661177,0.04149313290908674,0.6959339380473607
12h_alert_fraction,0.1391287747392509,0.031244898828812945,0.08604873719401021,0.20505677499967792
12h_brier,0.015096474725092582,0.007524143662450188,0.003202162031268137,0.03194137083968342
12h_km_reference_brier,0.03816751066559525,0.02352175648536582,0.005335028586453257,0.09286271927726691
12h_bss,0.5490513195133295,0.14807431585170414,0.12369683157564458,0.6901013139330542
12h_predicted_survival_mean,0.9627850648760795,0.014243875169204456,0.9301540240645408,0.9835059881210327
12h_observed_survival_km,0.9602451009677223,0.027230912435443337,0.8973160331804284,0.9983310330198295
24h_auc,0.97548354644612,0.022293588854286023,0.906810808152386,0.9961838694088865
24h_average_precision,0.728698446046689,0.23978789758284394,0.13063862138393603,0.9382054217440902
24h_tss,0.8038198287818489,0.1145105545872423,0.48080458886571903,0.9185840707964603
24h_hss2,0.36537392232370774,0.16848026782359005,0.0401396864789689,0.639119167714708
24h_far,0.728651967721878,0.14349333119146307,0.45871437165385714,0.9777317914837229
24h_precision,0.27134803227812193,0.14349333119146307,0.022268208516277158,0.5412856283461429
24h_recall,0.8993820534943077,0.11493076443467266,0.5714886518187682,1.0
24h_f1,0.39836991086642104,0.18029096299654676,0.04325985056577108,0.6876691872846875
24h_alert_fraction,0.13451456832321257,0.03154979890551352,0.07985312005251574,0.19970046082949308
24h_brier,0.01634954347058181,0.006712150146674257,0.004858242731993449,0.030767173110130726
24h_km_reference_brier,0.04140702682609979,0.02216932777129863,0.010395757137368115,0.0924697705105183
24h_bss,0.5525340144594975,0.1710103672506641,0.10519152073163819,0.7460239213797587
24h_predicted_survival_mean,0.951491256058216,0.016833596802011793,0.9138078093528748,0.9775470420718193
24h_observed_survival_km,0.958574132480577,0.027306870338102297,0.8957359760504001,0.9967698854691943
48h_auc,0.9771098594182225,0.023171801142125182,0.9241711753470272,0.9976081736858733
48h_average_precision,0.7897809006399725,0.19397331436116952,0.21959982736747563,0.9685001429472836
48h_tss,0.7611160969220714,0.10552776704125524,0.531803936762363,0.8495985145036635
48h_hss2,0.2756531990961887,0.1235233742273191,0.04817286937448175,0.5010834897060428
48h_far,0.7939183811250357,0.10236990630000131,0.5888331712938902,0.9701199394354233
48h_precision,0.20608161887496437,0.10236990630000131,0.02988006056457678,0.41116682870610977
48h_recall,0.9432256303500843,0.10457887268554975,0.7047189956736764,1.0
48h_f1,0.327763387043556,0.14174573489626213,0.05802628681112846,0.5804574625626783
48h_alert_fraction,0.2301443898332352,0.0355358492147577,0.16596618735701174,0.3027288188002474
48h_brier,0.014169004181976823,0.0053604193993784886,0.00479553838650646,0.025071974233745974
48h_km_reference_brier,0.04916841778689299,0.02145235391986366,0.01631175849584763,0.09835250128669053
48h_bss,0.6844941352206927,0.12755372407953436,0.3377529451241626,0.8447794792069692
48h_predicted_survival_mean,0.9372832925915718,0.02006764520114032,0.8924915939569473,0.9681911483407021
48h_observed_survival_km,0.9514009484461325,0.027910702087208583,0.8873209779636846,0.9945949619489198
72h_auc,0.9736370548134896,0.02868649896733645,0.906966648267985,1.0
72h_average_precision,0.8401319596937465,0.17079878930149175,0.2664184072218144,1.0
72h_tss,0.7294225223179841,0.10079592708722986,0.532705082069555,0.8372106735410267
72h_hss2,0.2554540104424506,0.11356237482180304,0.045127924123669706,0.4622396517900465
72h_far,0.8067529141226104,0.09580099907338065,0.6150326793273857,0.9718391829634802
72h_precision,0.19324708587738965,0.09580099907338065,0.028160817036519868,0.38496732067261424
72h_recall,0.9191338371293575,0.09891574688805137,0.7047189956736764,1.0
72h_f1,0.30917087546145394,0.13313731647236518,0.0547790123293905,0.545428825071694
72h_alert_fraction,0.24006195839667213,0.03688082509145198,0.17440337763012181,0.3167030007187823
72h_brier,0.012105312654918592,0.0052044957003484806,0.002963131473055336,0.02326853156622514
72h_km_reference_brier,0.05171206045959408,0.020501314886340542,0.020454559090193232,0.09868085088855462
72h_bss,0.7514237988869549,0.1102061297517499,0.4685908858493089,0.9013903333501087
72h_predicted_survival_mean,0.9245342838764191,0.021243000263525342,0.8776907756924629,0.9576139569282531
72h_observed_survival_km,0.9514009484461325,0.027910702087208583,0.8873209779636846,0.9945949619489198
144h_auc,0.9786309749052373,0.02435066056654309,0.9207518330240297,1.0
144h_average_precision,0.9321117027913809,0.08629946398179456,0.7387659849000205,1.0
144h_tss,0.6141534788200993,0.07601416551706155,0.43522721740284265,0.7031123302105046
144h_hss2,0.16819876897942213,0.07771194391105622,0.03154072251277676,0.3221421161844777
144h_far,0.8543218580948613,0.07077262492656765,0.7084738494354593,0.9734924507155136
144h_precision,0.14567814190513875,0.07077262492656766,0.02650754928448635,0.2915261505645407
144h_recall,0.9560794888534287,0.06968325117408701,0.7929521966494149,1.0
144h_f1,0.24672925640369128,0.10676422111187431,0.051098088219514046,0.44987958833236125
144h_alert_fraction,0.4080101123590135,0.04629515630119666,0.32668710011795404,0.4985951008645533
144h_brier,0.015623301898243102,0.003648332300899501,0.009454033739656063,0.02384307552454484
144h_km_reference_brier,0.05930299485004848,0.019100435104086502,0.02921321148391996,0.10214505837588207
144h_bss,0.7185213796674995,0.0841073262882033,0.5224210581144038,0.8323648718497517
144h_predicted_survival_mean,0.8671619755625725,0.022479177490905562,0.8176248103380204,0.903303699195385
144h_observed_survival_km,0.9459869873201335,0.02826354273172288,0.8825468681879187,0.9911078252259921
integrated_brier_score,0.014154701567888757,0.0047953770925884594,0.005974947970084981,0.02420244824356788
integrated_auc,0.9766461784050439,0.023643984496595567,0.9194955005005386,0.9985564981456099
