replicate,harrell_c_index,uno_c_index,event_event_pairs,event_event_fraction,event_event_c_index,event_censored_pairs,event_censored_fraction,event_censored_c_index,12h_auc,12h_average_precision,12h_tss,12h_hss2,12h_far,12h_precision,12h_recall,12h_f1,12h_alert_fraction,12h_brier,12h_km_reference_brier,12h_bss,12h_predicted_survival_mean,12h_observed_survival_km,24h_auc,24h_average_precision,24h_tss,24h_hss2,24h_far,24h_precision,24h_recall,24h_f1,24h_alert_fraction,24h_brier,24h_km_reference_brier,24h_bss,24h_predicted_survival_mean,24h_observed_survival_km,48h_auc,48h_average_precision,48h_tss,48h_hss2,48h_far,48h_precision,48h_recall,48h_f1,48h_alert_fraction,48h_brier,48h_km_reference_brier,48h_bss,48h_predicted_survival_mean,48h_observed_survival_km,72h_auc,72h_average_precision,72h_tss,72h_hss2,72h_far,72h_precision,72h_recall,72h_f1,72h_alert_fraction,72h_brier,72h_km_reference_brier,72h_bss,72h_predicted_survival_mean,72h_observed_survival_km,144h_auc,144h_average_precision,144h_tss,144h_hss2,144h_far,144h_precision,144h_recall,144h_f1,144h_alert_fraction,144h_brier,144h_km_reference_brier,144h_bss,144h_predicted_survival_mean,144h_observed_survival_km,integrated_brier_score,integrated_auc
0,0.9445541254294652,0.8630420977893796,2178,0.05584329008768781,0.7534435261707989,36824,0.9441567099123122,0.9558575928742125,0.9686635831595555,0.8869378645661982,0.8847370922103872,0.6862729850444352,0.4244528459159459,0.5755471540840541,0.9341604859500907,0.7122616258790234,0.11179173047473201,0.021356298801919454,0.06050932701710185,0.6470577371339217,0.9235537560064283,0.93389187327543,0.9748170609290456,0.896675746655522,0.9041391939931369,0.7799066398407023,0.30504803717093915,0.6949519628290609,0.9333488159862641,0.7966987427786515,0.09697933227344992,0.01776419548245104,0.06254637397251168,0.7159836077746382,0.9107605893735946,0.9322954769108566,0.9793341940444492,0.9144784571887059,0.9519827006536361,0.8374649809509038,0.24602247815930667,0.7539775218406933,0.9799268124300833,0.8522301663569197,0.1223021582733813,0.01975669697724726,0.07403164712847966,0.7331317383367127,0.8994910572173128,0.9192464844374502,0.9923875627088343,0.9389951668324112,0.8588505792462269,0.5277263576911844,0.5872675016520535,0.41273249834794634,0.9799268124300833,0.5808278282596726,0.2155688622754491,0.015148843572529422,0.07547173068264643,0.7992779092846128,0.8835119633788239,0.9192464844374502,0.95193040302173,0.9432172084427689,0.8214889304889259,0.5777627615073494,0.521212226818952,0.4787877731810481,0.9322032162032116,0.6326440145913604,0.25663716814159293,0.014595754837456006,0.08364791045776442,0.825509630096191,0.8248182871369197,0.9093374814756787,0.01647458867105605,0.9755061119057066
1,0.9081180412928332,0.7965474865247405,195,0.021078802291644147,0.6051282051282051,9056,0.9789211977083558,0.9146422261484098,0.8066853150951359,0.11559665321583816,0.5726917174161943,0.17672628955443018,0.8892141452068026,0.1107858547931974,0.6111532558777327,0.18757021156295872,0.04292527821939587,0.008590915122443577,0.010796728318104248,0.2043038530442508,0.9664148821375089,0.9922111509301407,0.8414759942446537,0.16529449986275987,0.4775574400760152,0.23839851272454818,0.8342854443678177,0.16571455563218226,0.5013669638855389,0.24909640335716515,0.02861952861952862,0.012596435351155108,0.015934653765508136,0.20949425469029492,0.9592934494792354,0.9905322826544551,0.9353109828719302,0.4703125402220939,0.9093534884146257,0.684631812738354,0.4456430905191944,0.5543569094808056,0.9272106312717686,0.6938672802300612,0.04247104247104247,0.017182481193807782,0.03057319368844123,0.4379886717459962,0.9518115484928686,0.9768195680207294,0.9880638576738443,0.9242444649623709,0.8438772979384352,0.31234163670062987,0.7932724399203855,0.20672756007961446,0.9272106312717686,0.33807837666046875,0.10851063829787234,0.008866962888741624,0.03425360864080629,0.7411378467675251,0.9368794105354659,0.9768195680207294,0.9919409824201636,0.9250921653718378,0.8540398995644516,0.36771619252428284,0.7505060200307923,0.24949397996920783,0.9272106312717686,0.3931886872131592,0.11295681063122924,0.010714107592262047,0.03941921541376864,0.7282008918797571,0.8797569208383761,0.9768195680207294,0.011378658846120243,0.9512960902376615
2,0.9458069361896676,0.8879420159274488,4923,0.08038338449480766,0.6993703026609791,56321,0.9196166155051924,0.9673478808970011,0.969875566192749,0.9357866411049174,0.8961277857889249,0.7746680452288764,0.30212245565877216,0.6978775443412278,0.9491192387803778,0.8043355159342284,0.16090225563909774,0.024312430519717567,0.09752373743422937,0.7507024324604661,0.8851655740760702,0.889428561957641,0.9820398593552009,0.9379134516558185,0.9227484345033625,0.8679722233040181,0.17179547246240665,0.8282045275375933,0.9484365078978579,0.8842522425813788,0.14536741214057508,0.02039531026495477,0.09693001164658159,0.7895872504450065,0.8688959412270313,0.8878143540412025,0.9848066396993538,0.9528797772451614,0.9472029386191494,0.8477261748024768,0.2244947788696251,0.7755052211303749,0.9867862719524828,0.8684805085227161,0.18230088495575222,0.018364670530646818,0.10142803398305585,0.8189389086086916,0.8582238230972074,0.8809251244074751,0.9941632326634171,0.9676815535481085,0.8666938931995958,0.6297866443783082,0.47248685780952887,0.5275131421904711,0.9867862719524828,0.6875030421677681,0.2625482625482625,0.016281736059095643,0.10164454422991079,0.8398169209921604,0.8456925387193583,0.8809251244074751,0.9518183611645127,0.9498745642522112,0.8134315313936766,0.6308573753215807,0.4457972145772202,0.5542027854227798,0.9388795600675118,0.6969872344114625,0.32972972972972975,0.016815474614316095,0.11083966618779326,0.8482901005329085,0.7922410274095645,0.8665020328875698,0.017731989981628674,0.9781562605159173
3,0.9588218355341643,0.8436461412677417,1011,0.041589534740219675,0.7705242334322453,23298,0.9584104652597804,0.9669928749248863,0.8854780097505014,0.7794713214563999,0.8285317838451245,0.5497601357619122,0.5750887909748695,0.4249112090251305,0.8725057252132027,0.5715008842540457,0.07523510971786834,0.014207579369954797,0.0345242762481181,0.5884756781619935,0.9440715430443852,0.9645276471880797,0.990614437923541,0.8344580322156511,0.8410921126477575,0.6248067576007897,0.49243694311052166,0.5075630568894782,0.8725057252132027,0.6417820311362349,0.06532663316582915,0.015734745244016426,0.036642030708144334,0.5705820627316077,0.9343747490467511,0.9645276471880797,0.9941667445737601,0.8950836747050396,0.9814432989690722,0.8591543519992051,0.2326754556218426,0.7673245443781573,1.0,0.8683459377271814,0.08637236084452975,0.016809521508095407,0.05503536195974326,0.6945687116514092,0.9251356307565092,0.943512015642326,0.9973030758465481,0.9436142954786627,0.9053117782909932,0.5222430459201404,0.6096344505622441,0.39036554943775587,1.0,0.5615293756316304,0.16417910447761194,0.011539451835048294,0.057230841261030334,0.7983700469749037,0.9099582215067699,0.943512015642326,0.9655907519087008,0.9614623711449877,0.8569085771659899,0.5272146083771889,0.5911048857578579,0.40889511424214203,0.9621717350607267,0.5738995465148289,0.2138157894736842,0.011275665558142942,0.06303197712846594,0.8211119804292046,0.8517208012028467,0.9384231901795448,0.013119068598346804,0.9820889736382162
4,0.9652203018500487,0.9057134166154044,1301,0.039587390457643624,0.6356648731744812,31563,0.9604126095423564,0.9788042961695657,0.9882715756743907,0.9535742098241847,0.9018562891255073,0.7649567144490579,0.32541535544236244,0.6745846445576376,0.9354697345036586,0.783890937537773,0.09968847352024922,0.018473355482011455,0.06273187879608336,0.7055188552209466,0.9269065913539553,0.9321384502725588,0.9811563895985923,0.9724789857822433,0.9523139365886175,0.9508769386599895,0.047223217445900405,0.9527767825540996,0.9558917541199233,0.9543317265002101,0.07907742998352553,0.00923317153831527,0.06452485578612256,0.856905196829575,0.9144876012998456,0.9304915625512292,0.982089332929182,0.9779857135518016,0.958178799340996,0.8704176810949636,0.1984208757983815,0.8015791242016185,0.9763974228227775,0.8803938301310567,0.1033210332103321,0.005727954422690863,0.06583819318043639,0.912999519792519,0.9058803394072044,0.9304915625512292,0.9961447985266235,0.9832586170170432,0.8923065137318686,0.5914376475385498,0.5349911424937822,0.46500885750621773,0.9763974228227775,0.629986779237848,0.1721311475409836,0.005577466045066399,0.06762792567981585,0.9175271755121858,0.8937016402414509,0.9304915625512292,0.9968528034575999,0.9849445397000834,0.8648732592540043,0.5475751455796135,0.5695670349064536,0.4304329650935464,0.9763974228227775,0.5974759166778852,0.24290220820189273,0.0095678002017781,0.06920514575746875,0.8617472718674893,0.8397576347788687,0.9304915625512292,0.007777782607223659,0.9913806038702491
5,0.9747913473002896,0.8750442794090619,464,0.026344177596093796,0.7478448275862069,17149,0.9736558224039062,0.9809318327599277,0.986507013450626,0.9263382078481139,0.9213061143431513,0.6370467112603827,0.5031254915541726,0.4968745084458274,0.9574903248694671,0.6542409766972312,0.07120253164556962,0.010942424403652026,0.034991800523266614,0.6872860430152421,0.9462268579822846,0.96389535110494,0.9986241450669914,0.9645861233909941,0.9892086330935252,0.8701966854691071,0.22137797888746996,0.77862202111253,1.0,0.8755339941484601,0.05172413793103448,0.006567370790466022,0.0369756614594126,0.8223866583786503,0.9365799213671914,0.96389535110494,0.9982315045260607,0.9571997897365208,0.9831578947368422,0.8277140086027842,0.28183628419485535,0.7181637158051447,1.0,0.835966571984798,0.06786427145708583,0.00735015737370166,0.04197353621475283,0.8248859153516298,0.9287316266390788,0.960409154922149,0.9999999999999999,1.0,0.8838862559241707,0.38418511665123795,0.730999831962114,0.26900016803788596,1.0,0.4239560794602747,0.16741071428571427,0.003571907361896489,0.04459659846124521,0.9199062824264388,0.9159084903573902,0.960409154922149,1.0,1.0,0.8865248226950353,0.402606266700109,0.7156994801152987,0.28430051988470134,1.0,0.44273207942051535,0.18831168831168832,0.007850135532612483,0.04964145640811083,0.8418633114210996,0.860887828891242,0.960409154922149,0.006169147198213798,0.9988775212161746
6,0.8878497137789244,0.7562093580055499,336,0.02709022010803838,0.625,12067,0.9729097798919616,0.8951686417502279,0.7997336056772175,0.2151347435549393,0.6102340609648582,0.28170345447458534,0.8043253212998316,0.19567467870016836,0.6607226603133926,0.3019315646535337,0.06230031948881789,0.019374423618365385,0.019650667542849425,0.014057737421981908,0.9614315415893031,0.98179609952311,0.9812308008673796,0.34819294568753695,0.8069728548491721,0.5318143908058649,0.5961143468529375,0.4038856531470625,0.829739930155652,0.5433091825737205,0.03945111492281304,0.016393304622412622,0.022677373408956567,0.2771074353814721,0.9473734317253205,0.98179609952311,0.9878084776010396,0.5715566815112759,0.972386587771203,0.6395918782447874,0.5165019083226534,0.48349809167734653,1.0,0.651835138029291,0.05736137667304015,0.01451624842137322,0.03194279623246474,0.5455548626447494,0.9386054826228541,0.9745677522364486,0.9923713645710918,0.661525063400246,0.8941684665226783,0.29215699624212055,0.8086850116331288,0.19131498836687127,1.0,0.3211828781389509,0.13569937369519833,0.011947637707497061,0.0357111661593386,0.6654369209286459,0.926711711427883,0.9745677522364486,0.8797223952766,0.8720993336146876,0.7852534911296816,0.40347645434466406,0.70807775383749,0.29192224616250995,0.8666094233330713,0.4367296571446078,0.13333333333333333,0.013262446390169491,0.04815002304307938,0.7245599160294544,0.8723776277134168,0.9645820082342356,0.013717050507822254,0.9505438730414477
7,0.9552387062061544,0.903110729193332,3093,0.06400678765805103,0.739734885224701,45230,0.935993212341949,0.969975679858501,0.966537200477348,0.9296235256792148,0.8972012892451424,0.730008988336416,0.36961586059428037,0.6303841394057197,0.9484409586666299,0.7573760237738523,0.13102409638554216,0.018271929856192116,0.07510013647248903,0.7566991124858267,0.905097029866927,0.9175403374807273,0.9797394363963419,0.9308057827978024,0.9042871071583785,0.8241049651583116,0.23375367912922385,0.7662463208707762,0.930556809435086,0.8404460350828706,0.11251980982567353,0.017609709916787404,0.07610506579086544,0.7686131700460205,0.8935887551545116,0.9159418351506214,0.984042646195074,0.9477006829016917,0.9459932608626409,0.8224978678419014,0.26384055093145786,0.7361594490685421,0.9836916735610536,0.8421123327870496,0.15034965034965034,0.01801260731292743,0.087041430535356,0.7930570855494987,0.8840789447203803,0.9027461241074203,0.9946354802460415,0.9625164974597478,0.8939761374560207,0.6488037133435838,0.4664815894934331,0.5335184105065669,0.9836916735610536,0.6918193117986784,0.2057142857142857,0.014949026905152818,0.08821220171111618,0.8305333432883923,0.869770734433892,0.9027461241074203,0.9616743266469925,0.9537764988393873,0.8322882604136024,0.6208855005641044,0.47127075365878346,0.5287292463412165,0.9437990517805089,0.6777651227239269,0.2857142857142857,0.014863889681312857,0.09474915203578742,0.8431237709051089,0.813779162553395,0.893113240629093,0.01599668373578926,0.9804116316498618
8,0.9472683610166099,0.8711603484827866,559,0.027966780068040823,0.6958855098389982,19429,0.9720332199319591,0.9545010036543311,0.9534666360231715,0.8700298687556017,0.8117726563822367,0.6164938527057551,0.49103906048191787,0.5089609395180821,0.8451616380182968,0.635325440202074,0.0672,0.013629356508635183,0.03729761809393866,0.6345783670606535,0.9467266855425186,0.9613760099583364,0.9346447581443205,0.8645204761668976,0.8063240326458034,0.8161958867505521,0.16545317587869796,0.8345468241213021,0.813428828382926,0.8238525178987022,0.04568527918781726,0.012769194363480117,0.042052475133250694,0.696350944313773,0.9371023267648757,0.9579908831627084,0.944561439570253,0.9056098074545912,0.9137688536145507,0.8421916283423136,0.21434385968529282,0.7856561403147071,0.9259888128813532,0.8500697476360671,0.06525911708253358,0.010327051182851751,0.0472206914866744,0.7813024151548897,0.9302203424036418,0.9543744855585027,0.9871661659957441,0.9330267359660085,0.8377535187637062,0.45311903949396093,0.6672022301749775,0.3327977698250225,0.9259888128813532,0.489625510858686,0.1419491525423729,0.009033592689459621,0.04997219368634167,0.8192276139374551,0.918025315303437,0.9543744855585027,0.9917225976768343,0.9365323271468315,0.852818081174036,0.5208648678447618,0.6049493278478504,0.3950506721521496,0.9259888128813532,0.5538252369873294,0.15457413249211358,0.01316338748951824,0.05432874313575274,0.7577085953078923,0.8628609059017085,0.9543744855585027,0.011113373217421316,0.9719687083074593
9,0.946449147916793,0.9114138866458764,376,0.022803080841773304,0.7180851063829787,16113,0.9771969191582267,0.9517780673989946,0.9956152394271012,0.9305502040676032,0.8743451197111072,0.616559723105271,0.5141269098994564,0.4858730901005436,0.9060646522653644,0.6325461535065127,0.06129032258064516,0.007761497685237402,0.031121315343273816,0.7506050885180572,0.9472544106610972,0.9684346164353322,0.9232295479486762,0.8668620385867349,0.8104244913782574,0.8051842299279496,0.19324587802836776,0.8067541219716322,0.8176577644343153,0.8121693485991207,0.03993055555555555,0.00963456638254482,0.03614191896824798,0.7334240500342789,0.9419830397423722,0.9650065292975081,0.9334047622661351,0.8816641144911036,0.8920091273286961,0.7589537590949328,0.33299184799658105,0.667008152003419,0.9111580634989089,0.7701975243767023,0.06464646464646465,0.010977314758812279,0.04112813698412871,0.7330947724899767,0.9360694128946455,0.9615005004381437,0.9854220669499425,0.9207409998179389,0.8335110046753795,0.4477891454930055,0.6742108283764077,0.3257891716235924,0.9111580634989089,0.47996458102122364,0.12444444444444444,0.008373657213090835,0.04402362259180911,0.8097917272567021,0.9231530014838991,0.9615005004381437,0.9884545610718644,0.9231543589740566,0.8311580634989091,0.4594156661837876,0.6618252953167506,0.33817470468324934,0.9111580634989089,0.4932722760355519,0.15,0.012258150381907822,0.04849175264559044,0.74721164500903,0.8673506362302136,0.9615005004381437,0.010050573448377027,0.9687739470167452
