metric,mean,std,ci_lower_2.5,ci_upper_97.5
harrell_c_index,0.9198541504326249,0.06318531796833564,0.7427424175294931,0.9810520447454169
uno_c_index,0.8282198152707783,0.07233232849270764,0.693135032902592,0.9447877757897178
event_event_pairs,982.585,1055.0132158701429,21.0,3980.999999999998
event_event_fraction,0.0332691430956659,0.016507204007247783,0.006830620830063865,0.07042418761165833
event_event_c_index,0.6755730836389917,0.0869870847045135,0.4685195292512366,0.7887253392194103
event_censored_pairs,21692.557,13154.244353335476,2895.9750000000004,52538.42499999999
event_censored_fraction,0.966730856904334,0.016507204007247783,0.9295758123883416,0.9931693791699362
event_censored_c_index,0.9282518679215581,0.06558014689604691,0.7462505055222285,0.9929978067149847
12h_auc,0.9025420499454707,0.14191030763749862,0.4739482779579146,0.9977034918671287
12h_average_precision,0.6500061713315425,0.33528482805327997,0.018848464761495154,0.9783934569290833
12h_tss,0.7321484979290906,0.2507326987607346,-0.03785123715222396,0.9550551379150662
12h_hss2,0.49001282974190585,0.2391397642034236,-0.006013380485771571,0.807764801393613
12h_far,0.6033867577757,0.2142575761907314,0.2739800233880556,1.0
12h_precision,0.39661324222429994,0.2142575761907314,0.0,0.7260199766119444
12h_recall,0.7753697912479863,0.251918708202847,0.0,1.0
12h_f1,0.5096845194233502,0.2438622941457921,0.0,0.8300966529932616
12h_alert_fraction,0.0789985462208294,0.03117860079696708,0.03155884909022904,0.1488211697722567
12h_brier,0.015471890733874156,0.006470839554396106,0.00430972945260657,0.028917561863376
12h_km_reference_brier,0.03816751066559525,0.02352175648536582,0.005335028586453257,0.09286271927726691
12h_bss,0.4529260676979335,0.3125106931654533,-0.2006981138846514,0.8385576856533198
12h_predicted_survival_mean,0.9432971035926317,0.020701027463117097,0.8898650066049949,0.9676597045954655
12h_observed_survival_km,0.9602451009677223,0.027230912435443337,0.8973160331804284,0.9983310330198295
24h_auc,0.9408921414853547,0.08048562220814143,0.7091525744514693,0.9989674525131328
24h_average_precision,0.6952642726146803,0.30344775543013003,0.08535902558302097,0.9849496341256652
24h_tss,0.7722690428034342,0.2634077871226675,-0.00905838199321396,0.9927670533551812
24h_hss2,0.6623271538997421,0.26503088400051766,-0.006576749602770786,0.9457043890279071
24h_far,0.3941003210739159,0.2663962483651003,0.059622911218776546,1.0
24h_precision,0.6048996789260841,0.26679200046332086,0.0,0.9403770887812234
24h_recall,0.7884304570428317,0.2639832892913144,0.0,1.0
24h_f1,0.6716468057644145,0.2657618500341247,0.0,0.9507012176856913
24h_alert_fraction,0.05719800273812807,0.0318025986117507,0.007363808645255738,0.12939232650522356
24h_brier,0.013324053783755741,0.00487171114404447,0.005129956264761889,0.02350567785003958
24h_km_reference_brier,0.04140702682609979,0.02216932777129863,0.010395757137368115,0.0924697705105183
24h_bss,0.5787427596276616,0.2612844604624647,-0.07983537712006346,0.8916068940421414
24h_predicted_survival_mean,0.9337227568032315,0.022649973386385962,0.8782599852521511,0.9635397687401318
24h_observed_survival_km,0.958574132480577,0.027306870338102297,0.8957359760504001,0.9967698854691943
48h_auc,0.9564917591343571,0.061261895322207695,0.8022118059046739,0.9997896865686365
48h_average_precision,0.7995398999034519,0.21746646775607778,0.21948194919926844,0.9967684737149227
48h_tss,0.9226227525706381,0.10463605383851152,0.687618200487775,0.9902424912788225
48h_hss2,0.7548603827902379,0.15405003514872403,0.33812591873787906,0.9171553041156512
48h_far,0.34199108501188824,0.17084541832925976,0.13419265088847016,0.7776274463042772
48h_precision,0.6580089149881118,0.17084541832925976,0.2223725536957229,0.8658073491115299
48h_recall,0.9432256303500843,0.10457887268554975,0.7047189956736764,1.0
48h_f1,0.7655116804894978,0.15450381252311138,0.34762959904491453,0.9242480498606815
