replicate,harrell_c_index,uno_c_index,event_event_pairs,event_event_fraction,event_event_c_index,event_censored_pairs,event_censored_fraction,event_censored_c_index,12h_auc,12h_average_precision,12h_tss,12h_hss2,12h_far,12h_precision,12h_recall,12h_f1,12h_alert_fraction,12h_brier,12h_km_reference_brier,12h_bss,12h_predicted_survival_mean,12h_observed_survival_km,24h_auc,24h_average_precision,24h_tss,24h_hss2,24h_far,24h_precision,24h_recall,24h_f1,24h_alert_fraction,24h_brier,24h_km_reference_brier,24h_bss,24h_predicted_survival_mean,24h_observed_survival_km,48h_auc,48h_average_precision,48h_tss,48h_hss2,48h_far,48h_precision,48h_recall,48h_f1,48h_alert_fraction,48h_brier,48h_km_reference_brier,48h_bss,48h_predicted_survival_mean,48h_observed_survival_km,72h_auc,72h_average_precision,72h_tss,72h_hss2,72h_far,72h_precision,72h_recall,72h_f1,72h_alert_fraction,72h_brier,72h_km_reference_brier,72h_bss,72h_predicted_survival_mean,72h_observed_survival_km,144h_auc,144h_average_precision,144h_tss,144h_hss2,144h_far,144h_precision,144h_recall,144h_f1,144h_alert_fraction,144h_brier,144h_km_reference_brier,144h_bss,144h_predicted_survival_mean,144h_observed_survival_km,integrated_brier_score,integrated_auc
0,0.9634011976047904,0.8444048417913403,628,0.030083832335329342,0.7038216560509554,20247,0.9699161676646707,0.9714525608732157,0.9963672101811867,0.9067840142340515,0.8839137645107795,0.37313115480361086,0.740522877627611,0.25947712237238896,1.0,0.412039437260488,0.15262321144674085,0.012918931552462721,0.03721631101900531,0.6528690996303909,0.9645857015017598,0.9615222446038817,0.9794738068587607,0.8426167787493076,0.7982317180661864,0.3513870155646771,0.7488083354053208,0.25119166459467934,0.919660289494758,0.3946032599133653,0.1598639455782313,0.014521446691230275,0.04189230411559513,0.6533624254430919,0.950387747364035,0.9581306317481361,0.9816918112970643,0.8886802460018483,0.7461908330833733,0.27148618940369873,0.8018566719473613,0.19814332805263857,0.9259888128813532,0.3264358315942806,0.22285714285714286,0.01337007740451937,0.0471802184883746,0.7166168823950272,0.9388825985176916,0.9544952796901105,0.9805433759832527,0.8885546618390606,0.7331637007737299,0.251498776958795,0.8155288680919485,0.18447113190805156,0.9259888128813532,0.3076530679885285,0.23949579831932774,0.013872482363423646,0.0499714381570776,0.7223917726798734,0.9299374562011913,0.9544952796901105,0.9726426249168983,0.9026879529383484,0.8231982502037694,0.5514315562814208,0.565898671901978,0.434101328098022,0.8869566394655143,0.5829101592982447,0.14545454545454545,0.01642611866483853,0.05851072591573545,0.7192631195775165,0.9138393489022282,0.9494103106738266,0.014522734188211428,0.979170846968779
1,0.9551970540528693,0.8431755780185803,861,0.03774494761299373,0.743321718931475,21950,0.9622550523870063,0.9635079726651481,0.9914874816475255,0.802762416632304,0.896774193548387,0.38142313291557794,0.7372210349597044,0.2627789650402956,1.0,0.41619154628840405,0.13664596273291926,0.014846665815667398,0.034637403211874154,0.5713689699873988,0.9620101052328935,0.9646187687376361,0.9829190862795081,0.7648287130576302,0.8472666049258142,0.3616726530087663,0.7480789003872271,0.2519210996127728,0.9551433172545812,0.39868751229539023,0.14285714285714285,0.017818801682702112,0.038244003346190936,0.5340759302470659,0.947284813577857,0.9629810458705094,0.9889862225592203,0.876259031392669,0.8185075215777042,0.3405029254115958,0.7558470018048078,0.2441529981951922,0.9649918965777041,0.3897062557217564,0.19337016574585636,0.015173387279725205,0.04911805128473915,0.6910832803246912,0.935717230566421,0.9527078680318583,0.9889461866760254,0.8784912669395737,0.8101531869002847,0.32059148080453653,0.7706377152670976,0.22936228473290246,0.9649918965777041,0.3706316762837013,0.2056451612903226,0.015279143469371526,0.05207515899277938,0.706594396159403,0.9269749736525978,0.9527078680318583,0.9842071471801902,0.9230006709299623,0.8541190960062601,0.6992504130479171,0.39526777368455057,0.6047322263154495,0.8904227263692963,0.7202829602541041,0.12721893491124261,0.014102988397227588,0.06355472827027232,0.7780969444593747,0.9117355269285767,0.9428010493280011,0.015265804460046016,0.9869546366914671
2,0.9516912815626489,0.7324839974890212,222,0.021152929966650785,0.7882882882882883,10273,0.9788470700333493,0.9552224277231578,0.9954445967032477,0.7989798875858771,0.9060955518945635,0.24650597955439948,0.8448509320716686,0.15514906792833136,1.0,0.26862172551734637,0.11003236245954692,0.007434157487002279,0.018431436315478205,0.5966588083664819,0.9739735141724394,0.9831420670578979,0.9951573908911933,0.7893717561101423,0.9001751313485116,0.23214049885954904,0.8541265831559799,0.14587341684402008,1.0,0.25460651185326666,0.11683848797250859,0.009293053816524772,0.021597827622933673,0.5697227527338474,0.9628982575297318,0.9831420670578979,0.9953169035239487,0.8418399555795022,0.8571428571428572,0.1946135509872326,0.8742379267648793,0.12576207323512065,1.0,0.22342567088570706,0.1644100580270793,0.010705729393860636,0.027907135838758507,0.6163802170270692,0.9536224845278913,0.9796924244975518,0.9964047394586394,0.8629697470715487,0.8482142857142856,0.18299082063926403,0.8812683233038096,0.11873167669619042,1.0,0.21226122254234503,0.175704989154013,0.010977789425281055,0.0313934610984807,0.6503160517776636,0.9462359026704017,0.9796924244975518,0.9859774563180421,0.8857115417331114,0.822436819781672,0.6724833329321824,0.42309993122847855,0.5769000687715216,0.8430553764827031,0.6850337541175402,0.06818181818181818,0.010163997938939238,0.04443515572661725,0.7712622410626353,0.9326218743643284,0.9688743186087911,0.010315569979450136,0.9931494107749995
3,0.9527947031521524,0.8064606099236502,2878,0.06330701040452255,0.7175121612230716,42583,0.9366929895954774,0.9686964281520795,0.9924090509638417,0.9055016599467336,0.8836065573770493,0.5477801256569067,0.5731109990113156,0.4268890009886844,1.0,0.5983492769134742,0.1906906906906907,0.024562442725571235,0.07174751901089754,0.6576544657684886,0.9399495669652347,0.9213698261934932,0.9809504326368477,0.8662018394627518,0.8196849838909892,0.5177002659979157,0.5873296368682802,0.41267036313171973,0.942707830991165,0.5740502313363454,0.20063694267515925,0.025270765079136035,0.07551415396928357,0.6653506163968246,0.9187445891415988,0.9165626792742227,0.9842028128357065,0.9137364908990717,0.7650902215851305,0.42710923706326703,0.6568097876338523,0.3431902123661477,0.9469084034033122,0.5037904731979723,0.26881720430107525,0.02273405990071555,0.08121312028035244,0.7200691240253269,0.9031460993870748,0.9099162597135069,0.9843446525915006,0.9201344621541047,0.7519542749629451,0.4073123168944577,0.6714266941832471,0.3285733058167529,0.9469084034033122,0.4878608954763289,0.2905811623246493,0.02112851400806379,0.08211479355633079,0.7426954012425346,0.8920015212845727,0.9099162597135069,0.9787977432929745,0.9361964413527029,0.8583071806112978,0.753357901514418,0.31079211295430104,0.689207887045699,0.9074299876288416,0.7834060738951995,0.2159090909090909,0.020391508607167347,0.09031088796499873,0.77420763911578,0.8737586979580044,0.9000791118976346,0.021940370057879816,0.9827097854866846
4,0.9706689536878216,0.8981145732321105,66,0.011320754716981131,0.7424242424242424,5764,0.9886792452830189,0.9732824427480916,0.9971673589258174,0.7788076974314362,0.9074074074074074,0.15720129704251634,0.9059895986239356,0.0940104013760645,1.0,0.17186381639117262,0.10166666666666667,0.004628363425744713,0.011896532590409258,0.6109485355862425,0.9809776909572439,0.9906619186721776,0.996929582485284,0.7684990466375099,0.8996350364963503,0.14673442459185942,0.9119908161093981,0.08800918389060178,1.0,0.16178022243505438,0.11010830324909747,0.005873972982973482,0.015246359140675113,0.6147294623735735,0.9719575297935871,0.9906619186721776,0.9977391052647573,0.8518856825500695,0.8394004282655247,0.12636768710894858,0.9196506287657351,0.08034937123426487,1.0,0.14874701346374325,0.17473684210526316,0.005601084945319772,0.02152285371564501,0.7397610456624378,0.9639046160217155,0.9867391415925646,0.9974619282659655,0.8385698106598418,0.8245192307692308,0.11436407214532783,0.9264418197016493,0.07355818029835075,1.0,0.13703622523356548,0.19103773584905662,0.007105265099943444,0.025013849694820192,0.7159467580308206,0.9571859339443626,0.9867391415925646,0.9830230175151181,0.8853154278612695,0.8338821506057985,0.488626575827279,0.6452865841496563,0.35471341585034366,0.8666094233330713,0.5033853112320388,0.06315789473684211,0.008929046558532478,0.03493289299566987,0.744394300247641,0.9442402864092342,0.9810655175186267,0.007048682832122121,0.9934884572117787
5,0.9668031496062992,0.9207263297726372,1572,0.049511811023622045,0.7519083969465649,30178,0.950488188976378,0.9779972165153423,0.9912152597203288,0.847665602865435,0.8881685575364668,0.44135098989199245,0.6811837989727512,0.3188162010272489,1.0,0.48348845089849124,0.15821812596006143,0.018851928979020792,0.04650544320627427,0.5946296244204509,0.9556362585560962,0.9507160363513832,0.982887112692575,0.8182730319819079,0.8474717243401768,0.41615609303503837,0.6967319629087979,0.30326803709120215,0.967890572507716,0.4618310757240765,0.16940789473684212,0.0196486491575007,0.04921966644171553,0.6007967835221304,0.9383213032491342,0.9490740397428317,0.9874458772027394,0.8850409333415384,0.7767007383219318,0.35191652345487345,0.7297853851722111,0.27021461482778886,0.9758708628032595,0.4232367266094112,0.2656546489563567,0.02051656197432732,0.06392821090831957,0.6790687290819004,0.924654446040497,0.9319521404080727,0.9886015701457291,0.897164238282578,0.7726376064522202,0.3429547387560732,0.7367639284814004,0.2632360715185997,0.9758708628032595,0.4146283183773555,0.27615062761506276,0.019332018159336543,0.06578406928376115,0.7061291834053709,0.9143055699873224,0.9319521404080727,0.9870236609637205,0.9494566681192256,0.8739537244593181,0.733759935603506,0.3524238289429216,0.6475761710570783,0.9202170696550477,0.7601903504034816,0.1787878787878788,0.01714634405111272,0.0753347413629046,0.7723979170710247,0.8963185033827672,0.9219631131559977,0.018972651542281855,0.9873006651616894
6,0.9691945122464439,0.9181611702608827,264,0.022220351822237184,0.6515151515151515,11617,0.9777796481777629,0.9764138762158905,0.9916440969582379,0.666336614822915,0.8988391376451079,0.2174359227318023,0.8642923996639236,0.1357076003360764,1.0,0.2389833444733804,0.11582381729200653,0.009166682553179326,0.017118218817688373,0.46450722176145276,0.9786798949610502,0.9845552070561879,0.9732358203680219,0.5965709292790417,0.7947873508978793,0.20500593132450734,0.8688283142552263,0.1311716857447736,0.8993972799758935,0.2289520862608218,0.12,0.011751444725905573,0.021677670975024477,0.4579009553450285,0.9683576628515054,0.982818778119581,0.9886600438837443,0.9223585728530033,0.7864795508546174,0.24187415020632924,0.832965803382852,0.16703419661714802,0.945475366754199,0.2839107608720417,0.1891348088531187,0.010666523876006468,0.03597612486729377,0.7035110391863382,0.9591217588458435,0.9680926241544414,0.9886295994587602,0.9458148725202151,0.7737816312553591,0.22216971876627675,0.8459026138362082,0.15409738616379168,0.945475366754199,0.26500344304173706,0.20444444444444446,0.009881217113693498,0.03912657973508435,0.7474551269087002,0.9514540193662848,0.9680926241544414,0.9834213498719466,0.9416239891250489,0.9041219832955525,0.6026337429288284,0.5365002840680801,0.4634997159319199,0.945475366754199,0.6220515455472027,0.10175438596491228,0.012539584056693932,0.04307385310118167,0.7088817657608177,0.9368891437377974,0.9680926241544414,0.010971561522028795,0.9852525740226837
7,0.9691339066339066,0.8876548089086411,2180,0.05579443079443079,0.7334862385321101,36892,0.9442055692055692,0.9830586577035672,0.9938213496156192,0.9157923880716707,0.8857142857142857,0.5282373183891045,0.594773682043617,0.40522631795638286,1.0,0.5767417145242518,0.18167701863354038,0.020624085717423697,0.06407282432030824,0.678114927253382,0.9443390431237673,0.9296917322670792,0.9934468859559599,0.910530442130823,0.8805704099821745,0.5126170818397991,0.608613179857951,0.39138682014204895,1.0,0.5625852056038473,0.1901639344262295,0.017200125133771053,0.0643874110742988,0.7328650919987565,0.9243696891560813,0.9296917322670792,0.9960111569338521,0.9510796300906499,0.8285714285714285,0.4408720582266505,0.658727835882363,0.34127216411763683,1.0,0.5088783220102754,0.25504587155963304,0.015056151548124692,0.07340308584253614,0.794883942884594,0.9094915041420406,0.9193351017737809,0.9962035585625512,0.9519379110259275,0.8142201834862386,0.41558129573952257,0.6778603604666475,0.32213963953335234,1.0,0.4873004785592105,0.2769857433808554,0.014460309808493624,0.07476639024719296,0.8065934471266449,0.8987377601746422,0.9193351017737809,0.9939775339339555,0.9735274444920071,0.9004018619036129,0.7609303360304227,0.3266519673549627,0.6733480326450373,0.9498718265679241,0.78805630926001,0.20760233918128654,0.012840725758076184,0.08353265690363994,0.8462789735888714,0.8808972624781755,0.909160031950317,0.014780722742165534,0.9950772866965022
8,0.9716313907665005,0.8767429921408504,2107,0.05498864733669129,0.7313716184148078,36210,0.9450113526633087,0.9856117094725214,0.9945765795200352,0.9231951483328523,0.911764705882353,0.5924462477485094,0.5383623861214772,0.4616376138785227,1.0,0.6316717762257719,0.15582450832072617,0.020088933094262604,0.06422934002729869,0.6872312079538039,0.9462292493495109,0.9301012458314678,0.9942074461889382,0.9183351665008693,0.9057591623036649,0.5733136226964706,0.5563392479671448,0.44366075203285515,1.0,0.6146329757986775,0.16559485530546625,0.01619134101056675,0.06459930180414925,0.7493573373338414,0.9271426226803351,0.9301012458314678,0.9978420853013353,0.9721663592473156,0.8682634730538923,0.5134499198432578,0.6021979520260209,0.3978020479739791,1.0,0.5691822365700018,0.21762589928057555,0.011759130933700214,0.07386621918959818,0.8408050247770616,0.9130421970180775,0.9197591765439785,0.9981269182597379,0.9746363321032933,0.8577878103837471,0.49136913620024564,0.6202961370995898,0.3797038629004103,1.0,0.55041356788289,0.23694779116465864,0.010141618092108519,0.07521660519378719,0.8651678300824696,0.9029303563853173,0.9197591765439785,0.9972125726678452,0.9867401260019488,0.9335674994364633,0.8054386246966103,0.28170682872365466,0.7182931712763453,0.9735674994364635,0.8266719579540428,0.20180722891566266,0.009589566136169915,0.07981524437559159,0.879852950257927,0.8863104299238678,0.9145932044817016,0.011562264609756878,0.9971299109716895
9,0.9763243831640058,0.9040006418922787,2566,0.05819121915820029,0.7369446609508964,41530,0.9418087808417998,0.9911148567300746,0.9968756009094901,0.9662612660540522,0.9011725293132327,0.6013910679552592,0.5228524133996483,0.4771475866003518,1.0,0.646039151305801,0.17737003058103976,0.02146670815519678,0.07329915643616361,0.707135672510881,0.9423814075321636,0.9196365551998649,0.9966691673981529,0.9640475027810183,0.8982142857142859,0.5916048879087882,0.5323431647850888,0.4676568352149112,1.0,0.6372836265180906,0.1847649918962723,0.015124267649544483,0.07304620156130377,0.7929492933749404,0.9219181061069103,0.9196365551998649,0.9966915775038134,0.9656195504572817,0.8568464730290457,0.527535120738875,0.5818776142023256,0.41812238579767436,1.0,0.5896844870162405,0.24220183486238533,0.015220580548148054,0.08124716953215368,0.8126632517071934,0.9067603773493106,0.9095375246493029,0.9980358757119586,0.9774005042351114,0.8510638297872339,0.5177478033573869,0.589574790091129,0.410425209908871,1.0,0.5819879097813191,0.25925925925925924,0.012170343845675932,0.08201130647486046,0.8516016343501783,0.8958616504890993,0.9095375246493029,0.9976335156283171,0.9893877914948289,0.9391449154705382,0.8350513176012195,0.23935732382122732,0.7606426761787727,0.9765980989911376,0.8551977390641977,0.22289156626506024,0.010882211563093486,0.08605720549743573,0.873546770427983,0.8779194575133599,0.9044214835530056,0.013198993338199582,0.9974426142083989
