metric,mean,std,ci_lower_2.5,ci_upper_97.5
harrell_c_index,0.9641430863922137,0.017837142277088634,0.9236135283219317,0.9855093012992661
uno_c_index,0.8592875763966575,0.09111447968869892,0.6223337134804912,0.9717326689567322
event_event_pairs,857.682,916.6686720567745,14.975000000000001,3328.7999999999993
event_event_fraction,0.03129154559619106,0.015450380259431164,0.006306112315478642,0.06484658345815372
event_event_c_index,0.6975813416013502,0.09104229910734866,0.46153846153846156,0.8093146067415727
event_censored_pairs,20265.147,12207.099803926158,2578.4500000000003,48017.74999999999
event_censored_fraction,0.9687084544038088,0.015450380259431162,0.9351534165418462,0.9936938876845214
event_censored_c_index,0.972497052141773,0.019686135110798256,0.9274923596855944,0.9935379381212152
12h_auc,0.9944699750977646,0.004076766581167006,0.9819425788838877,0.9990085539915974
12h_average_precision,0.8000595836376957,0.22742733253063946,0.16489932926398448,0.9807452495791358
12h_tss,0.8903681839446538,0.11720745952517642,0.871484502377597,0.9309793311263898
12h_hss2,0.37157364294524703,0.17291943250935207,0.03046574965973719,0.6432208496934958
12h_far,0.732638035676852,0.14272207192489764,0.47792873082326287,0.9829443183339126
12h_precision,0.26736196432314796,0.14272207192489766,0.017055681666087428,0.5220712691767371
12h_recall,0.986,0.11754921445002436,1.0,1.0
12h_f1,0.40134810077829375,0.18412526590127407,0.03353932724341641,0.6860010645719622
12h_alert_fraction,0.13164661180285064,0.029844788706170956,0.08207640767942276,0.1940331190761521
12h_brier,0.012351260448679574,0.005857449162887636,0.002716338744600512,0.024967119835191384
12h_km_reference_brier,0.03603163077703192,0.02194472193800064,0.005263013202585381,0.08372546899222916
12h_bss,0.603911348624783,0.13910951461259177,0.21911843477800708,0.7448364601635319
12h_predicted_survival_mean,0.9657031981439728,0.0141172103736929,0.935103483874844,0.9863606296291111
12h_observed_survival_km,0.9627228185999603,0.02539732253764248,0.907943168220328,0.9983898875882572
24h_auc,0.9822068946882723,0.01972654312341088,0.920022085465849,0.9985009585054538
24h_average_precision,0.7618801822501384,0.23991701052033657,0.13249483316275784,0.9698066892088845
24h_tss,0.8213977820483831,0.14563856537640735,0.4546700913076458,0.9218479407193606
24h_hss2,0.354192871086497,0.16899537723712513,0.02874085282272118,0.6236258238171001
24h_far,0.7421395485645857,0.13906312211246447,0.49113115092545717,0.9832503385699016
24h_precision,0.25786045143541425,0.13906312211246447,0.016749661430098314,0.5088688490745428
24h_recall,0.9220302178857104,0.14642498862057782,0.5686800064854133,1.0
24h_f1,0.38654163135334796,0.18041206393742754,0.032947447299940175,0.6711792219490613
24h_alert_fraction,0.1386181232855891,0.031553602866713736,0.08565909090909091,0.2037987232807815
24h_brier,0.012463067531702333,0.004639569552024096,0.004311482946583978,0.022260243641430505
24h_km_reference_brier,0.039360932181366055,0.020762743320657986,0.009248198093227794,0.08541321999780802
