replicate,harrell_c_index,uno_c_index,event_event_pairs,event_event_fraction,event_event_c_index,event_censored_pairs,event_censored_fraction,event_censored_c_index,12h_auc,12h_average_precision,12h_tss,12h_hss2,12h_far,12h_precision,12h_recall,12h_f1,12h_alert_fraction,12h_brier,12h_km_reference_brier,12h_bss,12h_predicted_survival_mean,12h_observed_survival_km,24h_auc,24h_average_precision,24h_tss,24h_hss2,24h_far,24h_precision,24h_recall,24h_f1,24h_alert_fraction,24h_brier,24h_km_reference_brier,24h_bss,24h_predicted_survival_mean,24h_observed_survival_km,48h_auc,48h_average_precision,48h_tss,48h_hss2,48h_far,48h_precision,48h_recall,48h_f1,48h_alert_fraction,48h_brier,48h_km_reference_brier,48h_bss,48h_predicted_survival_mean,48h_observed_survival_km,72h_auc,72h_average_precision,72h_tss,72h_hss2,72h_far,72h_precision,72h_recall,72h_f1,72h_alert_fraction,72h_brier,72h_km_reference_brier,72h_bss,72h_predicted_survival_mean,72h_observed_survival_km,144h_auc,144h_average_precision,144h_tss,144h_hss2,144h_far,144h_precision,144h_recall,144h_f1,144h_alert_fraction,144h_brier,144h_km_reference_brier,144h_bss,144h_predicted_survival_mean,144h_observed_survival_km,integrated_brier_score,integrated_auc
0,0.9481361697849201,0.7881902753951632,7192,0.06025974025974026,0.7212180200222469,112158,0.9397402597402598,0.9626865671641791,0.9897860174711148,0.8394390832413239,0.9216921692169215,0.5667495337114136,0.5709744249966898,0.4290255750033101,1.0,0.6004449220614073,0.13220338983050847,0.023177863768782697,0.05138581021828999,0.5489442772173534,0.9522670796818119,0.9452540722450742,0.9885907013700262,0.8368565775004633,0.9478341025124841,0.7550920674050285,0.3630221140017797,0.6369778859982203,0.9856074623534383,0.7738393033460326,0.1044362292051756,0.02156420015137142,0.05712488747754353,0.622507787698513,0.9344903498332372,0.9389481439758945,0.9874808049037995,0.851900073748441,0.9186533417733282,0.754046505460125,0.3493968780152562,0.6506031219847437,0.9584659881433516,0.7750828852250039,0.12166488794023479,0.021653762417662193,0.06329317625053948,0.6578815648001608,0.9181299246251833,0.9321895067336018,0.9689661916813463,0.8038712136731283,0.8439030887527714,0.7171073948776996,0.36102371984823395,0.6389762801517661,0.8853538659548438,0.7422540600286017,0.13124274099883856,0.027855555957157833,0.07006965618075964,0.6024590746485401,0.9070040799988822,0.9251045800054273,0.945604697572813,0.8308990237250288,0.7229221445396883,0.7121224456519215,0.26836583060112157,0.7316341693988784,0.7569221445396883,0.7440633576765948,0.17405582922824303,0.03430058064904938,0.09133025799142398,0.6244335513399049,0.8861466540592395,0.8963410299437765,0.02741515661114112,0.9695835936401836
1,0.9566268726029481,0.864421114791071,8056,0.06450476419248939,0.7218222442899702,116834,0.9354952358075106,0.972816132290258,0.9815289340835363,0.7718514770871173,0.855910925095531,0.5253623453154016,0.5972217242432698,0.40277827575673014,0.9434560514493217,0.5645430278748911,0.14055884843353092,0.02742070984234743,0.05399776701478371,0.4921880781692308,0.9491814687905608,0.9422008522090889,0.9809013179562857,0.7840567487995309,0.8741563412423587,0.6822201264905814,0.4256037135778223,0.5743962864221778,0.9218700589361958,0.7077867387171888,0.11152073732718894,0.02676405756025028,0.0587734998475244,0.5446237227715883,0.9303634222813193,0.9369354009349246,0.987646282474154,0.8684111037248359,0.8977941971838188,0.7730972185429703,0.30959166654477294,0.690408333455227,0.934524055003724,0.794129281896877,0.125,0.021965732634244096,0.06920851862892663,0.6826151885721301,0.9131198672712983,0.9241750727791652,0.9854829212231324,0.896606107634209,0.8678030935494023,0.7881945801260839,0.2655021223664121,0.7344978776335879,0.8981861846986757,0.8081365667753176,0.13099415204678364,0.021325664440450774,0.07549633526417697,0.7175271572344809,0.9014459665766752,0.9171230372222221,0.9762952621774672,0.9014285763322476,0.8418355772214112,0.7935425955363745,0.23347903818575602,0.7665209618142441,0.8715974819833159,0.8156891740452055,0.18003273322422259,0.023338143015882756,0.0854749042152183,0.7269591205727548,0.8797078888515869,0.9052626282110263,0.023009544849044425,0.9825660436681305
2,0.9409649636257212,0.7310531178576932,3068,0.04275779409920143,0.6730769230769231,68685,0.9572422059007986,0.9529300429496979,0.9802326291985334,0.6293534371342924,0.8966803835448469,0.427841341315918,0.7020814859012727,0.29791851409872716,0.9734611421017387,0.45621635610326605,0.10723860589812333,0.017685445511362422,0.030876734576785494,0.42722422711567665,0.9654588818468998,0.9684711647417271,0.9705758371263878,0.6197708688113647,0.8125809301120872,0.6269551808000778,0.47770299539497074,0.5222970046050294,0.8452007058511289,0.645625646874169,0.0691333982473223,0.020440171878056735,0.03853487504165262,0.4695669349916717,0.9514679953356077,0.9609648105618194,0.9660399365632332,0.7317145144305571,0.829148936689569,0.7152715715765227,0.36010471933233373,0.6398952806676663,0.8554019199831251,0.7321188743388727,0.07829977628635347,0.019241365900795254,0.04820761579928393,0.6008646023709585,0.9378972775529276,0.9507277382364948,0.9678505542225684,0.793771940989416,0.8349105623681647,0.7323420646012866,0.33756355778565383,0.6624364422143463,0.8586259773879277,0.7478787593771464,0.0821078431372549,0.017836113235452537,0.05125021631072222,0.6519797472206769,0.9282430495932225,0.9495481752858292,0.9541519399144531,0.836798122631302,0.7482740249694648,0.7115961340233654,0.3054709924115052,0.6945290075884947,0.7713509480463879,0.7309269853779752,0.1094017094017094,0.02241193458481435,0.06379341244467833,0.6486794838847978,0.9091583298540744,0.9378121691105425,0.019687815370055456,0.9647198163680862
3,0.9569390438555165,0.7961973747410236,8960,0.06300231336619391,0.7263392857142857,133257,0.9369976866338061,0.9724442243184223,0.9928322325904659,0.9144959643187849,0.9289568345323742,0.6552372623930379,0.47548563567123636,0.5245143643287636,1.0,0.688106818278101,0.1420265780730897,0.027470421405198706,0.06664435428740548,0.5878057233965863,0.9470369604302609,0.9279716900801058,0.9889299574184433,0.9006648033455772,0.9315407683721675,0.8306686074336519,0.24310882582108223,0.7568911741789179,0.9580373336322263,0.8456679086706163,0.10912343470483005,0.024100625363827743,0.07149396709541375,0.6628998733324764,0.9276632557191251,0.921961668624377,0.9909334310701806,0.9273166720175177,0.9254231195888105,0.8452619092924208,0.2143895821340811,0.7856104178659188,0.9507104759106497,0.8603110829648087,0.1269191402251791,0.0203832171204413,0.07779304242151706,0.7379814892700041,0.9099957068560216,0.9142958323627969,0.9827218333001941,0.9146842507534079,0.8928058361459921,0.8381029825737891,0.20029338265013746,0.7997066173498625,0.9156484757399006,0.8537592573868267,0.13459399332591768,0.021361016998037104,0.08233544510749222,0.74056110378526,0.898061815105232,0.9097835817962984,0.9667524832504195,0.8941507543941499,0.8349044994734642,0.8097813070186731,0.1977123751252749,0.8022876248747252,0.8582438172472525,0.8293229218506257,0.1760355029585799,0.026546333882621488,0.09282842388597204,0.7140279585568501,0.8758332053415555,0.8993753385338406,0.02324869569356695,0.9811656997741176
4,0.9255075415261249,0.8307652372152793,700,0.02227454973588748,0.6614285714285715,30726,0.9777254502641125,0.9315237909262514,0.973561008561787,0.26039170324970373,0.7729209730781097,0.21416475417275566,0.8677424167870644,0.13225758321293557,0.8296455842400493,0.2281454591430816,0.06515837104072399,0.008646720440126399,0.012538189982180065,0.31036932344975043,0.9775442721576306,0.9897956609964885,0.9767618475929365,0.366721240247294,0.7635006289094801,0.42380806170488405,0.7002143921676578,0.2997856078323423,0.7864318352903376,0.4340953043130076,0.03343166175024582,0.01017514034405041,0.01688113243015972,0.39724776248591165,0.9676374022946135,0.9879141345127411,0.9472623961175433,0.554746549722051,0.7162194436619858,0.45207000891275767,0.6605266351214539,0.33947336487854607,0.7439330695280366,0.46620631802954976,0.04401805869074492,0.012706782474919524,0.025038875828077525,0.4925178525518833,0.9574982849253538,0.9817257891603507,0.9265879229393659,0.5503213194025495,0.6106798375318405,0.4431181355637848,0.6404437489596058,0.3595562510403941,0.6382388926499508,0.45997975628674015,0.047073791348600506,0.016291362988749548,0.031565214363950204,0.48388239025059554,0.9499470598032631,0.9767204730196147,0.8945610529398533,0.5349242318272069,0.46103954669835767,0.3839217910532391,0.648573749098113,0.351426250901887,0.4986178347985664,0.41227837300152675,0.07045009784735812,0.0263532361222113,0.044404520800091135,0.40651907401831,0.9341812445705022,0.963907875677462,0.017202254182509997,0.9305893562256735
5,0.9675643064772665,0.9115432029973166,3994,0.043810672955629903,0.7008012018027041,87171,0.9561893270443701,0.9797868557203657,0.9890089377914733,0.7872626061327402,0.9062436046948403,0.5037251127995228,0.6331530193673849,0.3668469806326151,0.9797862055917015,0.5338225952897759,0.11320754716981132,0.01856760609617365,0.03996606101227524,0.5354156595399591,0.9595762707978412,0.9584319569751517,0.9859672405575585,0.7923459694722406,0.8967959001809347,0.7147872766286387,0.396285525275949,0.6037144747240509,0.9274889694878653,0.7313705022586446,0.07872539831302718,0.018608254237857613,0.045700267895629997,0.5928195808314508,0.9440985758004202,0.9530153524679603,0.987554607042261,0.8469569138271291,0.8497111555360815,0.7509371183478273,0.31594053258067784,0.6840594674193222,0.8770270700253928,0.7686168012388556,0.09320175438596491,0.01930530419305027,0.05701107422023754,0.6613762421231951,0.9295637469047526,0.9402023886759646,0.9865998556029614,0.8703078970050745,0.840302202732794,0.7671045511528133,0.28266794270692963,0.7173320572930704,0.8648588193767233,0.7842175875484303,0.10173697270471464,0.018246059896707894,0.060951145907381196,0.700644514141968,0.9194887903209096,0.9365401230397513,0.9726180048616377,0.8884779587340506,0.7763847579391874,0.7450432017608476,0.26514350744809145,0.7348564925519085,0.8029153701840852,0.7673798526911799,0.1431064572425829,0.02128375610400754,0.07347827394822362,0.7103394655268425,0.9001213601629282,0.9220584823930363,0.019331118244529818,0.982983452801214
6,0.9393514362657092,0.8403754001458041,4502,0.050517291680693015,0.7252332296756997,84616,0.949482708319307,0.9507421764205352,0.9823754839669441,0.6985107113428867,0.8606995666416535,0.4066474458159208,0.7124122439450403,0.2875877560549597,0.9570091976047497,0.44227028975736615,0.13126079447322972,0.019798873655721184,0.0372570725861145,0.46858751154002065,0.9588652642408861,0.9613030679971946,0.979331058845466,0.7368811174935231,0.8824204383796166,0.6387571970943953,0.48710617069624,0.5128938293037599,0.9233561108942364,0.6594724751908926,0.08433734939759036,0.020501831023464537,0.04328159092137499,0.5263152165384122,0.9430279291405553,0.9558158016190405,0.9724266051980665,0.836650425530368,0.8549316192691796,0.7135094936844918,0.3757827924726918,0.6242172075273082,0.8879612320254439,0.7330889875818717,0.09322033898305085,0.02027144147007021,0.05508539535900399,0.631999709942052,0.9281256490205885,0.9431061035116421,0.9675248026150975,0.8493647057531365,0.8272440143589752,0.7284769757389428,0.3367497682437195,0.6632502317562805,0.8557045576966207,0.747285238702343,0.09738717339667459,0.020049047538047683,0.059401979819957394,0.6624851966413454,0.917786359402682,0.9395789244549801,0.9282963081327266,0.7680238161838545,0.6622957218098908,0.6427920194613447,0.34795755254885835,0.6520424474511417,0.6954988468098908,0.6730699418336656,0.13322091062394603,0.03506500005928731,0.07511953822679326,0.5332106548176238,0.8979099386966382,0.9208933720231774,0.02423511423938641,0.9600023341369431
7,0.9454657978084386,0.7846776491162991,4065,0.04932833375805453,0.6400984009840098,78342,0.9506716662419454,0.9613106635010594,0.9745613314666831,0.4773817182044605,0.862064068280965,0.3898933271910758,0.7300238629416148,0.2699761370583853,0.946074908389366,0.42007718358694673,0.11266375545851529,0.020062089767935044,0.030799472849152642,0.34862230057658294,0.9622616659747771,0.9686924955513332,0.9632679933116867,0.5166582177164174,0.7925637897896507,0.5770791110062209,0.5311850208498744,0.4688149791501256,0.8356068328326938,0.600641596626907,0.08102955195424213,0.025314730979115484,0.041374808222682274,0.3881607657763697,0.9473298831072385,0.9577205645754756,0.9691832745301121,0.6457429419184394,0.8144260062627318,0.6643963820268819,0.42448186227228984,0.5755181377277101,0.8519406604245139,0.6869652601906417,0.09289617486338798,0.025411372498747378,0.05225436127857904,0.5136985339219059,0.9330782955125083,0.9458852214855916,0.9665954896695921,0.6891522279905167,0.788665772795937,0.6755826555811331,0.39372860764309264,0.6062713923569074,0.8232862787879476,0.6983067960446478,0.09914320685434516,0.025961982957723437,0.05742247222082037,0.5478776521866628,0.923088221846353,0.9410865286165303,0.9442322163076351,0.7632420991747572,0.6763446364017258,0.6550296890942505,0.33717394247106564,0.6628260575289343,0.7104597749944764,0.6858168059990596,0.13711151736745886,0.03228130218113713,0.07186145222498107,0.5507841661747654,0.9037098120919721,0.9215420739058107,0.02722888406585824,0.9608752556693063
8,0.9507161310625966,0.7980766370651009,8863,0.06486577475921426,0.7228929256459438,127773,0.9351342252407857,0.96651874809232,0.987739649365126,0.8322125627287642,0.917883211678832,0.5883384058150568,0.5459442566922678,0.45405574330773224,1.0,0.6245369139354064,0.14382978723404255,0.026221368212657838,0.05771853864200773,0.545702839510669,0.9488107467593548,0.9379443534483916,0.9849545643554929,0.8369546423273347,0.9509019499900417,0.7829934099232303,0.32586229899910935,0.6741377010008908,0.9867942730209491,0.8010384928220314,0.11029411764705882,0.02380616713143973,0.06234547195251647,0.6181572392367007,0.9300323558721252,0.9325637399405556,0.9817323556211023,0.8793067072007483,0.9248376970342478,0.8237809589329699,0.2487444606154808,0.751255539384519,0.955035141865839,0.8409768025080352,0.12876427829698858,0.022393750864144676,0.07568841858892708,0.7041323985672387,0.9129059876319362,0.915948661371362,0.9788638387626039,0.9050345352132428,0.8971271135110999,0.8401055353864186,0.2002707217171159,0.7997292782828841,0.9205951708774622,0.8559163499139686,0.136,0.02084630508180354,0.08167743654675078,0.7447727798132907,0.901347190734563,0.9091094820372275,0.9531240562513205,0.878987940601122,0.7929968073456566,0.7862766337464175,0.19757518465185042,0.8024248153481497,0.8180933324421817,0.8101833257684752,0.1833855799373041,0.02851116499912509,0.09496964640379459,0.6997865520326303,0.879861821108682,0.8926736887395433,0.0238660138051243,0.9735994460238531
9,0.955437802432338,0.7784908279921099,11624,0.07128970334799115,0.717395044735031,151429,0.9287102966520089,0.9737104517628724,0.9876987589008329,0.8818785638750166,0.8964017171010534,0.652666094934989,0.4665006366155818,0.5334993633844182,0.9696386067936393,0.6882955386671293,0.14830157415078707,0.03070227486823022,0.07168185969507895,0.5716869651703809,0.9406065295828944,0.9221160203376768,0.9818713061113432,0.8751247337772591,0.8906521469165691,0.7927984449922835,0.27328468533243755,0.7267153146675625,0.9269790893989103,0.8147211467684222,0.13008130081300814,0.029817913435058057,0.08165156127464515,0.6348151465865814,0.9197575905264567,0.9091270777234337,0.9790015514398815,0.9045463146120124,0.8795347330591949,0.803939225423138,0.24599007278147839,0.7540099272185217,0.9148288507062537,0.8266706697649846,0.14959016393442623,0.026278052965609904,0.08885662932795307,0.7042645758188445,0.9012639688225119,0.899384489812451,0.9771171277060984,0.9065684218423865,0.8556105486826602,0.8016246903644506,0.22992164147373984,0.77007835852626,0.888462059852174,0.8250451988776427,0.1612541993281075,0.02634452897957076,0.09433684060625616,0.720739757551053,0.8890783509110814,0.8925271665648103,0.9680686869763859,0.9084655009220814,0.8374450527832513,0.7983211746897981,0.2174932987290202,0.7825067012709799,0.8719278114039412,0.824800679895132,0.22063492063492063,0.026727017923172988,0.09903001595849556,0.7301119497509266,0.8670483112150816,0.8856146937931879,0.027108480291429458,0.976121273931886
