metric,mean,std,ci_lower_2.5,ci_upper_97.5
harrell_c_index,0.9434361821388064,0.011483603555870518,0.9157332018435533,0.9608661213792312
uno_c_index,0.8250324364849085,0.04881696738101177,0.7201684017966109,0.9082090254863155
event_event_pairs,6226.152,3534.9620874707916,1518.85,14203.699999999999
event_event_fraction,0.054295092436817294,0.013077227795940546,0.03129452004854774,0.07978400633505887
event_event_c_index,0.684900781755792,0.041212569438870125,0.5856105725514135,0.7496920713933081
event_censored_pairs,100262.864,31702.476607554756,46753.225,164579.94999999992
event_censored_fraction,0.9457049075631827,0.013077227795940546,0.9202159936649411,0.9687054799514522
event_censored_c_index,0.95822723306186,0.012763778525835347,0.9263871756498304,0.9765562495918965
12h_auc,0.9815415050174771,0.0076530835424482736,0.9629503422629913,0.99290839701655
12h_average_precision,0.6925541218931055,0.17473612062064653,0.27289876960330184,0.911216511104145
12h_tss,0.8765527223567897,0.03930138348804268,0.7744086000856998,0.9313543599257885
12h_hss2,0.47801927890995966,0.10558723018359271,0.24735411016005796,0.6572590852739146
12h_far,0.645182263868215,0.09820879549655884,0.46012049941454575,0.8396727002156784
12h_precision,0.3548177361317851,0.09820879549655884,0.16032729978432148,0.5398795005854543
12h_recall,0.9585633902448337,0.03804787495722148,0.8624141142367169,1.0
12h_f1,0.5109253702298562,0.10945324440014816,0.2680071258333393,0.6978318959108134
12h_alert_fraction,0.1254143826273127,0.02272057251943672,0.08429739878254527,0.17018427512025308
12h_brier,0.022525647304600285,0.006015785159367912,0.011787721101461215,0.034259333662588494
12h_km_reference_brier,0.04373163956940316,0.015798694144795223,0.016775322851131008,0.07698130450398875
12h_bss,0.4602010137964662,0.09947124480799734,0.24732595767466328,0.590512100777817
12h_predicted_survival_mean,0.956656383292594,0.00924738478645839,0.9384878496978437,0.9729558131679152
12h_observed_survival_km,0.953972612201694,0.018096492805580164,0.9159647112123619,0.9848832350925487
24h_auc,0.9751615469813312,0.00983299904590106,0.9529185024167669,0.9897634010705386
24h_average_precision,0.7018461967878407,0.15347977652561787,0.3430863333413213,0.9020974907811359
24h_tss,0.8567904527570133,0.05577826538217516,0.7250674310137446,0.941244615444732
24h_hss2,0.6646385134294501,0.09138552915394925,0.4624312463270387,0.8147545403788027
24h_far,0.43960749964991785,0.10220947306369212,0.2585623494204199,0.6516573346704856
24h_precision,0.5603925003500821,0.10220947306369213,0.3483426653295144,0.74143765057958
24h_recall,0.8959729905259992,0.054891847835408895,0.7595911518737053,0.9746509055769146
24h_f1,0.6858686449642335,0.09106417178116145,0.4821375137719754,0.8327621483895332
24h_alert_fraction,0.09259055761384456,0.024238794207093198,0.049322683590277694,0.14033922434839935
24h_brier,0.023958634371350034,0.005266747414957444,0.013885504812480874,0.03462351145613026
24h_km_reference_brier,0.05136325052714906,0.015656222985000384,0.02506842266277278,0.08380631308284157
24h_bss,0.5126872342604532,0.10058614870911017,0.28441389615268853,0.6674713944133459
24h_predicted_survival_mean,0.9401194786472945,0.012070473970479743,0.9165301515740999,0.9615853030172733
24h_observed_survival_km,0.9459171657806686,0.018973510719713493,0.9068256631894624,0.9780709933181378
48h_auc,0.9681615951933197,0.015571743439605542,0.9275867658369471,0.9890973589607048
48h_average_precision,0.7707455709234293,0.1149786553412435,0.48599684244121233,0.9273707857486755
