replicate,harrell_c_index,uno_c_index,event_event_pairs,event_event_fraction,event_event_c_index,event_censored_pairs,event_censored_fraction,event_censored_c_index,12h_auc,12h_average_precision,12h_tss,12h_hss2,12h_far,12h_precision,12h_recall,12h_f1,12h_alert_fraction,12h_brier,12h_km_reference_brier,12h_bss,12h_predicted_survival_mean,12h_observed_survival_km,24h_auc,24h_average_precision,24h_tss,24h_hss2,24h_far,24h_precision,24h_recall,24h_f1,24h_alert_fraction,24h_brier,24h_km_reference_brier,24h_bss,24h_predicted_survival_mean,24h_observed_survival_km,48h_auc,48h_average_precision,48h_tss,48h_hss2,48h_far,48h_precision,48h_recall,48h_f1,48h_alert_fraction,48h_brier,48h_km_reference_brier,48h_bss,48h_predicted_survival_mean,48h_observed_survival_km,72h_auc,72h_average_precision,72h_tss,72h_hss2,72h_far,72h_precision,72h_recall,72h_f1,72h_alert_fraction,72h_brier,72h_km_reference_brier,72h_bss,72h_predicted_survival_mean,72h_observed_survival_km,144h_auc,144h_average_precision,144h_tss,144h_hss2,144h_far,144h_precision,144h_recall,144h_f1,144h_alert_fraction,144h_brier,144h_km_reference_brier,144h_bss,144h_predicted_survival_mean,144h_observed_survival_km,integrated_brier_score,integrated_auc
0,0.9396335856263706,0.8577836200833523,9912,0.07011487748288156,0.6667675544794189,131456,0.9298851225171184,0.960207217624148,0.9746783207197528,0.6606829907264111,0.8788805977966652,0.5117084418436582,0.615519877613154,0.38448012238684603,0.9709975154228829,0.5508453008053511,0.14345287739783152,0.028716902609636778,0.05173462485697954,0.44491909066655644,0.9469436886238878,0.9448020425686839,0.9707027960169455,0.6821225647282319,0.8207642891259319,0.5674335489219046,0.5403838341931512,0.45961616580684883,0.9054933531653409,0.6097377204706451,0.151268115942029,0.032481869096959895,0.06595887534726176,0.5075436182629157,0.927400800924886,0.9281064058064862,0.9702593733427544,0.7651277869925408,0.8221884716069283,0.6326320136697385,0.4615211557189258,0.5384788442810742,0.895020841549125,0.672410036958927,0.15942028985507245,0.031381257449337854,0.07520267121832873,0.5827108673010877,0.9097397416272199,0.9168026637918842,0.9621338784520471,0.7762191230543412,0.7745886317249968,0.6055458404961813,0.47420954408280697,0.5257904559171931,0.8524096433981486,0.6503973628403806,0.17425968109339407,0.035812276862971025,0.08122503855540077,0.5590980626184041,0.8982522345860398,0.9099141096366049,0.9386382950420185,0.7745334877199664,0.7126382490318417,0.7254260640963928,0.22232894457707025,0.7776710554229298,0.7452913102563316,0.7611369695088613,0.19292604501607716,0.046911363574441235,0.1055237074259816,0.5554424240889502,0.8779964742784262,0.8742159114145523,0.037256997093103796,0.9589420454550044
1,0.9607747146834746,0.8651432792982349,4708,0.04801680792256933,0.6822429906542056,93341,0.9519831920774307,0.9748234966413473,0.9873209982777809,0.706907298312905,0.9340463458110517,0.5250615910092958,0.618874559606548,0.38112544039345203,1.0,0.5519056115350071,0.10427350427350428,0.018659908496520956,0.037560463407101216,0.5032034537413855,0.9595985585597215,0.9612605006620427,0.9767263492964715,0.7118196474711742,0.8401717569247009,0.5320800020511418,0.591674654218439,0.408325345781561,0.9062467076150362,0.5629870181618281,0.1111111111111111,0.021786098025895113,0.04552019501340607,0.5213970849756041,0.9439589971837123,0.9532644631846094,0.9804007456271169,0.7950307048987129,0.8330907141775894,0.6410010586090658,0.4601820754031536,0.5398179245968465,0.8892310650547823,0.6718074348758822,0.1255364806866953,0.023267320940591238,0.062189191058476576,0.6258622994675562,0.929300543998433,0.9335767634332413,0.9702581659201784,0.81313713755298,0.7781088546514736,0.624897833856865,0.455476290013654,0.544523709986346,0.835365845330568,0.6592940826931779,0.1366906474820144,0.026176954425133226,0.06875851222748866,0.6192914364038834,0.9194349787730897,0.9263446435238355,0.9607833988334583,0.8036736671579315,0.7691682502964414,0.7467255547052236,0.25439962335245847,0.7456003766475415,0.7951682502964416,0.7695869925585502,0.1460101867572156,0.03108746625683032,0.07705134342489964,0.5965357010662555,0.9012851359114276,0.9177566831248517,0.026046723603573588,0.9711758522289927
2,0.9537222628339661,0.9012581525088612,3726,0.04393194439531676,0.7216854535695115,81087,0.9560680556046832,0.964383933306202,0.9923421168776535,0.8247811871650021,0.9440366972477063,0.5756561115524379,0.5718860430464262,0.42811395695357374,1.0,0.5995515342022405,0.09578207381370826,0.016413049981877526,0.03785269524069439,0.5663967947985825,0.9624450316337518,0.9605374589294805,0.9795619023346345,0.781420487994566,0.8466217727328496,0.5671997329073178,0.5564719462551709,0.44352805374482895,0.9036788297899067,0.5950190983815408,0.1023696682464455,0.01904669469835394,0.04523931566704217,0.5789791596642149,0.9481118349251727,0.9531196162574532,0.9801197240037433,0.8010018778657542,0.8435047179718262,0.6122897651802192,0.502237414000213,0.49776258599978684,0.8975587720258805,0.6403846295057958,0.11269146608315099,0.01952924326191612,0.052284562724261366,0.626481656451646,0.9347578276866882,0.9461108967696293,0.9714261453653825,0.7638457354116556,0.7956725176089428,0.5574931010311303,0.54979665962881,0.45020334037119,0.8599769795512,0.5910095014390246,0.12817412333736397,0.02332521860176188,0.05600355815964158,0.5835047027677793,0.9257954215004204,0.9436738394696085,0.9569788709266717,0.7474252648714964,0.7369536072674965,0.70402692527592,0.30663606384923,0.69336393615077,0.7638250084191279,0.7268909311197118,0.12562814070351758,0.0313679411692762,0.07075475765108469,0.5566666863031038,0.9092978183745961,0.9279167635926002,0.023930886497925276,0.9711267776536191
3,0.9551051531640088,0.8329144364181471,6059,0.05703876640370531,0.6918633437861034,100167,0.9429612335962947,0.9710283826010563,0.9812137165023703,0.76541948348658,0.861258905396622,0.5345445769327773,0.5927810516038521,0.40721894839614786,0.9326229523704251,0.5669053008375213,0.11643835616438356,0.02363446045647462,0.04646292400464047,0.4913264508683497,0.9550859867197952,0.9508890612306802,0.9779602641250411,0.7683463063663333,0.8386250986010975,0.5578288397824898,0.5611339928021915,0.4388660071978084,0.9092826059612544,0.5920018354023276,0.12408088235294118,0.024054164697162133,0.05333069313344242,0.5489620838608915,0.9384069713555762,0.9436795248389969,0.9762088492917553,0.8008060618974713,0.8150577658506593,0.6102065873568894,0.49119239316028374,0.5088076068397163,0.8777027774515873,0.64418103862955,0.13177470775770456,0.025809070150587417,0.06198222801273551,0.5836053175551479,0.9231779971574642,0.9340923679846606,0.9759678281014204,0.8196462879527309,0.8074921369014452,0.5806590117424467,0.5230772443793661,0.476922755620634,0.8796706145917338,0.6185124338089759,0.1496437054631829,0.026954708428090755,0.0642137015820231,0.5802343150447373,0.9131484633342882,0.9329710085993248,0.950764353589486,0.7981835258800088,0.7458077549171387,0.745232534737782,0.2304725939580616,0.7695274060419384,0.7708599469839446,0.7701931001431866,0.15505226480836237,0.03617942180279091,0.08026286169831735,0.5492383272007184,0.8951141036096621,0.9115041923824101,0.028715792426899193,0.9696481205633087
4,0.9303456743483188,0.805884839174436,3974,0.04691798207813367,0.6816809260191243,80727,0.9530820179218663,0.9425842654873834,0.980582234251984,0.5676839887661916,0.909968702619953,0.4891301443362939,0.6495480917313722,0.35045190826862777,0.976515465209881,0.515795211060134,0.10043290043290043,0.020122946268252166,0.03424379657603669,0.41236228805500175,0.9633396179822903,0.9651165182112652,0.9789603118045679,0.6178514008046362,0.8718578924379008,0.5171452956815684,0.6147856568220352,0.3852143431779647,0.9381289112311747,0.5461632288555841,0.10744580584354382,0.021664831557501263,0.04097379700239981,0.47125155239500094,0.9488524204632942,0.9588071342397386,0.9630103328319517,0.6816084878343643,0.8492000408087361,0.5775214790653129,0.5440162057779526,0.45598379422204743,0.9107563706577488,0.6077089942563386,0.11726384364820847,0.022813876937462143,0.050611044856380114,0.5492312596548541,0.9350937494516635,0.9486309260345586,0.9447122982657281,0.6485074145334091,0.7518632148065869,0.5314801409602941,0.5650257427809365,0.43497425721906346,0.820555420883205,0.5685576230188887,0.13122721749696234,0.029248992625737654,0.057716174693840244,0.4932271104089777,0.9257281562356308,0.9412949453433582,0.9088245150069543,0.6134850716075156,0.6105174338858275,0.6044740014021286,0.3694048620547994,0.6305951379452006,0.6444495696143705,0.6374470837615117,0.12586206896551724,0.0433658515719408,0.07410457029955768,0.4148019292650882,0.908271171486358,0.9218077471231457,0.030479999960370485,0.9445522716891385
5,0.9557378083401679,0.7920302660312691,3307,0.041726600550129965,0.6897490172361657,75947,0.95827339944987,0.9673193147853109,0.9867141085118745,0.7093711472059057,0.9197847457712638,0.5458532864209978,0.5973229902062392,0.4026770097937607,0.9770860396714486,0.5703154391888179,0.0940550133096717,0.017582746464150582,0.03579324822162477,0.508769185873222,0.961345480709058,0.9629267265262731,0.977113476613516,0.7384594246700333,0.8622954645954106,0.5663297367336947,0.5619423009530344,0.4380576990469656,0.9190905964412523,0.593324566270663,0.10105871029836382,0.019312083845551192,0.043188253129149895,0.5528394309489562,0.946906529534348,0.955518141049037,0.9795221809580088,0.7754322368337695,0.8613915692238643,0.6281681441675687,0.4893952302330943,0.5106047697669057,0.9139602669538525,0.6551788927212708,0.11234705228031146,0.019248156877593747,0.05185248488746166,0.6287900778647524,0.9336175580811368,0.9462965487021159,0.9668874386782953,0.7525324337745998,0.7687196877470868,0.5772978839841821,0.5156368397644572,0.4843631602355428,0.8292035587148288,0.6115192329151076,0.12792127921279212,0.024482781355906313,0.05985107358717028,0.5909383092310234,0.9247786612018624,0.9377161100710768,0.9472262977614004,0.702128090939277,0.7334766719194956,0.7102683792720087,0.29125589359244075,0.7087441064075592,0.7592277448808691,0.7331178579931665,0.13011152416356878,0.03160900018917027,0.06521885007243436,0.5153395045440974,0.9086281437501466,0.932379677222453,0.024455812613338693,0.9661182071899648
6,0.9415255048329984,0.7980288321628195,5951,0.056952818451526464,0.642581078810284,98539,0.9430471815484736,0.9595794558499681,0.9686351740270568,0.5581843019132252,0.8196046470312934,0.4484428812400371,0.6696933741560466,0.3303066258439533,0.9032410106676569,0.483721068772374,0.12142237640936687,0.025480313281254482,0.040594513845751995,0.3723212605015378,0.955827331474444,0.9574451189254349,0.9655954008279859,0.5899627233588144,0.7974583640901314,0.476643563756436,0.6364921312685644,0.36350786873143565,0.8807916974234649,0.5146264154316827,0.12909260991580918,0.02813693639437393,0.04766256099939994,0.40966377373787843,0.9391678601092265,0.9502028507064265,0.9678517226591394,0.6662125542768473,0.7724958671810032,0.517489210173729,0.5851198735358488,0.4148801264641511,0.8531410284713257,0.5582734269160523,0.14042553191489363,0.029868567040563038,0.057574380048187705,0.4812177392867433,0.9238134241117612,0.9393737975250538,0.9630804929298902,0.7122794655674413,0.7383056627041338,0.5262232560968824,0.5636391017915503,0.4363608982084497,0.8161266743772857,0.5686695444776875,0.14723203769140164,0.03301193155139035,0.06433978833358563,0.48691264913350685,0.9136249100448754,0.9323875370712937,0.9338427014252435,0.7183143419815942,0.6905027434062836,0.6780957194874326,0.3038552078666485,0.6961447921333516,0.7247079747946135,0.710139282849925,0.15177065767284992,0.04396683265733986,0.08312117054683445,0.47105132942555417,0.8951672692625565,0.9082185998640327,0.03442099268099047,0.9565694735971889
7,0.9614108772982471,0.9083084077934809,6242,0.053503621480306865,0.6735020826658122,110423,0.9464963785196931,0.9776858082102461,0.9867853603923133,0.8158687886769592,0.9047225484474415,0.6008867489076581,0.5327187862872107,0.4672812137127893,0.9690607837415591,0.6305237888897901,0.11688311688311688,0.022667688537117373,0.05014764275922276,0.5479809759762135,0.9500943395519118,0.9465908914483749,0.9817215145847977,0.8455915510098916,0.8474314274856001,0.6324475112570578,0.47653368204573954,0.5234663179542605,0.9070273870815596,0.6638243634736842,0.1233644859813084,0.024427568467672748,0.06023987502789205,0.5944950341221262,0.9323856225481683,0.9348939878760661,0.9738915779413438,0.844003617326838,0.8241480186853753,0.6652591985002948,0.4227625067845567,0.5772374932154434,0.8783294085558112,0.6966422022858504,0.13326226012793177,0.025568704802770775,0.06805957638156987,0.6243187783094308,0.9166755345425253,0.9257061770166095,0.9699034935732553,0.8530437638339615,0.7813211739658854,0.626553395520885,0.452490578779681,0.547509421220319,0.8452359542588281,0.6645502562902373,0.1536643026004728,0.028920329889371377,0.0743659015385651,0.611107654300759,0.9065692223695965,0.9185625763794619,0.9614089768822047,0.856529424482027,0.7747936018309041,0.757024338560445,0.23703455504700321,0.7629654449529968,0.8034234586816198,0.7826719599664443,0.17003367003367004,0.03333616592927612,0.0853883325146764,0.6095934310047997,0.8888071421207596,0.9043506312851864,0.02861840217462938,0.9706908193541524
8,0.9325430117332361,0.7688206637045605,4056,0.04931666747726278,0.6651873767258383,78188,0.9506833325227372,0.9464112139970328,0.9754516112926677,0.4807684395428684,0.893512423762818,0.4015153244900221,0.7246120114316169,0.27538798856838315,0.971526608159981,0.4291340548323455,0.1056701030927835,0.019610858475848276,0.02941828614819413,0.33337862113860406,0.9606321565842124,0.9705765713757177,0.9771512304757297,0.5261262533364736,0.89452289654029,0.42488283817076,0.7037662533890128,0.29623374661098734,0.9745614693464617,0.4543580141662698,0.11327762302692665,0.02224586600276589,0.03428838104957603,0.35121270465929577,0.9453906813994276,0.9670370096143797,0.9646019782105688,0.5961586878345079,0.8402699612289581,0.49536806434134867,0.6276952345214698,0.3723047654785302,0.9182360629238734,0.5297990649145198,0.12673056443024494,0.026298094204967946,0.04737731924657763,0.4449222830000532,0.9310954594537993,0.9532450661353278,0.9403121087870344,0.5777810078584674,0.7088866567601675,0.4637919518241212,0.6282502682866435,0.37174973171335646,0.7901049308718427,0.505607638434672,0.136310223266745,0.03473034261253305,0.05744444048747319,0.3954098548473697,0.9214640059205598,0.9426699205210799,0.9200115364147797,0.5839871201379571,0.6046348286886318,0.6053062269120599,0.3607295646658687,0.6392704353341314,0.6377087586497213,0.6384886420687458,0.12121212121212122,0.046653015066698895,0.0772214077097965,0.3958538642286319,0.9037079168515804,0.9187797596830012,0.034059166572930705,0.9458126956521403
9,0.9404482119063402,0.8313196112430318,10720,0.07177818398516227,0.5916977611940298,138629,0.9282218160148378,0.9674166299980523,0.9673965342774706,0.5523354108080912,0.8808976492726825,0.5361607493381232,0.5902745195491113,0.4097254804508887,0.9740876134303886,0.5768243083964728,0.1507537688442211,0.03204361898066466,0.05664056125844125,0.4342637454728763,0.9426810961561579,0.9390460303108662,0.9676057058721468,0.6033628514664625,0.8619270148069886,0.5651914936393404,0.554304640151667,0.44569535984833303,0.9523891583664774,0.607224274532134,0.1585144927536232,0.03301065738881388,0.06339345856183248,0.47927344338507627,0.9219425674941981,0.9310925049649792,0.9810848759045881,0.7744513024377024,0.87653636479275,0.6664932119683207,0.4403818371069148,0.5596181628930852,0.9516808734632701,0.7047948675359615,0.17181069958847736,0.026495763922964086,0.07855945188937624,0.6627297761665372,0.9034299449413843,0.9120306709807824,0.9846014771579048,0.8971416424188416,0.8491003518420666,0.6503930410134466,0.44708365454702825,0.5529163454529717,0.9330898531544026,0.6943721124028723,0.1970387243735763,0.02463524825454624,0.08659681082326598,0.7155178346599401,0.8915186201086533,0.9019738842750875,0.9518662660542772,0.8585354065477602,0.780905880532162,0.7983026464267307,0.15378140779753577,0.8462185922024642,0.8028182311297717,0.823947293024439,0.1974921630094044,0.03603155498407311,0.10585733546896858,0.6596215574060473,0.8707695910417047,0.8745623880753286,0.02956045285362597,0.9719346622318713
