metric,mean,std,ci_lower_2.5,ci_upper_97.5
harrell_c_index,0.9433547746024658,0.010432354446924077,0.9165358925074809,0.9599668953483541
uno_c_index,0.8310632769770231,0.047933104184846,0.7231860909807177,0.9103175704562778
event_event_pairs,6077.19,3173.3334727426977,1502.375,13399.1
event_event_fraction,0.054076920899695666,0.012154456250379383,0.030842481816473363,0.07970151674972979
event_event_c_index,0.6711268247588055,0.03381369481600374,0.5973352966290806,0.7313199317869324
event_censored_pairs,99408.52,28887.346800992313,47160.05,157851.8
event_censored_fraction,0.9459230791003044,0.012154456250379383,0.9202984832502702,0.9691575181835267
event_censored_c_index,0.9589688641769359,0.011636073297832667,0.9319274431778725,0.9768062125607518
12h_auc,0.9805018389999912,0.007511257276990798,0.963247981383633,0.9921064659823838
12h_average_precision,0.6599972746494159,0.1581485176818534,0.28713026433817446,0.8884562036821553
12h_tss,0.8903587323726285,0.03619084738002602,0.8013035409574809,0.9442451072748312
12h_hss2,0.5234664693679648,0.1006276308957532,0.29894515154532403,0.6889165313237887
12h_far,0.6058709995305749,0.0965812263761198,0.4355318268147924,0.8075956279084033
12h_precision,0.394129000469425,0.0965812263761198,0.19240437209159664,0.5644681731852076
12h_recall,0.9589332077128085,0.03459337427692477,0.8654006287719375,1.0
12h_f1,0.5524293346002627,0.10295254396034569,0.31881368856799525,0.71817322718367
12h_alert_fraction,0.11195030098609103,0.021482741937260283,0.07161084542220089,0.15549370386452452
12h_brier,0.022225293869156046,0.005372656073582208,0.012183928581632635,0.03290322876061043
12h_km_reference_brier,0.04312793473268409,0.014366032927446521,0.017370435508827036,0.07285147608397644
12h_bss,0.46091733328801204,0.09975204089893562,0.21612750259725144,0.6046199669786666
12h_predicted_survival_mean,0.9562401321805817,0.009280155555516366,0.9370728637577883,0.9733626746610526
12h_observed_survival_km,0.954666510160801,0.016461781210020204,0.9209699852885314,0.9843125152505601
24h_auc,0.9759229331486267,0.00887472264056358,0.9556955836038088,0.9898780085164297
24h_average_precision,0.6893750361337595,0.1327706012251696,0.392596872695566,0.8915159182193638
24h_tss,0.8465977257080125,0.04838767740898224,0.7329191777918301,0.9197747819051831
24h_hss2,0.5508679891146141,0.09054771135153343,0.3594511147780082,0.705201381324354
24h_far,0.5679267196232777,0.09068625680519844,0.4047578039640669,0.7512667908800085
24h_precision,0.4320732803767222,0.09068625680519844,0.24873320911999153,0.5952421960359331
24h_recall,0.9137724900498525,0.04640040540747145,0.8057371597670445,0.9822071690111326
24h_f1,0.5823329950132797,0.0918308748907742,0.3843407492547148,0.7342614775367495
24h_alert_fraction,0.11907370005355349,0.02257685505299588,0.07714280348557692,0.16491913620641302
24h_brier,0.023672744669262936,0.004966877477806467,0.014612869427612113,0.03358398042251772
24h_km_reference_brier,0.05074486150782064,0.014111536605395254,0.026375019010152816,0.07970872717970057
24h_bss,0.5149558985647698,0.10185099374279108,0.2945995795119611,0.6826311177952741
24h_predicted_survival_mean,0.9398485497784136,0.01205718564803258,0.9150921812114248,0.9619710093472129
24h_observed_survival_km,0.9466666803222932,0.017105885862983637,0.9118128465460876,0.9763781245184707
48h_auc,0.9690665428827565,0.013524608166186511,0.9343961661654784,0.9887154745534321
48h_average_precision,0.7454774910527194,0.1081271854573699,0.4818831604890503,0.8997085263197875
48h_tss,0.8217438277015529,0.05579389192548229,0.6848436928180477,0.905700005821051
48h_hss2,0.6094368361902389,0.08566454107767377,0.4167859992239874,0.7525299590520368
48h_far,0.492296809881557,0.09025582631542148,0.3324034816165,0.6896104895306818
48h_precision,0.507703190118443,0.09025582631542148,0.31038951046931823,0.6675965183834999
48h_recall,0.8819816588814713,0.05316215300046416,0.7516286729417263,0.9599546677941696
48h_f1,0.6413779998969517,0.08535294303345453,0.44571675887535095,0.7831240467895526
48h_alert_fraction,0.12903859165394269,0.02455693663524107,0.08464573219126545,0.17853745644599303
48h_brier,0.024548608891828028,0.004610128324137029,0.01581303005074948,0.03389253662503138
48h_km_reference_brier,0.06121415600124148,0.014382903729809252,0.0346445267599061,0.09063409961272238
48h_bss,0.584425943599164,0.09577192761243081,0.36713249802930853,0.7313870211055015
48h_predicted_survival_mean,0.9247977560428423,0.014166162757234174,0.895555973609145,0.95100349779748
48h_observed_survival_km,0.9348220990940722,0.01846861808253928,0.8970485990750109,0.9684569380848885
72h_auc,0.9628993446071251,0.015033503352554873,0.927955416010585,0.9847289560189064
72h_average_precision,0.7627646909208502,0.11024951200060197,0.4827757354180599,0.91031415175088
72h_tss,0.7767895752933354,0.06291225749304886,0.6393708633753322,0.8740639875209731
72h_hss2,0.585290675906885,0.08886592803512836,0.3924790206770497,0.7364147181843703
72h_far,0.5037959664416769,0.09288015287842401,0.3378762950968873,0.7019070875399207
72h_precision,0.4962040335583231,0.09288015287842402,0.2980929124600793,0.6621237049031128
72h_recall,0.8415594111753817,0.05943002183863495,0.7083299284011024,0.9331287565631669
72h_f1,0.6213015687007823,0.08825997350603754,0.424538271395126,0.7669713594669647
72h_alert_fraction,0.14229490800048805,0.02642410272208168,0.09322881451431148,0.19383427869434608
72h_brier,0.02734311934936099,0.005431883756093468,0.01740341617329522,0.03892521115134514
72h_km_reference_brier,0.06699686682672067,0.014530053497673445,0.0397318139388568,0.09622727952197363
72h_bss,0.5778861627466997,0.10506789136091338,0.33514458568298655,0.7366855845860469
72h_predicted_survival_mean,0.9148376462747958,0.01530140397049753,0.8831387604236751,0.9434814283098837
72h_observed_survival_km,0.9290454737678305,0.019465733239983143,0.8896182176231784,0.9653160575462738
144h_auc,0.9393951676422774,0.017237861469526734,0.9023601986966242,0.9683511407647155
144h_average_precision,0.7448144248967371,0.09231282379322679,0.5295723461201631,0.8812501558551157
144h_tss,0.7232224440401523,0.06296194754931529,0.587005918573673,0.8281865360424923
144h_hss2,0.7133222932609043,0.07074756988487915,0.5623260701342911,0.8273491624475651
144h_far,0.2702090508458726,0.08075591240927937,0.13553345422544455,0.4461824500154689
144h_precision,0.7297909491541273,0.08075591240927937,0.5538175499845311,0.8644665457745554
144h_recall,0.7505537432879353,0.059742970341808095,0.6186321203010703,0.849342976173631
144h_f1,0.7393554152249462,0.06824224554732868,0.5918008411027071,0.8498737961874799
144h_alert_fraction,0.14798136161607875,0.035427799701273396,0.08071382013134096,0.21659112776624298
144h_brier,0.03581177608923171,0.006662641867968526,0.02420803144155155,0.049142350604813985
144h_km_reference_brier,0.08119239975459872,0.014713595563521673,0.05447614163264705,0.11044130215092525
144h_bss,0.5508053746125635,0.08790469015234871,0.3619373027588132,0.6963480073028098
