replicate,harrell_c_index,uno_c_index,event_event_pairs,event_event_fraction,event_event_c_index,event_censored_pairs,event_censored_fraction,event_censored_c_index,12h_auc,12h_average_precision,12h_tss,12h_hss2,12h_far,12h_precision,12h_recall,12h_f1,12h_alert_fraction,12h_brier,12h_km_reference_brier,12h_bss,12h_predicted_survival_mean,12h_observed_survival_km,24h_auc,24h_average_precision,24h_tss,24h_hss2,24h_far,24h_precision,24h_recall,24h_f1,24h_alert_fraction,24h_brier,24h_km_reference_brier,24h_bss,24h_predicted_survival_mean,24h_observed_survival_km,48h_auc,48h_average_precision,48h_tss,48h_hss2,48h_far,48h_precision,48h_recall,48h_f1,48h_alert_fraction,48h_brier,48h_km_reference_brier,48h_bss,48h_predicted_survival_mean,48h_observed_survival_km,72h_auc,72h_average_precision,72h_tss,72h_hss2,72h_far,72h_precision,72h_recall,72h_f1,72h_alert_fraction,72h_brier,72h_km_reference_brier,72h_bss,72h_predicted_survival_mean,72h_observed_survival_km,144h_auc,144h_average_precision,144h_tss,144h_hss2,144h_far,144h_precision,144h_recall,144h_f1,144h_alert_fraction,144h_brier,144h_km_reference_brier,144h_bss,144h_predicted_survival_mean,144h_observed_survival_km,integrated_brier_score,integrated_auc
0,0.9506754633993089,0.8294955669254901,3057,0.04175716100479449,0.571475302584233,70152,0.9582428389952055,0.9671997947314404,0.9681223459848327,0.3392811230148332,0.8189982077680684,0.4278451696733747,0.6964687310414104,0.30353126895858973,0.8742518309564743,0.45061398428747323,0.07834507042253522,0.018425032321239716,0.026577377929216564,0.30674002641227294,0.9676014574747406,0.9736300040313398,0.9667540891633106,0.4071066794320705,0.7992965154229577,0.49801136169830845,0.6227424308846605,0.3772575691153394,0.8512445673710096,0.5228130202972493,0.08349328214971209,0.022230649076890496,0.03527090105660545,0.36971700719488165,0.9545333880466382,0.9653375344673124,0.9767804271730293,0.6082750116390394,0.8517384740280027,0.6503812189682738,0.46087236373730067,0.5391276362626994,0.8911816294804389,0.6718276346100567,0.08951965065502183,0.02157599289946339,0.047600263147234194,0.546725344086316,0.9419477182821728,0.9522184759373591,0.9681688263754875,0.6766476594519999,0.8010651927069543,0.6525499174753521,0.43430790142247416,0.5656920985775259,0.8395267311684927,0.6759283725972726,0.09828009828009827,0.02275681329165783,0.05469052258418429,0.5838984120762676,0.9330410876071339,0.9449742310880328,0.9545527288464066,0.7846751952968649,0.7488511357341903,0.6523618882476473,0.4011701003217969,0.598829899678203,0.7914474846185715,0.6817954793308146,0.13854351687388988,0.02343175079739084,0.06784764606881102,0.6546416544263544,0.9156388139208461,0.9302054891329293,0.02245754373942602,0.9658260593749645
1,0.9573694009887217,0.8999960979741246,9349,0.06669329928163277,0.7364424002567119,130830,0.9333067007183672,0.9731560039746235,0.9869126755448391,0.8714314849319167,0.9235781790782929,0.7000390892327387,0.42212024614649296,0.577879753853507,0.9765404771034275,0.7260880414417993,0.11990008326394672,0.02753421286574008,0.0632888930252007,0.5649439964959355,0.9458678463943773,0.9316980628797813,0.9824532007675064,0.8603062646953754,0.9006717824919104,0.7014267749396349,0.4101820820375261,0.589817917962474,0.9544352233521255,0.7290812383109346,0.12903225806451613,0.02614652877236917,0.0677481674395993,0.6140629368952298,0.9266951280878697,0.926374231164164,0.9775855892489917,0.8712774170891702,0.8920796191250653,0.7554841890243429,0.33072695701546767,0.6692730429845323,0.9377470664318568,0.7810839814924179,0.14389989572471323,0.025099769635345465,0.07692686984998953,0.6737190830162332,0.9095959648624993,0.9148423572730234,0.9722624880269172,0.8599853822193326,0.8703405872314591,0.7526068599203072,0.32207929991975737,0.6779207000802425,0.9133653590697902,0.7782249836090027,0.15102974828375287,0.026068844445604814,0.07965390029006296,0.6727235659437385,0.8982335331490531,0.912472299352627,0.9606937812153905,0.8871185237957299,0.7965559965599132,0.7345884660382822,0.2942432146420534,0.7057567853579466,0.8429269643018487,0.7682671491166475,0.21035598705501618,0.028742941205343864,0.09489232862317627,0.6970994218143387,0.8775193642379394,0.8913737254050619,0.02669914911459687,0.9721307830159549
2,0.9316239316239316,0.8365357263381076,5022,0.05177693235594321,0.654320987654321,91971,0.9482230676440568,0.9467658283589392,0.9786870873780638,0.6830835305824545,0.8979491296821012,0.5335955826425358,0.6053894097730219,0.39461059022697803,0.9555548902581585,0.5585568357199578,0.09334485738980121,0.020543807242072963,0.0360125559476493,0.42953765148085943,0.962302848596512,0.9629488365278236,0.958664974593971,0.632974688748445,0.7938319219087075,0.5414051336643398,0.5705492989219277,0.4294507010780723,0.85137160444839,0.5709178093334984,0.10046948356807511,0.026197567080006177,0.045570167946303794,0.4251158540632267,0.947330514590458,0.9529614708387982,0.9502358733995863,0.6769106883618561,0.7795920181249885,0.6050857188116071,0.4855796561323979,0.5144203438676022,0.832595551693893,0.6359302684048469,0.11316648531011969,0.02976973704586437,0.056998111902272344,0.4777066107574427,0.9330262066193687,0.9399625416926,0.9336749948794392,0.6505801389644127,0.721916739772559,0.5778615791181831,0.4948510708142334,0.5051489291857666,0.7764621943180134,0.6120874558901537,0.12071005917159763,0.035012629292555976,0.0632418948386393,0.44636969872755794,0.9229700853822141,0.934033484358049,0.9196313993383105,0.6686653953141459,0.6644587424545572,0.5551515086047951,0.4906156492795464,0.5093843507204535,0.7308724046936462,0.600351441262768,0.1672077922077922,0.04344923291039127,0.08008960510328561,0.45749223192750144,0.903487131185567,0.9150469674603344,0.03450054038492474,0.9383097209010771
3,0.9321809088932377,0.8307331774202009,4525,0.049196547000369656,0.6948066298342541,87453,0.9508034529996303,0.9444615965146993,0.973076061898767,0.7343315269962256,0.7798496845751663,0.5385285270538678,0.5712077587016611,0.42879224129833887,0.8320953307713165,0.5659442281117272,0.0890829694323144,0.02344146758300083,0.04189533355793252,0.4404754517448546,0.9636274758401889,0.9558413959753005,0.9661825495906179,0.7286335579042447,0.7418445392872992,0.5619193329321954,0.5276777976509773,0.4723222023490228,0.7935162718100957,0.5921693182064202,0.09705042816365367,0.025858107484859744,0.05038407054139639,0.4867801031753817,0.9492394408522837,0.9466941792120019,0.949718021576046,0.7264681169281525,0.728874192891459,0.5911342560209351,0.48207464631467156,0.5179253536853285,0.7762114709979677,0.6212938121896263,0.10284463894967177,0.02711632916261307,0.05561301451600913,0.5124103701516273,0.9355013315316887,0.9416867291516806,0.9383694523931857,0.7001183479956868,0.6845176507755335,0.5705424559427047,0.4876594721293077,0.5123405278706922,0.7320110544694647,0.6027861182910387,0.10843373493975904,0.03023752352431815,0.06006959752016725,0.49662516859437145,0.9258385458774891,0.9380379429930781,0.9091237374618262,0.6920418476714146,0.6221773014378238,0.5353294024164698,0.4969214245384879,0.503078575461512,0.6822975419187856,0.5791398534129082,0.153184165232358,0.03872731173234436,0.0730601995719948,0.46992600678318996,0.9070847087489913,0.9230925066731165,0.031079325694392895,0.9378269927677839
4,0.9562978401263587,0.7848362273429548,5627,0.052590259539987104,0.7144126532788342,101370,0.9474097404600129,0.9697247706422019,0.987810298476002,0.8729603836111071,0.8954293026305904,0.7331507872012869,0.3686011621664703,0.6313988378335297,0.9298159197309622,0.7520870377027451,0.09059233449477352,0.02451423238771778,0.0539020306292524,0.545207627587707,0.9598028458616217,0.9420404581505748,0.9850268997233642,0.8742099621346436,0.8870678573292341,0.7467088903405373,0.3444013833629891,0.6555986166370109,0.9202003874497161,0.7656840745251196,0.09692451071761417,0.02153314050031361,0.05814420446482519,0.6296597279383149,0.9447797690265352,0.9374906740344919,0.9884404308131467,0.9209819785206204,0.9029093886706816,0.8107167016623741,0.2560294033774127,0.7439705966225874,0.926991957478021,0.825458066641677,0.10261780104712041,0.018262472957802433,0.06400429950277335,0.7146680285593766,0.9308797134859624,0.9315100522574302,0.9795217453594078,0.8961102377564849,0.8561732365061783,0.7805344884106106,0.27135101989439103,0.728648980105609,0.8818471774561141,0.797961601392745,0.11213872832369942,0.020034410550943276,0.06819923214488519,0.7062370070621709,0.9213336274506052,0.9279410482257925,0.9614019893304975,0.8539129434653997,0.7965055290675598,0.7120857181496766,0.33801602970384415,0.6619839702961559,0.8341703124950551,0.7381690267108935,0.15916398713826366,0.02705570473892158,0.07659422991786667,0.6467657581003963,0.903225448357728,0.9207045207841873,0.022035139025497454,0.9773290281707695
5,0.9128326841934437,0.7540695522484564,5714,0.057956608615390856,0.6688834441722086,92877,0.9420433913846091,0.9278400465131302,0.9746217628671086,0.44563047304854947,0.874026186956403,0.5082698304234251,0.6261629477121274,0.3738370522878725,0.9329563773462488,0.5337854539381088,0.09241499564080209,0.02215496455328312,0.034265560777797716,0.3534334751749233,0.9629657809063538,0.9646453786249187,0.9628566033824641,0.47505390816787396,0.7962986989414769,0.5420852639076061,0.5707099598038616,0.4292900401961383,0.8531849264863871,0.571182753505938,0.09924385633270322,0.02733944419805241,0.04451011296756809,0.3857700559427235,0.9480635968521236,0.9537149142155099,0.9460036998608721,0.5571120431821073,0.7718367018208805,0.5843961788948041,0.510035614124944,0.489964385875056,0.8250158925723257,0.6148052739142821,0.10848549946294307,0.030112521678041872,0.05386093074955324,0.440920881630111,0.9337937338484975,0.9436758809069475,0.9360568314930657,0.6004685271035021,0.7187347613766895,0.5771872589141099,0.49540070721001866,0.5045992927899814,0.7701486431247614,0.6097149871202611,0.11411764705882353,0.03353614976643332,0.06096727307540656,0.4499319376650719,0.9237733269201851,0.936639138273967,0.9044984230888891,0.6297036125207038,0.5895184988946349,0.5254970994802418,0.48645626529301894,0.513543734706981,0.6529800373561734,0.5749283728353177,0.16013071895424835,0.04812010059756294,0.08368887107654822,0.4250119522636573,0.9044633591394736,0.9082683236163682,0.035528781162566005,0.9346659801334477
6,0.9401974755700325,0.8865321917706048,6966,0.059090484955932374,0.6602067183462532,110921,0.9409095150440676,0.9577807628852968,0.9791821656547502,0.6943807824338136,0.8912901621021929,0.5831419940058772,0.5506391210526032,0.4493608789473968,0.9491193435968548,0.6099437025841293,0.10228233305156383,0.02451253185500142,0.04453991835482737,0.4496502741715358,0.9556583449361852,0.9533380691390926,0.9678559740331608,0.693249391724397,0.8156360405951908,0.6055894258986907,0.49970965028168807,0.5002903497183119,0.8708685987347258,0.6355020419933678,0.10950226244343891,0.029567084062861675,0.05578696324517782,0.4700001157453676,0.9392342149309659,0.9410155505357078,0.9547604043505054,0.7473903322187,0.7693538123290433,0.6478190021332219,0.4190667070950624,0.5809332929049376,0.8188359757352575,0.6796678429653175,0.12212943632567849,0.03240339085532778,0.06902232103947145,0.5305375077607516,0.9241460885482331,0.9253185362607661,0.9447840563760757,0.7432326849282608,0.7157664400526207,0.6257513650247035,0.4178724547291771,0.582127545270823,0.7666802781727251,0.6617780540459914,0.1334106728538283,0.037028389255063146,0.07619296690051865,0.5140182780464597,0.9138574759403132,0.9171083466400383,0.9321600551089149,0.7611037386592769,0.7042183170435692,0.631346818243101,0.3951124544150001,0.6048875455849999,0.7632900470013753,0.6749191707303493,0.1903114186851211,0.038644839797079944,0.08449499582799509,0.5426375323368435,0.8945319576610596,0.9054371858506065,0.035041977285812834,0.9478647494008341
7,0.9363466223351421,0.7264688796863883,5099,0.05331284045878946,0.6885663855657972,90544,0.9466871595412105,0.9503004064322318,0.9835947635337892,0.6873847017179449,0.9095027898168853,0.5842707302700684,0.5559894574107875,0.4440105425892124,0.9599987321072369,0.6071890914254061,0.08894645941278066,0.0199844777677117,0.0381567632672902,0.47625332820503286,0.9617054431599155,0.96039281129152,0.9780407843874622,0.6931440747847034,0.8545904467732415,0.63288380957215,0.4827612205846824,0.5172387794153177,0.9006237474588439,0.6570982997555529,0.0951061865189289,0.02316165700114236,0.049142737148713894,0.5286860613593536,0.9467442676141786,0.9487557517792131,0.9698351376843662,0.7142722905370732,0.8550055426508476,0.6869988507392015,0.4121124313897957,0.5878875686102043,0.8950055426508475,0.7096433699313833,0.1027542372881356,0.024017138098151217,0.05605250364305071,0.5715242578441219,0.9326412170867853,0.9418988628139724,0.9709663236319273,0.7382728833661153,0.858062867491612,0.6989473850642852,0.39757700418194836,0.6024229958180516,0.8950055426508475,0.7201304188162204,0.10655737704918032,0.02287882981853747,0.05795052202867395,0.605200626023403,0.9228514331617297,0.9418988628139724,0.9505109586744656,0.8397987755106643,0.7567666928817975,0.6699762801832315,0.37695059432332,0.6230494056766801,0.8004929286232426,0.7007120637158609,0.15384615384615385,0.026898461295875378,0.07733190214299943,0.6521686322142226,0.9041799771503113,0.9195031568606241,0.02408906397669526,0.9667206367516296
8,0.9323251642569047,0.8427050614252928,5300,0.05252361084959418,0.6479245283018867,95607,0.9474763891504058,0.948089575031117,0.9803311047095893,0.6470962791622393,0.9042959363267777,0.5684621240015237,0.5703880404540398,0.4296119595459602,0.9607108589837388,0.593722363158165,0.09652173913043478,0.022465536695742937,0.03956927906631355,0.43224801599004903,0.9624210243953744,0.9584194685508741,0.9685445799122696,0.6258704849430763,0.8326428286575922,0.5596906431843423,0.5608312834777442,0.4391687165222558,0.8904693490962763,0.5882296713024695,0.10283018867924529,0.024627026857489964,0.04522438604714025,0.4554480666289278,0.9472739315350192,0.9529729440245435,0.9594781927866707,0.7380920735575563,0.8265823624891482,0.6649826189414103,0.4268305562685087,0.5731694437314914,0.8733113344517651,0.6921009657671491,0.11385606874328678,0.026802038001239474,0.0604263381909156,0.5564510641608125,0.9327590062212084,0.9351325507500649,0.9571797512519267,0.8146533904884333,0.8040432357969562,0.6694441869505441,0.409105252000786,0.590894747999214,0.8475214966665217,0.6963158307671333,0.11846689895470383,0.02637561417707213,0.06575389917854667,0.5988737625208753,0.9225614706288616,0.9305003436734339,0.9173299125264233,0.7391393534894348,0.6858580965786361,0.5928928330057492,0.44757316139055364,0.5524268386094464,0.7442385108912537,0.6341456226949718,0.16666666666666666,0.03919401093258614,0.08207335224931328,0.5224514430271235,0.9029004893314496,0.9123716715605447,0.02953289764933021,0.9493315954894106
9,0.9430090285923359,0.8094404393468506,4622,0.04973796636069173,0.7154911293812203,88305,0.9502620336393083,0.9549176150840836,0.9800724364120652,0.7480469873363131,0.8594447001611134,0.5973249434005238,0.5279767220300098,0.4720232779699902,0.9064185032324774,0.6207743249558435,0.08699397071490095,0.02190018659817646,0.04181330335885231,0.47623878433560884,0.9621466468090698,0.9563621323929247,0.9738002467833544,0.7292244488774997,0.8367106310490358,0.6228905125639741,0.48884665971275254,0.5111533402872476,0.881986221600217,0.6472147020898351,0.09285051067780872,0.022931378775250085,0.04824982639590176,0.5247365537216144,0.9473269601562666,0.9500387757532007,0.9787519203094334,0.7867967365239811,0.8627497644227453,0.7157238912541319,0.37630685559606014,0.6236931444039399,0.8975122209696746,0.735958775822563,0.09871244635193133,0.02142349449970976,0.05581158102790571,0.6161460738946269,0.9333038949232833,0.9422277574845315,0.9719790117318552,0.8110990707238593,0.8317367433124594,0.7095737464625179,0.36786699046542165,0.6321330095345783,0.8653719308933133,0.7305887924296702,0.10532544378698225,0.021948544498141126,0.060250866165314144,0.6357140420534453,0.9235263531907757,0.9387122904421817,0.9467103039847371,0.7905043509842041,0.7467227273841348,0.6627223790154024,0.38358725920859615,0.6164127407914038,0.786495454656862,0.691144039785311,0.14309210526315788,0.027835598742181365,0.07222989358009572,0.6146249514916636,0.9047563027668799,0.9271149421747367,0.023590465880044677,0.9669352170801422
