metric,mean,std,ci_lower_2.5,ci_upper_97.5
harrell_c_index,0.9415522450025805,0.011072121943603009,0.9147777007204482,0.9599399825057716
uno_c_index,0.8308615830487022,0.04792693938009618,0.7231605330854388,0.9081302797037828
event_event_pairs,6360.605,3507.056635016922,1691.925,15066.724999999999
event_event_fraction,0.054954610791603006,0.01296620886985187,0.032507018328236,0.08187796731698961
event_event_c_index,0.6624340202937729,0.03906564726915921,0.5764713296803996,0.7258915265005005
event_censored_pairs,101419.706,31487.69663044051,49129.95,169675.49999999997
event_censored_fraction,0.945045389208397,0.012966208869851871,0.9181220326830104,0.9674929816717639
event_censored_c_index,0.9577798405490783,0.012506273214199858,0.9272092603649531,0.976224935148912
12h_auc,0.9783466316656122,0.007759201862427068,0.9594336994431384,0.9907900930126333
12h_average_precision,0.6437203702524614,0.16860736968657672,0.2621174762404379,0.8811411184408019
12h_tss,0.8691541520989904,0.05272031484789002,0.7461356547537799,0.9446410511430864
12h_hss2,0.5712059791704709,0.10525149362778323,0.33644398229484834,0.7439339467303112
12h_far,0.5530675983351614,0.10678420624689172,0.3636740282826746,0.7745176520404966
12h_precision,0.44693240166483866,0.10678420624689172,0.22548234795950328,0.6363259717173253
12h_recall,0.9227833439227084,0.05286360145303147,0.7979766984551087,0.9900352539841006
12h_f1,0.5961955223958452,0.10685848349761559,0.35567799332020233,0.7661980044178468
12h_alert_fraction,0.0971258037886495,0.02256193149080575,0.057268832934970745,0.1449596667583231
12h_brier,0.02340863481820682,0.006071782855932735,0.012407245606139372,0.03605583109737758
12h_km_reference_brier,0.044045315320038164,0.01564966822260017,0.018051811498137504,0.07691920613904162
12h_bss,0.4436867971431085,0.09588534983872589,0.2042466410767609,0.5764969852664759
12h_predicted_survival_mean,0.958062291575875,0.00916604679863979,0.9390951112726648,0.9744985244031602
12h_observed_survival_km,0.9536183029027285,0.01791263668822842,0.9162320298627957,0.9833226187726818
24h_auc,0.9721187137379297,0.010027622927754257,0.9478707283347364,0.9881349548226553
24h_average_precision,0.6621020488524554,0.1478532144787211,0.32393320616788357,0.8760787530987725
24h_tss,0.8327382484338318,0.05648194305631854,0.7017478332813084,0.9179780173827867
24h_hss2,0.5998525601718278,0.09308414178726224,0.3968911676906904,0.7552709147762384
24h_far,0.5098995928172324,0.0987978729306315,0.3350780951680946,0.7144266560982482
24h_precision,0.49010040718276765,0.0987978729306315,0.2855733439017518,0.6649219048319054
24h_recall,0.8845508911167703,0.055904767297119864,0.7523694286851701,0.9650048756670045
24h_f1,0.6266148948640046,0.09391620089097633,0.4216322879161773,0.7776156903140007
24h_alert_fraction,0.10397715662844836,0.023814863823185362,0.06118347480494721,0.1539856330300823
24h_brier,0.025163305340693536,0.005454833630736559,0.015473329424836153,0.03606549501566326
24h_km_reference_brier,0.051618009762807934,0.015446089056139369,0.02575633848071447,0.08388135353161859
24h_bss,0.4918923914268893,0.10157593998367595,0.26480492731103306,0.6495555858010895
24h_predicted_survival_mean,0.9422355213326207,0.011884229224747299,0.9174835433111183,0.9636802186278489
24h_observed_survival_km,0.9456168937292644,0.01869571125709571,0.9076736339052477,0.9768721124133514
48h_auc,0.966607610405118,0.014686504583260205,0.9292842779230563,0.987555437407082
48h_average_precision,0.7388652088742906,0.11165370364873467,0.47580049122124113,0.8981176958588466
48h_tss,0.831508047392821,0.05687756792967323,0.6959344826013987,0.9192644410236209
48h_hss2,0.6771580759623551,0.08315183873414196,0.48614366442591217,0.8101533219059499
48h_far,0.4099073941545981,0.09336331252860143,0.2534883547634827,0.6186169986741112
48h_precision,0.5900926058454019,0.09336331252860143,0.3813830013258887,0.7465116452365173
48h_recall,0.874542610833514,0.05505970820984272,0.7406104317037319,0.9558898190118721
48h_f1,0.7022122758717432,0.08242823422758833,0.5106399184206399,0.8279399086677822
48h_alert_fraction,0.11373986819252042,0.026025555457297896,0.06748474446987034,0.1683080788036576
48h_brier,0.025709754779474365,0.004972040165294911,0.01668697814654705,0.0359529998597292
48h_km_reference_brier,0.06218412483394489,0.01555717882560721,0.035298903346904636,0.0950331090289625
48h_bss,0.5725369749325855,0.08662500086594525,0.3704152826901106,0.7129413373311863
48h_predicted_survival_mean,0.9275680176712676,0.013972329507895348,0.898428283973425,0.9526893794556953
48h_observed_survival_km,0.9335803531744798,0.01993118295493659,0.8929186755601408,0.9685103471672439
72h_auc,0.9597853471427543,0.016419920313632437,0.9221007709605051,0.983969974197988
72h_average_precision,0.7579730171681609,0.10827374211276707,0.484665650834047,0.9069756657973321
72h_tss,0.7924703163137031,0.06382343001928661,0.6395729508965469,0.8964419812231343
72h_hss2,0.6725028611377888,0.08657331188134951,0.477778647150897,0.8095274816914168
72h_far,0.3953351092646517,0.09672459557952567,0.23022396160153033,0.6095118757686923
72h_precision,0.6046648907353483,0.09672459557952567,0.3904881242313077,0.7697760383984695
72h_recall,0.8340152083965205,0.061230892375212516,0.6887331043888462,0.9301505215726288
72h_f1,0.6989558365837909,0.08525751259312028,0.5033539924704895,0.8298639374800829
72h_alert_fraction,0.12188860736349437,0.028260831973138105,0.07176887376237623,0.1788049510868239
72h_brier,0.027261079786266296,0.005326338030891484,0.017322941357318343,0.03858229477445237
72h_km_reference_brier,0.068017009268823,0.015607462267070259,0.040532977056884,0.10091775743053637
72h_bss,0.5862967019015367,0.0915639443247529,0.36728478147962135,0.7335138486952202
72h_predicted_survival_mean,0.9175068626716202,0.015151388882100644,0.88620040775855,0.9446518835425025
72h_observed_survival_km,0.9276816955294598,0.020830737474112536,0.8835801794795455,0.9648646029127735
144h_auc,0.9415907879522898,0.017116316227678844,0.9037051317853049,0.9692750123848571
144h_average_precision,0.7803734502207451,0.08072398417321881,0.5737115985636667,0.8961971728757759
144h_tss,0.7215814982681923,0.06089095890676985,0.5895018754241738,0.8223175758036612
144h_hss2,0.6445210807489291,0.07860179650521278,0.4753318645261123,0.7793951197080321
144h_far,0.3878340884827065,0.09156241270852407,0.23180053977271972,0.5882519560720363
144h_precision,0.6121659115172935,0.09156241270852407,0.41174804392796377,0.7681994602272803
144h_recall,0.7707344869286928,0.057385076836362195,0.6458141931258482,0.8632488906498126
144h_f1,0.6804289771516847,0.07678422242468178,0.5128487186979885,0.8057662489805225
144h_alert_fraction,0.17033547851359343,0.03708320817581986,0.10268615554329841,0.24320836232637205
144h_brier,0.03309944107901725,0.006056142814026965,0.022064202252623955,0.04617335359106892
144h_km_reference_brier,0.08208363757778082,0.01578980938807268,0.053871175928024755,0.11593125300710014
144h_bss,0.5894147742663737,0.07406264142888701,0.4296766764015127,0.7174861961850478
144h_predicted_survival_mean,0.8985149989679485,0.016819042286909572,0.8638608011882675,0.9281899450221607
144h_observed_survival_km,0.910607363658373,0.022944068853477606,0.8626968371150227,0.9511272611802737
integrated_brier_score,0.028110129760109945,0.0050546741253714245,0.018805121532146956,0.03860594730254984
integrated_auc,0.9585891236070748,0.013677116316181237,0.926109605439473,0.9799629000621669
