replicate,harrell_c_index,uno_c_index,event_event_pairs,event_event_fraction,event_event_c_index,event_censored_pairs,event_censored_fraction,event_censored_c_index,12h_auc,12h_average_precision,12h_tss,12h_hss2,12h_far,12h_precision,12h_recall,12h_f1,12h_alert_fraction,12h_brier,12h_km_reference_brier,12h_bss,12h_predicted_survival_mean,12h_observed_survival_km,24h_auc,24h_average_precision,24h_tss,24h_hss2,24h_far,24h_precision,24h_recall,24h_f1,24h_alert_fraction,24h_brier,24h_km_reference_brier,24h_bss,24h_predicted_survival_mean,24h_observed_survival_km,48h_auc,48h_average_precision,48h_tss,48h_hss2,48h_far,48h_precision,48h_recall,48h_f1,48h_alert_fraction,48h_brier,48h_km_reference_brier,48h_bss,48h_predicted_survival_mean,48h_observed_survival_km,72h_auc,72h_average_precision,72h_tss,72h_hss2,72h_far,72h_precision,72h_recall,72h_f1,72h_alert_fraction,72h_brier,72h_km_reference_brier,72h_bss,72h_predicted_survival_mean,72h_observed_survival_km,144h_auc,144h_average_precision,144h_tss,144h_hss2,144h_far,144h_precision,144h_recall,144h_f1,144h_alert_fraction,144h_brier,144h_km_reference_brier,144h_bss,144h_predicted_survival_mean,144h_observed_survival_km,integrated_brier_score,integrated_auc
0,0.9498077100317551,0.8275228063717617,7192,0.06025974025974026,0.6885428253615128,112158,0.9397402597402598,0.9665605663439077,0.9901127994194525,0.864841410331623,0.9351935193519352,0.6159482513720487,0.52412771761637,0.47587228238362994,1.0,0.6448691910048818,0.11949152542372882,0.020766512845649714,0.05138581021828999,0.5958706740745678,0.94973439429096,0.9452540722450742,0.9891575309016556,0.8678159162242747,0.9209951363097009,0.6389623025892789,0.4936328251039103,0.5063671748960897,0.9856074623534383,0.669018432094091,0.12939001848428835,0.020597550130658688,0.05712488747754353,0.6394294844124493,0.9327031483504559,0.9389481439758945,0.9807975883978863,0.8741730655693163,0.8734022645895929,0.5858342618457968,0.5354338136884742,0.4645661863115258,0.958882358266408,0.6258945179269712,0.1632870864461046,0.022113532991595627,0.06329317625053948,0.6506174235266453,0.9171224336401033,0.9321895067336018,0.9626146300771182,0.834071133480586,0.756323865246304,0.7413351325335883,0.2545239327061083,0.7454760672938917,0.778344590634905,0.7615558450489199,0.10220673635307782,0.028582127822717015,0.07006965618075964,0.5920897949180268,0.9065646707818023,0.9251045800054273,0.9434316766006969,0.8328624881915344,0.6704379263009388,0.7553617954786092,0.08783337666203765,0.9121666233379624,0.6784379263009387,0.778129840655652,0.13628899835796388,0.036596384426644736,0.09133025799142398,0.5992961672123911,0.8875557653004774,0.8963410299437765,0.0281476647429824,0.9655583111789587
1,0.9601819157198562,0.858134079595202,8056,0.06450476419248939,0.7399453823237339,116834,0.9354952358075106,0.9753667596761216,0.9836304810802134,0.839419877508403,0.8641033713001487,0.591593053958933,0.5309675474814736,0.4690324525185263,0.9299878478344448,0.6235713391323405,0.11939034716342083,0.021562818085026324,0.05399776701478371,0.600672041139724,0.943008490981037,0.9422008522090889,0.9829495379778895,0.8457674243866102,0.8602398402483229,0.6260859840372965,0.4890323808153639,0.510967619184636,0.9218700589361958,0.6575005060308088,0.12442396313364056,0.022526952295260336,0.0587734998475244,0.6167158267977606,0.9253096035086451,0.9369354009349246,0.982816696614779,0.9033284776493073,0.8452921427896221,0.619086790186545,0.48788512175741544,0.5121148782425846,0.9223063607991008,0.6585608143651679,0.16025641025641027,0.020019682165713405,0.06920851862892663,0.7107338437186848,0.9093780352536363,0.9241750727791652,0.983725753033042,0.9225861870936856,0.8525855185826723,0.8440193772266715,0.15187641308827168,0.8481235869117283,0.8671165621758032,0.8575149192657793,0.11345029239766082,0.020345972227767885,0.07549633526417697,0.730503842914054,0.8986257489380349,0.9171230372222221,0.9821663213546661,0.9231278486148623,0.8088758319725478,0.8435963908823129,0.09753753175663821,0.9024624682433617,0.8187964668931825,0.8585960722321506,0.15548281505728315,0.024365439072529946,0.0854749042152183,0.7149404343153177,0.8792627385961386,0.9052626282110263,0.02173558254049926,0.9830249924484241
2,0.9318992669398222,0.7337561047902138,3068,0.04275779409920143,0.6615058670143416,68685,0.9572422059007986,0.9439761228798137,0.9687137840636464,0.6574073036918455,0.7913039809048954,0.4693412810515098,0.6511519350998578,0.34884806490014214,0.8440329355764957,0.49366073593291904,0.07953529937444147,0.01789070481791094,0.030876734576785494,0.4205765258816594,0.9671107908505685,0.9684711647417271,0.965247348999903,0.6603199773635625,0.7519537932636493,0.5066834771233578,0.6006936610822365,0.39930633891776357,0.8029221928559022,0.5333626890257033,0.08471275559883155,0.02067456732578074,0.03853487504165262,0.4634842515141556,0.9535375980933376,0.9609648105618194,0.9540883549354555,0.7574810715207374,0.7678200133123403,0.5078190471409338,0.5987439888762996,0.40125601112370035,0.8358391063910993,0.5422145169329364,0.116331096196868,0.020774569272694807,0.04820761579928393,0.5690604289747225,0.9401940565215351,0.9507277382364948,0.9544897942951993,0.8017766465067928,0.7479406740941301,0.7844077175101241,0.16174693108721236,0.8382530689127876,0.7558458124340512,0.794919410974567,0.06004901960784314,0.020016181500703892,0.05125021631072222,0.609442009388822,0.9307155697686181,0.9495481752858292,0.9406355143541255,0.7922047251904477,0.683585831837082,0.7761889021999966,0.0760014548386564,0.9239985451613436,0.6874319856832358,0.788350651809695,0.08205128205128205,0.026483658625966557,0.06379341244467833,0.5848527675340586,0.9129153433190731,0.9378121691105425,0.021911094893066495,0.9527518496041604
3,0.945080405296132,0.8069347835411073,8960,0.06300231336619391,0.694921875,133257,0.9369976866338061,0.9619006881439625,0.9783044322686313,0.9146120147591161,0.9062790656380506,0.7101728102862906,0.4018162967593795,0.5981837032406205,0.9566387778682665,0.7360913979076247,0.11960132890365449,0.020640703629207283,0.06664435428740548,0.6902857886476967,0.937516738988762,0.9279716900801058,0.9757870524871,0.9017504462683926,0.878804186404198,0.7159712372745778,0.3804753507876594,0.6195246492123405,0.9278718998487516,0.7429763412831429,0.12701252236135957,0.021145362713940158,0.07149396709541375,0.7042357058502549,0.9199811416942593,0.921961668624377,0.97223788920564,0.9116820676778964,0.8499343729232498,0.6507574024462833,0.4497244309864104,0.5502755690135895,0.9234975913140543,0.6896287382924579,0.1668372569089048,0.020753914962435085,0.07779304242151706,0.7332163093714577,0.9046022634333507,0.9142958323627969,0.9639713627544713,0.8950394393627032,0.8195068899005418,0.8567003130128381,0.08460265290018722,0.9153973470998128,0.8271211030985115,0.8690231812701599,0.11012235817575083,0.02369940258463673,0.08233544510749222,0.7121603878658066,0.8942930402397169,0.9097835817962984,0.9403732545158596,0.8626306359650068,0.7483049530600465,0.8132137821183909,0.07930831464348066,0.9206916853565194,0.7554862816058274,0.8299475969558838,0.14497041420118342,0.03332523271248648,0.09282842388597204,0.6410018470913359,0.875615911954803,0.8993753385338406,0.025301775844217313,0.9613012534401555
4,0.9268917456882836,0.8423809138243565,700,0.02227454973588748,0.6242857142857143,30726,0.9777254502641125,0.9337857189351039,0.967376399986423,0.22079914371010723,0.7037396713926403,0.2377280950937867,0.8493185639999403,0.15068143600005957,0.7476554993889806,0.25081414298630583,0.051583710407239816,0.009321025154190485,0.012538189982180065,0.2565892551127382,0.9782775600500098,0.9897956609964885,0.9713028391153635,0.3155528710644033,0.7415664315017034,0.277837385884059,0.8204629643023387,0.1795370356976613,0.7864318352903376,0.29233579823723493,0.05506391347099312,0.010984511594466268,0.01688113243015972,0.3493024452055472,0.9681578724940663,0.9879141345127411,0.9510046653679194,0.5088319829891207,0.7760421868406233,0.2812596101912264,0.8152095348263965,0.18479046517360356,0.8476357203279214,0.3034308917321194,0.08916478555304741,0.013999108471454203,0.025038875828077525,0.4409050722734045,0.957490667486989,0.9817257891603507,0.936070699104778,0.5390589289493445,0.5199089656925522,0.5443304673223572,0.4173217654759918,0.5826782345240082,0.5290953173985891,0.554595537739853,0.02544529262086514,0.017671677913823625,0.031565214363950204,0.4401534008270199,0.9494831640318707,0.9767204730196147,0.8815533313975719,0.48071350115102235,0.3790601514570906,0.45680683040511266,0.3962348414030419,0.6037651585969581,0.3894985648182598,0.47352109458341096,0.03718199608610567,0.029630791535621235,0.044404520800091135,0.332707773854404,0.9335534093689506,0.963907875677462,0.018974053015805566,0.9301449618194476
5,0.9582460374047057,0.9104211145676288,3994,0.043810672955629903,0.6959188783174762,87171,0.9561893270443701,0.9702653405375641,0.9805802702254864,0.8316898856546617,0.8755003135120414,0.5175101754641852,0.6153670467803003,0.38463295321969954,0.9409711655299786,0.5460582283551634,0.10377358490566038,0.01592096078341897,0.03996606101227524,0.6016379803221292,0.9559338979562545,0.9584319569751517,0.9777682517530953,0.827216143558147,0.8458054272656019,0.540989627011536,0.5837756000537873,0.4162243999462127,0.9101618629091661,0.5712236108775205,0.10965323336457357,0.017323527474143147,0.045700267895629997,0.6209315990508739,0.9408980526637528,0.9530153524679603,0.9710512321569575,0.8468825668732529,0.8227476694873088,0.5195608263577938,0.5944856822753609,0.40551431772463914,0.9130089521476416,0.5615952494224874,0.15350877192982457,0.020036131453682847,0.05701107422023754,0.648557201776589,0.9269213029701024,0.9402023886759646,0.9716410378385685,0.8741960855888445,0.8132584605815805,0.8225553342692205,0.15524924033126283,0.8447507596687372,0.8241725124233267,0.8343347685420627,0.08560794044665013,0.019743204003076272,0.060951145907381196,0.6760814959397611,0.9172920168924498,0.9365401230397513,0.9609883363788904,0.8633191191146048,0.7491917373902268,0.8249392775883085,0.05586215292696962,0.9441378470730304,0.7532733700432881,0.8379747826320394,0.1169284467713787,0.025088343244134222,0.07347827394822362,0.6585610698774349,0.8995986978473118,0.9220584823930363,0.02075053456863615,0.9698703761406587
6,0.9440922351885098,0.8300704621716315,4502,0.050517291680693015,0.7434473567303421,84616,0.949482708319307,0.9547662380637232,0.9847755444213416,0.7864539426103586,0.8625456712538018,0.5436471055124941,0.5880754440596163,0.41192455594038374,0.915650981784855,0.5682224677239656,0.08808290155440414,0.018047945552609256,0.0372570725861145,0.5155833698180672,0.958692696250791,0.9613030679971946,0.9834375730032314,0.8036109810314508,0.8535789874194379,0.5758465066011834,0.5500455998436605,0.4499544001563395,0.9052359074974107,0.6011183484084445,0.09360518999073215,0.018944754493846003,0.04328159092137499,0.5622907085772124,0.9430178910237885,0.9558158016190405,0.9765991794365008,0.8604950289838396,0.8501793479214359,0.5706744902902501,0.5500864393555955,0.44991356064440435,0.9196554299259915,0.6042272450570584,0.1292372881355932,0.019520921000682444,0.05508539535900399,0.645624382407348,0.9283107440506562,0.9431061035116421,0.976267416073858,0.8734839017012679,0.7884422369429367,0.788861526446967,0.1977085125228234,0.8022914874771766,0.8013788475509575,0.8018349078248974,0.07838479809976247,0.020033893990615913,0.059401979819957394,0.662740298364852,0.9182228829285886,0.9395789244549801,0.930096020740722,0.7624494478158438,0.6063143018328341,0.6681909109700501,0.2192548353377317,0.7807451646622683,0.6219393018328341,0.6923525771019974,0.10792580101180438,0.03651655873354312,0.07511953822679326,0.5138873374953925,0.8998795406852206,0.9208933720231774,0.02419710897104832,0.9651000197369197
7,0.9367832829735337,0.8123784389357853,4065,0.04932833375805453,0.6505535055350553,78342,0.9506716662419454,0.9516351382400245,0.960606774339978,0.5728803716413705,0.74863975053076,0.3893867244763016,0.7189381629152221,0.28106183708477794,0.8172937704042921,0.41827999416857525,0.09344978165938865,0.01957991617993429,0.030799472849152642,0.36427755514416305,0.9622277897142218,0.9686924955513332,0.956109461794628,0.5933632455675759,0.7139000642063573,0.4557080725663349,0.6442968352785668,0.3557031647214331,0.7779641282704213,0.488193148335855,0.09818875119161107,0.02486791324124972,0.041374808222682274,0.398960036082614,0.9469239582884682,0.9577205645754756,0.9545045449655515,0.6929295985808933,0.7345012311789239,0.4650028331862762,0.6332238814668676,0.36677611853313247,0.8189092030429334,0.5066375259228155,0.13442622950819672,0.02659882182702607,0.05225436127857904,0.4909741277819447,0.9320893862705792,0.9458852214855916,0.9556933855253776,0.7481633766972821,0.7300146695406191,0.7035807627072698,0.3045548759990432,0.6954451240009568,0.7513195963049332,0.7223034160055554,0.08078335373317014,0.02716655246115797,0.05742247222082037,0.5269003334323898,0.9216919859441928,0.9410865286165303,0.9336220057479874,0.755586587210886,0.6379088106617941,0.6891911895548869,0.21623687161885632,0.7837631283811436,0.6549663799581694,0.7135997363855011,0.113345521023766,0.03520685644045742,0.07186145222498107,0.5100731289115457,0.9024955293657292,0.9215420739058107,0.028597840979263458,0.9497378390125915
8,0.9455967270944181,0.776897306901262,8863,0.06486577475921426,0.7153334085524089,127773,0.9351342252407857,0.9615685629984425,0.9900617624930359,0.8805875245900103,0.920932289231549,0.6357743633777978,0.4968717522990809,0.5031282477009189,0.9875381286476075,0.6666257937894844,0.12851063829787235,0.0209354283479311,0.05771853864200773,0.6372841579066898,0.9417275924594806,0.9379443534483916,0.9881143723289433,0.8792283748488706,0.9104897818900182,0.65654331646582,0.46894752876800766,0.5310524712319923,0.9752953651402673,0.6876672191280684,0.13602941176470587,0.021168348238537107,0.06234547195251647,0.6604669501153294,0.9237253332299012,0.9325637399405556,0.9737743627405478,0.895003832118304,0.8709189998364697,0.6304180348064564,0.4815940475761209,0.5184059524238792,0.9557041334020909,0.6721922823479546,0.17757009345794392,0.022454864710359485,0.07568841858892708,0.7033249587058417,0.9076084407947014,0.915948661371362,0.9712445150158243,0.9097163442289796,0.8227810302601584,0.8584625375583799,0.08468359403440369,0.9153164059655963,0.8306037160489459,0.8709049154876026,0.11085714285714286,0.022505963731320272,0.08167743654675078,0.7244531086815116,0.8967733025996809,0.9091094820372275,0.9366131459188474,0.863816728029023,0.7266607559757627,0.8113563264640463,0.04069500364872331,0.9593049963512768,0.7305217598367665,0.8294260599064079,0.14890282131661442,0.032550527416179725,0.09496964640379459,0.6572533577962323,0.87729866142875,0.8926736887395433,0.02498230937511913,0.9654153330037153
9,0.9549226325182609,0.8182938550549367,11624,0.07128970334799115,0.6931348933241569,151429,0.9287102966520089,0.975017995232089,0.9819371416456164,0.9135393378528814,0.8678710307406245,0.6685823215446433,0.43706562827948686,0.5629343717205131,0.9302580108491236,0.7014155911700193,0.13504556752278377,0.021180924196855848,0.07168185969507895,0.7045148621010184,0.9265902395285031,0.9221160203376768,0.9777543807254738,0.8984619015396128,0.8355678213437217,0.6966980818528044,0.3819594266688302,0.6180405733311698,0.893085480274095,0.7305321233069392,0.14543812104787715,0.024401692567030668,0.08165156127464515,0.7011484877190217,0.9076419191608585,0.9091270777234337,0.9749761998139367,0.9146747180835494,0.8291406119829063,0.6463943699404852,0.44248953554388376,0.5575104644561162,0.915022964924083,0.692866957020538,0.19364754098360656,0.023494930216442157,0.08885662932795307,0.7355860739469782,0.8917318532924842,0.899384489812451,0.9751539499577582,0.9176555065785164,0.8235281630391231,0.8402017575395737,0.12225576872643301,0.8777442312735669,0.8379828279537094,0.857402800972255,0.13773796192609183,0.02477740802182424,0.09433684060625616,0.7373517295831394,0.8813866143109286,0.8925271665648103,0.96802790350491,0.911158772389265,0.8162038413727144,0.8599657745842043,0.06470022084029106,0.9352997791597089,0.8243174316364059,0.8763086733144736,0.18888888888888888,0.02806527799934073,0.09903001595849556,0.7165982684370852,0.8631292504072955,0.8856146937931879,0.025226211587925217,0.9738410956258776
