metric,mean,std,ci_lower_2.5,ci_upper_97.5
harrell_c_index,0.9380469804409577,0.013643133686105742,0.9062310412552045,0.9600183483176249
uno_c_index,0.8276167937576518,0.04572106514437444,0.7298262529475593,0.9085608399518905
event_event_pairs,6226.152,3534.9620874707916,1518.85,14203.699999999999
event_event_fraction,0.054295092436817294,0.013077227795940546,0.03129452004854774,0.07978400633505887
event_event_c_index,0.679040771775858,0.042557971414118385,0.5733999574482819,0.7461540863668809
event_censored_pairs,100262.864,31702.476607554756,46753.225,164579.94999999992
event_censored_fraction,0.9457049075631827,0.013077227795940546,0.9202159936649411,0.9687054799514522
event_censored_c_index,0.9528133829824653,0.014444611954052267,0.9192805517257858,0.9757588326837561
12h_auc,0.9733322888074111,0.014862820731677714,0.9364034517940896,0.9924072961453679
12h_average_precision,0.733976932472609,0.16903617079288977,0.30482718570975403,0.928806005690318
12h_tss,0.836336015425195,0.06624169254508061,0.6669710146556445,0.9232973904864077
12h_hss2,0.5234078959167132,0.11141340253515045,0.2657528269329345,0.7039969693883906
12h_far,0.5955005232396734,0.10737118692910401,0.4024395010779015,0.825621114722743
12h_precision,0.4044994767603266,0.10737118692910401,0.17437888527725703,0.5975604989220984
12h_recall,0.898309910346581,0.0666492917158692,0.7224894696017918,0.9810625180266439
12h_f1,0.5516585518125953,0.113861660798807,0.2842528773366017,0.7334973486893532
12h_alert_fraction,0.1037739044324354,0.02287971057713706,0.06261038827988935,0.14820923603496894
12h_brier,0.01981065109057294,0.004767035397384159,0.011121967108335162,0.02933448555903936
12h_km_reference_brier,0.04373163956940316,0.015798694144795223,0.016775322851131008,0.07698130450398875
12h_bss,0.5098436488844416,0.14126873114141827,0.2153839193621312,0.7155494085195472
12h_predicted_survival_mean,0.9536900860716285,0.012661425454710822,0.9264675580370672,0.9743330641276892
12h_observed_survival_km,0.953972612201694,0.018096492805580164,0.9159647112123619,0.9848832350925487
24h_auc,0.9702083985441706,0.01450678539972632,0.9342791084225237,0.9905935376005114
24h_average_precision,0.7382436308922999,0.1481598665122336,0.3687493345797824,0.9198704936877794
24h_tss,0.8041165884043739,0.07388979667825132,0.6230703092108432,0.914511698904989
24h_hss2,0.5575368099879359,0.10111764002462865,0.32073757881205944,0.7159916684976961
24h_far,0.549430848938168,0.1019116053419155,0.37518150165549174,0.7721873117952128
24h_precision,0.45056915106183204,0.10191160534191548,0.2278126882047871,0.6248184983445083
24h_recall,0.8631752813918291,0.07386739160580284,0.6787800917785312,0.9684919279185541
24h_f1,0.587546520719257,0.10245024502151591,0.3424710852259859,0.7450114646343193
24h_alert_fraction,0.10935779069939797,0.024231499764551707,0.06546193661111842,0.15706898702883046
24h_brier,0.022492925743640178,0.004983873628162834,0.013068342263898398,0.032877623303304425
24h_km_reference_brier,0.05136325052714906,0.015656222985000384,0.02506842266277278,0.08380631308284157
24h_bss,0.5357562509470545,0.12326140888423051,0.2737503758436739,0.7290292742404522
24h_predicted_survival_mean,0.9377636775666467,0.015035930121042736,0.9058796812417623,0.962983853617914
24h_observed_survival_km,0.9459171657806686,0.018973510719713493,0.9068256631894624,0.9780709933181378
48h_auc,0.9582613538180803,0.017388398744723237,0.9193590742497185,0.984685941798471
48h_average_precision,0.7864341515801847,0.10921169065901833,0.5134005538684977,0.9303808274285413
48h_tss,0.7861571967479679,0.05760695408088113,0.6501442634921416,0.8797689086126073
48h_hss2,0.5276821916204257,0.08965231604723127,0.32848482768766385,0.6769830548267034
48h_far,0.5729365494017941,0.09013768070479794,0.4111285188430433,0.7640225976926563
48h_precision,0.42706345059820594,0.09013768070479794,0.23597740230734357,0.5888714811569568
48h_recall,0.8691882141300664,0.05565176262787371,0.7409423518867134,0.9560231900982774
48h_f1,0.5687992818423814,0.09147191327934098,0.362471139111241,0.7170435841100978
48h_alert_fraction,0.14950875515377748,0.026639835387743473,0.10147830760652807,0.20301191206543967
48h_brier,0.02430789910590595,0.0047803787332845165,0.015959577188509298,0.03439593579854193
48h_km_reference_brier,0.06171648946941046,0.01575100608701046,0.03428086025711112,0.09278725800544142
48h_bss,0.5885807910802417,0.0999126405508632,0.37796467697960856,0.7558836155075366
48h_predicted_survival_mean,0.9229352050319168,0.016603733054920328,0.8887918893663128,0.9512221655952255
48h_observed_survival_km,0.9341836063180396,0.020205212866878344,0.8947858744498389,0.9692767984014645
72h_auc,0.9540084037281317,0.018244481962039604,0.9110347827324117,0.9814211885173109
72h_average_precision,0.8008309553585511,0.09978255399657492,0.5463826811148585,0.9279939993342659
72h_tss,0.7260671309160799,0.0879816000390288,0.5144128453095672,0.8588139344617932
72h_hss2,0.7407566323458022,0.08695368714620876,0.5413983117583152,0.8715833817521378
72h_far,0.22231960768236086,0.09323846966696597,0.0752174841929464,0.44284382782767207
72h_precision,0.7776803923176392,0.09323846966696597,0.5571561721723279,0.9247825158070535
72h_recall,0.7416834999532051,0.08714642683931009,0.5300263507315945,0.8678415926876065
72h_f1,0.7580035350761284,0.08543993019889329,0.5545787407370542,0.8845445822424703
72h_alert_fraction,0.08924416804193681,0.027993835104368675,0.03915242484030277,0.14553627752478954
72h_brier,0.026539051270494718,0.004964937491729908,0.01722599984369693,0.0375286358781649
72h_km_reference_brier,0.0674888489120185,0.01572533258484436,0.03916006541759288,0.09829157576292484
72h_bss,0.591053571810632,0.09930362331268038,0.36996415519607456,0.7528133335386483
72h_predicted_survival_mean,0.9127223324494352,0.017398605679541122,0.8771820681428588,0.9426456715269818
72h_observed_survival_km,0.9284045271013845,0.021020508179232327,0.8871520930618375,0.9664279056409426
144h_auc,0.9293992084151764,0.02278351856104351,0.8755412043704469,0.9663684399247477
144h_average_precision,0.7825211440384581,0.08439714539241887,0.5660654744724349,0.8993525621347049
144h_tss,0.6585043757431077,0.0832484850804046,0.4600808303242912,0.7965450764872541
144h_hss2,0.732016909791628,0.07626935359056629,0.5513038664418289,0.8475072546141988
144h_far,0.1354601854188385,0.07014054659754672,0.028380133158374565,0.2947802291567788
144h_precision,0.8645398145811615,0.07014054659754673,0.7052197708432212,0.9716198668416255
144h_recall,0.6684874121213171,0.08221710610635176,0.4713237443776066,0.8039664333129992
144h_f1,0.7526636649667917,0.07509761353970784,0.5683302248464128,0.8638824683694829
144h_alert_fraction,0.12093868055974963,0.03755844695913106,0.052247061187581635,0.1956932198634176
144h_brier,0.035172433400908226,0.00589922293066911,0.02436243732645687,0.04754222232170232
144h_km_reference_brier,0.08127903754018248,0.015798626350066642,0.05296424824596028,0.11114459312567192
144h_bss,0.5571331844885811,0.08482886365685748,0.3689953111065231,0.7002943144139996
144h_predicted_survival_mean,0.8940009571418865,0.01838969954901665,0.8569333904366524,0.925970126853578
144h_observed_survival_km,0.9118057182471062,0.022995252054282374,0.8674835646818051,0.9529393778025149
integrated_brier_score,0.02763036524156929,0.0048211869048603966,0.018888389019079927,0.0377751384720633
integrated_auc,0.9511575172740162,0.01681068537672607,0.9125034716873305,0.9775879159026616
