metric,mean,std,ci_lower_2.5,ci_upper_97.5
harrell_c_index,0.9309695433912293,0.015595399420248813,0.8943216491158126,0.9555681354556564
uno_c_index,0.8191566020650933,0.04343303248946105,0.7298011309988243,0.8969084035950717
event_event_pairs,6226.152,3534.9620874707916,1518.85,14203.699999999999
event_event_fraction,0.054295092436817294,0.013077227795940546,0.03129452004854774,0.07978400633505887
event_event_c_index,0.6815316567830279,0.04446693167064055,0.5727294897671991,0.7501653886389094
event_censored_pairs,100262.864,31702.476607554756,46753.225,164579.94999999992
event_censored_fraction,0.9457049075631827,0.013077227795940546,0.9202159936649411,0.9687054799514522
event_censored_c_index,0.9451883044849612,0.016445329650270023,0.9056240476357454,0.9705090777804379
12h_auc,0.9647660933090714,0.020113814545891565,0.9155442523940732,0.9908212832936528
12h_average_precision,0.7281062015715499,0.1693843543718191,0.2971521321139961,0.9261572606733492
12h_tss,0.836295245216593,0.07581083557240026,0.6391843528052173,0.932077956293942
12h_hss2,0.5997718755877438,0.11428556883678834,0.339879049504052,0.778938327287543
12h_far,0.5126937234815208,0.11782486624602599,0.3049309509568765,0.7695904749102147
12h_precision,0.4873062765184792,0.11782486624602599,0.2304095250897853,0.6950690490431235
12h_recall,0.8793262312487797,0.07552477391000391,0.6690311469163864,0.9727639768530927
12h_f1,0.6217407800072001,0.11486960241418832,0.35643684105287365,0.7999713021491516
12h_alert_fraction,0.08499979863079424,0.02236291133616899,0.045043019638343375,0.128714113050101
12h_brier,0.01979179841254831,0.004721089851971145,0.011210427823076213,0.029241483002465887
12h_km_reference_brier,0.04373163956940316,0.015798694144795223,0.016775322851131008,0.07698130450398875
12h_bss,0.5085365828209962,0.14842561365976062,0.20461774038577613,0.7224017536364382
12h_predicted_survival_mean,0.9579598242686111,0.012849365106711903,0.9304497388021982,0.9791410131083086
12h_observed_survival_km,0.953972612201694,0.018096492805580164,0.9159647112123619,0.9848832350925487
24h_auc,0.9653444316300458,0.016536750781425785,0.9241588286427933,0.9890537963424622
24h_average_precision,0.7175471116645553,0.15252871299115792,0.3660052213819614,0.9159166658514363
24h_tss,0.7682327130419947,0.09150875422832869,0.5170135515640336,0.894257431972447
24h_hss2,0.6569027868718916,0.10322134385878758,0.41398028109902113,0.814285732118914
24h_far,0.40799627956753626,0.1126945307093143,0.21834494922298014,0.6561197413139291
24h_precision,0.5920037204324637,0.1126945307093143,0.34388025868607086,0.7816550507770198
24h_recall,0.7987675744876811,0.09199918932965913,0.5475848648289028,0.9271690021452061
24h_f1,0.6770689642675,0.1026293702872222,0.43366463910172043,0.831667374364313
24h_alert_fraction,0.07897624765980336,0.023513340177993645,0.03627439344873773,0.1262222452970597
24h_brier,0.022861856271030875,0.005141186061348935,0.013138341761240888,0.033215497221060396
24h_km_reference_brier,0.05136325052714906,0.015656222985000384,0.02506842266277278,0.08380631308284157
24h_bss,0.528368305663592,0.12593726643524575,0.26247515414861544,0.7253251549570826
24h_predicted_survival_mean,0.9409737204139014,0.014595582230746671,0.910743614674365,0.9658262205597803
24h_observed_survival_km,0.9459171657806686,0.018973510719713493,0.9068256631894624,0.9780709933181378
48h_auc,0.9551118882680908,0.018600636730551234,0.9118723887540668,0.9832895239410471
48h_average_precision,0.7814421806582947,0.10858336317018794,0.518401414701437,0.9282052520415067
48h_tss,0.7525036035705803,0.08393327504902046,0.5497387199786751,0.876027529505287
48h_hss2,0.720628389917614,0.08707242907586492,0.5217494958316115,0.8545603446274537
48h_far,0.29013317634197683,0.09624218839578759,0.13466844944154746,0.5030927646387057
48h_precision,0.7098668236580231,0.09624218839578759,0.49690723536129433,0.8653315505584526
48h_recall,0.7743629156686018,0.08374090479813381,0.5733948309119665,0.894853989299705
48h_f1,0.7392200540360291,0.08596465503360548,0.5379388608488344,0.8694140126130832
48h_alert_fraction,0.08608384766499352,0.025683428682876347,0.04044604099299168,0.1364773334775912
48h_brier,0.02491584841704397,0.005001335086094455,0.015992597429883102,0.03544111687012036
48h_km_reference_brier,0.06171648946941046,0.01575100608701046,0.03428086025711112,0.09278725800544142
48h_bss,0.57739795546426,0.1079108851057632,0.3427732124497391,0.7573907916832855
48h_predicted_survival_mean,0.9227774357225789,0.01661456726724758,0.8888453350177598,0.9512906429601701
48h_observed_survival_km,0.9341836063180396,0.020205212866878344,0.8947858744498389,0.9692767984014645
72h_auc,0.9505715481012126,0.019498048562290465,0.9047509989029028,0.979922280345396
72h_average_precision,0.7939759319043318,0.09898003160768806,0.5471806851481301,0.9258247020073772
72h_tss,0.7563055006112295,0.07842906981265942,0.5708182299367159,0.874682210292227
72h_hss2,0.6225489463681845,0.09686659616406049,0.393571439732718,0.7797174302688757
72h_far,0.4468608450270503,0.10347346428073566,0.27012837104197135,0.6794656955264493
72h_precision,0.5531391549729497,0.10347346428073566,0.32053430447355075,0.7298716289580287
72h_recall,0.8054774979006584,0.07623729669724674,0.6205684803363405,0.9170842838579333
72h_f1,0.6533787997959005,0.09581905589785346,0.42407271694889104,0.802147773623605
72h_alert_fraction,0.12528052508263307,0.02825613897114924,0.07363235039529113,0.1813191031941032
72h_brier,0.027712273197687088,0.005344781763836397,0.017648950824551236,0.039361101936416475
