replicate,harrell_c_index,uno_c_index,event_event_pairs,event_event_fraction,event_event_c_index,event_censored_pairs,event_censored_fraction,event_censored_c_index,12h_auc,12h_average_precision,12h_tss,12h_hss2,12h_far,12h_precision,12h_recall,12h_f1,12h_alert_fraction,12h_brier,12h_km_reference_brier,12h_bss,12h_predicted_survival_mean,12h_observed_survival_km,24h_auc,24h_average_precision,24h_tss,24h_hss2,24h_far,24h_precision,24h_recall,24h_f1,24h_alert_fraction,24h_brier,24h_km_reference_brier,24h_bss,24h_predicted_survival_mean,24h_observed_survival_km,48h_auc,48h_average_precision,48h_tss,48h_hss2,48h_far,48h_precision,48h_recall,48h_f1,48h_alert_fraction,48h_brier,48h_km_reference_brier,48h_bss,48h_predicted_survival_mean,48h_observed_survival_km,72h_auc,72h_average_precision,72h_tss,72h_hss2,72h_far,72h_precision,72h_recall,72h_f1,72h_alert_fraction,72h_brier,72h_km_reference_brier,72h_bss,72h_predicted_survival_mean,72h_observed_survival_km,144h_auc,144h_average_precision,144h_tss,144h_hss2,144h_far,144h_precision,144h_recall,144h_f1,144h_alert_fraction,144h_brier,144h_km_reference_brier,144h_bss,144h_predicted_survival_mean,144h_observed_survival_km,integrated_brier_score,integrated_auc
0,0.9400415249491183,0.8092000586562462,3057,0.04175716100479449,0.6041871115472686,70152,0.9582428389952055,0.954676987113696,0.9672578695007106,0.402255839319655,0.7695046815469277,0.4728749883087087,0.6461899527815738,0.3538100472184263,0.8102655511121449,0.4925454898454825,0.0625,0.01843753064760922,0.026577377929216564,0.3062697645827278,0.9719167168036911,0.9736300040313398,0.9710755654062524,0.4848295387786242,0.7265590321673285,0.57680760066555,0.509133197652517,0.490866802347483,0.7555300611383574,0.5950987780106797,0.05758157389635317,0.02140718243693395,0.03527090105660545,0.3930639196719681,0.9566665077422043,0.9653375344673124,0.9652444695705393,0.7216648607145044,0.7423924043476089,0.710107950954776,0.30668987495838135,0.6933101250416187,0.7597937964589778,0.7250310514403273,0.0611353711790393,0.02090998638155904,0.047600263147234194,0.5607170003056168,0.9406674996777005,0.9522184759373591,0.9620938051489827,0.7825915226230347,0.7844706026107624,0.6431193748917983,0.4392191667450132,0.5607808332549867,0.8229321410723011,0.6670235523479033,0.09705159705159705,0.022675418526966418,0.05469052258418429,0.585386691230414,0.9257584933380105,0.9449742310880328,0.9572832765115946,0.8502849486622196,0.7498161492566169,0.7070045740680194,0.31234158308765486,0.6876584169123451,0.7782137151795377,0.7301390069216377,0.12433392539964476,0.027803785515697337,0.06784764606881102,0.5902026506933084,0.8373271696795737,0.9302054891329293,0.0233875038542983,0.9628142065574116
1,0.9593953531505697,0.841540991052609,9349,0.06669329928163277,0.766071237565515,130830,0.9333067007183672,0.9732095085225101,0.9912454545258755,0.939563863374168,0.8954728795102631,0.7116982608599979,0.39580290920354066,0.6041970907964593,0.9412538489896167,0.7359700947080431,0.11074104912572856,0.017329435507238942,0.0632888930252007,0.7261852012431531,0.938967015101247,0.9316980628797813,0.9892179746609959,0.9237148201960388,0.8569361972432576,0.7529695459327677,0.31551077917880654,0.6844892208211935,0.890171778865936,0.7738973498854993,0.10483870967741936,0.01953289656523466,0.0677481674395993,0.7116837649867185,0.921459274224691,0.926374231164164,0.9837400251002311,0.9237840540444546,0.8585086913544417,0.8146080559494,0.2122596243983648,0.7877403756016352,0.8819278951015145,0.8321775331434594,0.11783107403545359,0.02082779424180353,0.07692686984998953,0.7292520249112104,0.9022782753424443,0.9148423572730234,0.9767284985888467,0.9147328781573782,0.8549609897426715,0.7232816475329897,0.3558538743691609,0.6441461256308391,0.9045046664049922,0.7524397100702995,0.15560640732265446,0.02296055133105405,0.07965390029006296,0.7117460507590683,0.8859912232502458,0.912472299352627,0.9667980104801712,0.8993546440739033,0.7994087779544525,0.7627503057846426,0.24761468006224527,0.7523853199377547,0.8356991005350978,0.7918568144388416,0.20064724919093851,0.03262888607263526,0.09489232862317627,0.6561483257281342,0.8059589419056142,0.8913737254050619,0.024486228602472772,0.9776579786591632
2,0.9170971101007289,0.8254467854724252,5022,0.05177693235594321,0.6671644763042612,91971,0.9482230676440568,0.9307444738015244,0.9577238175293354,0.7356906575844389,0.8198396648027391,0.5395382967186192,0.5832201967667168,0.4167798032332833,0.867544435279787,0.5630587482342526,0.08038029386343994,0.01850059588404946,0.0360125559476493,0.48627373433467513,0.9630024161605072,0.9629488365278236,0.9468765081979698,0.6803239687893942,0.6643131572530918,0.5718756470098196,0.4800473356163609,0.5199526643836391,0.697051252491187,0.5956162522063981,0.06854460093896714,0.025096450385748963,0.045570167946303794,0.44927895777517,0.9467382569755419,0.9529614708387982,0.9316255566733607,0.6974441205048485,0.6515303795199774,0.6280127479410962,0.3718284827580912,0.6281715172419089,0.6786210744551955,0.6524224772643378,0.07725788900979326,0.030677864037465568,0.056998111902272344,0.4617740305141137,0.9288679249988087,0.9399625416926,0.9188744777101538,0.6861643511971227,0.6356558488136983,0.50316930279481,0.5546490863554752,0.44535091364452484,0.6979935111513607,0.5437592402913984,0.12071005917159763,0.03676972214759323,0.0632418948386393,0.4185860142013361,0.9131995526825802,0.934033484358049,0.9309069378732993,0.7300062417807094,0.6241553543669736,0.5838625391063469,0.41886820444392825,0.5811317955560718,0.6696961513309204,0.6222785921413215,0.1396103896103896,0.048106598138132686,0.08008960510328561,0.3993403004535585,0.8286849254745906,0.9150469674603344,0.036331762236395476,0.9300587735335325
3,0.9151935203305066,0.8278389330630769,4525,0.049196547000369656,0.6788950276243094,87453,0.9508034529996303,0.9274181560381005,0.95052662201349,0.7507140843393804,0.7521333344832644,0.562178860501042,0.5347473312659119,0.4652526687340881,0.7952130778379848,0.5870449199949211,0.07860262008733625,0.020730274544385443,0.04189533355793252,0.5051889367172648,0.9636409589378245,0.9558413959753005,0.9500093630974022,0.7394442153701775,0.6901259871837553,0.6343289405666627,0.39545537093212485,0.604544629067875,0.7174816102840593,0.6561891754354665,0.06945765937202664,0.02467668597245603,0.05038407054139639,0.5102284172895231,0.9473045160276188,0.9466941792120019,0.9358583832233914,0.7427381591981663,0.6672041266879023,0.6571125697018593,0.33225826750149134,0.6677417324985088,0.6896893337884941,0.6785381034329446,0.07330415754923414,0.027227275575693297,0.05561301451600913,0.5104153980386106,0.9294701000136886,0.9416867291516806,0.9233438977248067,0.7270005831055993,0.6405773264499026,0.4984080419905868,0.5642156833455207,0.4357843166544792,0.7025826034947574,0.5379187928566111,0.11927710843373494,0.030998576480139595,0.06006959752016725,0.48395564878335673,0.9126550112073956,0.9380379429930781,0.9019414615348729,0.7125999381555052,0.5941896786442296,0.5070858723986059,0.5219862892536254,0.4780137107463744,0.6583179351572556,0.5538611903836719,0.153184165232358,0.046455788120238976,0.0730601995719948,0.36414370077841596,0.825212221459411,0.9230925066731165,0.03319967160577624,0.9246540088730434
4,0.9473957213753657,0.7583859452904136,5627,0.052590259539987104,0.7113915052425804,101370,0.9474097404600129,0.9604962020321595,0.9850899138609411,0.9017058618271051,0.8771073451490154,0.774556938289848,0.2973679331149446,0.7026320668850554,0.9012709139222496,0.7896510607565909,0.07926829268292683,0.018526682249735478,0.0539020306292524,0.6562897161117132,0.9558437290121947,0.9420404581505748,0.9862458124671161,0.8986775068977593,0.8014115475591161,0.7825142336587517,0.2228231308943579,0.7771768691056421,0.8174758045872288,0.7968171337366485,0.07362534948741846,0.01765461425202465,0.05814420446482519,0.6963650218534686,0.9396903426146482,0.9374906740344919,0.988745125118407,0.9301510142915015,0.7978338648517287,0.8381827271324752,0.10174219728721001,0.89825780271279,0.8047145987966827,0.848917066049108,0.07643979057591622,0.015445557217040363,0.06400429950277335,0.7586793803380179,0.9222862486749641,0.9315100522574302,0.9723225628535285,0.8928698922917762,0.8163805860641018,0.7036766887914556,0.3655699197597033,0.6344300802402967,0.8548914974890056,0.7283435484438777,0.12138728323699421,0.019261340023919514,0.06819923214488519,0.7175724796578362,0.907305991304539,0.9279410482257925,0.949147940249698,0.8352481404597951,0.752015996717533,0.7266667074911786,0.27695790064136655,0.7230420993586334,0.7783813451167799,0.7496918793238542,0.14308681672025725,0.032296172593849294,0.07659422991786667,0.5783471858326529,0.8273182349647231,0.9207045207841873,0.02187002316492831,0.9714670907301061
5,0.895077693930542,0.7601409995792884,5714,0.057956608615390856,0.6642457122856142,92877,0.9420433913846091,0.9092778621187162,0.9444184308668152,0.509372126811487,0.8146986392380415,0.5185756889608485,0.6046482993438884,0.39535170065611164,0.8645626464909881,0.5425865867595421,0.08108108108108109,0.02300112372360287,0.034265560777797716,0.3287393172182843,0.9671953595483933,0.9646453786249187,0.9418202551446431,0.5539067747609722,0.680590218204314,0.5739801461335765,0.48635829830794197,0.5136417016920581,0.7145223539328568,0.5976538331181598,0.06994328922495274,0.027591683084303036,0.04451011296756809,0.3801030542338215,0.9498991981385382,0.9537149142155099,0.9208135178893624,0.6292079537963732,0.6644667644789584,0.6180511827952374,0.40232746061843616,0.597672539381564,0.6933684985830046,0.6419738785819444,0.07626208378088077,0.031204893779245013,0.05386093074955324,0.42063953695223044,0.9316271303403686,0.9436758809069475,0.9196468630952996,0.6726314416202267,0.7102387164138149,0.5765533602292411,0.4922672414662177,0.5077327585337823,0.7603672511181849,0.6088847235557409,0.11176470588235295,0.0344970165448939,0.06096727307540656,0.43417156771590026,0.9161572189848798,0.936639138273967,0.9060743213090959,0.712686140753162,0.6057866037183288,0.5951617261742993,0.37855376840967353,0.6214462315903265,0.6461712191029441,0.6335675938415566,0.1388888888888889,0.04991550239951593,0.08368887107654822,0.40355866010118113,0.8372354775283084,0.9082683236163682,0.03663931340226085,0.9203070045670529
6,0.9272614685124865,0.8589034259512375,6966,0.059090484955932374,0.6958082113120873,110921,0.9409095150440676,0.9417964136637788,0.9679138267492848,0.8208457411310952,0.8314371039449933,0.5893599637692766,0.5278192674793596,0.4721807325206404,0.8803694882866302,0.6146810720564526,0.0904480135249366,0.019244321666684477,0.04453991835482737,0.5679309173094,0.9529350454622422,0.9533380691390926,0.9624939468753008,0.7864593692611065,0.7283622829153433,0.6353532170848005,0.41853676224307756,0.5814632377569224,0.763246003845576,0.6600675876551609,0.0832579185520362,0.026207196192655623,0.05578696324517782,0.5302272310920069,0.9354535563434967,0.9410155505357078,0.9495671366859837,0.7857137219070292,0.7069034499605582,0.6912853927579128,0.3010970667500511,0.698902933249949,0.7333706536429518,0.7157220599206903,0.09290187891440502,0.031611159132807175,0.06902232103947145,0.5420154139016875,0.917690047307103,0.9253185362607661,0.9416123870556995,0.7775109471846335,0.7109828594602057,0.611510387182945,0.43627993816641186,0.5637200618335881,0.765813146666472,0.6494072229738951,0.1357308584686775,0.03764072217662872,0.07619296690051865,0.5059816711721656,0.9013850911029964,0.9171083466400383,0.9348756254224857,0.8093628724955982,0.71610842214452,0.6705176071851728,0.33938695008386804,0.6606130499161319,0.7625219242542245,0.7079187050450518,0.1782006920415225,0.04162831735135842,0.08449499582799509,0.5073280145950843,0.81339818408512,0.9054371858506065,0.03523664674077547,0.9452644119590742
7,0.9262204238679255,0.7267611884160698,5099,0.05331284045878946,0.7179839184153756,90544,0.9466871595412105,0.9379472963421099,0.9613833302434245,0.7482393639850417,0.8587271126102816,0.61173591430677,0.5125105760536384,0.4874894239463616,0.8984024958384151,0.6320286725335063,0.07599309153713299,0.019729438959770123,0.0381567632672902,0.4829373020566674,0.9644286449103544,0.96039281129152,0.9635950751765823,0.732568273358828,0.7812195749200082,0.6923207939054657,0.36566050688862883,0.6343394931113712,0.8066848050865115,0.7102059708488749,0.07017543859649122,0.022467025701401855,0.049142737148713894,0.5428210351122081,0.9467959353862406,0.9487557517792131,0.9590796165971928,0.7999374787921877,0.757981078688124,0.7236910610559243,0.29300739800079834,0.7069926019992017,0.7785525072595527,0.741049005472588,0.07627118644067797,0.023376562765537186,0.05605250364305071,0.5829523884534751,0.9285802480647488,0.9418988628139724,0.961654678839444,0.8342429907347841,0.8015285061202366,0.6300532726110999,0.463893628831163,0.536106371168837,0.8473883787317017,0.656728634098765,0.11124121779859485,0.023103290993552576,0.05795052202867395,0.6013273015535381,0.9127221317378248,0.9418988628139724,0.9506279065927304,0.8312128873491288,0.7393187690655008,0.719445393480453,0.2779169473135918,0.7220830526864082,0.7659347386472498,0.7433627439968666,0.1342062193126023,0.033630847820022174,0.07733190214299943,0.5651102987505312,0.8323370500715994,0.9195031568606241,0.025784008272485365,0.9584314496560853
8,0.9010147756889871,0.7712504292810148,5300,0.05252361084959418,0.6386792452830189,95607,0.9474763891504058,0.9155553463658519,0.9557977635324658,0.6546208554736405,0.8193882167455406,0.5868680715102775,0.5286403369745507,0.47135966302544935,0.8621543677919465,0.6094945878135711,0.0791304347826087,0.022953964226057288,0.03956927906631355,0.41990441151103386,0.9660353534180003,0.9584194685508741,0.944770578003884,0.6053198776384469,0.7031351794991241,0.5999434129525946,0.46049596735916265,0.5395040326408373,0.7350394666377081,0.6222726123128547,0.06981132075471698,0.026795922652913834,0.04522438604714025,0.407489520698352,0.9489949437647051,0.9529729440245435,0.9280170767024829,0.6973218229475718,0.6952104252543185,0.6979748686185072,0.2787744188575816,0.7212255811424184,0.7150702383384308,0.718134720171632,0.07626208378088077,0.030455547948865368,0.0604263381909156,0.4959888541873615,0.9308803888396086,0.9351325507500649,0.9240071735410433,0.7575290105695086,0.7230979749930211,0.6079864508435902,0.45320782227315043,0.5467921777268495,0.7704125529981362,0.639620474745934,0.11498257839721254,0.03083319900249347,0.06575389917854667,0.5310818158666197,0.9140238608708099,0.9305003436734339,0.9212784009383735,0.7576893839124254,0.649331609951173,0.6396985346903576,0.3388179435085555,0.6611820564914445,0.6832299150359187,0.672025197405391,0.1362179487179487,0.04480509462713314,0.08207335224931328,0.4540847498097894,0.8279850133435911,0.9123716715605447,0.03366636744377304,0.928268436286938
9,0.9399152022555339,0.7888244862315122,4622,0.04973796636069173,0.7371267849415837,88305,0.9502620336393083,0.950529415095408,0.9882528533388462,0.8227848940586326,0.850413151679237,0.6406074081289871,0.4738989903975763,0.5261010096024238,0.8874501887162741,0.660589359353688,0.07665805340223945,0.018318193765342758,0.04181330335885231,0.5619051284197424,0.9619038602416855,0.9563621323929247,0.9830029488622716,0.8052153805501212,0.8049625439476835,0.6863394764087162,0.3894961503811248,0.6105038496188753,0.8335058510342978,0.7047854740949762,0.07428040854224698,0.02005926861979274,0.04824982639590176,0.5842623669730647,0.9439157653364627,0.9500387757532007,0.9794967535082302,0.8619965640129714,0.80490377176646,0.771324072338929,0.24771039339747528,0.7522896066025246,0.8222850000399247,0.7857315322952637,0.07725321888412018,0.019115105098297648,0.05581158102790571,0.6575064754259492,0.9262204844726142,0.9422277574845315,0.9723084767935839,0.8763687478188595,0.8108278264819293,0.6861592087840325,0.3903428835868342,0.6096571164131658,0.8470503361843873,0.7090102607687362,0.10650887573964497,0.020211405084010804,0.060250866165314144,0.6645458170085807,0.9102917368308261,0.9387122904421817,0.9419383942714544,0.8232066411335861,0.7255647121861166,0.6299620537048901,0.42044554447384064,0.5795544555261594,0.771019257640662,0.6617153017355126,0.14638157894736842,0.036631419112805104,0.07222989358009572,0.4928496042682864,0.8244718532228297,0.9271149421747367,0.02438346251667403,0.9675157679061809
