metric,mean,std,ci_lower_2.5,ci_upper_97.5
harrell_c_index,0.9347280438793321,0.011821702550079503,0.9050730680238412,0.9528107788197379
uno_c_index,0.8024402791468294,0.04930925762420157,0.7015701269044942,0.8902896708055164
event_event_pairs,6226.152,3534.9620874707916,1518.85,14203.699999999999
event_event_fraction,0.054295092436817294,0.013077227795940546,0.03129452004854774,0.07978400633505887
event_event_c_index,0.6635414983281811,0.029715997295739663,0.5994829506740402,0.7169911502698031
event_censored_pairs,100262.864,31702.476607554756,46753.225,164579.94999999992
event_censored_fraction,0.9457049075631827,0.013077227795940546,0.9202159936649411,0.9687054799514522
event_censored_c_index,0.9503734018277389,0.013801367956247323,0.9151332417676924,0.9695404530406744
12h_auc,0.9737788048396487,0.011747417140972967,0.9434348357277396,0.9894477493562088
12h_average_precision,0.6659649533971097,0.16022915114049835,0.2789338541194531,0.8767681821837144
12h_tss,0.8507896924503286,0.02726042947626362,0.7885393199437486,0.8997333637192342
12h_hss2,0.39469441103770503,0.09357446635006222,0.19793070258308113,0.5573572701486165
12h_far,0.7131510627340678,0.0835427723482226,0.5550369752709807,0.8758600795957409
12h_precision,0.28684893726593214,0.0835427723482226,0.12413992040425917,0.4449630247290193
12h_recall,0.9642625955233602,0.024410874382523876,0.908403750633922,1.0
12h_f1,0.43547514693564765,0.10056605599694365,0.21870376127302193,0.6092637453115087
12h_alert_fraction,0.1552942416658482,0.02235089069223272,0.1160559661253489,0.19983488104875388
12h_brier,0.022104206444216137,0.0055521987059853955,0.011972006015484591,0.03327201594012104
12h_km_reference_brier,0.04373163956940316,0.015798694144795223,0.016775322851131008,0.07698130450398875
12h_bss,0.46295701997181765,0.13385558860221838,0.17129583961429867,0.620729305746275
12h_predicted_survival_mean,0.9534261239171028,0.01087617743571958,0.9315890535712242,0.972529548406601
12h_observed_survival_km,0.953972612201694,0.018096492805580164,0.9159647112123619,0.9848832350925487
24h_auc,0.9705547750327369,0.009360346209540979,0.9468253555059161,0.9851983659024725
24h_average_precision,0.6701873126862883,0.1252055991913119,0.3826198917457677,0.8626737258066339
24h_tss,0.8150237746060074,0.04792580145272103,0.6903507509828346,0.8857372235325505
24h_hss2,0.4865317665407238,0.09347459666426444,0.2754926381609078,0.6438854652616623
24h_far,0.6247892782693582,0.09121020782139136,0.4533477140410416,0.8135780952222382
24h_precision,0.3752107217306419,0.09121020782139136,0.18642190477776185,0.5466522859589583
24h_recall,0.8996439112689016,0.04638852096273124,0.7796377013943432,0.966851179867298
24h_f1,0.5241960125633738,0.09705265384361499,0.3015112571194782,0.6870526704589066
24h_alert_fraction,0.13520219801376926,0.02356554264605687,0.09170731707317073,0.182251708385423
24h_brier,0.02433067841896002,0.005547473107691731,0.01408786451537738,0.03569326088819163
24h_km_reference_brier,0.05136325052714906,0.015656222985000384,0.02506842266277278,0.08380631308284157
24h_bss,0.5064214774486924,0.1014232751985584,0.2691070101757856,0.6565033660436392
24h_predicted_survival_mean,0.9408025049567222,0.01264071036722582,0.9155888602137565,0.9631109371781349
24h_observed_survival_km,0.9459171657806686,0.018973510719713493,0.9068256631894624,0.9780709933181378
48h_auc,0.9575578262403082,0.019091743383381658,0.906904075767341,0.9823093674019804
48h_average_precision,0.7120950413322787,0.10267631187653456,0.47627169081327325,0.8702769261770775
48h_tss,0.8098535370062024,0.05774516986502211,0.6764587091274034,0.8977230197088439
48h_hss2,0.7131183741382501,0.0791746163633899,0.5286600566484909,0.8419484896577752
48h_far,0.3457972021067538,0.09393516421095197,0.1870021085918596,0.5560032276791598
48h_precision,0.6542027978932462,0.09393516421095198,0.4439967723208402,0.8129978914081404
48h_recall,0.8408622806615926,0.05633308316780708,0.7081484366063423,0.9189219732771408
48h_f1,0.7338890189392204,0.07818766798088209,0.549525462535791,0.8580737740995836
48h_alert_fraction,0.09968305156953072,0.025386428072101144,0.0546661019517442,0.14829320887820954
48h_brier,0.02537509686646679,0.005087249793432463,0.016525835499525757,0.035987945575051986
48h_km_reference_brier,0.06171648946941046,0.01575100608701046,0.03428086025711112,0.09278725800544142
48h_bss,0.5740623097292423,0.09159466664348791,0.3625021531072346,0.7266334034658272
48h_predicted_survival_mean,0.9234723693132401,0.014961695650445542,0.8939268127083778,0.95008804500103
48h_observed_survival_km,0.9341836063180396,0.020205212866878344,0.8947858744498389,0.9692767984014645
72h_auc,0.9579342736146294,0.01720902355645308,0.9139139084543957,0.9814093319258799
72h_average_precision,0.774822717762079,0.09850715906135507,0.5247010367221839,0.9033178917707281
72h_tss,0.782987621704772,0.06705773375630456,0.6205571593993163,0.8791145914329642
72h_hss2,0.7060311835115499,0.08529664785308448,0.5069425036166347,0.8363800986680812
72h_far,0.33854740291847496,0.09784537848256476,0.17434786398682844,0.5672335804451369
72h_precision,0.661452597081525,0.09784537848256478,0.43276641955486306,0.8256521360131716
72h_recall,0.8141821126678592,0.06477569918604113,0.6511115259562674,0.9035228104399761
72h_f1,0.7283398298355485,0.08374758770985712,0.5264404672851601,0.8550532189650683
72h_alert_fraction,0.11015490059796317,0.027960457471651122,0.05952966660647444,0.16433353717209687
72h_brier,0.02655435662494337,0.005515553018277354,0.01667102811146483,0.03859107305768713
72h_km_reference_brier,0.0674888489120185,0.01572533258484436,0.03916006541759288,0.09829157576292484
72h_bss,0.5933721290283706,0.09710566680098313,0.3739206251942941,0.743858323288539
72h_predicted_survival_mean,0.903838368833065,0.016063843605572895,0.8723645076155663,0.9322767749428749
72h_observed_survival_km,0.9284045271013845,0.021020508179232327,0.8871520930618375,0.9664279056409426
144h_auc,0.9451510639515562,0.01572264317426125,0.9088285176040276,0.9696714966198563
144h_average_precision,0.8064297050818108,0.0680678932675941,0.6317610471144337,0.9009025875021153
144h_tss,0.733884708254743,0.058458526286794474,0.599873225743511,0.8285891607135005
144h_hss2,0.686520685132749,0.07530223212330789,0.5136130537380225,0.8061601518248044
144h_far,0.328478523730509,0.09032797009422017,0.17803610606523332,0.5276239433989769
144h_precision,0.671521476269491,0.09032797009422018,0.47237605660102305,0.8219638939347667
144h_recall,0.7711032755504119,0.05474504563345354,0.6465761769225618,0.8549576608497537
144h_f1,0.7164611830417481,0.07324614469057714,0.5443281190911015,0.8315626498020524
144h_alert_fraction,0.1585047206316553,0.036715769908706494,0.09169184658121741,0.22796476342286864
144h_brier,0.033562864056903466,0.00581725815520844,0.022911440685721814,0.045020723371320015
144h_km_reference_brier,0.08127903754018248,0.015798626350066642,0.05296424824596028,0.11114459312567192
144h_bss,0.5777455648592125,0.0823133895433982,0.37993007355300257,0.7108281779924688
144h_predicted_survival_mean,0.8501663203835488,0.017135086330621333,0.8168097764253617,0.8811979651451111
144h_observed_survival_km,0.9118057182471062,0.022995252054282374,0.8674835646818051,0.9529393778025149
