replicate,harrell_c_index,uno_c_index,event_event_pairs,event_event_fraction,event_event_c_index,event_censored_pairs,event_censored_fraction,event_censored_c_index,12h_auc,12h_average_precision,12h_tss,12h_hss2,12h_far,12h_precision,12h_recall,12h_f1,12h_alert_fraction,12h_brier,12h_km_reference_brier,12h_bss,12h_predicted_survival_mean,12h_observed_survival_km,24h_auc,24h_average_precision,24h_tss,24h_hss2,24h_far,24h_precision,24h_recall,24h_f1,24h_alert_fraction,24h_brier,24h_km_reference_brier,24h_bss,24h_predicted_survival_mean,24h_observed_survival_km,48h_auc,48h_average_precision,48h_tss,48h_hss2,48h_far,48h_precision,48h_recall,48h_f1,48h_alert_fraction,48h_brier,48h_km_reference_brier,48h_bss,48h_predicted_survival_mean,48h_observed_survival_km,72h_auc,72h_average_precision,72h_tss,72h_hss2,72h_far,72h_precision,72h_recall,72h_f1,72h_alert_fraction,72h_brier,72h_km_reference_brier,72h_bss,72h_predicted_survival_mean,72h_observed_survival_km,144h_auc,144h_average_precision,144h_tss,144h_hss2,144h_far,144h_precision,144h_recall,144h_f1,144h_alert_fraction,144h_brier,144h_km_reference_brier,144h_bss,144h_predicted_survival_mean,144h_observed_survival_km,integrated_brier_score,integrated_auc
0,0.9364928909952607,0.8429282227708892,9912,0.07011487748288156,0.6849273607748184,131456,0.9298851225171184,0.9554603821811101,0.9700482232317655,0.7367118664726288,0.8252435842579455,0.38444326390783984,0.7174251121097832,0.2825748878902167,0.9713906170303105,0.437796085502918,0.19432860717264386,0.02552410625984522,0.05173462485697954,0.5066339742405275,0.9437785744667053,0.9448020425686839,0.9692869234261703,0.7565383589514548,0.8210671938500793,0.5675882612205398,0.5403007627689629,0.45969923723103706,0.9057962578894884,0.6098794911099616,0.151268115942029,0.03015809866412318,0.06595887534726176,0.5427742133966635,0.9260576963424683,0.9281064058064862,0.9637421024425565,0.7731155175411772,0.8255269984680254,0.7369828708408734,0.3175184287762601,0.68248157122374,0.8636772874853664,0.7624621866932865,0.12525879917184266,0.03045180024193577,0.07520267121832873,0.5950702315676,0.9052530527114868,0.9168026637918842,0.9664553588561019,0.83276783401374,0.8221052312817552,0.6784511393775594,0.4006353769066848,0.5993646230933152,0.8817680068978381,0.7136437863950418,0.16059225512528474,0.03228462255148981,0.08122503855540077,0.6025286891126608,0.8863090872764587,0.9099141096366049,0.9442596755163783,0.8348712941838334,0.7167198816849032,0.738052690972425,0.20009879576410855,0.7999012042358914,0.7452913102563316,0.7716312511085303,0.18971061093247588,0.04204944263137945,0.1055237074259816,0.6015166292287963,0.8272650241851807,0.8742159114145523,0.034017238155461496,0.9604581057830721
1,0.9511162785953962,0.8294500520339565,4708,0.04801680792256933,0.6261682242990654,93341,0.9519831920774307,0.9675062405588113,0.9799007917816095,0.5972915185527371,0.8556216668209236,0.3487649961685411,0.7569239041034836,0.2430760958965164,0.9795075848244885,0.3894946143559659,0.15897435897435896,0.022104583295587957,0.037560463407101216,0.4114933286097625,0.9599838256835938,0.9612605006620427,0.9684031859546551,0.5652617615416582,0.8026748429661206,0.5046515199622366,0.6114833979323101,0.3885166020676899,0.8717083735381127,0.537480500445052,0.11204481792717087,0.026407302759403384,0.04552019501340607,0.41987720501579096,0.9466848373413086,0.9532644631846094,0.9743896741394868,0.7302140305783958,0.8185188368567489,0.7799271936086722,0.2425521812046658,0.7574478187953342,0.8384018777924214,0.7958715347261537,0.08798283261802575,0.02543443390957616,0.062189191058476576,0.5910151993187991,0.9288146495819092,0.9335767634332413,0.9756494383464743,0.8014546081003573,0.8253759895758446,0.7254481026240471,0.3374817315728592,0.6625182684271408,0.8613280534906248,0.7489542250273231,0.11870503597122302,0.025076263665751115,0.06875851222748866,0.6352995017869805,0.9129133224487305,0.9263446435238355,0.9650620840301303,0.8567477889346272,0.7710060557228688,0.7957949712776,0.15690219391463958,0.8430978060853603,0.7850060557228689,0.8130155561557525,0.13412563667232597,0.02893105720076291,0.07705134342489964,0.6245223520474836,0.8544800281524658,0.9177566831248517,0.02623912180648587,0.9717380480525499
2,0.9407527059211923,0.8312714935885949,3726,0.04393194439531676,0.6948470209339774,81087,0.9560680556046832,0.9520515002404825,0.9879833140004273,0.7912269802343848,0.8740446058117097,0.39790223288320276,0.719961655498965,0.280038344501035,0.9795491929676731,0.43555739668122395,0.14235500878734622,0.017592957744188183,0.03785269524069439,0.5352257578405017,0.9614338278770447,0.9605374589294805,0.9748865625545813,0.7546256311474171,0.8065646265256992,0.529514368959269,0.5867386757591823,0.41326132424081763,0.8686266885877612,0.5600642365078391,0.1052132701421801,0.020914636260319155,0.04523931566704217,0.5376889337971147,0.949088454246521,0.9531196162574532,0.9738931544867201,0.7887559198369123,0.832011116724596,0.7648798975722454,0.282038628659724,0.717961371340276,0.851987614961964,0.7792535958047517,0.07768052516411379,0.019548084331029884,0.052284562724261366,0.6261213001986325,0.9326654672622681,0.9461108967696293,0.9678902943398165,0.8024715958856014,0.7914735287249157,0.5680841340401505,0.5364790682408336,0.4635209317591664,0.8518409827931571,0.6003611959364235,0.12333736396614269,0.021721018581721208,0.05600355815964158,0.6121493116597322,0.9173697233200073,0.9436738394696085,0.9520509426109012,0.8010534462598888,0.7309630785111112,0.7251268526466492,0.26085014636086695,0.739149853639133,0.7520763222731074,0.745557062386678,0.11892797319932999,0.03092319278080683,0.07075475765108469,0.5629524599137289,0.8587076663970947,0.9279167635926002,0.023538023144903445,0.9665292559088633
3,0.9432530642215653,0.813055991175495,6059,0.05703876640370531,0.6817956758541014,100167,0.9429612335962947,0.9590683558457376,0.9410280282208053,0.7625973109834189,0.8061550210244448,0.38246516713013484,0.7206460895103375,0.27935391048966246,0.9326229523704251,0.4299287828684708,0.16866438356164384,0.021816900678972954,0.04646292400464047,0.530444948389516,0.9530309438705444,0.9508890612306802,0.9681160906388896,0.7573030766609866,0.8192934201717164,0.5339105605195168,0.5814907606514631,0.41850923934853695,0.8948576988763287,0.5702994402890841,0.12775735294117646,0.02404475360092975,0.05333069313344242,0.5491385506510162,0.9386334419250488,0.9436795248389969,0.9693576419041419,0.771660214013354,0.8113860245815196,0.737671469045606,0.30973916752596514,0.6902608324740348,0.8392282519597098,0.7574900634847024,0.09670563230605739,0.025329152489422836,0.06198222801273551,0.5913481444355558,0.9198430776596069,0.9340923679846606,0.9674004680380348,0.7983966612011633,0.8123852282088109,0.6349103627906681,0.459250386791583,0.5407496132084171,0.8675033384450315,0.6662185144655757,0.1330166270783848,0.02538165234750222,0.0642137015820231,0.6047315180066193,0.9016899466514587,0.9329710085993248,0.9466816467353549,0.8261412664288551,0.7385273505946579,0.7474819733929914,0.21747724716412845,0.7825227528358715,0.76149185998923,0.7718640764035037,0.15156794425087108,0.033516119137662406,0.08026286169831735,0.5824205812192584,0.8420125246047974,0.9115041923824101,0.027246259320247535,0.9610045678395659
4,0.9303810918020401,0.7728423641003118,3974,0.04691798207813367,0.6816809260191243,80727,0.9530820179218663,0.9426214277750938,0.9755850240212879,0.528589399147471,0.8055768754631831,0.3079251612516152,0.7861462904302545,0.21385370956974548,0.9314761560387229,0.34784674236853347,0.15584415584415584,0.020990497789065685,0.03424379657603669,0.3870277280015578,0.9633913040161133,0.9651165182112652,0.9775585031310008,0.6112825442282923,0.8276379887923873,0.477938817633157,0.6444902111990009,0.3555097888009991,0.8998437256865516,0.5096624164920082,0.1112158341187559,0.021855763996616626,0.04097379700239981,0.4665916855268124,0.9497472643852234,0.9588071342397386,0.9510887311485363,0.7066515936947634,0.8380597513013845,0.7297557612510112,0.34308527076347967,0.6569147292365204,0.8636114353896542,0.7462141532882262,0.08034744842562432,0.020586257973991565,0.050611044856380114,0.5932457424578061,0.9333500862121582,0.9486309260345586,0.9572800650724655,0.7702687660438647,0.78570414577869,0.5960346454314703,0.5001631779884981,0.49983682201150187,0.8398653082621776,0.6266999165160986,0.11786148238153099,0.023786558053656856,0.057716174693840244,0.5878701563325285,0.9168933629989624,0.9412949453433582,0.9344047756640216,0.7451431159586769,0.6165054578379234,0.6292919228740431,0.32543027319414136,0.6745697268058587,0.6444495696143705,0.6591657473014235,0.1206896551724138,0.03775417735633519,0.07410457029955768,0.4905283546788134,0.8588878512382507,0.9218077471231457,0.02662365228373399,0.9535129378441951
5,0.9480663680524888,0.7698047956050798,3307,0.041726600550129965,0.6416691865739341,75947,0.95827339944987,0.9614072971940959,0.968705245677387,0.6308155308260177,0.8526667336331029,0.38328034418579787,0.7309240571198267,0.26907594288017334,0.9552545340027887,0.41988012106298633,0.13664596273291926,0.019230791371181197,0.03579324822162477,0.46272572826841774,0.960338294506073,0.9629267265262731,0.9710167779431769,0.6356013635916566,0.8262088164915906,0.5526751840729089,0.5676413404114514,0.4323586595885486,0.881989749554471,0.5802660896236015,0.09817131857555342,0.021629794686496458,0.043188253129149895,0.49917412445891596,0.9490734934806824,0.955518141049037,0.9760341588445745,0.7859913933698824,0.8487606404879116,0.7803857973927439,0.2684916711423899,0.7315083288576101,0.8678765305715436,0.7938788550989807,0.0778642936596218,0.018676286717629217,0.05185248488746166,0.6398188677328887,0.9329457879066467,0.9462965487021159,0.9708560989565556,0.8091276820990465,0.7800904619920215,0.6499630579929732,0.4252918425438558,0.5747081574561441,0.821757128658688,0.6763798999999647,0.10947109471094711,0.02201418893243278,0.05985107358717028,0.632183892234278,0.917935848236084,0.9377161100710768,0.951995250249267,0.8065201884742584,0.7272543275735313,0.733795070232992,0.23863843295771128,0.7613615670422886,0.7465676322945614,0.753892029780722,0.12267657992565056,0.028401336657960893,0.06521885007243436,0.5645225785732597,0.8605304956436157,0.932379677222453,0.022970311532200686,0.9665778412742391
6,0.9363192650014356,0.808535860632285,5951,0.056952818451526464,0.6582087044194254,98539,0.9430471815484736,0.9531150103004902,0.9369334067345947,0.5922097086257728,0.774695587597487,0.30847006329705295,0.7785528994460228,0.2214471005539773,0.9228774057793052,0.3571863130528492,0.18386816999132696,0.023616918054547013,0.040594513845751995,0.4182238973402954,0.9565587639808655,0.9574451189254349,0.9596938676687388,0.5857262973375578,0.7899711032999468,0.45328868013943,0.6571530869582637,0.3428469130417363,0.8812409445697882,0.49364224244697924,0.13657623947614594,0.026739097613320592,0.04766256099939994,0.43899158894006485,0.9426941275596619,0.9502028507064265,0.9601926044062393,0.6626038508763128,0.7442646280260079,0.6399285271312047,0.4203218401833917,0.5796781598166083,0.7822830612057314,0.6659108914056275,0.09574468085106383,0.02939951089610237,0.057574380048187705,0.4893646988209682,0.9240202903747559,0.9393737975250538,0.9601540735140077,0.7469177830317473,0.7368243074016649,0.5388530615086417,0.5486350502631846,0.45136494973681524,0.8094572516299399,0.5795593245423353,0.1413427561837456,0.03025904041690558,0.06433978833358563,0.5296994099511166,0.9067096710205078,0.9323875370712937,0.934067556797278,0.7641985352386494,0.6874786580263987,0.6948693789291992,0.26686605058228174,0.7331339494177183,0.7156476721109059,0.7242852841999537,0.14502529510961215,0.0412620335733036,0.08312117054683445,0.5035917648674763,0.8442299962043762,0.9082185998640327,0.032321671784272026,0.9519283343755227
7,0.9490507007242961,0.8835040695340045,6242,0.053503621480306865,0.5948413969881449,110423,0.9464963785196931,0.9690734720121714,0.9601852762260901,0.6925478355568917,0.8302410769897555,0.4189409258096048,0.6906517835051849,0.3093482164948151,0.9543219593426965,0.4672386857414621,0.1722943722943723,0.026492391239723318,0.05014764275922276,0.47171213277315915,0.9487774968147278,0.9465908914483749,0.9678180723379687,0.665047838215213,0.7927147003012216,0.5874810058786241,0.5109294447639283,0.4890705552360715,0.8573611649476861,0.6228464387656932,0.12429906542056075,0.029926409788675633,0.06023987502789205,0.5032126183060769,0.9362496137619019,0.9348939878760661,0.9612034190941634,0.7849039697546671,0.7755679888149261,0.733803933448126,0.2860802369539026,0.7139197630460973,0.802658683750144,0.7556930517116661,0.10127931769722814,0.028507121229654965,0.06805957638156987,0.5811445979353094,0.9167857766151428,0.9257061770166095,0.9598887969760516,0.8028933533361027,0.751873234796061,0.6393954116069335,0.4196210744525044,0.5803789255474957,0.8051355517068466,0.674527352966705,0.13947990543735225,0.03175253236516951,0.0743659015385651,0.5730229620264456,0.9017620086669922,0.9185625763794619,0.9588217583789087,0.8505991792985329,0.7569296619209416,0.7720806003588504,0.18655900072091225,0.8134409992790878,0.7773795596714529,0.7950015509674389,0.15824915824915825,0.03344951594226582,0.0853883325146764,0.608265966119943,0.8430797457695007,0.9043506312851864,0.031137157277241874,0.9609315498044778
8,0.9282387987111679,0.7604186151664719,4056,0.04931666747726278,0.652120315581854,78188,0.9506833325227372,0.942561518391569,0.950163190040215,0.4512097682618528,0.7420920332620937,0.2249908097255676,0.8449592478944932,0.15504075210550688,0.8901416786521646,0.2640844914292051,0.17096219931271478,0.0205385646065947,0.02941828614819413,0.30184360492205353,0.9585186243057251,0.9705765713757177,0.9667095937884316,0.522093533660705,0.8112049286955767,0.36567776776480504,0.7440811830520522,0.25591881694794794,0.9018510231989519,0.39869866862499675,0.12070566388115135,0.023748890577683365,0.03428838104957603,0.30737789738903365,0.9455708861351013,0.9670370096143797,0.9478409404417962,0.5788214793821167,0.8113351558204818,0.6452983737483374,0.45108900291576226,0.5489109970842376,0.8463634044080524,0.6659309161156441,0.08200212992545261,0.027832219299696318,0.04737731924657763,0.41254128046287,0.9287177920341492,0.9532450661353278,0.9473954315411377,0.6459827066496231,0.7450384061161972,0.5282747214226171,0.5678511186257584,0.4321488813742416,0.8097592182989382,0.5635465948929003,0.12103407755581669,0.03266682211637157,0.05744444048747319,0.4313318775644587,0.9128738641738892,0.9426699205210799,0.9278606171543541,0.7313057576670211,0.612416929855947,0.6376375584061456,0.3014372758739142,0.6985627241260858,0.6377087586497213,0.6667500929018242,0.11447811447811448,0.04225983813829671,0.0772214077097965,0.4527445252343475,0.8557239770889282,0.9187797596830012,0.03263671451359922,0.9449083131103599
9,0.9417337913209998,0.809453319004442,10720,0.07177818398516227,0.6092350746268657,138629,0.9282218160148378,0.9674454839896414,0.9740801652528468,0.5757880627426978,0.8485097946147517,0.43062332630637035,0.6793011258615432,0.32069887413845677,0.9873986835036405,0.48414989275907083,0.19430485762144054,0.029158928134278242,0.05664056125844125,0.48519351704106506,0.9410309791564941,0.9390460303108662,0.9736565231147141,0.6449305747328682,0.8747266822931907,0.5737685044377145,0.548551268237375,0.451448731762625,0.9642055416835547,0.6149656411404666,0.1585144927536232,0.02890193595221815,0.06339345856183248,0.5440864624221775,0.9239314794540405,0.9310925049649792,0.9779512340793564,0.7559937214701897,0.8584122763690201,0.7832307716054678,0.26587256629017875,0.7341274337098213,0.8907822185655521,0.8049034150226653,0.12757201646090535,0.02694346347669243,0.07855945188937624,0.6570309131658281,0.9017907381057739,0.9120306709807824,0.9855452678904639,0.8775958842452977,0.8687064332920513,0.7287920662207892,0.3539813460439381,0.646018653956062,0.925136879486277,0.7607848731581609,0.17198177676537585,0.02318779812394973,0.08659681082326598,0.7322326549499227,0.883235514163971,0.9019738842750875,0.9600844890508284,0.8884673303248461,0.784889944277182,0.8117283502460707,0.12944033678275457,0.8705596632172454,0.8028182311297717,0.835317797943928,0.19435736677115986,0.03450876043740851,0.10585733546896858,0.6740069048164873,0.8227672576904297,0.8745623880753286,0.02800879715971597,0.9750783521974133
