horizon_hours,threshold_source,target_validation_alert_fraction,achieved_validation_alert_fraction,threshold,tp_ipcw,tn_ipcw,fp_ipcw,fn_ipcw,tss,hss2,far,precision,recall,f1,alert_fraction,known_count,auc,average_precision
12.0,primary_tss,,0.15773809523809523,0.09398467625809293,52.73039581977716,1153.3263635360418,50.05001200250748,6.190995493896699,0.8533365600088025,0.6302528145973475,0.4869606286156002,0.5130393713843998,0.8949278800811352,0.6521930628049668,0.08340498710232158,1163,0.9787993730501494,0.6132327226935943
12.0,validation_alert_load,0.01,0.010416666666666666,0.62692592479967,4.0531392991735276,1200.1122443209943,3.2641312175548345,54.86825201450033,0.06607644983070027,0.11323478925680831,0.4460859018526851,0.5539140981473148,0.06878892722672211,0.12237986659667746,0.0060189165950128975,1163,0.9787993730501494,0.6132327226935943
12.0,validation_alert_load,0.025,0.025297619047619048,0.5055809154270965,17.587886428154043,1193.5839818858844,9.792393652664504,41.333504885519815,0.290360041072931,0.3895091755374424,0.35764402788284977,0.6423559721171502,0.29849747326099596,0.4075908645559897,0.02235597592433362,1163,0.9787993730501494,0.6132327226935943
12.0,validation_alert_load,0.05,0.050595238095238096,0.4278191673494843,29.931805033351445,1187.0557194507749,16.320656087774175,28.989586280322413,0.49443317059263325,0.5507428501014446,0.35286027364108813,0.6471397263589119,0.5079955575727416,0.5691871951140536,0.037833190025795355,1163,0.9787993730501494,0.6132327226935943
12.0,validation_alert_load,0.1,0.10119047619047619,0.26113041196566245,45.54356909691217,1173.9991945805555,29.377180957993506,13.377822216761677,0.7485424501161144,0.6629426446848449,0.3921100754659348,0.6078899245340651,0.7729547466803097,0.6805564918674242,0.061049011177987965,1163,0.9787993730501494,0.6132327226935943
12.0,validation_alert_load,0.2,0.20089285714285715,0.04329111446056564,55.815860181842346,1103.2763515335341,100.10002400501492,3.105531131831503,0.8641110156466771,0.48469784125794274,0.6420129964760366,0.35798700352396345,0.9472936557913424,0.5196105755093171,0.12553740326741186,1163,0.9787993730501494,0.6132327226935943
24.0,primary_tss,,0.15773809523809523,0.13954237903353717,59.52477162791103,1135.5473689026098,45.60900863769493,9.59182435903917,0.8226086970736244,0.6605668691330147,0.43381878329182183,0.5661812167081781,0.8612225584597628,0.6832096768805437,0.08921933085501858,1076,0.9731942028099615,0.6500064944495247
24.0,validation_alert_load,0.01,0.010416666666666666,0.7771601559568128,5.160400157824539,1178.8174540204227,2.3389235198817917,63.956195829125654,0.0726820460351405,0.12524159856945347,0.31188459391809475,0.6881154060819054,0.07466224405494257,0.1347083003222128,0.006505576208178439,1076,0.9731942028099615,0.6500064944495247
24.0,validation_alert_load,0.025,0.025297619047619048,0.6578649050660978,18.695147286805057,1171.8006834607777,9.355694079527167,50.42144870014514,0.26256630323918495,0.36451960232877895,0.33352632662050047,0.6664736733794996,0.270487095318393,0.3848027239585014,0.024163568773234202,1076,0.9731942028099615,0.6500064944495247
24.0,validation_alert_load,0.05,0.050595238095238096,0.5726423780123994,32.20132687426911,1165.9533746610732,15.203002879231647,36.91526911268108,0.4530273355457748,0.5316465592318171,0.3207091621859483,0.6792908378140518,0.46589862267448756,0.5527132001336343,0.040892193308550186,1076,0.9731942028099615,0.6500064944495247
24.0,validation_alert_load,0.1,0.10119047619047619,0.3692376478106094,51.23846180025404,1155.428218821605,25.7281587186997,17.87813418669616,0.7195515212879857,0.6830329916274389,0.3342768403396886,0.6657231596603114,0.7413336995058075,0.7014969005448102,0.06598513011152417,1076,0.9731942028099615,0.6500064944495247
24.0,validation_alert_load,0.2,0.20089285714285715,0.06516911635391912,63.74889657266893,1082.9215897052695,98.23478783503528,5.367699414281267,0.8391701702185943,0.514039054754218,0.6064486568152359,0.3935513431847642,0.9223384870502775,0.5516989980609606,0.13475836431226765,1076,0.9731942028099615,0.6500064944495247
48.0,primary_tss,,0.18452380952380953,0.09231701125882719,72.45897619207047,1073.7335816961208,67.60544773642243,11.337146249922906,0.8054721488303636,0.6143506517072008,0.4826739427489243,0.5173260572510758,0.8647055983077154,0.6473581644185913,0.12673056443024494,939,0.9684650430246736,0.7438185404893403
48.0,validation_alert_load,0.01,0.010416666666666666,0.8757582591615449,6.411526849275733,1140.0134324181038,1.3255970144396556,77.38459559271762,0.07535196714651993,0.13003232335998907,0.1713294290991356,0.8286705709008644,0.07651340733235025,0.14009176136640222,0.007454739084132056,939,0.9684650430246736,0.7438185404893403
48.0,validation_alert_load,0.025,0.025297619047619048,0.7746237329045716,21.183335465375755,1133.3854473459055,7.953582086637934,62.6127869766176,0.24582748892122064,0.3522887106180827,0.27297266680456567,0.7270273331954343,0.25279613003620316,0.37514859188240884,0.027689030883919063,939,0.9684650430246736,0.7438185404893403
48.0,validation_alert_load,0.05,0.050595238095238096,0.6930338171862168,37.2054614041408,1130.734253317026,10.604776115517245,46.590661037852556,0.4347082761161123,0.5426785653260913,0.22180973502080803,0.778190264979192,0.4439997976027558,0.5654052192459702,0.04579339723109691,939,0.9684650430246736,0.7438185404893403
48.0,validation_alert_load,0.1,0.10119047619047619,0.47280548178674897,58.60880241706555,1122.7806712303882,18.558358202155176,25.187320024927804,0.6831612510519309,0.7091517182938538,0.2404955430941783,0.7595044569058217,0.699421413653557,0.7282257332534242,0.07348242811501597,939,0.9684650430246736,0.7438185404893403
48.0,validation_alert_load,0.2,0.20089285714285715,0.08936999423765446,75.89866332205261,1053.8496264795263,87.48940295301726,7.897459119940752,0.8290988312110332,0.5757445057492433,0.5354699700388497,0.4645300299611502,0.9057538834758416,0.6141061345062746,0.14589989350372737,939,0.9684650430246736,0.7438185404893403
