metric,mean,std,ci_lower_2.5,ci_upper_97.5
harrell_c_index,0.941204296225651,0.009979415624517018,0.9176993920722095,0.9578699133091243
uno_c_index,0.8291733976474136,0.046969897892940336,0.7214042317296422,0.9077295858860879
event_event_pairs,6360.605,3507.056635016922,1691.925,15066.724999999999
event_event_fraction,0.054954610791603006,0.01296620886985187,0.032507018328236,0.08187796731698961
event_event_c_index,0.661979626374841,0.03312687673210469,0.5890470700993643,0.7184801449820915
event_censored_pairs,101419.706,31487.69663044051,49129.95,169675.49999999997
event_censored_fraction,0.945045389208397,0.012966208869851871,0.9181220326830104,0.9674929816717639
event_censored_c_index,0.9575079075615872,0.0117135119972948,0.9282122608577176,0.9748191456725199
12h_auc,0.9782378064633122,0.0060624181365233135,0.9640435178833324,0.988783189145398
12h_average_precision,0.6105492954625238,0.15406682240535524,0.2789894991100511,0.8531760892175729
12h_tss,0.8519758937088472,0.04839857501704983,0.7442132598896326,0.932077265281196
12h_hss2,0.6141229705842802,0.09348010847415583,0.399456890308497,0.7641330445292295
12h_far,0.49944806654846163,0.10546401573206973,0.31383453106064135,0.719350910480752
12h_precision,0.5005519334515384,0.10546401573206973,0.2806490895192481,0.6861654689393586
12h_recall,0.8938103479214438,0.04916061657428347,0.7784032873056844,0.973569717950162
12h_f1,0.6356690458914502,0.09456970882369202,0.4180357203323627,0.7829457347002863
12h_alert_fraction,0.0842024831422024,0.021712432690842543,0.0460076859752719,0.1290731035582914
12h_brier,0.02389322122641088,0.0064831430053693614,0.012148859968321716,0.03760408338693892
12h_km_reference_brier,0.044045315320038164,0.01564966822260017,0.018051811498137504,0.07691920613904162
12h_bss,0.4345973706144457,0.0948646084446727,0.17755211189312192,0.5630450227350545
12h_predicted_survival_mean,0.9579535725000555,0.00917641463557882,0.9384874912322889,0.9745873565170328
12h_observed_survival_km,0.9536183029027285,0.01791263668822842,0.9162320298627957,0.9833226187726818
24h_auc,0.9724104434712667,0.0084316475021168,0.9526783641466443,0.9857107465233185
24h_average_precision,0.6399815035775727,0.13249260327132542,0.3468120079218776,0.848637000761226
24h_tss,0.8203465838357292,0.049269261105221215,0.7083534385206632,0.9007109501929202
24h_hss2,0.6476049743422776,0.08000471000877395,0.46433900368321646,0.7731857824105967
24h_far,0.4456909982491832,0.0951782773555069,0.2849790891703225,0.6457895689714566
24h_precision,0.5543090017508169,0.09517827735550688,0.3542104310285435,0.7150209108296774
24h_recall,0.8592421104631359,0.04923625023025138,0.7470586796539573,0.9376000641067005
24h_f1,0.6700410003178345,0.08039873268524467,0.4830678071622442,0.7941520702309894
24h_alert_fraction,0.09000848978411437,0.02289047478545356,0.04965833788697898,0.13698130516841645
24h_brier,0.025601701169735525,0.005734838967390185,0.015345832075408784,0.0376526284294627
24h_km_reference_brier,0.051618009762807934,0.015446089056139369,0.02575633848071447,0.08388135353161859
24h_bss,0.48535415406851107,0.0959517221355394,0.2560009570911345,0.6344462996649158
24h_predicted_survival_mean,0.9421588360693784,0.011834323262773712,0.9171622999515234,0.9635309579120364
24h_observed_survival_km,0.9456168937292644,0.01869571125709571,0.9076736339052477,0.9768721124133514
48h_auc,0.9669655893591953,0.013297212807790448,0.9339410299056826,0.9856808369981627
48h_average_precision,0.7291741561009898,0.10013344393255667,0.49193652057152604,0.8813564956823282
48h_tss,0.7995755417067879,0.0561784680682361,0.6621716368028497,0.886883363453426
48h_hss2,0.6023478212446837,0.08500833890610628,0.4025868378390558,0.7341044340802373
48h_far,0.49229634445652165,0.09170697418985149,0.34058553428845995,0.6929724228394744
48h_precision,0.5077036555434784,0.09170697418985149,0.30702757716052564,0.65941446571154
48h_recall,0.8590830649398274,0.054843331881364886,0.7256740853393846,0.9382396455073704
48h_f1,0.6350495143473325,0.08555537603262563,0.43479999953672765,0.7642131831294874
48h_alert_fraction,0.12767536490788015,0.02599292992839858,0.08060689913598662,0.18119922654969137
48h_brier,0.026492696890830964,0.005222982054367867,0.017004852105909084,0.036827415237922566
48h_km_reference_brier,0.06218412483394489,0.01555717882560721,0.035298903346904636,0.0950331090289625
48h_bss,0.5613722721079774,0.08125879763045506,0.3747078539661329,0.69445677283758
48h_predicted_survival_mean,0.9273598238425651,0.0138631586968759,0.8984241432735255,0.952312296631253
48h_observed_survival_km,0.9335803531744798,0.01993118295493659,0.8929186755601408,0.9685103471672439
72h_auc,0.9608139516468489,0.014713550820712734,0.9269612577841037,0.98164803897055
72h_average_precision,0.7586790719864608,0.09925112193934799,0.5103410179292129,0.8954428615410642
72h_tss,0.7847301678733536,0.06274607386035055,0.6435706753508065,0.881055202593479
72h_hss2,0.693146970801707,0.08230504575968868,0.5046444879697405,0.8226547512012622
72h_far,0.3597929683874238,0.09452910889865354,0.20780113261219033,0.5740069957885281
72h_precision,0.6402070316125762,0.09452910889865353,0.4259930042114719,0.7921988673878098
72h_recall,0.8197312165429395,0.06052434009901309,0.6807955764214955,0.9098150292929703
72h_f1,0.7171878758394119,0.08101288853326363,0.5250330226150282,0.8400936022950207
72h_alert_fraction,0.11472513957634084,0.02775249843791627,0.0642509991692668,0.17172413217065918
72h_brier,0.027678820879242685,0.005434644081908512,0.01742211804699549,0.03902642634820462
72h_km_reference_brier,0.068017009268823,0.015607462267070259,0.040532977056884,0.10091775743053637
72h_bss,0.5816415067841906,0.08532412127064729,0.38518657792868477,0.7214792324816248
72h_predicted_survival_mean,0.9170887409907955,0.014999701047333993,0.8859622488588534,0.9440313011132655
72h_observed_survival_km,0.9276816955294598,0.020830737474112536,0.8835801794795455,0.9648646029127735
144h_auc,0.9441511364945054,0.015719225023406096,0.9088464679954116,0.9693853483810975
144h_average_precision,0.7853463981221366,0.07418094760693941,0.6018197108350547,0.8908809342593718
144h_tss,0.7337404781720516,0.050483053224069825,0.6243157663078982,0.8220720690806037
144h_hss2,0.5564625614306618,0.07690406074968384,0.3943057887662043,0.6850175806697663
144h_far,0.515062615976339,0.08386883356096785,0.3628997250853457,0.6858169605025858
144h_precision,0.48493738402366104,0.08386883356096785,0.3141830394974143,0.6371002749146543
144h_recall,0.8225169526692764,0.04693125346259667,0.7178425072420392,0.8994206486460489
144h_f1,0.6071492847009718,0.07726804164323432,0.4408789409138607,0.7335820578864379
144h_alert_fraction,0.21016537345488628,0.036762278005765835,0.144177027537542,0.2828128209947504
144h_brier,0.033028291086146536,0.00608120566146117,0.021851820222523306,0.04564156279161286
144h_km_reference_brier,0.08208363757778082,0.01578980938807268,0.053871175928024755,0.11593125300710014
144h_bss,0.5913553913421022,0.06846844820968945,0.4436476923587326,0.709508565525003
144h_predicted_survival_mean,0.8975043227789626,0.016578692911806848,0.8640331476299667,0.9268268368604504
144h_observed_survival_km,0.910607363658373,0.022944068853477606,0.8626968371150227,0.9511272611802737
integrated_brier_score,0.02846679208408009,0.005238472518061402,0.018806088846610627,0.03927862254957553
integrated_auc,0.9597613602934416,0.012132770304774226,0.9321308109178669,0.9781709561880976
