replicate,harrell_c_index,uno_c_index,event_event_pairs,event_event_fraction,event_event_c_index,event_censored_pairs,event_censored_fraction,event_censored_c_index,12h_auc,12h_average_precision,12h_tss,12h_hss2,12h_far,12h_precision,12h_recall,12h_f1,12h_alert_fraction,12h_brier,12h_km_reference_brier,12h_bss,12h_predicted_survival_mean,12h_observed_survival_km,24h_auc,24h_average_precision,24h_tss,24h_hss2,24h_far,24h_precision,24h_recall,24h_f1,24h_alert_fraction,24h_brier,24h_km_reference_brier,24h_bss,24h_predicted_survival_mean,24h_observed_survival_km,48h_auc,48h_average_precision,48h_tss,48h_hss2,48h_far,48h_precision,48h_recall,48h_f1,48h_alert_fraction,48h_brier,48h_km_reference_brier,48h_bss,48h_predicted_survival_mean,48h_observed_survival_km,72h_auc,72h_average_precision,72h_tss,72h_hss2,72h_far,72h_precision,72h_recall,72h_f1,72h_alert_fraction,72h_brier,72h_km_reference_brier,72h_bss,72h_predicted_survival_mean,72h_observed_survival_km,144h_auc,144h_average_precision,144h_tss,144h_hss2,144h_far,144h_precision,144h_recall,144h_f1,144h_alert_fraction,144h_brier,144h_km_reference_brier,144h_bss,144h_predicted_survival_mean,144h_observed_survival_km,integrated_brier_score,integrated_auc
0,0.9454551885124143,0.8715570827748106,9912,0.07011487748288156,0.6758474576271186,131456,0.9298851225171184,0.9657832278481012,0.98035513366946,0.7459947365424381,0.8838000370387769,0.6119194160686278,0.5149908006542696,0.4850091993457303,0.9431445897402825,0.6405945995913218,0.11092577147623019,0.025991165693876817,0.05173462485697954,0.4976059889149783,0.9473437199617258,0.9448020425686839,0.9758979191723937,0.754507333372772,0.8395650984113874,0.660767950807187,0.4365543273578803,0.5634456726421198,0.8947375122044909,0.6914576778022953,0.12318840579710146,0.03059810320353647,0.06595887534726176,0.5361033213128197,0.9280820441454738,0.9281064058064862,0.9728445396709817,0.7874244793646067,0.8452249987582281,0.7406948022372467,0.3248603694093364,0.6751396305906637,0.8856874265038929,0.766212604055862,0.12939958592132506,0.03154096432264393,0.07520267121832873,0.5805871811245367,0.9104331845244875,0.9168026637918842,0.9643254668253116,0.789409762241729,0.8048552047172777,0.7300063538332914,0.31298340245509054,0.6870165975449095,0.8437657105538535,0.7573657528218198,0.13895216400911162,0.034499699962893086,0.08122503855540077,0.5752578197994693,0.8985710680605729,0.9099141096366049,0.9507452131295703,0.848596956989941,0.6976103688045088,0.7293340673503422,0.1929435573009379,0.8070564426990621,0.7241409810494067,0.7633537453944237,0.1832797427652733,0.040997434098667566,0.1055237074259816,0.6114860338144891,0.8767337017678498,0.8742159114145523,0.034815069858646,0.9644773665113856
1,0.9609073014513152,0.8444932605740889,4708,0.04801680792256933,0.6427357689039932,93341,0.9519831920774307,0.9769554643725694,0.9822307253790628,0.5812971783214876,0.9236787063817635,0.6642404766188171,0.4717104772359319,0.5282895227640682,0.9584380646705337,0.6811372736513318,0.07264957264957266,0.022108561422720597,0.037560463407101216,0.4113874159885703,0.9619712712484301,0.9612605006620427,0.9741886194637426,0.6035974477554175,0.8342330283704598,0.6453228653067019,0.4607416787944664,0.5392583212055335,0.8717083735381127,0.6663176329337458,0.08216619981325864,0.025704311262733055,0.04552019501340607,0.43532071303378805,0.9470112478221512,0.9532644631846094,0.9815771340042376,0.7637802659386645,0.8412874478713417,0.7763952690006746,0.26755169990016686,0.7324483000998331,0.8646792607368388,0.7930898823466549,0.09334763948497854,0.026606626392303497,0.062189191058476576,0.5721663855172958,0.9326218503257457,0.9335767634332413,0.9721069119280057,0.7917078170426259,0.7931585306481164,0.7729750246306615,0.23063283872106147,0.7693671612789384,0.813131899489661,0.790644363418285,0.10071942446043165,0.02789493280370865,0.06875851222748866,0.5943057535710226,0.9225309968982461,0.9263446435238355,0.97034591476948,0.8598238323071418,0.7593519697297735,0.7880516372459343,0.15889095375914775,0.8411090462408523,0.7733519697297734,0.8058086646047937,0.13242784380305603,0.02824790862377102,0.07705134342489964,0.6333884995619359,0.9030103647911906,0.9177566831248517,0.027195223406928593,0.9740925410830984
2,0.9544179027047421,0.894542131125055,3726,0.04393194439531676,0.7002147074610843,81087,0.9560680556046832,0.966098141502337,0.9898839257286359,0.8005217722451098,0.9309995169407057,0.7190015168033673,0.4066663400455908,0.5933336599544092,0.9585224527205223,0.73295923555804,0.06678383128295255,0.01773451552049355,0.03785269524069439,0.5314860564690341,0.9632370036850408,0.9605374589294805,0.97892184421284,0.7700568663543449,0.832590652551725,0.6516614739499905,0.451870472098095,0.548129527901905,0.8686266885877612,0.6721268362150538,0.08056872037914692,0.02049091247492419,0.04523931566704217,0.5470552068971222,0.9491744414560587,0.9531196162574532,0.9813322542246636,0.8126525469693867,0.8363995693621709,0.7099511226420767,0.37124020551021386,0.6287597944897861,0.8669518607840275,0.7288897855373239,0.0886214442013129,0.020017273138388057,0.052284562724261366,0.617147546132206,0.9358199541966468,0.9461108967696293,0.9722399908230116,0.7792751929991202,0.7991555510192212,0.6877656894077346,0.38243581649371977,0.6175641835062802,0.8306516140113472,0.7084312802890104,0.09552599758162031,0.022731507490223752,0.05600355815964158,0.5941060133103294,0.9265275096954143,0.9436738394696085,0.9611105587607183,0.8092724575798864,0.7367212359007465,0.7558168768891487,0.20423895008683235,0.7957610499131677,0.7520763222731074,0.7733022274575994,0.11390284757118928,0.028460651805181227,0.07075475765108469,0.5977563523638906,0.9086332347868491,0.9279167635926002,0.02326783255689526,0.9725709888370097
3,0.9593319902848644,0.8582117344071273,6059,0.05703876640370531,0.694999174781317,100167,0.9429612335962947,0.9753212135733326,0.9829263940814372,0.7841308408149513,0.8727620221057011,0.6460015345094173,0.47379359295534285,0.5262064070446572,0.916122455710037,0.6684599029813566,0.08904109589041095,0.02230874866183091,0.04646292400464047,0.5198591319908572,0.9554696851192754,0.9508890612306802,0.979438796604235,0.7864367114784642,0.8487340482384484,0.6493635078015756,0.458902502759025,0.541097497240975,0.8948576988763287,0.6744016283489177,0.10018382352941177,0.023285826980335825,0.05333069313344242,0.5633691292541287,0.9390072884637515,0.9436795248389969,0.9775981426130114,0.7943156989648825,0.8293736436365795,0.7132089995600994,0.3598439815563185,0.6401560184436814,0.8653365206667418,0.7359058478114441,0.10626992561105207,0.025534608049836663,0.06198222801273551,0.5880333949178133,0.923697116752197,0.9340923679846606,0.9776640834103711,0.8063534078404085,0.833382603536895,0.7248750480860018,0.34458363699336153,0.6554163630066384,0.8675033384450315,0.7466918740860524,0.11401425178147269,0.025569166862621204,0.0642137015820231,0.6018113543888988,0.9132281126736509,0.9329710085993248,0.9609156178229699,0.8425159529979441,0.7298716361948534,0.7488507631773211,0.20399173003501034,0.7960082699649896,0.7507484629171917,0.7727161905182528,0.1480836236933798,0.031287818143345345,0.08026286169831735,0.61018312228953,0.8934636627271517,0.9115041923824101,0.026662950252873942,0.9735655331166807
4,0.9332617113713638,0.7981545491493489,3974,0.04691798207813367,0.6731253145445395,80727,0.9530820179218663,0.9460651331029272,0.981290814899384,0.553025461232602,0.8274477371222759,0.5939220258360803,0.5251493997895275,0.4748506002104726,0.8625196795683192,0.6124975165503238,0.0658008658008658,0.02082948271483203,0.03424379657603669,0.3917297496911252,0.96412815327014,0.9651165182112652,0.9806322579451836,0.6185386524314902,0.8422943987903502,0.6246673971431509,0.4911179514678506,0.5088820485321495,0.8798809467626548,0.6448265401224031,0.07728557964184732,0.022527768798722255,0.04097379700239981,0.4501908427621971,0.9499212464712153,0.9588071342397386,0.9663485840111705,0.7324234281602924,0.8334139905580631,0.7020636990511913,0.38165697685791783,0.6183430231420821,0.8636114353896542,0.7206808585845296,0.08469055374592833,0.022247638131326776,0.050611044856380114,0.5604193077922159,0.9361922729033526,0.9486309260345586,0.9486870715542393,0.7111902873008187,0.7486877019215004,0.6701533536806524,0.37700371228834406,0.6229962877116559,0.779070793070774,0.692346633909715,0.09234507897934387,0.027136029723202032,0.057716174693840244,0.5298366555450509,0.9265225050249247,0.9412949453433582,0.9191830109596675,0.7129048044801923,0.5975644382195004,0.622431803393615,0.3164775699262579,0.683522430073742,0.6235125420119157,0.6521398692452285,0.11551724137931034,0.03848536948100685,0.07410457029955768,0.48066132324315547,0.9077086882428431,0.9218077471231457,0.0284274452867256,0.9496898437714334
5,0.9564696233676109,0.803791148011433,3307,0.041726600550129965,0.6537647414575144,75947,0.95827339944987,0.9696498874214913,0.9841518765501965,0.6218518865251266,0.9032333506793679,0.6806679047660231,0.44504782884894706,0.5549521711510529,0.9328082120472052,0.6958969312387513,0.06566104702750665,0.019274176560170893,0.03579324822162477,0.4615136228813609,0.9622305736114662,0.9629267265262731,0.9757318225312663,0.6813487225984383,0.8546063824145116,0.7037434791278868,0.39191682982144405,0.608083170178556,0.881989749554471,0.7198615797543186,0.0712223291626564,0.021395230039909348,0.043188253129149895,0.5046053384949565,0.9482976762349872,0.955518141049037,0.981055349248512,0.8008274625796739,0.8638932024866517,0.7891389057254563,0.26511024193892674,0.7348897580610733,0.8830090925702837,0.8021692309769254,0.07897664071190211,0.019670022502258383,0.05185248488746166,0.6206541972877611,0.9352481294676193,0.9462965487021159,0.9701073833798662,0.8036227634815215,0.7848905473210683,0.764461574804263,0.24117623021236376,0.7588237697876363,0.802363665600638,0.7799865764616254,0.08610086100861009,0.02335196257045086,0.05985107358717028,0.6098321856091717,0.9262258482164064,0.9377161100710768,0.9520100682284298,0.7856468057172019,0.7272543275735313,0.733795070232992,0.23863843295771128,0.7613615670422886,0.7465676322945614,0.753892029780722,0.12267657992565056,0.0277015989375674,0.06521885007243436,0.5752516503004725,0.9088601567898781,0.932379677222453,0.02341660231263381,0.9685676462521615
6,0.9482821322614604,0.8029293083843195,5951,0.056952818451526464,0.6703075113426314,98539,0.9430471815484736,0.9650696678472483,0.9738039140015953,0.5850799763513603,0.7961259998011638,0.5456985040356082,0.5682240493555327,0.4317759506444674,0.8470350907102547,0.5719834591562544,0.08759757155247182,0.024102258385057165,0.040594513845751995,0.40626808645525037,0.9583515029303341,0.9574451189254349,0.9702340724247929,0.6188326181176176,0.7948663964373557,0.5688797698915458,0.5388621371238458,0.4611378628761541,0.8484378250087842,0.5975169041809805,0.09915809167446211,0.026604919352778686,0.04766256099939994,0.44180675996168906,0.9422252244595203,0.9502028507064265,0.9703631843846978,0.697053140669426,0.7791837793874108,0.6244565778686357,0.4602657453875659,0.539734254612434,0.8264188024288853,0.652996432614452,0.1074468085106383,0.029302311801864638,0.057574380048187705,0.49105293400745875,0.9268952148009072,0.9393737975250538,0.967195154973463,0.7673028825202576,0.7544739354093108,0.6620107359113252,0.39145354250754766,0.6085464574924524,0.7920874243846675,0.6882912121012061,0.10836277974087162,0.03001254055351844,0.06433978833358563,0.533530629632927,0.9162585689859308,0.9323875370712937,0.9483625801130884,0.7762349100694912,0.6579262952053164,0.6739767158392017,0.27519750396486664,0.7248024960351334,0.6860953092898235,0.7049179477272303,0.1399662731871838,0.03856400957720597,0.08312117054683445,0.536050691737105,0.8959433250956257,0.9082185998640327,0.031482302070101595,0.9633497995127727
7,0.962388034114773,0.9212528855855329,6242,0.053503621480306865,0.6244793335469401,110423,0.9464963785196931,0.9814893636289541,0.9789434901050389,0.6590016179565119,0.8693382082211496,0.6809557181831091,0.4274906338150144,0.5725093661849855,0.9088602670446791,0.7024999078751821,0.09004329004329005,0.026086123180638677,0.05014764275922276,0.47981357157927185,0.9516471216622822,0.9465908914483749,0.9770331918710587,0.7227124551109535,0.8189773265638478,0.6937302827474119,0.3828255833092392,0.6171744166907608,0.8573611649476861,0.717705809827848,0.1,0.028568505896153618,0.06023987502789205,0.5257542303511431,0.9347349599308612,0.9348939878760661,0.9729942261343565,0.8032433060683244,0.8027444502377994,0.7316777374331358,0.3115002992441823,0.6884997007558178,0.8345465703791423,0.7545208243012315,0.10874200426439233,0.027805445334225076,0.06805957638156987,0.5914543285086531,0.9194408709242059,0.9257061770166095,0.9721000131178181,0.8362888218028527,0.7745097194831447,0.7282444166446768,0.2936516459685129,0.7063483540314871,0.8051355517068466,0.7525136980437265,0.11938534278959811,0.02952667718349643,0.0743659015385651,0.6029540881961295,0.9091786962142728,0.9185625763794619,0.9678086243541781,0.8643239830430779,0.7569296619209416,0.7720806003588504,0.18655900072091225,0.8134409992790878,0.7773795596714529,0.7950015509674389,0.15824915824915825,0.030813810765590498,0.0853883325146764,0.6391332415316311,0.8900760873267488,0.9043506312851864,0.029277713830341556,0.9720759918783298
8,0.9333333333333333,0.7468008907939553,4056,0.04931666747726278,0.6560650887573964,78188,0.9506833325227372,0.9477157620095156,0.9745285092104294,0.4562194098713062,0.846701962340108,0.517313133440206,0.6152480988778191,0.38475190112218105,0.8901416786521646,0.5372741828225835,0.06958762886597938,0.020007302795383576,0.02941828614819413,0.31990250232127326,0.9604264233462224,0.9705765713757177,0.9750840810325124,0.5168234941710145,0.8536350154843908,0.525027307256172,0.607309814837951,0.392690185162049,0.9018510231989519,0.5471406286663694,0.07985143918291551,0.023268424783563908,0.03428838104957603,0.32139039315034623,0.9454019551998224,0.9670370096143797,0.9633395383303949,0.5973106249078876,0.8259637929352532,0.6256366175866664,0.48240307504103747,0.5175969249589626,0.8666417590369482,0.6481123735447863,0.08839190628328009,0.027629131090728,0.04737731924657763,0.41682789296433587,0.9312311007377546,0.9532450661353278,0.9393359040587774,0.5975763107432652,0.7098093411015269,0.6038234726009386,0.4556058922289475,0.5443941077710525,0.7478804070913746,0.6301164067780194,0.09283196239717979,0.03423322277493532,0.05744444048747319,0.4040637791153959,0.921430728684606,0.9426699205210799,0.931709810915684,0.7138811709934474,0.6005967857148504,0.6288445511732225,0.30539151348506866,0.6946084865149313,0.6258886145086247,0.6584604281429737,0.1127946127946128,0.040682371540053296,0.0772214077097965,0.4731723657131386,0.9026790749800627,0.9187797596830012,0.032649505134035896,0.9480947728906304
9,0.9466283671132716,0.8430638382112273,10720,0.07177818398516227,0.6027985074626866,138629,0.9282218160148378,0.9732162823074537,0.9739062364052242,0.5904901049065916,0.8942835810147789,0.6573730098834442,0.46449379938985597,0.535506200610144,0.9489430792226642,0.6846510821940023,0.11306532663316583,0.030442911856812895,0.05664056125844125,0.4625245375322631,0.9441182802895819,0.9390460303108662,0.9745715875524469,0.6555258189222104,0.8812224967898143,0.6598274431876486,0.45486795342668096,0.5451320465733192,0.9412028311064318,0.6903959979228861,0.12952898550724637,0.03038848182877919,0.06339345856183248,0.520636947120672,0.9239991160730765,0.9310925049649792,0.982194701415408,0.7875533946109449,0.9012307518944085,0.7763389857414514,0.30551800717212335,0.6944819928278766,0.942849249004235,0.7998281699578892,0.14094650205761317,0.029226925396460327,0.07855945188937624,0.627964239903095,0.9057709667698838,0.9120306709807824,0.9871661389682013,0.8924931876328626,0.892328480536146,0.8129131891610563,0.24160348715746,0.75839651284254,0.925136879486277,0.8335095537771021,0.15148063781321183,0.025671149762848906,0.08659681082326598,0.7035554829468174,0.8936419343137177,0.9019738842750875,0.9671815787817686,0.8964504565023086,0.7455905029836387,0.795488033779093,0.10892117984096891,0.8910788201590311,0.7595347260912083,0.8200651316992893,0.18181818181818182,0.03388449698368946,0.10585733546896858,0.6799041196949219,0.8715691149778905,0.8745623880753286,0.029417829042450903,0.9784917449618373
