metric,mean,std,ci_lower_2.5,ci_upper_97.5
harrell_c_index,0.9067181208591658,0.023863660248982975,0.8474524852179921,0.9419968175887192
uno_c_index,0.7994690553323478,0.04610997593380247,0.6959238519068368,0.8778138559262287
event_event_pairs,6226.152,3534.9620874707916,1518.85,14203.699999999999
event_event_fraction,0.054295092436817294,0.013077227795940546,0.03129452004854774,0.07978400633505887
event_event_c_index,0.6342191485079133,0.03255895651001857,0.5614633904374758,0.6928215345852272
event_censored_pairs,100262.864,31702.476607554756,46753.225,164579.94999999992
event_censored_fraction,0.9457049075631827,0.013077227795940546,0.9202159936649411,0.9687054799514522
event_censored_c_index,0.9225330297918743,0.026508366764620938,0.8571067519169765,0.9604454899653092
12h_auc,0.9594342170379764,0.023430049552269485,0.8976910682029356,0.986910273063885
12h_average_precision,0.5910481703736273,0.16503650646341636,0.242956018273902,0.8495810539554057
12h_tss,0.8904224433448666,0.049541617157188605,0.7657070391805358,0.9562661147855133
12h_hss2,0.6011649261063351,0.1064840027815719,0.37160555321372823,0.7771069148572122
12h_far,0.5259375247561613,0.1104066614477462,0.3285372257544094,0.7475635740551373
12h_precision,0.4740624752438387,0.1104066614477462,0.2524364259448626,0.6714627742455905
12h_recall,0.9388435317252625,0.04888208069346937,0.8164619934122291,1.0
12h_f1,0.6238170773181463,0.10744375581072026,0.3921062698692323,0.7959926417556695
12h_alert_fraction,0.09263773731012814,0.02278372949912307,0.05150234831691985,0.1359980780690105
12h_brier,0.02473418214484452,0.007288440548963644,0.01166654240266411,0.04007375125369554
12h_km_reference_brier,0.04373163956940316,0.015798694144795223,0.016775322851131008,0.07698130450398875
12h_bss,0.4161703964471127,0.07766482308816802,0.24299276845980194,0.5076100710777132
12h_predicted_survival_mean,0.9577167297492273,0.007833933995191219,0.9423105193237402,0.9717530654169642
12h_observed_survival_km,0.953972612201694,0.018096492805580164,0.9159647112123619,0.9848832350925487
24h_auc,0.948463752710232,0.024123179774068203,0.8912944653341044,0.9825028147586168
24h_average_precision,0.6093679801195793,0.14794761879450283,0.2843441470431924,0.8430820313692283
24h_tss,0.8497739534022191,0.05607058505695718,0.7153637871627639,0.9360546734565022
24h_hss2,0.6296934008803414,0.09435542900424757,0.4220000471901086,0.782173097637611
24h_far,0.48030084098431836,0.10208816454029114,0.29700352758817117,0.6904859938969621
24h_precision,0.5196991590156816,0.10208816454029114,0.3095140061030378,0.7029964724118287
24h_recall,0.8959729905259992,0.054891847835408895,0.7595911518737053,0.9746509055769146
24h_f1,0.6538150853098232,0.09455344183818697,0.4431776092918675,0.8011095429596821
24h_alert_fraction,0.09917737419290867,0.0241148328204734,0.055603439841900325,0.1456342841949981
24h_brier,0.02608880271522327,0.006007520750592792,0.014723645470050353,0.03853895578927636
24h_km_reference_brier,0.05136325052714906,0.015656222985000384,0.02506842266277278,0.08380631308284157
24h_bss,0.4749669123723766,0.08478474675552178,0.2737717158293252,0.5997365129346848
24h_predicted_survival_mean,0.940974294222531,0.010447674560358186,0.9204535927106258,0.959649138745629
24h_observed_survival_km,0.9459171657806686,0.018973510719713493,0.9068256631894624,0.9780709933181378
48h_auc,0.9435272668897301,0.02432765270507923,0.8811651071648333,0.9790016572943493
48h_average_precision,0.6944389549808567,0.11741355896058916,0.41449552461339856,0.8725190313714959
48h_tss,0.8283736460776906,0.0637276247496347,0.6852681570985861,0.9224093019781254
48h_hss2,0.698603498058344,0.08703307275093987,0.4953950049082731,0.8345806045790619
48h_far,0.37887231698433643,0.09732064175112203,0.21855291896047063,0.5936367929826786
48h_precision,0.6211276830156636,0.09732064175112203,0.4063632070173214,0.7814470810395293
48h_recall,0.8651983295365501,0.06187790746892954,0.7204027586167514,0.9542131034030934
48h_f1,0.721060222770983,0.08583800236779406,0.5204048570366714,0.8520826341866596
48h_alert_fraction,0.10710971038480699,0.02630958098165744,0.05953560473038606,0.159485407689195
48h_brier,0.02646247674563729,0.0050964602472693,0.01718787845159504,0.03680265953785131
48h_km_reference_brier,0.06171648946941046,0.01575100608701046,0.03428086025711112,0.09278725800544142
48h_bss,0.5572079401254988,0.08502427813667464,0.3690245296974031,0.6949033085303962
48h_predicted_survival_mean,0.9249628830119324,0.012627265163248436,0.9002259784162894,0.9474816562622557
48h_observed_survival_km,0.9341836063180396,0.020205212866878344,0.8947858744498389,0.9692767984014645
72h_auc,0.9206205185706641,0.033044992651733406,0.8413183296475684,0.9690775647748268
72h_average_precision,0.7276405279521729,0.11507091277289624,0.43592563914536275,0.8896450827805757
72h_tss,0.7897231063814493,0.07147223627577169,0.6175691864363515,0.8952752400767906
72h_hss2,0.6943027120632183,0.09076711881375125,0.4799316351922425,0.8355449808467506
72h_far,0.36188299481453107,0.10061900639500805,0.1974208272135851,0.5903243212513039
72h_precision,0.638117005185469,0.10061900639500805,0.4096756787486961,0.8025791727864149
72h_recall,0.8247308089071713,0.06869399414350962,0.6526332327839489,0.921004966276422
72h_f1,0.7179296668254085,0.08900758456683223,0.5047987850623898,0.8524758832435532
72h_alert_fraction,0.11480827742781347,0.028482417804983954,0.0632771264421505,0.1714961511615575
72h_brier,0.028395830259579122,0.005487187797524816,0.018113263756491162,0.03975672564412483
72h_km_reference_brier,0.0674888489120185,0.01572533258484436,0.03916006541759288,0.09829157576292484
72h_bss,0.5654995849498261,0.09628651760433544,0.3479750347993523,0.7169951632474431
72h_predicted_survival_mean,0.913665377559278,0.013955822355017423,0.886481730100022,0.9385071008130779
72h_observed_survival_km,0.9284045271013845,0.021020508179232327,0.8871520930618375,0.9664279056409426
144h_auc,0.8924442272066321,0.03570979699414432,0.8100133095040832,0.948465506597317
144h_average_precision,0.7473479207035613,0.09154622796103129,0.5224081214361229,0.8811900290455408
144h_tss,0.7179907088506947,0.0701950358422729,0.5591927619542802,0.8386483648416014
144h_hss2,0.6951950533951732,0.08123851538352558,0.5079747772818606,0.8283939222589543
144h_far,0.29978049197871554,0.0916811463281571,0.15098715634525917,0.5098391984656437
144h_precision,0.7002195080212846,0.09168114632815709,0.4901608015343562,0.8490128436547408
144h_recall,0.7494753790559052,0.06653376753595647,0.5967930643227165,0.8606906881889738
144h_f1,0.7232794899996947,0.07871943623143939,0.5411293901024999,0.8491180134206074
144h_alert_fraction,0.15204042392718983,0.03808476447349218,0.08254772997168174,0.2254282257623535
144h_brier,0.034482242935700555,0.006820964238432352,0.02163537909349844,0.04818957371921416
144h_km_reference_brier,0.08127903754018248,0.015798626350066642,0.05296424824596028,0.11114459312567192
144h_bss,0.5673616061977524,0.08854903196687637,0.3612631200310044,0.7175020742148974
144h_predicted_survival_mean,0.8914318062637386,0.01602187638753476,0.8602918773845785,0.9198462628735612
144h_observed_survival_km,0.9118057182471062,0.022995252054282374,0.8674835646818051,0.9529393778025149
integrated_brier_score,0.029223208952904537,0.005345677111101158,0.019028860351460564,0.03997230504753847
integrated_auc,0.922662002478759,0.028238905589408548,0.8541062690760071,0.9640769672784083
