replicate,harrell_c_index,uno_c_index,event_event_pairs,event_event_fraction,event_event_c_index,event_censored_pairs,event_censored_fraction,event_censored_c_index,12h_auc,12h_average_precision,12h_tss,12h_hss2,12h_far,12h_precision,12h_recall,12h_f1,12h_alert_fraction,12h_brier,12h_km_reference_brier,12h_bss,12h_predicted_survival_mean,12h_observed_survival_km,24h_auc,24h_average_precision,24h_tss,24h_hss2,24h_far,24h_precision,24h_recall,24h_f1,24h_alert_fraction,24h_brier,24h_km_reference_brier,24h_bss,24h_predicted_survival_mean,24h_observed_survival_km,48h_auc,48h_average_precision,48h_tss,48h_hss2,48h_far,48h_precision,48h_recall,48h_f1,48h_alert_fraction,48h_brier,48h_km_reference_brier,48h_bss,48h_predicted_survival_mean,48h_observed_survival_km,72h_auc,72h_average_precision,72h_tss,72h_hss2,72h_far,72h_precision,72h_recall,72h_f1,72h_alert_fraction,72h_brier,72h_km_reference_brier,72h_bss,72h_predicted_survival_mean,72h_observed_survival_km,144h_auc,144h_average_precision,144h_tss,144h_hss2,144h_far,144h_precision,144h_recall,144h_f1,144h_alert_fraction,144h_brier,144h_km_reference_brier,144h_bss,144h_predicted_survival_mean,144h_observed_survival_km,integrated_brier_score,integrated_auc
0,0.931156005409171,0.8162712017502312,3057,0.04175716100479449,0.5767091920183186,70152,0.9582428389952055,0.9466016649560953,0.963796014695938,0.35198665967919557,0.864060445981627,0.5163917054697152,0.6205675497313068,0.37943245026869316,0.9048213155468443,0.5346584576222979,0.06514084507042253,0.017410179998302012,0.026577377929216564,0.3449248438024819,0.9649070909729085,0.9736300040313398,0.9593751713106242,0.4059214922011692,0.838650872425512,0.5956142569526659,0.5265738987507932,0.473426101249207,0.874614908389548,0.6143218540276552,0.0690978886756238,0.020700535943697054,0.03527090105660545,0.41309874929264656,0.9504603941785484,0.9653375344673124,0.969542623991728,0.6142836410333402,0.865368283042852,0.753502086784082,0.32420545696091707,0.6757945430390829,0.8874100463839192,0.7672787949089519,0.07314410480349345,0.019955046659693065,0.047600263147234194,0.580778648261474,0.936297195173798,0.9522184759373591,0.9399341450374131,0.7130593001422462,0.8176665362448632,0.7646753997767689,0.27118768996464754,0.7288123100353525,0.8362341755021577,0.7788366247395131,0.07985257985257985,0.021301083541508337,0.05469052258418429,0.6105159992077256,0.9260735502773203,0.9449742310880328,0.9310115800019532,0.8065272855592738,0.772594573518701,0.7758746625697155,0.20385866265668778,0.7961413373433122,0.7888217540460845,0.7924646442602308,0.11545293072824156,0.021394749781367788,0.06784764606881102,0.6846648185897378,0.9052850502167687,0.9302054891329293,0.020823142794929042,0.9466197574957157
1,0.9343206283305155,0.815234484036298,9349,0.06669329928163277,0.6932292223767248,130830,0.9333067007183672,0.9515478101352901,0.9780196559579339,0.8310945842376859,0.9307595076240738,0.7302633614344328,0.3870362589964893,0.6129637410035107,0.9765404771034275,0.7531705764198214,0.11323896752706078,0.03195931151138981,0.0632888930252007,0.49502495645382694,0.9478758142826432,0.9316980628797813,0.9760315506475061,0.8248730086803245,0.9084919193443053,0.7328356093766346,0.37275910358972214,0.6272408964102778,0.9544352233521255,0.7569954399398288,0.12186379928315412,0.02949777254054607,0.0677481674395993,0.5645967462242468,0.9279641813916828,0.926374231164164,0.9728068134204424,0.8495483429566447,0.9026182608112481,0.7969395101934101,0.2754263313460555,0.7245736686539445,0.9377470664318568,0.8174918568394488,0.13451511991657977,0.027184406549863874,0.07692686984998953,0.6466201393235608,0.9093765415529279,0.9148423572730234,0.9482244692733607,0.8330553223355306,0.8820746159146404,0.7996121274253147,0.2567964412168235,0.7432035587831766,0.9133653590697902,0.8195449981154267,0.14073226544622425,0.02720800919258681,0.07965390029006296,0.6584221350931,0.8965361495782189,0.912472299352627,0.9394987239782124,0.8801757472234887,0.8187334159147519,0.8094991249622834,0.1786601515793591,0.821339848420641,0.8429269643018487,0.8319934036980581,0.1925566343042071,0.028963153560971736,0.09489232862317627,0.6947787668275447,0.871857065593202,0.8913737254050619,0.02821060228359129,0.955460439074472
2,0.8827028754652397,0.791868942397949,5022,0.05177693235594321,0.6377937076861808,91971,0.9482230676440568,0.896075936980135,0.9642982166310782,0.6417054934365306,0.9051498497541082,0.5675614263736819,0.5730830334746642,0.4269169665253358,0.9555548902581585,0.5901640501334995,0.08643042350907519,0.021575313440416712,0.0360125559476493,0.4008946915131407,0.959477232388685,0.9629488365278236,0.9315580470559908,0.5919382039049255,0.8017684298452155,0.575898041435803,0.5338662231142003,0.46613377688579966,0.85137160444839,0.6024310293335917,0.09295774647887324,0.027108164705863726,0.045570167946303794,0.4051335352152795,0.9430519518306391,0.9529614708387982,0.9222772043116859,0.6476644396346123,0.7739275165494957,0.64092108954066,0.43509036351967767,0.5649096364803224,0.8163303434046192,0.6677375173848858,0.10228509249183895,0.030815380175359248,0.056998111902272344,0.45936138677374805,0.9271329531117362,0.9399625416926,0.8891555091062978,0.6345569606771497,0.7187609645775614,0.6160378812755061,0.43968124493054617,0.5603187550694538,0.7616181074347044,0.6456418939521398,0.10887573964497041,0.036236056845647034,0.0632418948386393,0.42702449162690714,0.9157694342517998,0.934033484358049,0.8517120289226645,0.6470114563045852,0.6756562996007967,0.6242407051140624,0.3913991689302134,0.6086008310697866,0.7192995633579125,0.6593360675014024,0.1461038961038961,0.04424820897645675,0.08008960510328561,0.4475162048883482,0.8930268100643032,0.9150469674603344,0.03552450167651644,0.8941635191560074
3,0.8778212654924984,0.7705786619414772,4525,0.049196547000369656,0.6682872928176795,87453,0.9508034529996303,0.8886601946188238,0.9464461266366139,0.6967936072160724,0.8251697760733814,0.6011348063170506,0.5128333529542464,0.4871666470457536,0.8682495194281018,0.6241362876455467,0.08209606986899563,0.025431919600459495,0.04189533355793252,0.39296533908024744,0.9610301647075135,0.9558413959753005,0.9268750910728019,0.6886200890443176,0.7820432213412762,0.6243821216159138,0.46390796648912697,0.536092033510873,0.8235832416047009,0.6494439118484542,0.08943862987630828,0.0280156193540865,0.05038407054139639,0.4439587938598887,0.9451391402322428,0.9466941792120019,0.9130137917529157,0.6813426161242124,0.7514493690500244,0.6513753201819434,0.4077784230581442,0.5922215769418557,0.7869523276299059,0.6758395687478685,0.09299781181619256,0.029107831195658837,0.05561301451600913,0.4766003704532207,0.929671926065006,0.9416867291516806,0.8772676329371554,0.6577752085654405,0.7078394945497564,0.6352258496382605,0.40406948638931706,0.5959305136106828,0.7421402861064846,0.661047295799444,0.09759036144578313,0.03219966400029431,0.06006959752016725,0.46396071674221107,0.9185868445868196,0.9380379429930781,0.8400619754954585,0.6658181029440403,0.6504711286832676,0.6115249887229333,0.3941731420840134,0.6058268579159867,0.6905512890039089,0.6454205027152824,0.13769363166953527,0.03989958836197691,0.0730601995719948,0.4538806546420783,0.8962837554474666,0.9230925066731165,0.03285931566452593,0.8835290674243944
4,0.9215492023140835,0.7672690380677798,5627,0.052590259539987104,0.6865114625910788,101370,0.9474097404600129,0.9345960343296833,0.976172677713773,0.8461678853655623,0.9146429049085829,0.7708702162439457,0.3252576018053249,0.674742398194675,0.943453313830516,0.786787342010712,0.08623693379790941,0.02747373343690113,0.0539020306292524,0.4903024409994815,0.9588258165124391,0.9420404581505748,0.9770134106269779,0.8536185148447092,0.9057608527493934,0.7856119238990618,0.29773954174982936,0.7022604582501707,0.9328692864843332,0.8013030338707086,0.09226467847157502,0.023663675771156314,0.05814420446482519,0.5930174642689996,0.9423586331474322,0.9374906740344919,0.976511876848758,0.9038133824955072,0.8907917816565964,0.8264088091350938,0.2210025434402362,0.7789974565597638,0.9102871945006332,0.8395404632485037,0.09738219895287958,0.020106829876744732,0.06400429950277335,0.6858518875614991,0.9265043660597962,0.9315100522574302,0.92836347885623,0.8687549617146813,0.8454167885717874,0.7980832283598666,0.23276966542716693,0.7672303345728332,0.865955941331736,0.8136091717098194,0.10635838150289018,0.021733088415766995,0.06819923214488519,0.6813294265601649,0.9152398840523979,0.9279410482257925,0.9023978498144203,0.8110633135715467,0.7602069677898795,0.7245705524951223,0.2883382331783034,0.7116617668216966,0.7884555553605008,0.7480930528446839,0.14630225080385853,0.028630205078602294,0.07659422991786667,0.6262093749189337,0.8927875621982465,0.9207045207841873,0.023842637184322668,0.9388434248511863
5,0.868904170723791,0.7616994745361525,5714,0.057956608615390856,0.6270563528176408,92877,0.9420433913846091,0.8837817758971543,0.974132231112267,0.42435763624429473,0.9483227561196736,0.5715092224853827,0.5781193270789869,0.4218806729210131,1.0,0.5934122053355303,0.08805579773321709,0.02173485618966536,0.034265560777797716,0.3656938425549304,0.9593016595371153,0.9646453786249187,0.9312409902109472,0.4370149380109477,0.855912211539495,0.6036603757182145,0.518682262666154,0.481317737333846,0.9048144071482774,0.6283718690015427,0.0945179584120983,0.027063097075020415,0.04451011296756809,0.39197869269081154,0.942768979403538,0.9537149142155099,0.9207712268046696,0.519499190300096,0.8238198701082076,0.6483037240730459,0.4498172822298234,0.5501827177701766,0.8677505059463578,0.6734045351679502,0.10311493018259936,0.030129944619886953,0.05386093074955324,0.4405974014822076,0.9267414871833837,0.9436758809069475,0.8981634956550616,0.5795070909306266,0.7670974142861438,0.6432615651752425,0.4280522087245313,0.5719477912754687,0.8082285196846012,0.66986299215336,0.10823529411764705,0.03420235970692797,0.06096727307540656,0.4390046006383582,0.9153050233548108,0.936639138273967,0.8123857463464861,0.5940957495714432,0.6333335593179319,0.5985959525783218,0.39832862164506927,0.6016713783549308,0.679487405471778,0.6382161664674955,0.1503267973856209,0.049872278325140185,0.08368887107654822,0.40407514543333733,0.8924491018676629,0.9082683236163682,0.03619529425002452,0.8868437523765088
6,0.9028739142236699,0.837111577407557,6966,0.059090484955932374,0.6234567901234568,110921,0.9409095150440676,0.9204208400573382,0.9726771447922717,0.618304657137748,0.9123712504231136,0.6107629208058919,0.5264348460655207,0.47356515393447934,0.965752033341263,0.6355048273930933,0.0989010989010989,0.02623241698129401,0.04453991835482737,0.4110358089946776,0.9545958532232249,0.9533380691390926,0.9493651339228932,0.6256748174390586,0.8336792694732993,0.6328709074421706,0.47302358465200944,0.5269764153479907,0.884066866372524,0.6603374881610485,0.10588235294117647,0.030883707704833174,0.05578696324517782,0.4463991960074518,0.9366838815781625,0.9410155505357078,0.9357421929113523,0.7016562589869269,0.7890408127364013,0.690890524269003,0.3669842089131953,0.6330157910868047,0.8293169922530871,0.7179908128898151,0.11482254697286012,0.034070143636273545,0.06902232103947145,0.5063894820808761,0.9196068173724381,0.9253185362607661,0.8952956145525758,0.7041740585339845,0.7356863033297294,0.6706796558479454,0.3604591682386116,0.6395408317613885,0.7761562772200689,0.7012568267053617,0.12529002320185614,0.03915982216639856,0.07619296690051865,0.4860441355758257,0.9075857923694711,0.9171083466400383,0.8750908497174027,0.7392275757944503,0.72527057782411,0.676538320216605,0.3367142271069877,0.6632857728930124,0.7716840799338146,0.7133906965081075,0.18166089965397925,0.03974560854441493,0.08449499582799509,0.5296099117476218,0.8839282208191379,0.9054371858506065,0.03667801560175299,0.9080296060423355
7,0.9139403824639545,0.7630005248565842,5099,0.05331284045878946,0.6530692292606394,90544,0.9466871595412105,0.928631383636685,0.9785751583930077,0.6712951492810642,0.9375726297349267,0.6362187609794717,0.507280518734062,0.492719481265938,0.9799531527286148,0.6557356983916761,0.08203799654576857,0.02094155928096424,0.0381567632672902,0.45117044823043617,0.9596877310893117,0.96039281129152,0.950776627445717,0.6623962444844782,0.8788731993562697,0.6857905836464527,0.42590643579435006,0.5740935642056498,0.9160916126765442,0.7058482492232647,0.08771929824561403,0.02390553529793655,0.049142737148713894,0.5135489660334849,0.9434631113286563,0.9487557517792131,0.9418510002793472,0.6789843769502495,0.8444364904688331,0.7228575110554339,0.35606598124416683,0.6439340187558332,0.8752936333259759,0.7419972196091112,0.09322033898305085,0.024605303722267553,0.05605250364305071,0.5610311382528571,0.927802441261847,0.9418988628139724,0.9424523634443882,0.6992946006131329,0.8485420409692881,0.7430092117054936,0.3282580768876952,0.6717419231123047,0.8752936333259759,0.7601265867373163,0.09601873536299765,0.023058345398190662,0.05795052202867395,0.6021028872391972,0.9166589238940769,0.9418988628139724,0.9143815259790626,0.8079527255125867,0.7614721677641612,0.7412672580141036,0.2582616140479427,0.7417383859520573,0.7861869966614997,0.7633161679174557,0.13584288052373159,0.026876957846890488,0.07733190214299943,0.6524466992006667,0.8944276427174961,0.9195031568606241,0.024400358651396014,0.9374644138762287
8,0.8803278201151532,0.7446986569983174,5300,0.05252361084959418,0.6330188679245283,95607,0.9474763891504058,0.8940349555994854,0.9797615005615301,0.6265796874099683,0.9334290151988127,0.6257196054387216,0.5170971394851229,0.4829028605148771,0.9798348386746998,0.6469581616585127,0.08782608695652173,0.022641626904858873,0.03956927906631355,0.42779784117587494,0.9588393662418097,0.9584194685508741,0.9403988691888662,0.5949171631205928,0.8605663940313537,0.6176102662864988,0.5038444029454054,0.49615559705459455,0.9074258157661493,0.6415365625274293,0.09339622641509433,0.02511478287216024,0.04522438604714025,0.44466282315073324,0.9422179303112646,0.9529729440245435,0.9376072946814382,0.7100429853773748,0.8355278948513032,0.7163969157320905,0.3590850006832085,0.6409149993167915,0.8705746238232657,0.7382972742793384,0.10311493018259936,0.027577190420256747,0.0604263381909156,0.5436230086766591,0.9261579994918012,0.9351325507500649,0.9097074505506413,0.7747861655013663,0.8142742835053092,0.7270436605827031,0.32894712028273043,0.6710528797172696,0.844964820589708,0.7480335829874478,0.10685249709639953,0.027999294502923305,0.06575389917854667,0.5741804691019974,0.9147283254605065,0.9305003436734339,0.8410417567918294,0.7242764516752951,0.7007844070214708,0.6507837371553254,0.365701081638059,0.634298918361941,0.7422156687917155,0.6840270350920984,0.15224358974358973,0.03992006752207038,0.08207335224931328,0.5136050078616791,0.8919479498669033,0.9123716715605447,0.030536795379917058,0.9034226105459084
9,0.9255759897553995,0.7535237696705548,4622,0.04973796636069173,0.7035915188230203,88305,0.9502620336393083,0.9371949493233679,0.9810001961462974,0.7100692107494879,0.902016592482132,0.6484532096184572,0.48206537186928394,0.517934628130716,0.942666998986197,0.6685462654656252,0.082687338501292,0.023475996236177698,0.04181330335885231,0.4385519834512768,0.9602947519949464,0.9563621323929247,0.9769539893071371,0.6960999987348944,0.8753178955080183,0.6745958680270661,0.43904705197996446,0.5609529480200356,0.9137037222796718,0.6951377998046052,0.0882079851439183,0.023881455866823546,0.04824982639590176,0.5050457659501135,0.9441852727057478,0.9500387757532007,0.979479276473498,0.7734087799312152,0.8839125117612681,0.7791674629448363,0.29446062162197484,0.7055393783780252,0.9082462313441184,0.7941618485333313,0.09012875536480687,0.02162419733766747,0.05581158102790571,0.6125499951908655,0.9285574248626848,0.9422277574845315,0.962321650508761,0.8047275408911804,0.8535168275607579,0.779073254910308,0.2733071380913156,0.7266928619086843,0.875509065594393,0.7941897679467939,0.09585798816568047,0.021973380089630106,0.060250866165314144,0.6353018389919849,0.9173895259086825,0.9387122904421817,0.9148032838055975,0.7868786991148566,0.7704370503210023,0.7372354339667891,0.2759279387827499,0.7240720612172501,0.7950582624422144,0.7579066336949595,0.13157894736842105,0.026601197163664114,0.07222989358009572,0.6317148503871732,0.894996851550046,0.9271149421747367,0.02350051713119744,0.9553260080393352
