metric,mean,std,ci_lower_2.5,ci_upper_97.5
harrell_c_index,0.8825350073051396,0.026560808509194626,0.8187228092241341,0.9234967954533811
uno_c_index,0.7587607133858982,0.05351272423460384,0.6448267732511302,0.8525378030196232
event_event_pairs,6226.152,3534.9620874707916,1518.85,14203.699999999999
event_event_fraction,0.054295092436817294,0.013077227795940546,0.03129452004854774,0.07978400633505887
event_event_c_index,0.6087937099473183,0.037107371972617896,0.5330474258291547,0.6791699941151697
event_censored_pairs,100262.864,31702.476607554756,46753.225,164579.94999999992
event_censored_fraction,0.9457049075631827,0.013077227795940546,0.9202159936649411,0.9687054799514522
event_censored_c_index,0.8984018391374684,0.029208113921630318,0.8281299102896696,0.9443036596209072
12h_auc,0.9292786507762953,0.03126507737409436,0.8563919146870104,0.9676778717174558
12h_average_precision,0.36512548054868355,0.11030599500237227,0.14159305986165566,0.5574202012306906
12h_tss,0.750521113821069,0.057574699524848734,0.610980863658052,0.8274447879667192
12h_hss2,0.28265743230235274,0.08628072655408342,0.10487300523291238,0.4371494372279083
12h_far,0.7919177219571288,0.07127163479038634,0.6560337171653475,0.9271933902679198
12h_precision,0.20808227804287116,0.07127163479038634,0.07280660973208028,0.34396628283465236
12h_recall,0.9191280798007665,0.05659405966828836,0.7774561913586143,0.9893340380328293
12h_f1,0.33445880256892635,0.09736641784770157,0.13308766687465928,0.5068390788678396
12h_alert_fraction,0.20605206616743588,0.02237393488507502,0.1642327821589629,0.2504106456398613
12h_brier,0.043214671440441804,0.01565289436845627,0.01654338137606774,0.07620866301363974
12h_km_reference_brier,0.04373163956940316,0.015798694144795223,0.016775322851131008,0.07698130450398875
12h_bss,0.012258398732388624,0.001822770147626845,0.009957045193475646,0.01680462237374122
12h_predicted_survival_mean,0.9406616189267671,0.00022034267470903143,0.9402096997251109,0.9410620391945519
12h_observed_survival_km,0.953972612201694,0.018096492805580164,0.9159647112123619,0.9848832350925487
24h_auc,0.9182667785866022,0.034408949060438135,0.8353095130439913,0.9645577572576566
24h_average_precision,0.38516675112748794,0.107729254077323,0.16586208057552168,0.5757062770250805
24h_tss,0.7434167355278979,0.06118301438655083,0.5956718485751784,0.8330863039087589
24h_hss2,0.3324333816517957,0.0861259881572361,0.14942724929857457,0.48200885531250814
24h_far,0.7492784054151789,0.07417062300078464,0.6139294337412015,0.8945105099440339
24h_precision,0.250721594584821,0.07417062300078463,0.10548949005596597,0.3860705662587985
24h_recall,0.897497698173675,0.05984516458755888,0.748702294390583,0.9822045591388984
24h_f1,0.3873699380074542,0.09493099706713601,0.18538219174418286,0.5482438523234646
24h_alert_fraction,0.20042004476560224,0.023669757439534093,0.15727200983720888,0.24695250685391584
24h_brier,0.05055140915847445,0.015463950637995348,0.02455085347741692,0.08253435624953286
24h_km_reference_brier,0.05136325052714906,0.015656222985000384,0.02506842266277278,0.08380631308284157
24h_bss,0.016194402211197303,0.0020868006928101814,0.012924699354788145,0.021028415873050252
24h_predicted_survival_mean,0.9177084094727963,0.00030107344610777535,0.9170896939708038,0.9182547092843912
24h_observed_survival_km,0.9459171657806686,0.018973510719713493,0.9068256631894624,0.9780709933181378
48h_auc,0.9048121121226684,0.03391214522421249,0.824589852498013,0.9556469027922031
48h_average_precision,0.4571024618251102,0.10461706793767296,0.23881852280977417,0.6421676401092423
48h_tss,0.744713293684172,0.06504941368659477,0.5948581591908559,0.8444338139575291
48h_hss2,0.45236149278768256,0.09113691772862921,0.24568444403792875,0.6075484424363358
48h_far,0.6398387768915683,0.08608120268047438,0.4864470264138218,0.8219977794690717
48h_precision,0.36016122310843174,0.08608120268047438,0.17800222053092826,0.5135529735861782
48h_recall,0.8534036732017729,0.06373653236611788,0.7098346435996228,0.9462215091648761
48h_f1,0.5025286203919561,0.09490278723419283,0.2858866077051413,0.6626772723303036
48h_alert_fraction,0.17198670888054454,0.026330164273030233,0.12484694121586072,0.22392230464444243
48h_brier,0.06055317367185646,0.015517326462850072,0.03355321203514471,0.09112377895711339
48h_km_reference_brier,0.06171648946941046,0.01575100608701046,0.03428086025711112,0.09278725800544142
