replicate,harrell_c_index,uno_c_index,event_event_pairs,event_event_fraction,event_event_c_index,event_censored_pairs,event_censored_fraction,event_censored_c_index,12h_auc,12h_average_precision,12h_tss,12h_hss2,12h_far,12h_precision,12h_recall,12h_f1,12h_alert_fraction,12h_brier,12h_km_reference_brier,12h_bss,12h_predicted_survival_mean,12h_observed_survival_km,24h_auc,24h_average_precision,24h_tss,24h_hss2,24h_far,24h_precision,24h_recall,24h_f1,24h_alert_fraction,24h_brier,24h_km_reference_brier,24h_bss,24h_predicted_survival_mean,24h_observed_survival_km,48h_auc,48h_average_precision,48h_tss,48h_hss2,48h_far,48h_precision,48h_recall,48h_f1,48h_alert_fraction,48h_brier,48h_km_reference_brier,48h_bss,48h_predicted_survival_mean,48h_observed_survival_km,72h_auc,72h_average_precision,72h_tss,72h_hss2,72h_far,72h_precision,72h_recall,72h_f1,72h_alert_fraction,72h_brier,72h_km_reference_brier,72h_bss,72h_predicted_survival_mean,72h_observed_survival_km,144h_auc,144h_average_precision,144h_tss,144h_hss2,144h_far,144h_precision,144h_recall,144h_f1,144h_alert_fraction,144h_brier,144h_km_reference_brier,144h_bss,144h_predicted_survival_mean,144h_observed_survival_km,integrated_brier_score,integrated_auc
0,0.9261361308035897,0.77558449863473,3057,0.04175716100479449,0.5924108603205758,70152,0.9582428389952055,0.9406788117231155,0.9656708419292672,0.3579273967926106,0.7882988038184569,0.42610241546761507,0.6940410982458735,0.3059589017541266,0.8408350357025149,0.4486611860723408,0.07482394366197183,0.02578807161033418,0.026577377929216564,0.02969842702258063,0.9395685774051481,0.9736300040313398,0.968561108914926,0.4421587647818376,0.7767464111887934,0.49995254701924874,0.6159167442387328,0.3840832557612672,0.8256974601398421,0.5242876904813273,0.07965451055662189,0.03392518783714963,0.03527090105660545,0.038153638811101453,0.9159629842642777,0.9653375344673124,0.9506404570077801,0.5868641421707526,0.7728399652107183,0.6128695275323278,0.47687758989177137,0.5231224101082287,0.8111230278557301,0.6360398486708339,0.08406113537117904,0.04540227061136303,0.047600263147234194,0.04617605850355211,0.893537785498539,0.9522184759373591,0.9316106346353255,0.6675639465739504,0.7325010656009128,0.6185188140824005,0.4470820886476893,0.5529179113523107,0.7696363441155015,0.6435210020758625,0.09213759213759214,0.05207869123112182,0.05469052258418429,0.047756562374077105,0.8778674122526522,0.9449742310880328,0.9350297990310468,0.8162405379209546,0.7052856901810394,0.6700290679151958,0.3398328835251913,0.6601671164748086,0.7357116536698832,0.6958951613109134,0.12078152753108348,0.06416760074232286,0.06784764606881102,0.054239837926814194,0.8463471387107954,0.9302054891329293,0.05049126599409759,0.9425899939988205
1,0.9471897047388733,0.7943283408175648,9349,0.06669329928163277,0.7552679430955183,130830,0.9333067007183672,0.9609187495222808,0.9888597845625587,0.9207534087514605,0.8802125563504783,0.650391893474714,0.46622600873661785,0.5337739912633822,0.9412538489896167,0.6812302928208233,0.12489592006661115,0.06030824323446322,0.0632888930252007,0.04709593813800206,0.9383941844097576,0.9316980628797813,0.9869937925295603,0.9098149068544398,0.8591041587787365,0.651375838937914,0.45593334790869644,0.5440666520913036,0.9216652535978958,0.6842278958758214,0.13440860215053763,0.063601230083023,0.0677481674395993,0.06121106316674163,0.9143611039502592,0.926374231164164,0.9752785919662088,0.8951987041321416,0.85541893092189,0.7096178932751233,0.3754290434858038,0.6245709565141961,0.909283099540157,0.7405030654387951,0.1480709071949948,0.0714742966848338,0.07692686984998953,0.07087995619461018,0.8915463843994549,0.9148423572730234,0.950421898979281,0.8779829948228561,0.8347940062994845,0.7077616486087406,0.3667105656814723,0.6332894343185277,0.8856414639266031,0.7385028276758332,0.15446224256292906,0.07382709690347453,0.07965390029006296,0.07315151380371698,0.8756135300692994,0.912472299352627,0.9521329792208417,0.8992595933892478,0.7911010595313925,0.746695966839845,0.26876743927762314,0.7312325607223767,0.8314236401765538,0.7781161807717977,0.2022653721682848,0.08707903434920944,0.09489232862317627,0.08233852396007635,0.8435898184206595,0.8913737254050619,0.0750045500702691,0.9621422089625169
2,0.894868701865083,0.7951202211000293,5022,0.05177693235594321,0.6566109119872561,91971,0.9482230676440568,0.9078785704189364,0.9484014812940298,0.7208318048780744,0.7937370545417131,0.4317071298586999,0.684047205721377,0.31595279427862294,0.867544435279787,0.4632086694276299,0.10544511668107173,0.03471633042315691,0.0360125559476493,0.03599371081510261,0.9390596328185065,0.9629488365278236,0.9365506583765809,0.6681603208792531,0.7062601575263161,0.4414827236552998,0.6547117877113418,0.34528821228865814,0.7816569829231416,0.47898858507622977,0.1136150234741784,0.04362860739776766,0.045570167946303794,0.042605955519494976,0.915266466590496,0.9529614708387982,0.9081165672609643,0.6636363394778119,0.674794427395756,0.49257775536216303,0.5843176630274093,0.41568233697259066,0.7454658054876286,0.5337423483306627,0.12295973884657237,0.05431998994853622,0.056998111902272344,0.04698615207338741,0.8926690720513768,0.9399625416926,0.8763307869622154,0.6481832422004914,0.6242178628599664,0.4693141609957981,0.5926972322751526,0.4073027677248474,0.6969451355872391,0.5141375986780097,0.1301775147928994,0.060421545258270225,0.0632418948386393,0.04459622197540347,0.876881894581577,0.934033484358049,0.8858796476228392,0.7002412569772829,0.6425490603042285,0.5323925025064048,0.5107796492477532,0.4892203507522468,0.71275778895698,0.580202923822364,0.16558441558441558,0.07603098046267665,0.08008960510328561,0.05067604760161892,0.8451356152170101,0.9150469674603344,0.06011092532967393,0.8962019957682904
3,0.8910904544466188,0.722654241291249,4525,0.049196547000369656,0.6961325966850829,87453,0.9508034529996303,0.9011983579751409,0.9419047158780658,0.7423050194499334,0.7653727660364749,0.4823552280629276,0.6274448480226179,0.3725551519773821,0.8313672664947701,0.5145350789481027,0.10218340611353711,0.040427581193582265,0.04189533355793252,0.0350337911099492,0.9391489583971777,0.9558413959753005,0.9349017494708192,0.7239872890264719,0.7260414895577734,0.5032575992702638,0.5913180775875752,0.40868192241242485,0.7929107904696274,0.5393646327522147,0.11132254995242626,0.04820309318132567,0.05038407054139639,0.04328704165096764,0.9153896401292904,0.9466941792120019,0.916162767888339,0.7091182594965676,0.6961131056046324,0.5215886770709546,0.5578204063955016,0.44217959360449843,0.7588349990957567,0.5587631550065184,0.11597374179431072,0.052908338437932294,0.05561301451600913,0.04863386927709601,0.8928238285284967,0.9416867291516806,0.8817353123007192,0.6856247535351757,0.6536187875444646,0.5061621125754429,0.5596883060613657,0.44031169393863423,0.7156240645893194,0.5451819303588987,0.12048192771084337,0.05727488986260178,0.06006959752016725,0.04652449446872364,0.8770583791165624,0.9380379429930781,0.8673032055124235,0.6864017536936302,0.6151413431735548,0.5063959518648196,0.534314021489243,0.465685978510757,0.6852816237346769,0.5545352325847179,0.16179001721170397,0.06949962764299938,0.0730601995719948,0.048734768722973,0.845354922159032,0.9230925066731165,0.05781214087491359,0.8940437621510988
4,0.9342177818069666,0.7086681146789429,5627,0.052590259539987104,0.7206326639417097,101370,0.9474097404600129,0.9460737890894741,0.9861695022993962,0.8974610307044407,0.8702986425942942,0.6746819096996329,0.43492701638704634,0.5650729836129537,0.9149083080218035,0.6986439224175639,0.09930313588850175,0.05157309005476927,0.0539020306292524,0.04320691720321246,0.9390944723015713,0.9420404581505748,0.9855193442517881,0.8938992481129577,0.8621747717904191,0.6861360421452303,0.4155921862064353,0.5844078137935647,0.9063514786177282,0.7106162461557417,0.10624417520969245,0.05486626379734778,0.05814420446482519,0.05637605153683767,0.9153175934007254,0.9374906740344919,0.9844908615164564,0.9087185395445563,0.8493290114031424,0.7246680426654393,0.35427564443912746,0.6457243555608725,0.8860262591095645,0.747025958003784,0.11099476439790576,0.059782760042775746,0.06400429950277335,0.06595712308068746,0.8927370290464134,0.9315100522574302,0.9358868514523095,0.8700643263956704,0.8030819121324666,0.6910046252357381,0.37652467285198826,0.6234753271480118,0.842876520604867,0.716762099403118,0.12138728323699421,0.0638834234661166,0.06819923214488519,0.06328236466944248,0.8769623835603289,0.9279410482257925,0.9155479869300787,0.8094336658408923,0.7147109748087332,0.6130684087296031,0.4372573068143486,0.5627426931856514,0.7674416716072266,0.6493418575257355,0.1639871382636656,0.0716943680918006,0.07659422991786667,0.0639716833933871,0.8452431917850055,0.9207045207841873,0.06347893263171146,0.9482306233781607
5,0.8765873498864005,0.7276724846303123,5714,0.057956608615390856,0.6283689184459222,92877,0.9420433913846091,0.8918677390527256,0.9321851746925959,0.3907611004666223,0.8636098956179943,0.47072623053195234,0.6593366807261405,0.34066331927385957,0.9316062691447394,0.4988943959552779,0.1011333914559721,0.03329303332677258,0.034265560777797716,0.02838206726957415,0.9394625787806622,0.9646453786249187,0.9224339894619855,0.42775243724565154,0.7852789570702265,0.5024285927144083,0.6100706168151317,0.38992938318486836,0.8521452245352965,0.5350346262965229,0.10869565217391304,0.04294426261646059,0.04451011296756809,0.035179653492419805,0.9158184640404231,0.9537149142155099,0.8942970827855379,0.49182415987387984,0.7460096505972176,0.5430571469009625,0.550707279178833,0.449292720821167,0.8072813268977956,0.5772928773890339,0.11493018259935553,0.051704962957262644,0.05386093074955324,0.04002841693017867,0.8933582089265273,0.9436758809069475,0.8820027769042729,0.5432848714049051,0.6952197966637195,0.5386274839109647,0.5354645863634965,0.4645354136365035,0.7543457606740023,0.5749868442391287,0.12,0.058479543826574866,0.06096727307540656,0.04080433851379206,0.877664242473115,0.936639138273967,0.8692331024965366,0.6499378112857509,0.6407332479870453,0.5784264706287408,0.43833436198078785,0.5616656380192122,0.6965024787562761,0.621858881808581,0.15849673202614378,0.07982836316829739,0.08368887107654822,0.0461292864701176,0.8460988034139705,0.9082683236163682,0.05980691830125401,0.8885498320197321
6,0.9064705483170467,0.8342448126398743,6966,0.059090484955932374,0.672121734137238,110921,0.9409095150440676,0.9211961666411229,0.9597948861942046,0.7597767218127582,0.8267174805221416,0.509474531384859,0.611777536219277,0.38822246378072306,0.8970021780310384,0.5419074366345498,0.11158072696534235,0.04267963606781544,0.04453991835482737,0.04176662992940361,0.9388384575307853,0.9533380691390926,0.9517959051786166,0.7358152530087753,0.760714462806324,0.5328910711799687,0.5663856438883241,0.43361435611167587,0.8295129124187273,0.5695209285177582,0.11945701357466064,0.05295441060356892,0.05578696324517782,0.05077445476213016,0.9149668140705745,0.9410155505357078,0.9217648070753264,0.7358647560658521,0.7227034331167186,0.5790534364592351,0.49011657485779686,0.5098834251422032,0.7859945723572247,0.6185236657617684,0.1315240083507307,0.06510696876362264,0.06902232103947145,0.05672588543653523,0.8922990348469303,0.9253185362607661,0.8946868075411152,0.7190794045081057,0.6730193459860114,0.5634748170012978,0.4840662895010017,0.5159337104989983,0.7369880143933223,0.6069604402332708,0.14153132250580047,0.07189911378047822,0.07619296690051865,0.0563549799241535,0.87646510078887,0.9171083466400383,0.8947792022467675,0.7651995747888846,0.6908655243386814,0.6226611428156956,0.3993381474831987,0.6006618525168014,0.7499372542964874,0.6670501974489527,0.18685121107266436,0.07901589770175901,0.08449499582799509,0.06484523814155552,0.844630867205599,0.9054371858506065,0.06869359269942693,0.9103823410836767
7,0.9166535972313709,0.7073281138611921,5099,0.05331284045878946,0.6854285153951756,90544,0.9466871595412105,0.9296750751016081,0.9562025036074783,0.6797215315557028,0.8597455548727779,0.5276972343871977,0.6030721836655694,0.39692781633443064,0.9183569164597932,0.5542851618015948,0.09499136442141623,0.03691021603435555,0.0381567632672902,0.03266910309458171,0.939400258723973,0.96039281129152,0.9519947147997289,0.6884068618034164,0.8134964968344343,0.5764855625007849,0.5356196755100648,0.46438032448993527,0.8683446848853648,0.6051393703869811,0.10156971375807941,0.047111097267226246,0.049142737148713894,0.041341610161834796,0.9157332597633636,0.9487557517792131,0.9416875593244086,0.6843549992371973,0.7862170741228276,0.6210691480065632,0.4687138442503099,0.5312861557496901,0.8330742169799705,0.6488033616924321,0.1048728813559322,0.053404036183333226,0.05605250364305071,0.04724976205493436,0.8932520409137759,0.9418988628139724,0.9433348097786987,0.7046648546437075,0.7897621150691425,0.633656738108107,0.4539311973039758,0.5460688026960242,0.8330742169799705,0.6597079979856691,0.10772833723653395,0.0550158731450104,0.05795052202867395,0.050640594440400144,0.8775438801881296,0.9418988628139724,0.9408097358804035,0.8252530844094044,0.7366385970450802,0.6896239494490333,0.3296182645410406,0.6703817354589595,0.7708591293644717,0.717117996790977,0.1407528641571195,0.07279634224995929,0.07733190214299943,0.05865056680816072,0.8459510408778376,0.9195031568606241,0.05767112232860028,0.9441124444916504
8,0.8828697142970399,0.7535546211944255,5300,0.05252361084959418,0.6288679245283019,95607,0.9474763891504058,0.8969688411936364,0.9441314866403359,0.6300326905938515,0.8230435886112062,0.5234050143794245,0.5990439593253307,0.4009560406746692,0.8812783474829076,0.5511533307834471,0.09478260869565218,0.0383494030227303,0.03956927906631355,0.03082886704958354,0.9393992925788042,0.9584194685508741,0.9275547288750855,0.5990951048333548,0.7602191848943334,0.5161485159343528,0.5892422852301888,0.4107577147698112,0.8200397232791787,0.5473486251134307,0.1009433962264151,0.04352121521020303,0.04522438604714025,0.03766045237544835,0.9157320836038629,0.9529729440245435,0.903158185665857,0.6533262569059677,0.7281896557764269,0.6000607108535213,0.46767500537157636,0.5323249946284236,0.7772550763371746,0.6318854623849426,0.10848549946294307,0.05773829545384424,0.0604263381909156,0.04448462073903181,0.8932507561539084,0.9351325507500649,0.8778581673975542,0.7193339990726444,0.711748495374309,0.6054876150309101,0.45051512166204116,0.5494848783379589,0.7577843010009073,0.6370394422554703,0.11265969802555169,0.062801219970302,0.06575389917854667,0.04490500556061372,0.877542573445401,0.9305003436734339,0.8886408424427248,0.7506963922245331,0.7006493806226086,0.6449247991637942,0.3755206251177352,0.6244793748822647,0.7439638815642283,0.6790052821052113,0.15064102564102563,0.07780201681381252,0.08207335224931328,0.05204290209233531,0.8459498280783145,0.9123716715605447,0.062231276868818526,0.8951881277166275
9,0.9319196788877291,0.7381773607500638,4622,0.04973796636069173,0.7440501947209001,88305,0.9502620336393083,0.9417530151180568,0.9803423522164679,0.7876585136532552,0.8722081695648445,0.5839841574127768,0.546105316217448,0.4538946837825521,0.9236986844699936,0.6086874863947609,0.0921619293712317,0.04022728421866917,0.04181330335885231,0.03793096963833564,0.9391262655626789,0.9563621323929247,0.9782671661646654,0.7726880062957626,0.8469095616791313,0.6076234158410028,0.5103898594780644,0.48961014052193563,0.897106412072832,0.6334854742394688,0.09842154131847725,0.04594146113033416,0.04824982639590176,0.04784193929791347,0.9153587462351824,0.9500387757532007,0.9703017135600079,0.8049785350540937,0.8404382601239506,0.6928825699823457,0.39695089877749007,0.6030491012225099,0.8775182137740086,0.7148429723697401,0.09978540772532189,0.05270258909594701,0.05581158102790571,0.05570513994943471,0.8927855006229758,0.9422277574845315,0.9532968888695939,0.8286528163894833,0.8115608623649151,0.6922270465835824,0.381879874339796,0.618120125660204,0.8464897110065709,0.7145006314149126,0.10532544378698225,0.0568147424155132,0.060250866165314144,0.057030279703747855,0.8770150670682533,0.9387122904421817,0.9317358161770752,0.8163854388638023,0.7534034524729425,0.6879824655629128,0.3475627840701925,0.6524372159298075,0.7874943615638516,0.7136320042559842,0.13815789473684212,0.06789729243586468,0.07222989358009572,0.05998349062257202,0.8453021218127044,0.9271149421747367,0.05685289626967061,0.9551427596804409
