replicate,harrell_c_index,uno_c_index,event_event_pairs,event_event_fraction,event_event_c_index,event_censored_pairs,event_censored_fraction,event_censored_c_index,12h_auc,12h_average_precision,12h_tss,12h_hss2,12h_far,12h_precision,12h_recall,12h_f1,12h_alert_fraction,12h_brier,12h_km_reference_brier,12h_bss,12h_predicted_survival_mean,12h_observed_survival_km,24h_auc,24h_average_precision,24h_tss,24h_hss2,24h_far,24h_precision,24h_recall,24h_f1,24h_alert_fraction,24h_brier,24h_km_reference_brier,24h_bss,24h_predicted_survival_mean,24h_observed_survival_km,48h_auc,48h_average_precision,48h_tss,48h_hss2,48h_far,48h_precision,48h_recall,48h_f1,48h_alert_fraction,48h_brier,48h_km_reference_brier,48h_bss,48h_predicted_survival_mean,48h_observed_survival_km,72h_auc,72h_average_precision,72h_tss,72h_hss2,72h_far,72h_precision,72h_recall,72h_f1,72h_alert_fraction,72h_brier,72h_km_reference_brier,72h_bss,72h_predicted_survival_mean,72h_observed_survival_km,144h_auc,144h_average_precision,144h_tss,144h_hss2,144h_far,144h_precision,144h_recall,144h_f1,144h_alert_fraction,144h_brier,144h_km_reference_brier,144h_bss,144h_predicted_survival_mean,144h_observed_survival_km,integrated_brier_score,integrated_auc
0,0.9433770978039564,0.7765706701794435,7192,0.06025974025974026,0.6895161290322581,112158,0.9397402597402598,0.9596551293710658,0.9879482565013036,0.8135111233776826,0.8676867686768677,0.4215768722089286,0.6921845838025296,0.3078154161974704,1.0,0.47073220331422144,0.18305084745762712,0.022032031037390095,0.05138581021828999,0.5712428986952485,0.9514785328385719,0.9452540722450742,0.9875317269396026,0.8189135566759259,0.9360439647651422,0.753415827848621,0.35988029850374764,0.6401197014962524,0.9728232888208083,0.7721579212494892,0.10258780036968576,0.021417474532513626,0.05712488747754353,0.6250762937444194,0.9344943929727288,0.9389481439758945,0.9850648667239148,0.8206753749208605,0.9270214344713188,0.690494675554604,0.4344017110820576,0.5655982889179425,0.9855694438390001,0.71873128775622,0.14087513340448238,0.023102903163934124,0.06329317625053948,0.6349858779012184,0.919465629761527,0.9321895067336018,0.965990719202964,0.7750674326068723,0.8335403944522533,0.6753894321580005,0.41392083950967107,0.5860791604903289,0.8853538659548438,0.7052817779267324,0.140534262485482,0.03002414113377838,0.07006965618075964,0.5715100833900955,0.9096568551476326,0.9251045800054273,0.9357843010144438,0.8204869839064596,0.7152232467746207,0.7068907975150129,0.27037789792793976,0.7296221020720604,0.7492232467746206,0.739292774135271,0.1724137931034483,0.03629446576527824,0.09133025799142398,0.6026019572978067,0.8919976112304432,0.8963410299437765,0.028938908679662,0.965156111996643
1,0.9592371069635608,0.8731895258646835,8056,0.06450476419248939,0.708540218470705,116834,0.9354952358075106,0.9765222452368317,0.9832699638026535,0.7614584776830557,0.8601083032490975,0.4200273163308653,0.6909172150033469,0.3090827849966531,1.0,0.4722127409191212,0.1930567315834039,0.02606462785988898,0.05399776701478371,0.5173017459638116,0.9496627987784998,0.9422008522090889,0.9836622160067977,0.7908895627658021,0.8741563412423587,0.6822201264905814,0.4256037135778223,0.5743962864221778,0.9218700589361958,0.7077867387171888,0.11152073732718894,0.02569335725728951,0.0587734998475244,0.5628411218670732,0.9320841286010139,0.9369354009349246,0.9893889582762602,0.8717770833359788,0.9490521327014219,0.750142306365919,0.36759830971615665,0.6324016902838434,1.0,0.7748113641978414,0.14423076923076922,0.02252694450039977,0.06920851862892663,0.6745061887369407,0.9165234691367861,0.9241750727791652,0.986765608855297,0.8982516927814462,0.8651610856233782,0.7767678350629872,0.2820769139356239,0.717923086064376,0.8981861846986757,0.798001235739218,0.13333333333333333,0.02265242041962451,0.07549633526417697,0.6999533773346864,0.9063599346492747,0.9171230372222221,0.9786737779826928,0.904928264576548,0.8418355772214112,0.7935425955363745,0.23347903818575602,0.7665209618142441,0.8715974819833159,0.8156891740452055,0.18003273322422259,0.024629008634231345,0.0854749042152183,0.711856844294114,0.8880526131030987,0.9052626282110263,0.02373844967253367,0.98445363562121
2,0.943598963124007,0.7434540070198942,3068,0.04275779409920143,0.6760104302477183,68685,0.9572422059007986,0.955550702482347,0.9829347210681423,0.6686809840663294,0.845513413506013,0.2617156291530133,0.8219309952099217,0.17806900479007823,1.0,0.3023065780799633,0.18319928507596067,0.016807080537997034,0.030876734576785494,0.45567169688230735,0.9678293191696988,0.9684711647417271,0.9758862652948633,0.671217545557084,0.8146196660957772,0.6399528778868665,0.46162916022021383,0.5383708397797863,0.8452007058511289,0.6577634748682895,0.06718597857838364,0.019716410651395667,0.03853487504165262,0.4883489143254245,0.9549743622256384,0.9609648105618194,0.9683863249220288,0.7444026669746645,0.86842822333371,0.5987193405097974,0.5265995084074739,0.47340049159252606,0.9245141421881254,0.6261690647195496,0.11073825503355705,0.02007922348409143,0.04820761579928393,0.5834844111002544,0.9426622068955459,0.9507277382364948,0.9694203247928644,0.7846575769298342,0.8177827626316696,0.634190246121558,0.4674074414467703,0.5325925585532296,0.8586259773879277,0.6574061433532332,0.09803921568627451,0.019031055515400394,0.05125021631072222,0.6286638987039974,0.9340982260053748,0.9495481752858292,0.9530242180290378,0.8291613375873959,0.7367355634310033,0.6516388927868131,0.3974949067895037,0.6025050932104964,0.7713509480463879,0.6765525075327683,0.11965811965811966,0.023918165814418666,0.06379341244467833,0.6250684060025711,0.9176192293623805,0.9378121691105425,0.020546847519921134,0.9662566692344541
3,0.9564187122495904,0.8037052573316066,8960,0.06300231336619391,0.7235491071428571,133257,0.9369976866338061,0.9720765138041528,0.9927174383467653,0.9103229411560341,0.8561151079136691,0.4637530833507052,0.6473908118800424,0.3526091881199576,1.0,0.5213763017683806,0.20930232558139536,0.024925961928593254,0.06664435428740548,0.625985393734938,0.9466130763219268,0.9279716900801058,0.9894214399413555,0.8981472107425067,0.9216841146775672,0.8251934669361699,0.24501681716442067,0.7549831828355793,0.948180679937626,0.8406243031447376,0.10822898032200358,0.023036153706098687,0.07149396709541375,0.6777888451013592,0.9283858879979028,0.921961668624377,0.9906503595695966,0.9174360520600743,0.9167099607186331,0.7411258785189971,0.36345425038084694,0.6365457496191531,0.9707329492243802,0.7688970597179523,0.15455475946775846,0.02114037987589034,0.07779304242151706,0.7282484497605528,0.9123569387340678,0.9142958323627969,0.9820013456995869,0.9013005627404254,0.8712322320850783,0.7492674381602316,0.327506306233542,0.6724936937664581,0.9156484757399006,0.7754568041390799,0.15350389321468297,0.023144710983142757,0.08233544510749222,0.7188973600260931,0.901899990070315,0.9097835817962984,0.9585101211069547,0.8790664865779972,0.8164630585153496,0.7623120284653933,0.26655190257068223,0.7334480974293178,0.8505743691078093,0.7876809400413171,0.1834319526627219,0.02941798011821357,0.09282842388597204,0.6830929699469008,0.8829922147651122,0.8993753385338406,0.02455734141476701,0.9786661222130747
4,0.9230573410551772,0.8245297822023736,700,0.02227454973588748,0.6357142857142857,30726,0.9777254502641125,0.9296035930482328,0.9754163686998303,0.22586953115847408,0.8847209515096066,0.1366688815634014,0.9170964187903234,0.08290358120967653,1.0,0.15311350455978293,0.1248868778280543,0.00934320568869257,0.012538189982180065,0.2548202171149404,0.9802940346483179,0.9897956609964885,0.9786199871954306,0.3674602487305141,0.6954264304821718,0.40244902695187207,0.7100845234812461,0.289915476518754,0.7173606278899484,0.4129432781344359,0.03146509341199607,0.010664369957630968,0.01688113243015972,0.36826690971406195,0.9715222797697625,0.9879141345127411,0.9482537911324145,0.504328545775186,0.8463580477411363,0.3863329401617801,0.7389551520344685,0.2610448479655315,0.8948568930067253,0.40418276624337246,0.06772009029345373,0.013525164716191607,0.025038875828077525,0.4598333883254828,0.9625531224679696,0.9817257891603507,0.9264435299507097,0.5151076414005735,0.596244141993783,0.35731765050012265,0.7307643698819548,0.2692356301180452,0.6382388926499508,0.3787139938745906,0.061068702290076333,0.017436294393457435,0.031565214363950204,0.44761045521772336,0.9559748120538927,0.9767204730196147,0.8790835205777137,0.49239371930525966,0.42858901288950246,0.3329151360810203,0.7032843170336475,0.29671568296635253,0.4745180316786463,0.3651213352730258,0.07632093933463796,0.02762121792479107,0.044404520800091135,0.37796383280113266,0.9425620848511174,0.963907875677462,0.01821157441467081,0.9268336753585336
5,0.9678385345253112,0.9075627418709207,3994,0.043810672955629903,0.6862794191286931,87171,0.9561893270443701,0.9807390072386459,0.9894648849857792,0.7826863192701942,0.8600896860986547,0.33880480502734234,0.7628707351130447,0.23712926488695524,1.0,0.38335406269549904,0.17753001715265868,0.01761465620800749,0.03996606101227524,0.5592596377562129,0.959942307883593,0.9584319569751517,0.9880116562060428,0.801708049308547,0.8997661972106377,0.7335092604593395,0.37220963147389596,0.627790368526104,0.9274889694878653,0.748764067941927,0.07591377694470477,0.017732984284927537,0.045700267895629997,0.6119719839405313,0.9454598461042978,0.9530153524679603,0.9887278683594607,0.8452261211533226,0.9391126239713037,0.7149848601561731,0.4107260885488053,0.5892739114511947,0.9854309137575269,0.7375207336877938,0.11842105263157894,0.019628602678678803,0.05701107422023754,0.6557054406157614,0.9323118939610682,0.9402023886759646,0.9878438654465349,0.870855594697721,0.8280238944108298,0.7050120362203812,0.37149679647017475,0.6285032035298252,0.8648588193767233,0.7279769141595591,0.11290322580645161,0.019141593570246064,0.060951145907381196,0.6859518671013531,0.9235193452079109,0.9365401230397513,0.9724471744086316,0.8894237873320465,0.7743439416126567,0.7359364092737761,0.27983180899543736,0.7201681910045626,0.8029153701840852,0.7592940064614246,0.14485165794066318,0.02217352323498672,0.07347827394822362,0.6982302108700693,0.9072068919130802,0.9220584823930363,0.0197955412613361,0.9839020589575372
6,0.9387118491921005,0.8428440261480846,4502,0.050517291680693015,0.7243447356730343,84616,0.949482708319307,0.9501158173395102,0.9853005698685644,0.7823698987599255,0.8442844284428443,0.2974251689381116,0.7930894055100274,0.20691059448997268,1.0,0.3428764242100482,0.18998272884283246,0.018042410929320626,0.0372570725861145,0.5157319221036993,0.959814237267762,0.9613030679971946,0.9829481909995151,0.8103334592493947,0.8653375134480417,0.6349214071763474,0.48602012452273624,0.5139798754772639,0.9052985270932657,0.6556926722514884,0.082483781278962,0.018644988937336716,0.04328159092137499,0.5692166452197411,0.9450832197719735,0.9558158016190405,0.9730997608604968,0.8411147551990352,0.8623334487585121,0.5696316203312534,0.5542134949980746,0.4457865050019254,0.9340874350910862,0.6035385711065753,0.13241525423728814,0.019942368805565814,0.05508539535900399,0.6379735740190865,0.9316061785000178,0.9431061035116421,0.9676815121850488,0.8431702704120547,0.8026644542037358,0.612300372934353,0.48618286826953167,0.5138171317304683,0.8557045576966207,0.6420864522829074,0.11995249406175772,0.020860318762196135,0.059401979819957394,0.6488278871272966,0.9225394965934612,0.9395789244549801,0.9153597681954159,0.7521627594746663,0.6285664318246642,0.5489993066740955,0.48025068209038074,0.5197493179096192,0.6852070568246643,0.5911183307196692,0.15177065767284992,0.03682087710060333,0.07511953822679326,0.509836216119467,0.9056203331795563,0.9208933720231774,0.02461612116658105,0.9572797678619083
7,0.9458298445520404,0.778993237446245,4065,0.04932833375805453,0.6570725707257072,78342,0.9506716662419454,0.9608128462382886,0.9779474570774067,0.5571371508707647,0.8663053297199639,0.2918108295385019,0.8028056557797266,0.19719434422027343,1.0,0.32942745707457394,0.16244541484716157,0.01951750645573435,0.030799472849152642,0.3663038795720389,0.9642519372181089,0.9686924955513332,0.9682301530326916,0.5845055147927481,0.7745224027151976,0.5721061315208545,0.5310659520700733,0.4689340479299266,0.8165644447572395,0.595745343388512,0.07912297426120114,0.025200997082317458,0.041374808222682274,0.3909096340293874,0.9504961939852185,0.9577205645754756,0.971482717825469,0.670966003674121,0.874235094913483,0.619821355186231,0.5032126652421287,0.49678733475787135,0.9305070761561559,0.647748813142099,0.11584699453551912,0.026746407459296323,0.05225436127857904,0.48814975812821493,0.9376267051849042,0.9458852214855916,0.9681456368995978,0.706285106313345,0.7753501935682405,0.6136292835854431,0.47346408886109564,0.5265359111389043,0.8232862787879476,0.6422916946612963,0.11138310893512852,0.02767063961523708,0.05742247222082037,0.518121764092139,0.9288475131165539,0.9410865286165303,0.9379076476981232,0.7550206543788082,0.6529034858247122,0.5994968211532796,0.41523655358154815,0.5847634464184518,0.6998118013897441,0.6371356781523076,0.14625228519195613,0.03409954546639584,0.07186145222498107,0.5254820990864713,0.9123151392300155,0.9215420739058107,0.02854856896637017,0.9609627167664945
8,0.946859196264555,0.7843204461722757,8863,0.06486577475921426,0.7066456053255106,127773,0.9351342252407857,0.9635212447074109,0.9877578366773374,0.828182505478463,0.8512773722627736,0.4225846630451386,0.6853001163285635,0.3146998836714364,1.0,0.47874026244317325,0.20595744680851064,0.024204646526893997,0.05771853864200773,0.5806434622847887,0.9477622955980556,0.9379443534483916,0.985461960419908,0.8365330166802353,0.9279836098226868,0.7708481536475,0.3310454368851657,0.6689545631148344,0.9638759328535942,0.7897809419299905,0.10845588235294118,0.02301563725392358,0.06234547195251647,0.6308370675026289,0.9298053163922609,0.9325637399405556,0.9812122741410692,0.8729740793220928,0.9207781838095044,0.7311082183990438,0.3787071754400275,0.6212928245599725,0.9776887529151955,0.7597723643550011,0.15472481827622014,0.023334235384315342,0.07568841858892708,0.6917066597593169,0.9140476858753517,0.915948661371362,0.9771026702853404,0.8922903150070037,0.8749628371095353,0.7506174353272356,0.327475146323473,0.672524853676527,0.9205951708774622,0.7772460618753602,0.15542857142857142,0.022711593186693666,0.08167743654675078,0.7219355289916092,0.9038182641906763,0.9091094820372275,0.9394559967146147,0.8619932157819459,0.7648746276265359,0.728710348358761,0.2783385939762975,0.7216614060237024,0.8034846662365743,0.7603781493472805,0.19122257053291536,0.031131628992846935,0.09496964640379459,0.6721939043504426,0.8854740956244885,0.8926736887395433,0.02523050087620714,0.9692068253214431
9,0.9555113981343489,0.7771825511981938,11624,0.07128970334799115,0.7063833448038541,151429,0.9287102966520089,0.9746349774481771,0.9865248363388467,0.8583402149064766,0.8752260397830018,0.5272856008153594,0.5909210351600551,0.4090789648399449,1.0,0.5806331299345052,0.1980115990057995,0.028857602066848453,0.07168185969507895,0.5974211301212995,0.9389427725310474,0.9221160203376768,0.982262335072608,0.8663008217338415,0.8916612286521897,0.7967726441746529,0.2677258153286885,0.7322741846713114,0.9269790893989103,0.8182028235289339,0.12917795844625113,0.029662359311814056,0.08165156127464515,0.6367202433271173,0.9193582020342649,0.9091270777234337,0.9789088149018473,0.8948507800631902,0.8796136119910287,0.7565058826007429,0.31972178618482955,0.6802782138151704,0.9313783178733817,0.7862672548539302,0.16598360655737704,0.026785312479531503,0.08885662932795307,0.6985558344704708,0.9028444732872883,0.899384489812451,0.9775569539417528,0.9045433800842229,0.8437840046616352,0.7607274701771535,0.2887897847205217,0.7112102152794784,0.888462059852174,0.7900159334862633,0.1713325867861142,0.027004623962915468,0.09433684060625616,0.7137425443827659,0.8924495450499736,0.8925271665648103,0.9674126653690297,0.9089081661904476,0.8252746673877138,0.7601386275261103,0.2732781676391035,0.7267218323608965,0.8719278114039412,0.7927302636463208,0.23015873015873015,0.027969611244330592,0.09903001595849556,0.717564306401274,0.8743495716979265,0.8856146937931879,0.02767457223135109,0.9760853965869211
