metric,mean,std,ci_lower_2.5,ci_upper_97.5
harrell_c_index,0.9445303577278819,0.011076217581008541,0.9173917661519883,0.9620244486375997
uno_c_index,0.8280501331813863,0.04993652888888364,0.7211570589002038,0.9114468418547297
event_event_pairs,6077.19,3173.3334727426977,1502.375,13399.1
event_event_fraction,0.054076920899695666,0.012154456250379383,0.030842481816473363,0.07970151674972979
event_event_c_index,0.67595287364791,0.03434565021130611,0.5914804654478278,0.734853376675394
event_censored_pairs,99408.52,28887.346800992313,47160.05,157851.8
event_censored_fraction,0.9459230791003044,0.012154456250379383,0.9202984832502702,0.9691575181835267
event_censored_c_index,0.9599187953828304,0.012348928987766288,0.9300773363815611,0.9784989930291317
12h_auc,0.9820835476168724,0.006536494755586247,0.966795231572258,0.9919528604468464
12h_average_precision,0.6758097541954995,0.154679726022131,0.26749874631033915,0.8865143649993437
12h_tss,0.8624846094852956,0.013932403231318807,0.8366206843440298,0.8888914800995025
12h_hss2,0.3561615380795877,0.08438329215701226,0.1724140537652282,0.508699932147727
12h_far,0.7451350415711321,0.07172613710037973,0.6062056905401443,0.8900342132222784
12h_precision,0.2548649584288679,0.07172613710037973,0.10996578677772163,0.3937943094598556
12h_recall,1.0,0.0,1.0,1.0
12h_f1,0.40094803339018487,0.09227525902270635,0.198142651824095,0.5650680069240167
12h_alert_fraction,0.17923216521838334,0.022206655373971276,0.1367290462954043,0.2237111777599763
12h_brier,0.022178083564887912,0.005290458447073968,0.011967879336552831,0.03257395927982758
12h_km_reference_brier,0.04312793473268409,0.014366032927446521,0.017370435508827036,0.07285147608397644
12h_bss,0.461620352903115,0.10145327585750281,0.19592539898848674,0.5959458369825558
12h_predicted_survival_mean,0.9574684833908186,0.009124822516295147,0.938651996276175,0.9743745172838083
12h_observed_survival_km,0.954666510160801,0.016461781210020204,0.9209699852885314,0.9843125152505601
24h_auc,0.9775654063415291,0.008073128527998196,0.9577213513769373,0.9903882415894408
24h_average_precision,0.7038623989752649,0.1290023441654046,0.3882516781218196,0.8827907614633953
24h_tss,0.8304505573508835,0.05408656117150761,0.7020498593773111,0.9076368137465637
24h_hss2,0.659088670989748,0.08335592449747728,0.46367797245378445,0.7930484645658141
24h_far,0.4359919382526127,0.09546604253412408,0.267376878825244,0.6411643569849825
24h_precision,0.5640080617473874,0.09546604253412408,0.3588356430150174,0.732623121174756
24h_recall,0.8677990160937776,0.053756385350281245,0.7376145072245514,0.9438042488958609
24h_f1,0.680414907350751,0.08294219699839625,0.4820353919594013,0.8105146150415798
24h_alert_fraction,0.08830308923307695,0.021936774475499004,0.046689811154859186,0.13205034444544872
24h_brier,0.0239524681719629,0.004924621680728623,0.014416166813553098,0.03359540504247351
24h_km_reference_brier,0.05074486150782064,0.014111536605395254,0.026375019010152816,0.07970872717970057
24h_bss,0.5095016650406585,0.10084382240402247,0.2761468106430716,0.6636305885505146
24h_predicted_survival_mean,0.9417173043350833,0.011700898041247833,0.9177411238325077,0.9634650806136666
24h_observed_survival_km,0.9466666803222932,0.017105885862983637,0.9118128465460876,0.9763781245184707
48h_auc,0.9696984044110848,0.013814498815172669,0.9349373984565151,0.989288310479311
48h_average_precision,0.7588574384159052,0.1030887989038529,0.49104223416823733,0.9004201683586641
48h_tss,0.8550267076108078,0.0498129605601533,0.7376936756834345,0.932468119526332
48h_hss2,0.6854750381919089,0.07657970584833988,0.517662108043136,0.8083638289979503
48h_far,0.41025254357388846,0.0857292406811052,0.2647099168812999,0.5917640526938364
48h_precision,0.5897474564261115,0.0857292406811052,0.40823594730616364,0.7352900831187
48h_recall,0.8987995863822991,0.04739820857179139,0.7795975339439115,0.9709993367857702
48h_f1,0.7099194040238566,0.07562433185815542,0.5396517210094606,0.8271332206755841
48h_alert_fraction,0.11501860942836098,0.02482369117601589,0.06938051958862747,0.16312313170388607
48h_brier,0.02530623938292915,0.004740769435136289,0.01635287099745924,0.03524586595845297
48h_km_reference_brier,0.06121415600124148,0.014382903729809252,0.0346445267599061,0.09063409961272238
48h_bss,0.5739173124427106,0.08677228926309907,0.37799703300749554,0.7126653223503329
48h_predicted_survival_mean,0.9272252362203806,0.013614091773823825,0.8992834456779296,0.9526140218694074
48h_observed_survival_km,0.9348220990940722,0.01846861808253928,0.8970485990750109,0.9684569380848885
72h_auc,0.9629953413702909,0.015437211304354563,0.9252268230665113,0.9855492416277094
72h_average_precision,0.777278520574747,0.0998587265499023,0.5148439328051189,0.9098386344553081
72h_tss,0.8105560339042894,0.0575004438034886,0.6818398975074151,0.9022882885629633
72h_hss2,0.6629960500455486,0.08038901328325526,0.4856070242476674,0.7950327999232456
72h_far,0.4185142588675352,0.08900244452661255,0.26207917742245285,0.6104981245841772
72h_precision,0.5814857411324648,0.08900244452661255,0.3895018754158227,0.7379208225775471
72h_recall,0.8569661968655126,0.05457125027991803,0.7294652650579633,0.9404724897111626
72h_f1,0.6906679021516697,0.07914114196462947,0.5161140586652145,0.8209564404205059
72h_alert_fraction,0.12690785243354194,0.02691800398403293,0.07653267936580359,0.18006546339556945
72h_brier,0.027207439179875507,0.005172133302377721,0.017755307867568584,0.03765023007439057
72h_km_reference_brier,0.06699686682672067,0.014530053497673445,0.0397318139388568,0.09622727952197363
72h_bss,0.5820606376863584,0.09181555951904614,0.38179717581183875,0.7249003234409657
72h_predicted_survival_mean,0.9174743403798132,0.014646755569147475,0.8878370844077701,0.9448878265176944
72h_observed_survival_km,0.9290454737678305,0.019465733239983143,0.8896182176231784,0.9653160575462738
144h_auc,0.9376374297531097,0.020011446622538568,0.8923871508937622,0.9696909775603535
144h_average_precision,0.791648282345588,0.07201783928303959,0.6166274304547535,0.8994811550252403
144h_tss,0.7090651664247678,0.061881725144968446,0.5733849714360632,0.8086930810578142
144h_hss2,0.7178211375847762,0.06720311728316644,0.5737248678834816,0.8285404777885942
144h_far,0.24514692695695273,0.07762820644679592,0.11450150702996104,0.41376074033882915
144h_precision,0.7548530730430473,0.07762820644679592,0.5862392596611709,0.8854984929700388
144h_recall,0.7324726805670551,0.059390432660371445,0.6020367650397517,0.8264011371929096
144h_f1,0.7427635621177461,0.06502119329699269,0.6005810465461386,0.848736421158171
144h_alert_fraction,0.1413930842547315,0.03472936146726811,0.07489059192313956,0.2092388289676425
144h_brier,0.034052315169633134,0.005704849911041796,0.02360622054630755,0.04535575677145223
144h_km_reference_brier,0.08119239975459872,0.014713595563521673,0.05447614163264705,0.11044130215092525
144h_bss,0.5735145946427262,0.07217558867933785,0.4232326682473736,0.6964386785707481
144h_predicted_survival_mean,0.8993438136421964,0.01605068737542509,0.8663494867287519,0.9296299298936878
