replicate,harrell_c_index,uno_c_index,event_event_pairs,event_event_fraction,event_event_c_index,event_censored_pairs,event_censored_fraction,event_censored_c_index,12h_auc,12h_average_precision,12h_tss,12h_hss2,12h_far,12h_precision,12h_recall,12h_f1,12h_alert_fraction,12h_brier,12h_km_reference_brier,12h_bss,12h_predicted_survival_mean,12h_observed_survival_km,24h_auc,24h_average_precision,24h_tss,24h_hss2,24h_far,24h_precision,24h_recall,24h_f1,24h_alert_fraction,24h_brier,24h_km_reference_brier,24h_bss,24h_predicted_survival_mean,24h_observed_survival_km,48h_auc,48h_average_precision,48h_tss,48h_hss2,48h_far,48h_precision,48h_recall,48h_f1,48h_alert_fraction,48h_brier,48h_km_reference_brier,48h_bss,48h_predicted_survival_mean,48h_observed_survival_km,72h_auc,72h_average_precision,72h_tss,72h_hss2,72h_far,72h_precision,72h_recall,72h_f1,72h_alert_fraction,72h_brier,72h_km_reference_brier,72h_bss,72h_predicted_survival_mean,72h_observed_survival_km,144h_auc,144h_average_precision,144h_tss,144h_hss2,144h_far,144h_precision,144h_recall,144h_f1,144h_alert_fraction,144h_brier,144h_km_reference_brier,144h_bss,144h_predicted_survival_mean,144h_observed_survival_km,integrated_brier_score,integrated_auc
0,0.900770397082326,0.7991239009136009,3057,0.04175716100479449,0.5839057899901865,70152,0.9582428389952055,0.9145783441669517,0.8198033892489787,0.3050848774829585,0.6147576966959669,0.2303060661016355,0.8382395771845597,0.16176042281544034,0.717112769159735,0.263975430823942,0.11971830985915492,0.023159630686863324,0.026577377929216564,0.1285961034777665,0.9569935508106042,0.9736300040313398,0.9032542805663921,0.4034150253440818,0.8102855264119686,0.5542882674713805,0.5655046280921551,0.4344953719078449,0.8512445673710096,0.5753291370754919,0.07293666026871401,0.02711193612065207,0.03527090105660545,0.231322838133884,0.9417452859717839,0.9653375344673124,0.9367845146793663,0.6039555129784481,0.757287406781022,0.7045368862764613,0.3289623262712209,0.6710376737287791,0.7770089845072403,0.7201457197038954,0.06441048034934498,0.023963262869858334,0.047600263147234194,0.49657289087380363,0.9311599164919525,0.9522184759373591,0.9539601227151726,0.7273009856853598,0.7387965842728028,0.7314306527975676,0.26111470648686774,0.7388852935131323,0.7547117036361979,0.746714648895715,0.07125307125307126,0.023556182805926664,0.05469052258418429,0.5692821773705492,0.9159670101068994,0.9449742310880328,0.9497842020790159,0.8423933285668977,0.7651107321540966,0.7428557113446942,0.26074087287096187,0.7392591271290381,0.7874231053792489,0.7625813743931684,0.12078152753108348,0.025847525378577135,0.06784764606881102,0.619035782724686,0.8542685005097616,0.9302054891329293,0.024721959329414955,0.9366859310845953
1,0.9374736947232507,0.77470373113752,9349,0.06669329928163277,0.7516311905016579,130830,0.9333067007183672,0.9507681724375143,0.9375370424056498,0.8553010678296328,0.7522122366534978,0.4252085834047651,0.6677857647078174,0.33221423529218264,0.8841691486822232,0.48296216713954293,0.186511240632806,0.021401233139349295,0.0632888930252007,0.6618485153338416,0.9200008164762548,0.9316980628797813,0.9707775506251315,0.8787962498220518,0.8977392311722623,0.6902008310703628,0.4230896255933357,0.5769103744066644,0.9544352233521255,0.7191369248807735,0.13172043010752688,0.023437549750561792,0.0677481674395993,0.6540489486825237,0.905496507913599,0.926374231164164,0.9720500935679076,0.8921788691871556,0.8709118716362119,0.7998099577035735,0.2481122437360783,0.7518877562639217,0.9001858763200525,0.8193808380176456,0.1251303441084463,0.02374096285995759,0.07692686984998953,0.6913827001377618,0.8930902672984308,0.9148423572730234,0.9795177554579348,0.9023795747642691,0.8494013710010488,0.7946643580940762,0.2395153053949251,0.760484694605075,0.8767807712618051,0.8145024383270651,0.13272311212814644,0.023836581685916028,0.07965390029006296,0.7007480914416728,0.8767372537074267,0.912472299352627,0.9386678936988522,0.8904225270168983,0.8278735172017133,0.7862729760868298,0.2315301610739259,0.768469838926074,0.8621477107501003,0.8126179097510465,0.20388349514563106,0.02995806000362632,0.09489232862317627,0.6842941843845801,0.8168199881294788,0.8913737254050619,0.025323579424543233,0.963919067018603
2,0.8903838421329374,0.8136089780659853,5022,0.05177693235594321,0.6546196734368778,91971,0.9482230676440568,0.9032575485750943,0.8880988272717893,0.6703074077792485,0.6483260584527908,0.28681126744100266,0.7900581205251495,0.20994187947485052,0.7608373095779033,0.32907919030121197,0.13828867761452032,0.01948882079162712,0.0360125559476493,0.4588326132708378,0.9502271013668818,0.9629488365278236,0.9019367610783343,0.6333495159129003,0.7614045658757456,0.5319285778845764,0.5720597167535594,0.4279402832464406,0.816960121431301,0.5616676554247865,0.09671361502347418,0.02803675350677925,0.045570167946303794,0.3847564147708321,0.935136500280542,0.9529614708387982,0.8933498186291468,0.6682544209768043,0.6712999537985747,0.6109269519078584,0.4179090264486845,0.5820909735513154,0.70545778654298,0.6378641687140229,0.08596300326441784,0.03287922270441844,0.056998111902272344,0.4231524237014658,0.922977343149317,0.9399625416926,0.9067559605867024,0.6819711111783462,0.6348760870584873,0.5815060980177097,0.4384927209268015,0.5615072790731985,0.6725384247208249,0.612027933448723,0.09585798816568047,0.03752660066934815,0.0632418948386393,0.4066180217228361,0.9067776306649794,0.934033484358049,0.9330392610102901,0.7367069331774725,0.7008203085695965,0.6128226334880816,0.427569578276857,0.5724304217231431,0.7539512383608679,0.650769892741523,0.15746753246753248,0.04693947657860922,0.08008960510328561,0.413912997597193,0.8448272074612362,0.9150469674603344,0.03713480167982178,0.9099814379899427
3,0.8692487497282018,0.707986103007793,4525,0.049196547000369656,0.6696132596685083,87453,0.9508034529996303,0.8795981841674957,0.8325241520250607,0.6141894772553895,0.5060010168718425,0.2677191694265543,0.78650781464991,0.21349218535008987,0.6123254898324292,0.3165994405266195,0.13013100436681221,0.023132041219194693,0.04189533355793252,0.4478611517149542,0.9493984500636887,0.9558413959753005,0.855926218420607,0.667693251400384,0.7030667183447283,0.5127258664765584,0.5734538803057422,0.4265461196942578,0.7628438206750222,0.5471512085273682,0.1027592768791627,0.02814035399336592,0.05038407054139639,0.4414831177595042,0.9383042067311597,0.9466941792120019,0.8953872831254814,0.6922405965945891,0.6890414134959524,0.6436499520802882,0.3766416443354597,0.6233583556645403,0.7174437803598577,0.6671000339139296,0.08096280087527352,0.029597607356861285,0.05561301451600913,0.46779350814832876,0.9264363726750667,0.9416867291516806,0.9101979069867123,0.7028344136149787,0.6462468104602981,0.6115602477715502,0.3968359001769297,0.6031640998230703,0.6765898183758655,0.6377705634603039,0.08795180722891566,0.03077389506184308,0.06006959752016725,0.4876960004349735,0.9088551481082371,0.9380379429930781,0.9173340681434359,0.708973843253782,0.6290677101079005,0.519915264106908,0.5227933162118793,0.47720668378812076,0.6972039826529907,0.566599759339613,0.16179001721170397,0.04237627845419437,0.0730601995719948,0.41998134822454125,0.8445459326739426,0.9230925066731165,0.0330178347203022,0.8985199820246874
4,0.9241894632559792,0.6780415291377412,5627,0.052590259539987104,0.710502932290741,101370,0.9474097404600129,0.936051099930946,0.9065832788125989,0.7977276947953753,0.7039869431661259,0.42655450464887784,0.6632770087077076,0.3367229912922924,0.8043586903780218,0.47471810063513437,0.1445993031358885,0.023333407221301023,0.0539020306292524,0.567114504798673,0.9395890936866358,0.9420404581505748,0.9422553851649164,0.8649185996322013,0.8890758894577482,0.7570948894700358,0.33042548089979396,0.669574519100206,0.9202003874497161,0.7751320383331498,0.09506057781919851,0.022428397785291078,0.05814420446482519,0.6142625392895465,0.9288547899220196,0.9374906740344919,0.9733819168223738,0.908304346080734,0.8294079543989363,0.838536565239863,0.14001787924226067,0.8599821207577393,0.8397290553163675,0.8497349244015056,0.08272251308900523,0.017723923071325066,0.06400429950277335,0.723082305266741,0.9174736194763238,0.9315100522574302,0.9796996140727299,0.8992981401658813,0.8066652017779918,0.8061423308325307,0.18036754409120254,0.8196324559087974,0.8207858693004566,0.8202087571097505,0.09595375722543352,0.018604478386807257,0.06819923214488519,0.7272039904014879,0.9015651554552467,0.9279410482257925,0.9570145865942121,0.8343949385324054,0.7489075327616308,0.6762611755900437,0.361930200617641,0.6380697993823591,0.7884555553605008,0.7053357675811748,0.15594855305466238,0.03124778971215528,0.07659422991786667,0.5920346774729268,0.8408750883849634,0.9207045207841873,0.022628948101357467,0.9639346151701798
5,0.851088323596235,0.697836792108216,5714,0.057956608615390856,0.6309940497024851,92877,0.9420433913846091,0.8646381773743769,0.894297289601498,0.33123304305732076,0.6196465625388345,0.24003375734092164,0.8243694469387793,0.17563055306122066,0.7529194546512552,0.28482183863574784,0.15693112467306017,0.030712963871838774,0.034265560777797716,0.10367835299694961,0.9555762175356591,0.9646453786249187,0.8825556412154032,0.3867248922442229,0.7516135482646238,0.5492899608863213,0.5491501401427805,0.4508498598572195,0.8005157438734061,0.5768296808907887,0.0888468809073724,0.03590214798095428,0.04451011296756809,0.19339346527576629,0.9385515698584116,0.9537149142155099,0.8703499434531091,0.4855559666625104,0.6718745328017142,0.5922891288866023,0.4498833820288752,0.5501166179711249,0.7077126830907314,0.6190418801477703,0.08378088077336197,0.037484879192087664,0.05386093074955324,0.30404323374232467,0.9248334340153618,0.9436758809069475,0.8871726887084928,0.5779511303092029,0.6675388572519765,0.6022069954803851,0.4293269783593459,0.570673021640654,0.7035285744756267,0.6301746578096566,0.09411764705882353,0.038737065361516484,0.06096727307540656,0.3646252586431894,0.9081793355670117,0.936639138273967,0.9045284706909842,0.6870456750975604,0.6641421976634831,0.630529075472075,0.36856939922672816,0.631430600773272,0.7064498899711753,0.6668369581987083,0.14869281045751634,0.05223230621676234,0.08368887107654822,0.37587512479423113,0.8467283976628349,0.9082683236163682,0.041438603853443556,0.8885416509488178
6,0.8851197747014115,0.8236723682990421,6966,0.059090484955932374,0.6686764283663509,110921,0.9409095150440676,0.898720711136755,0.8924993633356857,0.6948315613218315,0.6626729878750404,0.30296497833297203,0.7722056098273895,0.22779439017261038,0.7970146248857164,0.3543205763547277,0.16737109044801352,0.025428707311298003,0.04453991835482737,0.4290805136030976,0.9370909773743847,0.9533380691390926,0.905339550523049,0.7043027562847196,0.7925839072909038,0.6070397298184004,0.4893736901574652,0.5106263098425348,0.8439404964381907,0.636274592622198,0.10407239819004525,0.03157927242229598,0.05578696324517782,0.43393096549262933,0.9234085576451411,0.9410155505357078,0.8996605857717326,0.7439944371928979,0.7234086356110034,0.6841165212260052,0.329573981370922,0.670426018629078,0.7544788312381611,0.7099733557844915,0.09916492693110647,0.03399116784106523,0.06902232103947145,0.5075336886798276,0.9107818029280625,0.9253185362607661,0.9151220434836058,0.756028377761653,0.6732462542545226,0.6469707534288565,0.34971089520659887,0.6502891047934011,0.7084942960299794,0.6781450542262739,0.11252900232018562,0.03864075904476293,0.07619296690051865,0.4928566163434186,0.8941013887643149,0.9171083466400383,0.9262901522510586,0.79902230011829,0.7315549943015593,0.6591091992727035,0.37055959652412096,0.6294404034758789,0.7864073149766649,0.6992228488757293,0.1903114186851211,0.04209163345011137,0.08449499582799509,0.5018446591109782,0.8322821394971273,0.9054371858506065,0.03717304859096448,0.9129944372439529
7,0.8657768995117259,0.7118472390502824,5099,0.05331284045878946,0.6552265150029417,90544,0.9466871595412105,0.8776340784590917,0.9162328528969188,0.6365008320714417,0.7399179391320807,0.323151567749769,0.7673806240162844,0.23261937598371568,0.858944088816481,0.3660933044913965,0.15025906735751296,0.02485047375343059,0.0381567632672902,0.348726893333387,0.9521686841227259,0.96039281129152,0.9335537704546749,0.6661892863977013,0.8269494678243603,0.6353400738957963,0.46947293164813675,0.5305270683518634,0.8690650407920391,0.6588527118526184,0.08956602031394276,0.02867081454752353,0.049142737148713894,0.4165808375556902,0.9365374215811044,0.9487557517792131,0.922921465645369,0.6802496305791228,0.7545525072595529,0.7035083534544964,0.3259255323070459,0.674074467692954,0.7785525072595527,0.7225562734977519,0.07944915254237288,0.028739677515323345,0.05605250364305071,0.48727218861906385,0.9231548984125209,0.9418988628139724,0.9296348015836279,0.7227655439379475,0.799014852195358,0.748072006862633,0.2845470674660427,0.7154529325339574,0.8193970178004534,0.7639052914158607,0.08548009367681499,0.02597309589548443,0.05795052202867395,0.5518056613427411,0.9069798413333808,0.9418988628139724,0.9176194480505566,0.8084554828760946,0.7693772035580557,0.7103698344163455,0.320493399841241,0.679506600158759,0.8035977358774472,0.7363608238928784,0.14566284779050737,0.031166484091975432,0.07733190214299943,0.596977660857954,0.8462386902917621,0.9195031568606241,0.028209331780591936,0.9250625058097628
8,0.8665976275654302,0.7816681141690864,5300,0.05252361084959418,0.6115094339622642,95607,0.9474763891504058,0.8807566391582207,0.8781588675226342,0.5805170685210156,0.6291168946675738,0.2916113292122813,0.7815802560175904,0.2184197439824096,0.7474062486257176,0.33804905381526323,0.14608695652173914,0.027004082098587213,0.03956927906631355,0.3175493024947085,0.9550107526804993,0.9584194685508741,0.8881284082014288,0.5727929623530336,0.7897221137743131,0.5725463742902047,0.5339371764982889,0.4660628235017111,0.8385755534552701,0.5991375036421458,0.09150943396226414,0.029315097486645833,0.04522438604714025,0.3517856172532924,0.9365128567572469,0.9529729440245435,0.8751176913997072,0.6417378090140262,0.7120159918955484,0.6714285024952338,0.34523521584468386,0.6547647841553162,0.7400533750731185,0.6948015197353125,0.08592910848549946,0.03326228203115629,0.0604263381909156,0.4495400014797374,0.9228757873311461,0.9351325507500649,0.8966050031797117,0.7460306987365647,0.7077118664732791,0.6773001529058145,0.3303799078278911,0.6696200921721088,0.7345660864221282,0.7005911580598568,0.09291521486643438,0.03145406949920758,0.06575389917854667,0.5216394785380271,0.9059136944067971,0.9305003436734339,0.933726529344652,0.7706197911713772,0.7254915950842733,0.6788413334180855,0.3376381331861559,0.6623618668138441,0.7631563785117685,0.7091956699950707,0.14903846153846154,0.04319730281139278,0.08207335224931328,0.47367444331781616,0.8430313802334488,0.9123716715605447,0.03449158525205305,0.9008279117832434
9,0.9195981792159437,0.7573814813880508,4622,0.04973796636069173,0.7193855473820857,88305,0.9502620336393083,0.9300775720514127,0.8871909095509711,0.67593059480172,0.6813771857289392,0.3285694113097149,0.7554643815080939,0.24453561849190614,0.7951983239403214,0.37404629402323974,0.14556416881998277,0.025286082856179306,0.04181330335885231,0.3952622532793506,0.9515828737587246,0.9563621323929247,0.9134104106373355,0.7149311822260287,0.835726379080532,0.6181649983000799,0.49422161781462726,0.5057783821853727,0.881986221600217,0.6428893820376881,0.09377901578458682,0.0252406027243923,0.04824982639590176,0.47687681780889923,0.9355638851900551,0.9500387757532007,0.9642130148483514,0.7913505223327029,0.8164546525610541,0.7652473723748084,0.2684653094022837,0.7315346905977163,0.8361533779376474,0.780353202781366,0.08047210300429185,0.022386642366182555,0.05581158102790571,0.5988889410785682,0.9219170831118984,0.9422277574845315,0.9757047978816868,0.8575946310809206,0.7893137545076161,0.7613917549002615,0.25140961778981236,0.7485903822101877,0.8074250093588451,0.7768953952987767,0.0863905325443787,0.020389147336282883,0.060250866165314144,0.6615957805429737,0.9050315759137416,0.9387122904421817,0.9544974851352019,0.8381607905268328,0.7715886618633645,0.6779185828512092,0.3762545918598004,0.6237454081401996,0.8113613891360918,0.7052895878918455,0.14638157894736842,0.028664535897868444,0.07222989358009572,0.6031485791117449,0.8441826463400819,0.9271149421747367,0.02389340248052546,0.9553135224873222
