metric,mean,std,ci_lower_2.5,ci_upper_97.5
harrell_c_index,0.8867892775196949,0.030247705147977796,0.8181641195344448,0.9315133790085708
uno_c_index,0.7494815308613487,0.06434602184081395,0.6058434676320477,0.8532885802891047
event_event_pairs,6360.605,3507.056635016922,1691.925,15066.724999999999
event_event_fraction,0.054954610791603006,0.01296620886985187,0.032507018328236,0.08187796731698961
event_event_c_index,0.6600466600156507,0.04218367153550081,0.5659180105399528,0.7264045955590978
event_censored_pairs,101419.706,31487.69663044051,49129.95,169675.49999999997
event_censored_fraction,0.945045389208397,0.012966208869851871,0.9181220326830104,0.9674929816717639
event_censored_c_index,0.9000341113950603,0.03196957791606166,0.8269728894968905,0.9469047644715097
12h_auc,0.8980772004423339,0.0548745129215953,0.760939983941521,0.9664447676267311
12h_average_precision,0.6229556252713967,0.19002663410877976,0.16026575573635626,0.8714193216548906
12h_tss,0.6870067494450807,0.10976912993087712,0.40413612829746903,0.8282390127588397
12h_hss2,0.335851251121744,0.10687627443929129,0.11063447050293465,0.5202893764656212
12h_far,0.7462226786335733,0.0895018118652788,0.582709737886243,0.9180983721599375
12h_precision,0.2537773213664267,0.0895018118652788,0.08190162784006251,0.4172902621137569
12h_recall,0.8016207831167143,0.11127996030068835,0.5216193834650255,0.9446895420086974
12h_f1,0.38046700426593427,0.11400510605515,0.14064180164625167,0.5723781616297587
12h_alert_fraction,0.14985977943350617,0.022162222638651807,0.10881145879052727,0.1967725471616849
12h_brier,0.025833557936793844,0.006234641159857652,0.014441113471876663,0.03917749327022645
12h_km_reference_brier,0.044045315320038164,0.01564966822260017,0.018051811498137504,0.07691920613904162
12h_bss,0.3645564269559088,0.19146763069912281,-0.0971631874281744,0.6433950180654368
12h_predicted_survival_mean,0.9423955681136991,0.012808727778313614,0.9145030992540323,0.9634892570184233
12h_observed_survival_km,0.9536183029027285,0.01791263668822842,0.9162320298627957,0.9833226187726818
24h_auc,0.9194093136175716,0.03876517654651063,0.8192433869605128,0.9735888385483634
24h_average_precision,0.6594003179912792,0.16309581291681774,0.2866667459713328,0.8769674027501629
24h_tss,0.8192136613377812,0.06427690399831928,0.671998941201964,0.9192290662923065
24h_hss2,0.6037185136371395,0.0915596580201247,0.3990373389307365,0.754954348465902
24h_far,0.5011909116695135,0.09707552244921769,0.33328618259744713,0.7043551510224394
24h_precision,0.49880908833048665,0.09707552244921769,0.29564484897756066,0.6667138174025529
24h_recall,0.8682225274037998,0.06442789517024552,0.7187505619368212,0.9638774128506982
24h_f1,0.6298927944084335,0.09246067634432466,0.4228805319080142,0.7769072662373427
24h_alert_fraction,0.10038156764341881,0.023932619640225916,0.05646172097241028,0.14899767586988544
24h_brier,0.02792084812704605,0.005933505424559806,0.017192549855551145,0.04015990800218499
24h_km_reference_brier,0.051618009762807934,0.015446089056139369,0.02575633848071447,0.08388135353161859
24h_bss,0.4253141397678126,0.15743801896725312,0.06473606621988352,0.6674743784435573
24h_predicted_survival_mean,0.927285269819791,0.01485600445517336,0.8962170505273466,0.953458096165078
24h_observed_survival_km,0.9456168937292644,0.01869571125709571,0.9076736339052477,0.9768721124133514
48h_auc,0.9199584574022553,0.03231488461627316,0.843165076404903,0.9694491723057532
48h_average_precision,0.7174291616085634,0.12378411380181102,0.42318633353899543,0.8922132388921866
48h_tss,0.7673668812394919,0.07557796706560323,0.5927331259518629,0.8838343468003795
48h_hss2,0.71335068067471,0.08148612585137084,0.5262576487166478,0.8386975518848326
48h_far,0.3153752498918766,0.09156340549621145,0.16616364050003865,0.5262758948344951
48h_precision,0.6846247501081234,0.09156340549621145,0.47372410516550495,0.8338363594999614
48h_recall,0.79305923902429,0.0752010569841818,0.6183232179912699,0.9072165243940592
48h_f1,0.7333348592359661,0.08041761735601699,0.5485516189122662,0.8538547440573638
48h_alert_fraction,0.09148139823335583,0.025631164208021504,0.046338734494614675,0.14588986391676928
48h_brier,0.02785385944673426,0.005633331686857888,0.01790354783431003,0.040129913006864984
48h_km_reference_brier,0.06218412483394489,0.01555717882560721,0.035298903346904636,0.0950331090289625
48h_bss,0.5328811684010538,0.11491183639952651,0.2783009629953557,0.7206845211501802
48h_predicted_survival_mean,0.9150903583284312,0.016425291971087774,0.8812367527677508,0.9441218969409574
48h_observed_survival_km,0.9335803531744798,0.01993118295493659,0.8929186755601408,0.9685103471672439
72h_auc,0.9353728513731219,0.02599054161912654,0.8763449212042274,0.974997005753156
72h_average_precision,0.7631240007017475,0.10946358245403146,0.4874308501506257,0.9068177092665961
72h_tss,0.7446603086415362,0.07598575994262367,0.5719973652923146,0.8645026501548572
72h_hss2,0.7064704899766889,0.08535309720017831,0.5080764512055511,0.8391231606287075
72h_far,0.30813422042140615,0.09531553828305016,0.1548825811981213,0.5343731679625491
