replicate,harrell_c_index,uno_c_index,event_event_pairs,event_event_fraction,event_event_c_index,event_censored_pairs,event_censored_fraction,event_censored_c_index,12h_auc,12h_average_precision,12h_tss,12h_hss2,12h_far,12h_precision,12h_recall,12h_f1,12h_alert_fraction,12h_brier,12h_km_reference_brier,12h_bss,12h_predicted_survival_mean,12h_observed_survival_km,24h_auc,24h_average_precision,24h_tss,24h_hss2,24h_far,24h_precision,24h_recall,24h_f1,24h_alert_fraction,24h_brier,24h_km_reference_brier,24h_bss,24h_predicted_survival_mean,24h_observed_survival_km,48h_auc,48h_average_precision,48h_tss,48h_hss2,48h_far,48h_precision,48h_recall,48h_f1,48h_alert_fraction,48h_brier,48h_km_reference_brier,48h_bss,48h_predicted_survival_mean,48h_observed_survival_km,72h_auc,72h_average_precision,72h_tss,72h_hss2,72h_far,72h_precision,72h_recall,72h_f1,72h_alert_fraction,72h_brier,72h_km_reference_brier,72h_bss,72h_predicted_survival_mean,72h_observed_survival_km,144h_auc,144h_average_precision,144h_tss,144h_hss2,144h_far,144h_precision,144h_recall,144h_f1,144h_alert_fraction,144h_brier,144h_km_reference_brier,144h_bss,144h_predicted_survival_mean,144h_observed_survival_km,integrated_brier_score,integrated_auc
0,0.9462425953699592,0.7870953041675275,7192,0.06025974025974026,0.6936874304783093,112158,0.9397402597402598,0.9624369193459227,0.9877439215329076,0.811899299399095,0.9461761103174022,0.7222461651714766,0.4057486262718667,0.5942513737281332,0.9857800707134419,0.7415057001252489,0.09491525423728814,0.022421384647583305,0.05138581021828999,0.5636658339659153,0.9521663265847868,0.9452540722450742,0.986906926627849,0.8132744996326922,0.9360439647651422,0.753415827848621,0.35988029850374764,0.6401197014962524,0.9728232888208083,0.7721579212494892,0.10258780036968576,0.02156951740641277,0.05712488747754353,0.6224147064641133,0.9350297663343994,0.9389481439758945,0.9850773139798165,0.8166427859451555,0.921201626591825,0.7554092524484276,0.34879354673153407,0.651206453268466,0.9610142729618484,0.7763436929621227,0.12166488794023479,0.022773373822979632,0.06329317625053948,0.6401922739217006,0.9197366102314571,0.9321895067336018,0.9673588986248249,0.771237017111078,0.8462188665557799,0.7184269306951403,0.3604213333563138,0.6395786666436862,0.8876696437578523,0.7434738192972123,0.13124274099883856,0.029463798960572028,0.07006965618075964,0.5795070139267722,0.9096433887576689,0.9251045800054273,0.9450021732074401,0.8222004578651775,0.7226206142278566,0.7063210733741347,0.27928469595500677,0.7207153040449932,0.7586206142278565,0.7391823315915544,0.17569786535303777,0.034970780827544894,0.09133025799142398,0.6170953460918868,0.891247281253853,0.8963410299437765,0.02835265949129935,0.9680753720717709
1,0.9563146053021386,0.8607282438132391,8056,0.06450476419248939,0.7095332671300894,116834,0.9354952358075106,0.9733296814283513,0.9798225183103966,0.7490161510708873,0.8812513857405819,0.6614983191637199,0.45575442365883406,0.5442455763411659,0.9299878478344448,0.6866507893998831,0.10330228619813717,0.026317071659648084,0.05399776701478371,0.5126266674612138,0.9496714058046579,0.9422008522090889,0.9796456942447831,0.7692574503183639,0.8741563412423587,0.6822201264905814,0.4256037135778223,0.5743962864221778,0.9218700589361958,0.7077867387171888,0.11152073732718894,0.025936548396930957,0.0587734998475244,0.5587033533102856,0.9318049531547355,0.9369354009349246,0.9860878274214746,0.8587673353156856,0.9001638654302644,0.7834582161940825,0.2955206381787972,0.7044793618212029,0.934524055003724,0.8033575807315224,0.12286324786324786,0.022038950561964712,0.06920851862892663,0.6815572562659471,0.9159137002798133,0.9241750727791652,0.9841677820719762,0.8862390729694122,0.870445101475426,0.7998900367650998,0.24814391486044216,0.7518560851395578,0.8981861846986757,0.8185326653724909,0.1286549707602339,0.021916334889222313,0.07549633526417697,0.7097033278167395,0.9054466553406465,0.9171230372222221,0.975420474892764,0.8921898471569057,0.8438197042055382,0.8013482315963285,0.22135928585029305,0.7786407141497069,0.8715974819833159,0.8225010030829145,0.1783960720130933,0.023447690176185643,0.0854749042152183,0.7256774910546092,0.8864070915846974,0.9052626282110263,0.023104515421326917,0.9813170916665016
2,0.941870836469047,0.7322143514656319,3068,0.04275779409920143,0.6701434159061278,68685,0.9572422059007986,0.9540074252020092,0.9813541902010623,0.6520525769619838,0.8627228095646584,0.6030442402746399,0.526175311020888,0.473824688979112,0.8960253072519849,0.6198619026815851,0.06255585344057193,0.017175060495604747,0.030876734576785494,0.4437539872329076,0.9673294009159732,0.9684711647417271,0.9724795898459205,0.644827797732315,0.8146196660957772,0.6399528778868665,0.46162916022021383,0.5383708397797863,0.8452007058511289,0.6577634748682895,0.06718597857838364,0.020199608010541156,0.03853487504165262,0.47580969216307945,0.9541644777043632,0.9609648105618194,0.966675532412191,0.7294176254326876,0.829148936689569,0.7152715715765227,0.36010471933233373,0.6398952806676663,0.8554019199831251,0.7321188743388727,0.07829977628635347,0.01982135750504722,0.04820761579928393,0.5888334825025376,0.9415504043878872,0.9507277382364948,0.9678288408890156,0.7727272283982612,0.8349105623681647,0.7323420646012866,0.33756355778565383,0.6624364422143463,0.8586259773879277,0.7478787593771464,0.0821078431372549,0.018624753778568034,0.05125021631072222,0.6365917040105937,0.9327263108408429,0.9495481752858292,0.9540449646790986,0.8334597149025457,0.7651672902034199,0.7035658790400081,0.3331970638685789,0.666802936131421,0.7920903671264968,0.7240669092138378,0.11452991452991453,0.02269629432453007,0.06379341244467833,0.6442219744207554,0.9155952221248398,0.9378121691105425,0.020101595941960988,0.9651088911170138
3,0.9562288615285093,0.7930187537188862,8960,0.06300231336619391,0.7204241071428571,133257,0.9369976866338061,0.9720840181003625,0.9924231176547325,0.9094309380760837,0.9498399163088131,0.8192809877220669,0.27284554287958485,0.7271544571204152,0.9786168947260794,0.8343505547130884,0.10132890365448505,0.024954210549585677,0.06664435428740548,0.6255615225564344,0.9466714762729254,0.9279716900801058,0.9887700269231525,0.8950938781050293,0.9216841146775672,0.8251934669361699,0.24501681716442067,0.7549831828355793,0.948180679937626,0.8406243031447376,0.10822898032200358,0.022736692451088683,0.07149396709541375,0.6819774678226351,0.9280878655931127,0.921961668624377,0.9904666943924546,0.9181648493862131,0.9193621829453857,0.8114520284551028,0.26415205803683683,0.7358479419631632,0.9526955162787191,0.8303476366562138,0.13408393039918118,0.020043056178507834,0.07779304242151706,0.7423541289218938,0.9116703199041827,0.9142958323627969,0.9826747975204687,0.9028831947078857,0.885810018747732,0.8007175443568006,0.2576886207098873,0.7423113792901127,0.9175359070726051,0.8206747094424367,0.14238042269187987,0.021747799776135165,0.08233544510749222,0.7358634577399498,0.9008858451831134,0.9097835817962984,0.9645421636875791,0.8832824588475411,0.8359640070260075,0.7685291155654748,0.27177732804728577,0.7282226719527142,0.8718706497549121,0.7935986802120842,0.1878698224852071,0.027054978866526226,0.09282842388597204,0.7085485486669488,0.8812480307145605,0.8993753385338406,0.023165853819323717,0.9804205153765105
4,0.9247120218927003,0.8313237141229727,700,0.02227454973588748,0.6328571428571429,30726,0.9777254502641125,0.931361062292521,0.9689912464236601,0.2163763912275681,0.6440855185280061,0.34308663323495264,0.7598225095220167,0.24017749047798348,0.6660434325261764,0.3530455678361001,0.02895927601809955,0.009273228423354964,0.012538189982180065,0.26040134688224026,0.9797973640770316,0.9897956609964885,0.9726188471012281,0.3202853257234904,0.6954264304821718,0.40244902695187207,0.7100845234812461,0.289915476518754,0.7173606278899484,0.4129432781344359,0.03146509341199607,0.010692218707129282,0.01688113243015972,0.3666172129526907,0.9708224090921223,0.9879141345127411,0.9449113632220403,0.5083011442375446,0.7252167780690415,0.4479775351274791,0.6666139014926716,0.3333860985073283,0.7540851383461777,0.46235981917645436,0.045146726862302484,0.013376701471695895,0.025038875828077525,0.4657626978326306,0.9616696329738242,0.9817257891603507,0.9261742208588415,0.5226813478542081,0.6173871826076294,0.43834006314575064,0.6482426819465168,0.35175731805348315,0.6462585736837451,0.4555562381924819,0.04834605597964377,0.017199530775988715,0.031565214363950204,0.4551112316971354,0.9549223172064981,0.9767204730196147,0.8932101566647555,0.5103266459214513,0.49759626545128643,0.38425677360115784,0.6647509199507636,0.3352490800492364,0.5414376015681965,0.41409653331317,0.07827788649706457,0.0268950174564598,0.044404520800091135,0.3943180340231348,0.9410143809557184,0.963907875677462,0.017901047335372497,0.9288703612488531
5,0.9681017934514342,0.9140446367950388,3994,0.043810672955629903,0.6840260390585878,87171,0.9561893270443701,0.98111757350495,0.9879401301455233,0.7640544491468795,0.9309308975465065,0.7124862286283065,0.4146943624129759,0.5853056375870241,0.9605273101025603,0.7273774963841991,0.07032590051457976,0.01775183987532827,0.03996606101227524,0.5558271336803509,0.9602553985966196,0.9584319569751517,0.985828779868374,0.7823981407687891,0.8997661972106377,0.7335092604593395,0.37220963147389596,0.627790368526104,0.9274889694878653,0.748764067941927,0.07591377694470477,0.0177702384386615,0.045700267895629997,0.6111567993595778,0.9455865388439727,0.9530153524679603,0.9877580864974073,0.8434462332703825,0.9141308350680215,0.781082882693942,0.3095824981287569,0.6904175018712431,0.9426343980133898,0.7970491155857132,0.09868421052631579,0.019161162271912505,0.05701107422023754,0.6639045565447219,0.9321787043691759,0.9402023886759646,0.9870320452768484,0.8692182938157229,0.9010129005513567,0.7952408315289605,0.27958630125637557,0.7204136987436245,0.9269337736755041,0.810728519106327,0.10794044665012408,0.018489302731127612,0.060951145907381196,0.696653730526688,0.9231227925982778,0.9365401230397513,0.9740078140198243,0.8957001294215021,0.8440225860303263,0.78675577196257,0.24968676601884646,0.7503132339811535,0.8705531982752243,0.8059733640621203,0.1518324607329843,0.02093896110138969,0.07347827394822362,0.7150319410586005,0.9061206872365731,0.9220584823930363,0.019147972397105535,0.9834891846397277
6,0.9394973070017953,0.8398232903183744,4502,0.050517291680693015,0.7214571301643714,84616,0.949482708319307,0.9510967192965869,0.9821743456948937,0.6938660725099638,0.8743182625726003,0.6036186484372134,0.5267347244542939,0.473265275545706,0.9157224029866415,0.6240222603425436,0.0768566493955095,0.018853179270198476,0.0372570725861145,0.4939704608669402,0.9600146727876412,0.9613030679971946,0.9793247647837077,0.7444231028541832,0.8653375134480417,0.6349214071763474,0.48602012452273624,0.5139798754772639,0.9052985270932657,0.6556926722514884,0.082483781278962,0.019499826458514447,0.04328159092137499,0.5494660421808967,0.94498261027173,0.9558158016190405,0.9722396229356899,0.8382836649366404,0.8534785440123409,0.6914956412624023,0.40570163293651634,0.5942983670634836,0.8910639654246416,0.7130352615229125,0.09745762711864407,0.01993255275560755,0.05508539535900399,0.6381517709784491,0.9311317359996465,0.9431061035116421,0.9673538550864267,0.8435532667286794,0.8249949370353533,0.7028072931964483,0.3742162095648729,0.6257837904351271,0.8586301246162071,0.7239447279710176,0.1021377672209026,0.020513232553700887,0.059401979819957394,0.6546708945413127,0.9217303140860532,0.9395789244549801,0.9270176057925777,0.759069749270482,0.6688630982407391,0.6089960082451695,0.4129700665448335,0.5870299334551666,0.7137849732407391,0.6442317706938187,0.14502529510961215,0.035912889723562005,0.07511953822679326,0.5219234493276907,0.9040237547480511,0.9208933720231774,0.024393912201779597,0.9595474366925298
7,0.9455871467229726,0.785480627031262,4065,0.04932833375805453,0.6457564575645757,78342,0.9506716662419454,0.9611447244134691,0.973180701861428,0.4768456166241714,0.8230563785699048,0.509593492065621,0.6174650542165202,0.38253494578347974,0.8691268392745118,0.5312479654005551,0.07336244541484715,0.01990223021864948,0.030799472849152642,0.3538126345173134,0.9641421120307009,0.9686924955513332,0.9628124728737676,0.5264843112258631,0.7745224027151976,0.5721061315208545,0.5310659520700733,0.4689340479299266,0.8165644447572395,0.595745343388512,0.07912297426120114,0.025658425014131386,0.041374808222682274,0.37985392280162733,0.9501711042770897,0.9577205645754756,0.9677086216078066,0.65280915961901,0.7994437388875866,0.6559433246453101,0.42882200766078404,0.5711779923392158,0.8369583930493686,0.6789856715214031,0.09180327868852459,0.02670024985780654,0.05225436127857904,0.48903308346911245,0.937060180035635,0.9458852214855916,0.9647436442184889,0.6888079028098213,0.7748569341945515,0.6674457490863144,0.3977735209860553,0.6022264790139448,0.8094774401865622,0.6906387975757053,0.09791921664626684,0.027554542126662314,0.05742247222082037,0.5201435768787481,0.9280475233143176,0.9410865286165303,0.9411595320217612,0.7494432463578027,0.6635644666349467,0.6393048872812889,0.3543006507566237,0.6456993492433764,0.6998118013897441,0.6716674544652707,0.13711151736745886,0.03350222987929507,0.07186145222498107,0.533794143563818,0.9108993748713837,0.9215420739058107,0.028414919135515394,0.9589708614905652
8,0.9492377613677115,0.7951376775887896,8863,0.06486577475921426,0.7061942908721652,127773,0.9351342252407857,0.9660961235941866,0.9870560188540493,0.8179454617896861,0.9359288118436382,0.7451389327095598,0.3707125036819329,0.6292874963180671,0.9751623884859741,0.7649444258320773,0.10212765957446808,0.024570115529601227,0.05771853864200773,0.5743115451693189,0.9483738810518009,0.9379443534483916,0.98431479316977,0.8247600205990085,0.9279836098226868,0.7708481536475,0.3310454368851657,0.6689545631148344,0.9638759328535942,0.7897809419299905,0.10845588235294118,0.02312070095751334,0.06234547195251647,0.6291518817096691,0.930283883856581,0.9325637399405556,0.9812285993365104,0.8713858740370936,0.9231248844416546,0.801304313290265,0.28217323348784124,0.7178267665121588,0.9591295302023978,0.8211172237229799,0.13395638629283488,0.022577098320079307,0.07568841858892708,0.7017100008034486,0.9143231253768875,0.915948661371362,0.9781739584568643,0.8928491727061617,0.8944029277337138,0.8143237330208244,0.24166105342136235,0.7583389465786377,0.9243898899240657,0.8331715011313203,0.1417142857142857,0.021554773325016423,0.08167743654675078,0.7360988023579946,0.9038762816715258,0.9091094820372275,0.9497396529110564,0.8646029446103888,0.7998643312656313,0.7675788507674016,0.24031899867080955,0.7596810013291905,0.8326828640841641,0.7945085488521925,0.19122257053291536,0.029402799340069098,0.09496964640379459,0.6903979276172783,0.8849792151170011,0.8926736887395433,0.02423161792377293,0.9722156536741207
9,0.9545546540082059,0.7788668651966512,11624,0.07128970334799115,0.6932209222298692,151429,0.9287102966520089,0.974615166183492,0.985894020625077,0.8515191372302584,0.9289514458533139,0.7732846907815002,0.326955987616907,0.673044012383093,0.9696386067936393,0.7945654880125452,0.11847555923777962,0.028626846798804565,0.07168185969507895,0.6006402886228435,0.9392251320528857,0.9221160203376768,0.9808820148560773,0.8551933432118963,0.8916612286521897,0.7967726441746529,0.2677258153286885,0.7322741846713114,0.9269790893989103,0.8182028235289339,0.12917795844625113,0.029110316695651818,0.08165156127464515,0.6434811993645086,0.9192237857871114,0.9091270777234337,0.9786434505536084,0.8950133301360329,0.8818876742356654,0.812605492982358,0.23341864590909528,0.7665813540909047,0.9148288507062537,0.8341697191262476,0.14754098360655737,0.02591185363017405,0.08885662932795307,0.7083858140225161,0.9022204156028436,0.899384489812451,0.9775506035374733,0.9057524953521455,0.8582386695762212,0.8111521631578386,0.21549160483646554,0.7845083951635344,0.888462059852174,0.8332555337706458,0.1590145576707727,0.026014622089356513,0.09433684060625616,0.7242368737157889,0.8914162356919956,0.8925271665648103,0.9690314864392734,0.9090857797391015,0.8394734503491743,0.804946072422547,0.2073523843372446,0.7926476156627553,0.8719278114039412,0.8303997397790328,0.21904761904761905,0.026448546413274897,0.09903001595849556,0.732923940713493,0.8724469049227301,0.8856146937931879,0.026655157572770805,0.9762594370155986
