metric,mean,std,ci_lower_2.5,ci_upper_97.5
harrell_c_index,0.9445301481531349,0.01107011070204331,0.9169793729491286,0.9625237625563379
uno_c_index,0.8337883081245641,0.049462461823091615,0.724019989761437,0.9183733389696523
event_event_pairs,6077.19,3173.3334727426977,1502.375,13399.1
event_event_fraction,0.054076920899695666,0.012154456250379383,0.030842481816473363,0.07970151674972979
event_event_c_index,0.6764634921011745,0.03863583277693992,0.5862876446783353,0.7392160585242149
event_censored_pairs,99408.52,28887.346800992313,47160.05,157851.8
event_censored_fraction,0.9459230791003044,0.012154456250379383,0.9202984832502702,0.9691575181835267
event_censored_c_index,0.9598360647471107,0.012041530474634651,0.9315270148837841,0.9783342531499473
12h_auc,0.9796155474247586,0.008254821316724049,0.9594004063343996,0.9917183343856332
12h_average_precision,0.6765445470745389,0.16686065945025627,0.2567504418840817,0.896945431092594
12h_tss,0.8768480260416291,0.05742860799756628,0.7247686026002339,0.9519147985655292
12h_hss2,0.6274389940873266,0.10452251905393474,0.3797990636520455,0.7896516306786028
12h_far,0.4931859556837197,0.11055542092470734,0.30446153243056817,0.741658830282652
12h_precision,0.5068140443162802,0.11055542092470734,0.25834116971734794,0.6955384675694318
12h_recall,0.9181927730355084,0.05724394107172223,0.7644821829598478,0.9880174833719931
12h_f1,0.6478631589280055,0.1045449976099834,0.3960600190154602,0.8066499622470849
12h_alert_fraction,0.08433751193891578,0.021215291977191263,0.04426972339342043,0.1258502751760535
12h_brier,0.021958674940001886,0.005171578426599655,0.012028674068133582,0.03212587605641744
12h_km_reference_brier,0.04312793473268409,0.014366032927446521,0.017370435508827036,0.07285147608397644
12h_bss,0.46582667906807274,0.10420995634028107,0.20635900089158365,0.6097044742247785
12h_predicted_survival_mean,0.9575633972903238,0.009166709958513505,0.9386420034346815,0.9743449480365324
12h_observed_survival_km,0.954666510160801,0.016461781210020204,0.9209699852885314,0.9843125152505601
24h_auc,0.9743936483713544,0.009682115653381047,0.9512314064414507,0.9892055062730437
24h_average_precision,0.6981538678954093,0.14115830945596983,0.35661216080091335,0.8896226554746788
24h_tss,0.8425702527452202,0.059034625714720165,0.7010126397856008,0.9245511841994866
