replicate,harrell_c_index,uno_c_index,event_event_pairs,event_event_fraction,event_event_c_index,event_censored_pairs,event_censored_fraction,event_censored_c_index,12h_auc,12h_average_precision,12h_tss,12h_hss2,12h_far,12h_precision,12h_recall,12h_f1,12h_alert_fraction,12h_brier,12h_km_reference_brier,12h_bss,12h_predicted_survival_mean,12h_observed_survival_km,24h_auc,24h_average_precision,24h_tss,24h_hss2,24h_far,24h_precision,24h_recall,24h_f1,24h_alert_fraction,24h_brier,24h_km_reference_brier,24h_bss,24h_predicted_survival_mean,24h_observed_survival_km,48h_auc,48h_average_precision,48h_tss,48h_hss2,48h_far,48h_precision,48h_recall,48h_f1,48h_alert_fraction,48h_brier,48h_km_reference_brier,48h_bss,48h_predicted_survival_mean,48h_observed_survival_km,72h_auc,72h_average_precision,72h_tss,72h_hss2,72h_far,72h_precision,72h_recall,72h_f1,72h_alert_fraction,72h_brier,72h_km_reference_brier,72h_bss,72h_predicted_survival_mean,72h_observed_survival_km,144h_auc,144h_average_precision,144h_tss,144h_hss2,144h_far,144h_precision,144h_recall,144h_f1,144h_alert_fraction,144h_brier,144h_km_reference_brier,144h_bss,144h_predicted_survival_mean,144h_observed_survival_km,integrated_brier_score,integrated_auc
0,0.9542952369244219,0.8225455384051139,3057,0.04175716100479449,0.6120379456983971,70152,0.9582428389952055,0.969209716045159,0.9703601505856319,0.37308891177860787,0.8069092061734078,0.24910637682092013,0.8330979564412156,0.16690204355878438,0.9355323945792049,0.2832681256482452,0.15140845070422534,0.017940565280303678,0.026577377929216564,0.32496857560272796,0.966416858576044,0.9736300040313398,0.9695414246444338,0.44070110676661917,0.8406488744235141,0.6082753001699746,0.5123068725556635,0.4876931274443364,0.874614908389548,0.6262073903437679,0.0671785028790787,0.021190932475967827,0.03527090105660545,0.3991950349678056,0.9525948939599701,0.9653375344673124,0.9790638807409658,0.6389992032373868,0.8676884686577009,0.7697629480360135,0.30032782133928143,0.6996721786607185,0.8874100463839192,0.7824372432894999,0.07096069868995633,0.020679255444331066,0.047600263147234194,0.56556426210571,0.9391814490896017,0.9522184759373591,0.9742453375633151,0.709597961462903,0.8203190561387625,0.7824489268614753,0.2418147608845009,0.758185239115499,0.8362341755021577,0.7952994080440174,0.0773955773955774,0.02170561553993273,0.05469052258418429,0.6031192514841743,0.9296441850105469,0.9449742310880328,0.9595283723914814,0.8069801557091189,0.7807081637823927,0.8223753851163487,0.11349811867156115,0.8865018813284389,0.7888217540460845,0.8348141866193206,0.108348134991119,0.023372177171511303,0.06784764606881102,0.6555197044300216,0.9104990425849967,0.9302054891329293,0.021732198719730048,0.9702896764699185
1,0.9598590393847953,0.9040879068761937,9349,0.06669329928163277,0.7564445395229437,130830,0.9333067007183672,0.9743942520828556,0.9889755858081184,0.9014803024041497,0.8570900655095715,0.47311831485506217,0.6411078972613647,0.3588921027386353,0.988149311470074,0.5265450348778692,0.19317235636969193,0.025348424742796128,0.0632888930252007,0.5994806745521246,0.9425649873606641,0.9316980628797813,0.9847522801534396,0.8874825051132392,0.9124019877705027,0.7493983636739858,0.3522084484344393,0.6477915515655608,0.9544352233521255,0.7717697443120802,0.11827956989247312,0.024064375486309273,0.0677481674395993,0.6447966580385542,0.9224958558671951,0.926374231164164,0.9793836989534231,0.8902147060028484,0.9061311413733089,0.8115533137878567,0.2549044376212345,0.7450955623787654,0.9377470664318568,0.8303939606354135,0.13138686131386862,0.023115529822480173,0.07692686984998953,0.699512928739251,0.9047256126744163,0.9148423572730234,0.9740004625143175,0.883248255797288,0.8859859588090342,0.8163066040706132,0.23214875792316747,0.7678512420768325,0.9133653590697902,0.8343109685609464,0.13729977116704806,0.023940292000086075,0.07965390029006296,0.6994460796909314,0.8929689458796032,0.912472299352627,0.9646047053824527,0.9008995904716829,0.8247818030115259,0.8318423758905159,0.1402598240404077,0.8597401759595923,0.8429269643018487,0.8512505579906597,0.18770226537216828,0.027376824002229433,0.09489232862317627,0.7114959196444149,0.8711028614672622,0.8913737254050619,0.024808497750259537,0.9745635979314268
2,0.9378718051818172,0.8352409580281648,5022,0.05177693235594321,0.6796097172441259,91971,0.9482230676440568,0.9519739918017636,0.9803953011692993,0.7368379577438352,0.8317337619352358,0.30008485239711213,0.791489990567577,0.2085100094324231,0.9775483433933816,0.3437075651732958,0.17891097666378566,0.019467474372869758,0.0360125559476493,0.4594253626104957,0.9607894152938432,0.9629488365278236,0.9626711216064642,0.6829896582481687,0.8067287473055329,0.5993831746859107,0.5075774462178054,0.4924225537821947,0.85137160444839,0.6239565444043005,0.08826291079812207,0.024600613134559704,0.045570167946303794,0.46015970001367823,0.9451078451450157,0.9529614708387982,0.954642410501841,0.7218481072111498,0.7774610854540891,0.6571425886685884,0.413837561135759,0.586162438864241,0.8163303434046192,0.6823595687028717,0.09902067464635474,0.027808423568468642,0.056998111902272344,0.5121167589525013,0.9300809707394742,0.9399625416926,0.944306311767793,0.706453812023384,0.7226570684736653,0.6330597591731552,0.4163522476246072,0.5836477523753928,0.7616181074347044,0.6608607411406623,0.10532544378698225,0.03230707190312528,0.0632418948386393,0.48915079180413135,0.9194900800419069,0.934033484358049,0.9290408989120225,0.6971279857495547,0.6832464324281213,0.6532399978663157,0.3469461732695166,0.6530538267304834,0.7192995633579125,0.6845778001629649,0.1396103896103896,0.0411914381444249,0.08008960510328561,0.48568309094166007,0.8984211599269839,0.9150469674603344,0.032277646006453414,0.946167008891388
3,0.9355077190693629,0.8450873184287092,4525,0.049196547000369656,0.696353591160221,87453,0.9508034529996303,0.947880575852172,0.9740045652760787,0.7602697369428375,0.7945156516465737,0.3499998904830125,0.748002915676124,0.25199708432387596,0.9237548817107349,0.3959738848766673,0.16681222707423582,0.022590543326134697,0.04189533355793252,0.4607861685861343,0.961165787006994,0.9558413959753005,0.9689048994983932,0.7627323610883389,0.7860959062450252,0.6444632378519175,0.4384946182122636,0.5615053817877365,0.8235832416047009,0.667749939897101,0.08563273073263558,0.02467024506885713,0.05038407054139639,0.5103562533998192,0.9458763843535594,0.9466941792120019,0.9530786500337893,0.7686847168571571,0.7549996649080124,0.6691378580386483,0.3826022760301322,0.6173977239698678,0.7869523276299059,0.6919394141055079,0.08971553610503283,0.025540667835361363,0.05561301451600913,0.5407429707301865,0.9313216681854883,0.9416867291516806,0.9442735240668509,0.7548961991421892,0.7117972781909172,0.6546711489752479,0.3749264298775984,0.6250735701224015,0.7421402861064846,0.6785950508836569,0.09397590361445783,0.028244988126635538,0.06006959752016725,0.5297956155415756,0.9211023971995812,0.9380379429930781,0.9144612756298698,0.7296072054874351,0.6584871607473959,0.6438302775568948,0.3423256272923522,0.6576743727076478,0.6905512890039089,0.6737119737678858,0.13080895008605853,0.03740025267780254,0.0730601995719948,0.4880899190406991,0.9008125064883492,0.9230925066731165,0.029505698679729596,0.9424540777372928
4,0.9560268044898456,0.7951630621482918,5627,0.052590259539987104,0.7360938333037143,101370,0.9474097404600129,0.9682351780605701,0.9894249991214914,0.9027634949543724,0.8587867377891207,0.4724121055651945,0.6463567235070516,0.3536432764929484,0.9712402693876337,0.5184947646094406,0.16637630662020905,0.02232885009811894,0.0539020306292524,0.5857512261142687,0.956394028957699,0.9420404581505748,0.9867580089452248,0.9004422018055467,0.9117849491349355,0.8199482293700012,0.2479828193605901,0.7520171806394099,0.9328692864843332,0.8327370946537771,0.08667287977632805,0.019323202956145973,0.05814420446482519,0.6676676010274472,0.9403339741055826,0.9374906740344919,0.9891711150504536,0.9325570482048109,0.8976725156015508,0.8666684598717947,0.1550995498763055,0.8449004501236945,0.9102871945006332,0.8763758823519238,0.09109947643979058,0.016622303959878824,0.06400429950277335,0.7402939476095889,0.925587193402463,0.9315100522574302,0.9780573262025514,0.9026156049039374,0.8531189708567681,0.8414233777288901,0.1593943548889054,0.8406056451110945,0.865955941331736,0.8530925089181767,0.09942196531791908,0.018730429517898498,0.06819923214488519,0.7253571788300076,0.9155067674956241,0.9279410482257925,0.9579118399072608,0.8502498359439341,0.7715064028181278,0.7785585105078978,0.19555763736378037,0.8044423626362196,0.7884555553605008,0.7963687347718159,0.13665594855305466,0.026710082909930342,0.07659422991786667,0.651278132327043,0.89599289009415,0.9207045207841873,0.020767800382220102,0.9762869606919526
5,0.9202065076273938,0.7579429386856116,5714,0.057956608615390856,0.7000350017500875,92877,0.9420433913846091,0.9337510901514907,0.9794730767764612,0.4853816810923173,0.8540344514959202,0.29837142577361564,0.794686706612493,0.2053132933875071,1.0,0.3406803766520794,0.17872711421098517,0.021096378292382142,0.034265560777797716,0.3843270673669673,0.9611814576250859,0.9646453786249187,0.9692720609268198,0.520425966042049,0.855912211539495,0.6036603757182145,0.518682262666154,0.481317737333846,0.9048144071482774,0.6283718690015427,0.0945179584120983,0.025536513411876693,0.04451011296756809,0.4262761491869578,0.9454758833324496,0.9537149142155099,0.9535162556569695,0.6066663714583042,0.8238198701082076,0.6483037240730459,0.4498172822298234,0.5501827177701766,0.8677505059463578,0.6734045351679502,0.10311493018259936,0.027630685136482407,0.05386093074955324,0.4869994864187973,0.9304198069139571,0.9436758809069475,0.9498135769674318,0.6527797439395268,0.7670974142861438,0.6432615651752425,0.4280522087245313,0.5719477912754687,0.8082285196846012,0.66986299215336,0.10823529411764705,0.030341090094726728,0.06096727307540656,0.5023380813309501,0.9198369848905991,0.936639138273967,0.9161515243990542,0.673360550021086,0.6391027900871626,0.6188053139976479,0.36680095899106036,0.6331990410089395,0.679487405471778,0.6555271057698124,0.1454248366013072,0.04459677139135812,0.08368887107654822,0.4671122836563716,0.8989234096436237,0.9082683236163682,0.032660818553632016,0.945307820196299
6,0.9429628121606949,0.8821949500921105,6966,0.059090484955932374,0.6861900660350273,110921,0.9409095150440676,0.9590879995672595,0.9819418625050462,0.757722695297017,0.8472304471228824,0.37095662096639026,0.7346256756638877,0.2653743243361122,0.9824617638488611,0.4178755995856543,0.17751479289940827,0.02277737342089026,0.04453991835482737,0.4886076521417426,0.9531429009291413,0.9533380691390926,0.971395056259187,0.7403922958056286,0.8385242307136092,0.6542953732849218,0.44791299079287866,0.5520870092071213,0.884066866372524,0.6797068761141268,0.10135746606334842,0.02751565532969586,0.05578696324517782,0.5067726628393903,0.9358163161961942,0.9410155505357078,0.9574501351348423,0.7714595746809795,0.7913423087087832,0.7006269520900983,0.35342519500961816,0.6465748049903819,0.8293169922530871,0.7266324991340725,0.1127348643006263,0.03055662775520577,0.06902232103947145,0.5572935349749901,0.9199177902779901,0.9253185362607661,0.9500998554343616,0.7703363222619267,0.7382972693871706,0.6810103778417829,0.3452322628236394,0.6547677371763606,0.7761562772200689,0.7103131741694538,0.12296983758700696,0.03488023349568295,0.07619296690051865,0.5422119007227487,0.9090798240206636,0.9171083466400383,0.9370933367543934,0.7807949812218177,0.735819101030861,0.712457696440242,0.28174941073579807,0.7182505892642018,0.7716840799338146,0.7440091926132673,0.17301038062283736,0.0374552255393639,0.08449499582799509,0.5567166413545861,0.8882382351369096,0.9054371858506065,0.033242003256020364,0.9522402925374196
7,0.9398701420909006,0.7162368440254204,5099,0.05331284045878946,0.7342616199254756,90544,0.9466871595412105,0.9514490192613536,0.9881749528547954,0.770796165514548,0.8674481514878267,0.34539150301970806,0.7593571994639943,0.24064280053600567,1.0,0.38793244990748127,0.1692573402417962,0.018841819307358322,0.0381567632672902,0.5061997482498619,0.9592809326022814,0.96039281129152,0.9818834907121075,0.7517527368862559,0.8818114951447127,0.7019734360710457,0.4059313575204839,0.5940686424795161,0.9160916126765442,0.7207464226018653,0.08494921514312095,0.02178681484009685,0.049142737148713894,0.5566625689943477,0.9434636353152039,0.9487557517792131,0.97490797472948,0.782888656270586,0.8467222047545473,0.7353790433791396,0.33862196502211184,0.661378034977888,0.8752936333259759,0.7534465496806666,0.09110169491525423,0.02228408566381041,0.05605250364305071,0.6024426347533336,0.928613342552621,0.9418988628139724,0.9761384775726024,0.802717705492955,0.851089811669925,0.757911910636688,0.3065799106982193,0.6934200893017807,0.8752936333259759,0.7738138331186153,0.0936768149882904,0.020955997621566323,0.05795052202867395,0.6383812105920756,0.9183298762390658,0.9418988628139724,0.956824821303933,0.8683197799285288,0.7709778711862145,0.7872196308692663,0.17645804713096086,0.8235419528690391,0.7861869966614997,0.8044310500096067,0.1276595744680851,0.025979686278355417,0.07733190214299943,0.664049563525352,0.8982755722353254,0.9195031568606241,0.0225847593238888,0.9719779123778843
8,0.9351990407198565,0.8303195158771214,5300,0.05252361084959418,0.6667924528301887,95607,0.9474763891504058,0.9500768772161035,0.9814817817396467,0.6753649141492418,0.839707450139668,0.33529135158144596,0.7637846882487335,0.23621531175126648,0.9798348386746998,0.3806619189204023,0.17739130434782607,0.022445935189201703,0.03956927906631355,0.43274338782910593,0.9608985118145568,0.9584194685508741,0.9711248957575503,0.6576627402727153,0.8625604119775152,0.6274207671093951,0.492973663290208,0.5070263367097921,0.9074258157661493,0.6505540486448248,0.09150943396226414,0.024395211514638304,0.04522438604714025,0.46057395916420785,0.9450298300978279,0.9529729440245435,0.9626018415195952,0.7564165203801293,0.837864343449434,0.7278172488368645,0.34336583538662085,0.6566341646133791,0.8705746238232657,0.7486193704175521,0.10096670247046187,0.02580116643531277,0.0604263381909156,0.573014562726032,0.9297846180472923,0.9351325507500649,0.9600322677211486,0.8409044300983144,0.8168318282623424,0.739883621219039,0.310033581408783,0.689966418591217,0.844964820589708,0.7596396974876242,0.10452961672473868,0.02515651254663039,0.06575389917854667,0.6174141326840412,0.9190488156438691,0.9305003436734339,0.9235969771981656,0.7617685696355553,0.7120838420497193,0.6953071349143729,0.29542958242011047,0.7045704175798895,0.7422156687917155,0.7229032800645814,0.14262820512820512,0.0374745113715817,0.08207335224931328,0.5434022085786651,0.897786943614282,0.9123716715605447,0.028406154730768227,0.9530501745476754
9,0.9455701787424537,0.8068230426499492,4622,0.04973796636069173,0.7388576373864129,88305,0.9502620336393083,0.9563897854028651,0.9826257035015823,0.8066722328940138,0.8152957252734598,0.35703104276199393,0.7446593059818029,0.25534069401819715,0.942666998986197,0.4018358932997333,0.165374677002584,0.02081012062884016,0.04181330335885231,0.5023086205305891,0.9595942619852057,0.9563621323929247,0.9771366182267258,0.7877422323551043,0.880239155350538,0.7018541258721747,0.4055887837548004,0.5944112162451997,0.9137037222796718,0.7202577561883475,0.08356545961002786,0.021504676624368155,0.04824982639590176,0.5543056166064316,0.9438453335160563,0.9500387757532007,0.9820909670717467,0.8414992881607279,0.8862300088643966,0.7930184489531846,0.2741036805301466,0.7258963194698533,0.9082462313441184,0.8068972883383578,0.08798283261802575,0.019560969814996658,0.05581158102790571,0.6495177263439966,0.9289874241273411,0.9422277574845315,0.978325138913042,0.8654758595444086,0.8561041496823618,0.7945440934396713,0.2491649524410822,0.7508350475589177,0.875509065594393,0.8083933597905943,0.09349112426035502,0.019920080734299805,0.060250866165314144,0.669381006413355,0.9186459069025156,0.9387122904421817,0.9494665851247368,0.8107256008678263,0.7780128078967599,0.7762964260074753,0.208750107422443,0.791249892577557,0.7950582624422144,0.7931495059892198,0.125,0.02708398700667535,0.07222989358009572,0.6250307779196446,0.8983411144188601,0.9271149421747367,0.02206511807619917,0.9711727294782501
