metric,mean,std,ci_lower_2.5,ci_upper_97.5
harrell_c_index,0.9453249641773587,0.010576638851773346,0.919399015156851,0.962377708746473
uno_c_index,0.8375670341422655,0.0492354619187184,0.7249578451802202,0.9208977826752832
event_event_pairs,6360.605,3507.056635016922,1691.925,15066.724999999999
event_event_fraction,0.054954610791603006,0.01296620886985187,0.032507018328236,0.08187796731698961
event_event_c_index,0.686442212800714,0.04030231374233047,0.5901194493228356,0.7472170709305254
event_censored_pairs,101419.706,31487.69663044051,49129.95,169675.49999999997
event_censored_fraction,0.945045389208397,0.012966208869851871,0.9181220326830104,0.9674929816717639
event_censored_c_index,0.9603469840452739,0.011784894626015863,0.9306319770576085,0.9779279740809138
12h_auc,0.9805259215899146,0.007902413405083613,0.9602388088268161,0.9927672224110083
12h_average_precision,0.6978036724233274,0.16581596226787754,0.2770149424903225,0.9071067809376392
12h_tss,0.8488126225384762,0.027249777638556027,0.7832770607096722,0.8893035406023706
12h_hss2,0.3652508290694052,0.0925194773766466,0.17577197903019237,0.5309444197847158
12h_far,0.7363333710096551,0.07949064892777581,0.585159936633595,0.8870786144037116
12h_precision,0.2636666289903449,0.07949064892777581,0.11292138559628845,0.41484006336640494
12h_recall,0.9801190428510611,0.02413336123000002,0.9223325272886224,1.0
12h_f1,0.4094805661173792,0.10041542474704068,0.20174093581731184,0.5847816283032545
12h_alert_fraction,0.17343517710219253,0.022484041617511802,0.13297577879124814,0.22121946451682484
12h_brier,0.022298677051925373,0.005704688617342674,0.011814245035216211,0.03421388666301214
12h_km_reference_brier,0.044045315320038164,0.01564966822260017,0.018051811498137504,0.07691920613904162
12h_bss,0.46842004924525554,0.09796084388249007,0.2344708225454885,0.6081700531434553
12h_predicted_survival_mean,0.9558800499194937,0.009585369192253201,0.9357540221882917,0.9726969288180124
12h_observed_survival_km,0.9536183029027285,0.01791263668822842,0.9162320298627957,0.9833226187726818
24h_auc,0.9748536467630188,0.009811483265572378,0.9518513981908507,0.98972239558295
24h_average_precision,0.7049866867352423,0.14736940057200074,0.3505368848272987,0.9004565909684809
24h_tss,0.8607169980449025,0.05329074353367124,0.7350874995698252,0.9393960766370346
24h_hss2,0.6696486628227339,0.0862433622547639,0.4726654088445716,0.8064117203297176
24h_far,0.43492337172616136,0.09727096134871094,0.2722181515659977,0.6379344976581638
24h_precision,0.5650766282738386,0.09727096134871094,0.3620655023418361,0.7277818484340022
24h_recall,0.8996125246723092,0.05240066429870938,0.773166498311249,0.9722637799094611
24h_f1,0.6907428022353933,0.085966918059852,0.495367859382964,0.8271773803565311
24h_alert_fraction,0.09272907602841872,0.02402976747359411,0.05081512153331878,0.14325254863900283
24h_brier,0.02383369255310811,0.005153499375519518,0.014646293012788848,0.03431291294235089
24h_km_reference_brier,0.051618009762807934,0.015446089056139369,0.02575633848071447,0.08388135353161859
24h_bss,0.517282107039782,0.10279488219945587,0.28894691636160025,0.6761987766188372
24h_predicted_survival_mean,0.9392062401925009,0.012353631858027122,0.9138243161905275,0.960795987373491
24h_observed_survival_km,0.9456168937292644,0.01869571125709571,0.9076736339052477,0.9768721124133514
48h_auc,0.9694562931638082,0.01393990196370139,0.9338408270608999,0.9893777593051047
48h_average_precision,0.7677484697326644,0.11024365540437506,0.49502096230822723,0.9176502255439103
48h_tss,0.8409042437579703,0.05968383264910245,0.6949992546249717,0.9294951787454897
48h_hss2,0.7421166400949669,0.07668512353982584,0.5530532490222914,0.8582311866234444
48h_far,0.321466114636082,0.08802056966863345,0.17993314810484434,0.5229000846577476
48h_precision,0.678533885363918,0.08802056966863343,0.4770999153422525,0.8200668518951556
48h_recall,0.869962489628393,0.05832243849187073,0.7256740853393846,0.9543877140212008
48h_f1,0.7609121983088891,0.07533807818492524,0.5702906955536765,0.8715872650754225
48h_alert_fraction,0.10084358191235257,0.026305989421056167,0.054974367641259646,0.15498947470466845
48h_brier,0.024129940079238486,0.0046603075184063125,0.01579070317520751,0.033553057566761614
48h_km_reference_brier,0.06218412483394489,0.01555717882560721,0.035298903346904636,0.0950331090289625
48h_bss,0.5978118747058221,0.08585929507801619,0.4059292737505873,0.7361591951872041
48h_predicted_survival_mean,0.9237496339654802,0.014445589884001383,0.8934923906646548,0.9490193142396194
48h_observed_survival_km,0.9335803531744798,0.01993118295493659,0.8929186755601408,0.9685103471672439
72h_auc,0.9655782322297759,0.014884606778560995,0.9297295040363461,0.9870616569608393
72h_average_precision,0.7900904080746024,0.1030932526150849,0.5265758938788864,0.9253933819054571
72h_tss,0.8040021809050322,0.06631082662537797,0.6531983748057023,0.9070589513979633
72h_hss2,0.7440061409430252,0.07984994182120134,0.5511960381793185,0.8663148408017319
72h_far,0.2917069697948282,0.09024980439145447,0.148742999870208,0.5104809232161966
72h_precision,0.7082930302051719,0.09024980439145447,0.48951907678380346,0.851257000129792
72h_recall,0.829852011547524,0.06419542911906694,0.6807955764214955,0.927259207414624
72h_f1,0.7632023345281218,0.07795816748144974,0.5746425915415725,0.8800447930006229
72h_alert_fraction,0.10763668392092114,0.028595329502574658,0.05715453546698344,0.16684726680694856
72h_brier,0.025397022209184224,0.004961026819559126,0.01617685138119866,0.036130388875472874
72h_km_reference_brier,0.068017009268823,0.015607462267070259,0.040532977056884,0.10091775743053637
72h_bss,0.6139120687710399,0.08826240448401042,0.4027917543827931,0.7544546490549751
72h_predicted_survival_mean,0.9131387183927079,0.015611303731565782,0.8806510144059144,0.9404383542792354
